SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: YML6

Rank	Gene	Common	Score
Q	YML025C	YML6	
1	YIL070C	MAM33	3.3
2	YKL087C	CYT2	3.2
3	YPL173W	MRPL40	3.2
4	YKR006C	MRPL13	3.2
5	YDR347W	MRP1	3.1
6	YDR116C	MRPL1	3.1
7	YDR322W	MRPL35	3.1
8	YJR113C	RSM7	3.1
9	YDR296W	MHR1	3.1
10	YNL185C	MRPL19	3.1
11	YJR101W	RSM26	3.1
12	YLR203C	MSS51	3.0
13	YKR085C	MRPL20	3.0
14	YOR158W	PET123	3.0
15	YJL063C	MRPL8	3.0
16	YLR069C	MEF1	3.0
17	YLR439W	MRPL4	3.0
18	YBR146W	MRPS9	2.9
19	YGR084C	MRP13	2.9
20	YEL050C	RML2	2.9
21	YMR024W	MRPL3	2.9
22	YNL081C	SWS2	2.9
23	YGR165W	MRPS35	2.9
24	YKL138C	MRPL31	2.9
25	YOR187W	TUF1	2.9
26	YJL096W	MRPL49	2.9
27	YBR185C	MBA1	2.9
28	YNL284C	MRPL10	2.9
29	YGL068W	MNP1	2.9
30	YDR375C	BCS1	2.9
31	YNL315C	ATP11	2.9
32	YDR405W	MRP20	2.9
33	YML129C	COX14	2.9
34	YGR220C	MRPL9	2.9
35	YNL177C	MRPL22	2.8
36	YMR188C	MRPS17	2.8
37	YKL167C	MRP49	2.8
38	YLL009C	COX17	2.8
39	YHR116W	COX23	2.8
40	YMR193W	MRPL24	2.8
41	YMR158W	MRPS8	2.8
42	YCR046C	IMG1	2.8
43	YDL202W	MRPL11	2.8
44	YCR071C	IMG2	2.8
45	YDR462W	MRPL28	2.8
46	YHR059W	FYV4	2.8
47	YOL023W	IFM1	2.8
48	YOR354C	MSC6	2.7
49	YDR237W	MRPL7	2.7
50	YHL004W	MRP4	2.7
51	YBR282W	MRPL27	2.7
52	YJL180C	ATP12	2.7
53	YBR122C	MRPL36	2.7
54	YNL252C	MRPL17	2.7
55	YPL132W	COX11	2.7
56	YOR150W	MRPL23	2.7
57	YKL003C	MRP17	2.7
58	YCR003W	MRPL32	2.7
59	YDR494W	RSM28	2.7
60	YLR204W	QRI5	2.7
61	YLR312W-A	MRPL15	2.7
62	YDR337W	MRPS28	2.7
63	YBL038W	MRPL16	2.7
64	YNL306W	MRPS18	2.7
65	YGL107C	RMD9	2.7
66	YNR020C	ATP23	2.7
67	YER182W	FMP10	2.6
68	YNL137C	NAM9	2.6
69	YNR022C	MRPL50	2.6
70	YDR175C	RSM24	2.6
71	YIL098C	FMC1	2.6
72	YNL005C	MRP7	2.6
73	YIL093C	RSM25	2.6
74	YLR163C	MAS1	2.6
75	YBR251W	MRPS5	2.6
76	YKL170W	MRPL38	2.6
77	YGL236C	MTO1	2.6
78	YNR036C	MRPS12	2.6
79	YPL097W	MSY1	2.6
80	YDR316W	OMS1	2.6
81	YMR157C	AIM36	2.6
82	YLR382C	NAM2	2.6
83	YJR122W	IBA57	2.6
84	YNL073W	MSK1	2.6
85	YMR267W	PPA2	2.6
86	YLR239C	LIP2	2.6
87	YGL129C	RSM23	2.6
88	YPL118W	MRP51	2.5
89	YBR037C	SCO1	2.5
90	YMR286W	MRPL33	2.5
91	YDR430C	CYM1	2.5
92	YHR038W	RRF1	2.5
93	YBR120C	CBP6	2.5
94	YHR147C	MRPL6	2.5
95	YER050C	RSM18	2.5
96	YNR037C	RSM19	2.5
97	YGR132C	PHB1	2.5
98	YKL155C	RSM22	2.5
99	YMR002W	MIX17	2.5
100	YPL215W	CBP3	2.5
101	YDR041W	RSM10	2.5
102	YKL195W	MIA40	2.5
103	YER058W	PET117	2.5
104	YNR017W	TIM23	2.5
105	YGL143C	MRF1	2.5
106	YJR034W	PET191	2.5
107	YGR082W	TOM20	2.5
108	YDR511W	SDH7	2.5
109	YLR259C	HSP60	2.4
110	YOL033W	MSE1	2.4
111	YLR193C	UPS1	2.4
112	YPR191W	QCR2	2.4
113	YPL104W	MSD1	2.4
114	YML091C	RPM2	2.4
115	YML009C	MRPL39	2.4
116	YOR286W	RDL2	2.4
117	YPR140W	TAZ1	2.4
118	YBR268W	MRPL37	2.4
119	YKL192C	ACP1	2.4
120	YKL137W	CMC1	2.4
121	YGL219C	MDM34	2.4
122	YLR390W	ECM19	2.4
123	YLR289W	GUF1	2.4
124	YPR100W	MRPL51	2.4
125	YFR007W	YFH7	2.4
126	YDR194C	MSS116	2.4
127	YPL183W-A	RTC6	2.4
128	YER017C	AFG3	2.4
129	YJL104W	PAM16	2.4
130	YIL157C	COA1	2.4
131	YNL121C	TOM70	2.4
132	YGR215W	RSM27	2.4
133	YML120C	NDI1	2.4
134	YMR089C	YTA12	2.4
135	YJL066C	MPM1	2.4
136	YHR011W	DIA4	2.4
137	YGR231C	PHB2	2.4
138	YBL090W	MRP21	2.4
139	YKL085W	MDH1	2.3
140	YGR076C	MRPL25	2.3
141	YDR493W	MZM1	2.3
142	YKL194C	MST1	2.3
143	YPL172C	COX10	2.3
144	YOR045W	TOM6	2.3
145	YHR091C	MSR1	2.3
146	YMR098C	ATP25	2.3
147	YLR295C	ATP14	2.3
148	YDL045W-A	MRP10	2.3
149	YPL040C	ISM1	2.3
150	YKR065C	PAM17	2.3
151	YBR044C	TCM62	2.3
152	YMR060C	SAM37	2.3
153	YMR012W	CLU1	2.3
154	YOR201C	MRM1	2.3
155	YAL039C	CYC3	2.3
156	YJR080C	AIM24	2.3
157	YBR262C	MIC12	2.3
158	YGR112W	SHY1	2.3
159	YKL053C-A	MDM35	2.3
160	YDR231C	COX20	2.3
161	YPR047W	MSF1	2.3
162	YJR077C	MIR1	2.3
163	YKL148C	SDH1	2.3
164	YBR003W	COQ1	2.3
165	YKL109W	HAP4	2.2
166	YGR171C	MSM1	2.2
167	YOL071W	SDH5	2.2
168	YJL102W	MEF2	2.2
169	YBL022C	PIM1	2.2
170	YHR024C	MAS2	2.2
171	YML078W	CPR3	2.2
172	YDR079W	PET100	2.2
173	YMR225C	MRPL44	2.2
174	YNR045W	PET494	2.2
175	YDR036C	EHD3	2.2
176	YGR181W	TIM13	2.2
177	YKL016C	ATP7	2.2
178	YNL083W	SAL1	2.2
179	YGR147C	NAT2	2.2
180	YLR008C	PAM18	2.2
181	YMR293C	HER2	2.2
182	YJR045C	SSC1	2.2
183	YDR393W	SHE9	2.2
184	YOR020C	HSP10	2.2
185	YLL041C	SDH2	2.2
186	YBL030C	PET9	2.2
187	YHR109W	CTM1	2.2
188	YDR197W	CBS2	2.2
189	YGL064C	MRH4	2.2
190	YNL037C	IDH1	2.2
191	YPR133W-A	TOM5	2.2
192	YNL052W	COX5A	2.2
193	YPR129W	SCD6	2.2
194	YIL022W	TIM44	2.2
195	YLR394W	CST9	2.2
196	YPR166C	MRP2	2.2
197	YFL036W	RPO41	2.1
198	YPL072W	UBP16	2.1
199	YPL098C	MGR2	2.1
200	YPR067W	ISA2	2.1
201	YJR133W	XPT1	2.1
202	YCR024C	SLM5	2.1
203	YPL252C	YAH1	2.1
204	YDR148C	KGD2	2.1
205	YOR358W	HAP5	2.1
206	YPL013C	MRPS16	2.1
207	YJR048W	CYC1	2.1
208	YHL014C	YLF2	2.1
209	YMR228W	MTF1	2.1
210	YLR304C	ACO1	2.1
211	YIR021W	MRS1	2.1
212	YFL018C	LPD1	2.1
213	YLR090W	XDJ1	2.1
214	YPL078C	ATP4	2.1
215	YGL018C	JAC1	2.1
216	YGR174C	CBP4	2.1
217	YER027C	GAL83	2.1
218	YMR302C	YME2	2.1
219	YBR192W	RIM2	2.1
220	YGL226W	MTC3	2.1
221	YEL052W	AFG1	2.1
222	YOR266W	PNT1	2.1
223	YDR529C	QCR7	2.1
224	YGR062C	COX18	2.1
225	YNL310C	ZIM17	2.1
226	YBL045C	COR1	2.1
227	YMR145C	NDE1	2.1
228	YFR033C	QCR6	2.1
229	YNL131W	TOM22	2.1
230	YPL059W	GRX5	2.1
231	YKL094W	YJU3	2.1
232	YMR203W	TOM40	2.1
233	YNL070W	TOM7	2.1
234	YOR232W	MGE1	2.1
235	YMR256C	COX7	2.1
236	YDL174C	DLD1	2.1
237	YNL071W	LAT1	2.1
238	YKL204W	EAP1	2.1
239	YKL150W	MCR1	2.0
240	YDL120W	YFH1	2.0
241	YDL004W	ATP16	2.0
242	YLR168C	UPS2	2.0
243	YBR039W	ATP3	2.0
244	YIL125W	KGD1	2.0
245	YGR257C	MTM1	2.0
246	YLR395C	COX8	2.0
247	YDL107W	MSS2	2.0
248	YOR065W	CYT1	2.0
249	YMR282C	AEP2	2.0
250	YMR257C	PET111	2.0
251	YOL111C	MDY2	2.0
252	YLR038C	COX12	2.0
253	YBL051C	PIN4	2.0
254	YPL103C	FMP30	2.0
255	YER170W	ADK2	2.0
256	YNR001C	CIT1	2.0
257	YLR077W	FMP25	2.0
258	YKR066C	CCP1	2.0
259	YBL015W	ACH1	2.0
260	YOR017W	PET127	2.0
261	YLL001W	DNM1	2.0
262	YKR016W	MIC60	2.0
263	YNR033W	ABZ1	2.0
264	YIL033C	BCY1	2.0
265	YNR007C	ATG3	2.0
266	YBR230C	OM14	2.0
267	YGL040C	HEM2	2.0
268	YML086C	ALO1	2.0
269	YDL181W	INH1	2.0
270	YOR142W	LSC1	2.0
271	YMR072W	ABF2	2.0
272	YIL050W	PCL7	2.0
273	YMR064W	AEP1	2.0
274	YPR023C	EAF3	2.0
275	YER154W	OXA1	2.0
276	YLR094C	GIS3	2.0
277	YML110C	COQ5	2.0
278	YPL271W	ATP15	2.0
279	YOR136W	IDH2	2.0
280	YBR269C	SDH8	2.0
281	YNL322C	KRE1	2.0
282	YGR193C	PDX1	2.0
283	YJL112W	MDV1	2.0
284	YKL141W	SDH3	2.0
285	YIL041W	GVP36	2.0
286	YHR168W	MTG2	2.0
287	YDR313C	PIB1	2.0
288	YBR207W	FTH1	2.0
289	YKL039W	PTM1	2.0
290	YML112W	CTK3	2.0
291	YEL024W	RIP1	2.0
292	YBL033C	RIB1	2.0
293	YJL143W	TIM17	2.0
294	YLR139C	SLS1	1.9
295	YBL021C	HAP3	1.9
296	YOR037W	CYC2	1.9
297	YJR121W	ATP2	1.9
298	YMR272C	SCS7	1.9
299	YML124C	TUB3	1.9
300	YOL096C	COQ3	1.9
301	YMR152W	YIM1	1.9
302	YBL058W	SHP1	1.9
303	YBR179C	FZO1	1.9
304	YFR049W	KGD4	1.9
305	YGL187C	COX4	1.9
306	YDL076C	RXT3	1.9
307	YGL115W	SNF4	1.9
308	YHR200W	RPN10	1.9
309	YHR198C	AIM18	1.9
310	YDR515W	SLF1	1.9
311	YKL067W	YNK1	1.9
312	YPR020W	ATP20	1.9
313	YGR183C	QCR9	1.9
314	YKL208W	CBT1	1.9
315	YOL135C	MED7	1.9
316	YPL134C	ODC1	1.9
317	YML035C	AMD1	1.9
318	YKL007W	CAP1	1.9
319	YGL237C	HAP2	1.9
320	YLL019C	KNS1	1.9
321	YMR311C	GLC8	1.9
322	YNR049C	MSO1	1.9
323	YMR314W	PRE5	1.9
324	YDR329C	PEX3	1.9
325	YKR007W	MEH1	1.9
326	YLR270W	DCS1	1.9
327	YFL041W	FET5	1.9
328	YKR089C	TGL4	1.9
329	YPL004C	LSP1	1.9
330	YPL262W	FUM1	1.9
331	YBR024W	SCO2	1.9
332	YBL099W	ATP1	1.9
333	YPL063W	TIM50	1.9
334	YDR470C	UGO1	1.9
335	YPL031C	PHO85	1.9
336	YDL044C	MTF2	1.9
337	YBL032W	HEK2	1.9
338	YOR120W	GCY1	1.9
339	YHR051W	COX6	1.9
340	YGL191W	COX13	1.9
341	YDR028C	REG1	1.9
342	YPR125W	YLH47	1.9
343	YGR232W	NAS6	1.9
344	YOL027C	MDM38	1.9
345	YDR298C	ATP5	1.9
346	YIL042C	PKP1	1.9
347	YDL230W	PTP1	1.9
348	YLR102C	APC9	1.9
349	YIL134W	FLX1	1.9
350	YBL080C	PET112	1.9
351	YPR024W	YME1	1.9
352	YJL166W	QCR8	1.9
353	YPR124W	CTR1	1.9
354	YLR220W	CCC1	1.9
355	YMR276W	DSK2	1.9
356	YCR004C	YCP4	1.9
357	YOR205C	GEP3	1.9
