SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: CGI121

Rank	Gene	Common	Score
Q	YML036W	CGI121	
1	YBR252W	DUT1	2.9
2	YER009W	NTF2	2.9
3	YDL219W	DTD1	2.8
4	YAL033W	POP5	2.8
5	YJR069C	HAM1	2.7
6	YML094W	GIM5	2.7
7	YJR118C	ILM1	2.7
8	YGR105W	VMA21	2.6
9	YML077W	BET5	2.6
10	YPL144W	POC4	2.6
11	YIL016W	SNL1	2.6
12	YPL211W	NIP7	2.6
13	YKL130C	SHE2	2.6
14	YGL226C-A	OST5	2.6
15	YOR143C	THI80	2.6
16	YHR013C	ARD1	2.6
17	YMR123W	PKR1	2.6
18	YMR292W	GOT1	2.6
19	YLR285W	NNT1	2.6
20	YLR066W	SPC3	2.6
21	YPL227C	ALG5	2.6
22	YLR022C	SDO1	2.5
23	YJL179W	PFD1	2.5
24	YLR021W	IRC25	2.5
25	YJR032W	CPR7	2.5
26	YGR262C	BUD32	2.5
27	YDR454C	GUK1	2.5
28	YPL241C	CIN2	2.5
29	YOR115C	TRS33	2.5
30	YPR060C	ARO7	2.5
31	YOR253W	NAT5	2.5
32	YOR234C	RPL33B	2.5
33	YPR118W	MRI1	2.5
34	YOR210W	RPB10	2.5
35	YER007C-A	TMA20	2.5
36	YKL119C	VPH2	2.5
37	YPL143W	RPL33A	2.5
38	YDR139C	RUB1	2.5
39	YGL070C	RPB9	2.5
40	YIL040W	APQ12	2.5
41	YNL153C	GIM3	2.5
42	YML055W	SPC2	2.5
43	YLR367W	RPS22B	2.5
44	YGL232W	TAN1	2.5
45	YMR230W	RPS10B	2.5
46	YAL007C	ERP2	2.5
47	YBL026W	LSM2	2.5
48	YIL027C	EMC5	2.5
49	YAR002C-A	ERP1	2.4
50	YHR121W	LSM12	2.4
51	YLR372W	ELO3	2.4
52	YOR103C	OST2	2.4
53	YDL236W	PHO13	2.4
54	YLR388W	RPS29A	2.4
55	YDL166C	FAP7	2.4
56	YKL154W	SRP102	2.4
57	YLR200W	YKE2	2.4
58	YPR187W	RPO26	2.4
59	YLR268W	SEC22	2.4
60	YDR471W	RPL27B	2.4
61	YOR293W	RPS10A	2.4
62	YPL010W	RET3	2.4
63	YML067C	ERV41	2.4
64	YJR067C	YAE1	2.4
65	YMR312W	ELP6	2.4
66	YBR087W	RFC5	2.4
67	YMR215W	GAS3	2.4
68	YOR276W	CAF20	2.4
69	YIL008W	URM1	2.4
70	YGR078C	PAC10	2.4
71	YGR106C	VOA1	2.4
72	YER131W	RPS26B	2.4
73	YOR096W	RPS7A	2.4
74	YNL316C	PHA2	2.4
75	YLR083C	EMP70	2.4
76	YGR208W	SER2	2.4
77	YJL183W	MNN11	2.4
78	YOR094W	ARF3	2.4
79	YDR045C	RPC11	2.4
80	YDL064W	UBC9	2.4
81	YJL097W	PHS1	2.4
82	YBR210W	ERV15	2.4
83	YOL102C	TPT1	2.4
84	YLR061W	RPL22A	2.4
85	YJL124C	LSM1	2.4
86	YLR333C	RPS25B	2.4
87	YOR167C	RPS28A	2.4
88	YOL149W	DCP1	2.4
89	YKL156W	RPS27A	2.4
90	YOL139C	CDC33	2.4
91	YOR265W	RBL2	2.4
92	YOR079C	ATX2	2.4
93	YBL002W	HTB2	2.4
94	YDL165W	CDC36	2.4
95	YBR171W	SEC66	2.4
96	YBR254C	TRS20	2.4
97	YBR164C	ARL1	2.3
98	YJL136C	RPS21B	2.3
99	YKR060W	UTP30	2.3
100	YDL082W	RPL13A	2.3
101	YPL079W	RPL21B	2.3
102	YPL037C	EGD1	2.3
103	YMR143W	RPS16A	2.3
104	YMR260C	TIF11	2.3
105	YGL020C	GET1	2.3
106	YNL090W	RHO2	2.3
107	YDR302W	GPI11	2.3
108	YLR146C	SPE4	2.3
109	YDR087C	RRP1	2.3
110	YLR344W	RPL26A	2.3
111	YPR110C	RPC40	2.3
112	YML026C	RPS18B	2.3
113	YDR308C	SRB7	2.3
114	YMR233W	TRI1	2.3
115	YHR010W	RPL27A	2.3
116	YOR224C	RPB8	2.3
117	YKL128C	PMU1	2.3
118	YKL144C	RPC25	2.3
119	YMR142C	RPL13B	2.3
120	YJL177W	RPL17B	2.3
121	YBR061C	TRM7	2.3
122	YNL111C	CYB5	2.3
123	YBL087C	RPL23A	2.3
124	YOR297C	TIM18	2.3
125	YDR013W	PSF1	2.3
126	YLR185W	RPL37A	2.3
127	YHR144C	DCD1	2.3
128	YML105C	SEC65	2.3
129	YMR212C	EFR3	2.3
130	YGL220W	BOL2	2.3
131	YOR281C	PLP2	2.3
132	YDL232W	OST4	2.3
133	YDL212W	SHR3	2.3
134	YGR020C	VMA7	2.3
135	YML011C	RAD33	2.3
136	YMR132C	JLP2	2.3
137	YJR063W	RPA12	2.3
138	YLR435W	TSR2	2.3
139	YDL111C	RRP42	2.3
140	YBR154C	RPB5	2.3
141	YOL097C	WRS1	2.3
142	YGL097W	SRM1	2.3
143	YML073C	RPL6A	2.3
144	YOR046C	DBP5	2.3
145	YDR450W	RPS18A	2.3
146	YPR069C	SPE3	2.3
147	YNL222W	SSU72	2.3
148	YIL110W	HPM1	2.3
149	YBL057C	PTH2	2.3
150	YDR023W	SES1	2.3
151	YDR339C	FCF1	2.3
152	YJL148W	RPA34	2.3
153	YML019W	OST6	2.3
154	YDR428C	BNA7	2.3
155	YKL122C	SRP21	2.3
156	YLR264W	RPS28B	2.3
157	YBR091C	TIM12	2.3
158	YML001W	YPT7	2.3
159	YML106W	URA5	2.3
160	YIL020C	HIS6	2.3
161	YLR406C	RPL31B	2.3
162	YPR073C	LTP1	2.3
163	YBL068W	PRS4	2.3
164	YHR041C	SRB2	2.3
165	YNL244C	SUI1	2.3
166	YNL255C	GIS2	2.3
167	YOR016C	ERP4	2.3
168	YMR241W	YHM2	2.3
169	YHR064C	SSZ1	2.3
170	YNL070W	TOM7	2.3
171	YGR172C	YIP1	2.3
172	YLR448W	RPL6B	2.3
173	YMR112C	MED11	2.3
174	YKR004C	ECM9	2.3
175	YOR312C	RPL20B	2.3
176	YFL034C-A	RPL22B	2.3
177	YOR340C	RPA43	2.3
178	YDL083C	RPS16B	2.3
179	YLR154C	RNH203	2.3
180	YBR187W	GDT1	2.3
181	YGR034W	RPL26B	2.3
182	YJR057W	CDC8	2.2
183	YNL129W	NRK1	2.2
184	YPR051W	MAK3	2.2
185	YMR298W	LIP1	2.2
186	YOR067C	ALG8	2.2
187	YGL001C	ERG26	2.2
188	YGR173W	RBG2	2.2
189	YMR274C	RCE1	2.2
190	YGL225W	VRG4	2.2
191	YOL056W	GPM3	2.2
192	YNL147W	LSM7	2.2
193	YLR183C	TOS4	2.2
194	YDL192W	ARF1	2.2
195	YML022W	APT1	2.2
196	YJR135W-A	TIM8	2.2
197	YML024W	RPS17A	2.2
198	YKL084W	HOT13	2.2
199	YKR057W	RPS21A	2.2
200	YKL058W	TOA2	2.2
201	YEL003W	GIM4	2.2
202	YGR085C	RPL11B	2.2
203	YHR193C	EGD2	2.2
204	YBR042C	CST26	2.2
205	YGL031C	RPL24A	2.2
206	YNL113W	RPC19	2.2
207	YLR404W	SEI1	2.2
208	YDR414C	ERD1	2.2
209	YNL151C	RPC31	2.2
210	YEL040W	UTR2	2.2
211	YMR194W	RPL36A	2.2
212	YBR191W	RPL21A	2.2
213	YHR128W	FUR1	2.2
214	YPL244C	HUT1	2.2
215	YCR002C	CDC10	2.2
216	YKR094C	RPL40B	2.2
217	YOL012C	HTZ1	2.2
218	YHR068W	DYS1	2.2
219	YOR243C	PUS7	2.2
220	YLR043C	TRX1	2.2
221	YEL001C	IRC22	2.2
222	YNL096C	RPS7B	2.2
223	YJR007W	SUI2	2.2
224	YOR159C	SME1	2.2
225	YNL292W	PUS4	2.2
226	YJL011C	RPC17	2.2
227	YOR095C	RKI1	2.2
228	YDR404C	RPB7	2.2
229	YJL091C	GWT1	2.2
230	YDL061C	RPS29B	2.2
231	YOL146W	PSF3	2.2
232	YFR001W	LOC1	2.2
233	YKL021C	MAK11	2.2
234	YOR216C	RUD3	2.2
235	YER146W	LSM5	2.2
236	YIL009C-A	EST3	2.2
237	YOL142W	RRP40	2.2
238	YDR500C	RPL37B	2.2
239	YOL127W	RPL25	2.2
240	YHR143W-A	RPC10	2.2
241	YIL133C	RPL16A	2.2
242	YNL301C	RPL18B	2.2
243	YGR158C	MTR3	2.2
244	YJL072C	PSF2	2.2
245	YKL081W	TEF4	2.2
246	YOR045W	TOM6	2.2
247	YKR026C	GCN3	2.2
248	YJR143C	PMT4	2.2
249	YFL045C	SEC53	2.2
250	YOL094C	RFC4	2.2
251	YJL192C	SOP4	2.2
252	YPL208W	RKM1	2.2
253	YDL092W	SRP14	2.2
254	YPR052C	NHP6A	2.2
255	YLR008C	PAM18	2.2
256	YPL129W	TAF14	2.2
257	YIL052C	RPL34B	2.2
258	YDR226W	ADK1	2.2
259	YGR271C-A	EFG1	2.2
260	YDR410C	STE14	2.2
261	YGR148C	RPL24B	2.2
262	YLR292C	SEC72	2.2
263	YFL028C	CAF16	2.2
264	YBR088C	POL30	2.2
265	YMR149W	SWP1	2.2
266	YNL248C	RPA49	2.2
267	YDR519W	FPR2	2.2
268	YFR042W	KEG1	2.2
269	YER117W	RPL23B	2.2
270	YHR060W	VMA22	2.2
271	YNL166C	BNI5	2.2
272	YPL237W	SUI3	2.2
273	YLR412W	BER1	2.2
274	YCR031C	RPS14A	2.2
275	YDR469W	SDC1	2.2
276	YML063W	RPS1B	2.2
277	YCR028C-A	RIM1	2.2
278	YBR189W	RPS9B	2.2
279	YLR275W	SMD2	2.2
280	YDL235C	YPD1	2.2
281	YDR165W	TRM82	2.2
282	YEL026W	SNU13	2.2
283	YOR189W	IES4	2.2
284	YOR315W	SFG1	2.2
285	YPL273W	SAM4	2.2
286	YHL001W	RPL14B	2.2
287	YJR094W-A	RPL43B	2.2
288	YJL190C	RPS22A	2.2
289	YMR093W	UTP15	2.2
290	YHR133C	NSG1	2.2
291	YML124C	TUB3	2.2
292	YHR062C	RPP1	2.2
293	YGR118W	RPS23A	2.2
294	YLL049W	LDB18	2.2
295	YMR146C	TIF34	2.2
296	YEL029C	BUD16	2.2
297	YDR245W	MNN10	2.2
298	YOL120C	RPL18A	2.2
299	YOL093W	TRM10	2.2
300	YBL018C	POP8	2.2
301	YMR158W	MRPS8	2.2
302	YDR144C	MKC7	2.2
303	YHR063C	PAN5	2.2
304	YEL054C	RPL12A	2.2
