SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: YMD8

Rank	Gene	Common	Score
Q	YML038C	YMD8	
1	YOR079C	ATX2	2.4
2	YML031W	NDC1	2.4
3	YER145C	FTR1	2.4
4	YOR209C	NPT1	2.4
5	YBR207W	FTH1	2.4
6	YMR058W	FET3	2.4
7	YLR083C	EMP70	2.3
8	YKL046C	DCW1	2.3
9	YMR212C	EFR3	2.3
10	YJR143C	PMT4	2.3
11	YJL183W	MNN11	2.3
12	YML069W	POB3	2.3
13	YMR093W	UTP15	2.3
14	YMR013C	SEC59	2.3
15	YMR054W	STV1	2.3
16	YLR034C	SMF3	2.3
17	YPL254W	HFI1	2.3
18	YGL071W	AFT1	2.3
19	YEL065W	SIT1	2.3
20	YNL291C	MID1	2.3
21	YOL090W	MSH2	2.3
22	YMR309C	NIP1	2.3
23	YOL061W	PRS5	2.3
24	YDR264C	AKR1	2.3
25	YML019W	OST6	2.3
26	YBR042C	CST26	2.2
27	YHL040C	ARN1	2.2
28	YOL158C	ENB1	2.2
29	YLR214W	FRE1	2.2
30	YDL093W	PMT5	2.2
31	YLL051C	FRE6	2.2
32	YHR175W	CTR2	2.2
33	YOR067C	ALG8	2.2
34	YLR443W	ECM7	2.2
35	YDR211W	GCD6	2.2
36	YBR023C	CHS3	2.2
37	YJL174W	KRE9	2.2
38	YJL002C	OST1	2.2
39	YNL085W	MKT1	2.2
40	YOR241W	MET7	2.2
41	YOR360C	PDE2	2.2
42	YLR020C	YEH2	2.2
43	YOR043W	WHI2	2.2
44	YML115C	VAN1	2.2
45	YOR085W	OST3	2.2
46	YPR159W	KRE6	2.2
47	YEL063C	CAN1	2.2
48	YML111W	BUL2	2.2
49	YGL022W	STT3	2.2
50	YOR269W	PAC1	2.2
51	YNL263C	YIF1	2.2
52	YML035C	AMD1	2.1
53	YML046W	PRP39	2.1
54	YML016C	PPZ1	2.1
55	YLR212C	TUB4	2.1
56	YKL212W	SAC1	2.1
57	YOR198C	BFR1	2.1
58	YNR039C	ZRG17	2.1
59	YER118C	SHO1	2.1
60	YMR177W	MMT1	2.1
61	YLR372W	ELO3	2.1
62	YER113C	TMN3	2.1
63	YMR079W	SEC14	2.1
64	YLR403W	SFP1	2.1
65	YKR082W	NUP133	2.1
66	YGR119C	NUP57	2.1
67	YKL175W	ZRT3	2.1
68	YMR243C	ZRC1	2.1
69	YBR041W	FAT1	2.1
70	YJL094C	KHA1	2.1
71	YMR179W	SPT21	2.1
72	YHR042W	NCP1	2.1
73	YNL154C	YCK2	2.1
74	YMR235C	RNA1	2.1
75	YML032C	RAD52	2.1
76	YPL050C	MNN9	2.1
77	YMR238W	DFG5	2.1
78	YML103C	NUP188	2.1
79	YJR040W	GEF1	2.1
80	YJL080C	SCP160	2.1
81	YJR007W	SUI2	2.1
82	YBR162C	TOS1	2.1
83	YMR091C	NPL6	2.1
84	YHR123W	EPT1	2.1
85	YMR296C	LCB1	2.1
86	YGR162W	TIF4631	2.1
87	YDR190C	RVB1	2.1
88	YIL128W	MET18	2.1
89	YML060W	OGG1	2.1
90	YGR172C	YIP1	2.1
91	YKR052C	MRS4	2.1
92	YNL283C	WSC2	2.1
93	YBR015C	MNN2	2.1
94	YBL020W	RFT1	2.1
95	YLR459W	GAB1	2.1
96	YDR280W	RRP45	2.1
97	YFL002C	SPB4	2.1
98	YOL062C	APM4	2.1
99	YNL287W	SEC21	2.1
100	YER049W	TPA1	2.1
101	YOR254C	SEC63	2.1
102	YMR125W	STO1	2.1
103	YGL225W	VRG4	2.1
104	YIL048W	NEO1	2.1
105	YDR395W	SXM1	2.1
106	YKR026C	GCN3	2.1
107	YOR359W	VTS1	2.1
108	YKL057C	NUP120	2.1
109	YPL145C	KES1	2.1
110	YGR152C	RSR1	2.1
111	YDR245W	MNN10	2.1
112	YPR110C	RPC40	2.1
113	YLR226W	BUR2	2.1
114	YBR110W	ALG1	2.1
115	YDL003W	MCD1	2.1
116	YLR332W	MID2	2.1
117	YLR183C	TOS4	2.1
118	YDL103C	QRI1	2.1
119	YDR407C	TRS120	2.1
120	YLR088W	GAA1	2.1
121	YCR065W	HCM1	2.1
122	YIL090W	ICE2	2.1
123	YML126C	ERG13	2.1
124	YDR119W	VBA4	2.1
125	YDR434W	GPI17	2.1
126	YHR064C	SSZ1	2.1
127	YLR136C	TIS11	2.1
128	YDL145C	COP1	2.1
129	YMR088C	VBA1	2.1
130	YJL133W	MRS3	2.1
131	YGR189C	CRH1	2.1
132	YNL298W	CLA4	2.1
133	YLR307W	CDA1	2.1
