SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PIF1

Rank	Gene	Common	Score
Q	YML061C	PIF1	
1	YLR103C	CDC45	3.0
2	YJL074C	SMC3	2.9
3	YLR183C	TOS4	2.9
4	YML065W	ORC1	2.8
5	YLR383W	SMC6	2.8
6	YMR078C	CTF18	2.8
7	YML060W	OGG1	2.8
8	YML109W	ZDS2	2.8
9	YKL113C	RAD27	2.8
10	YNL273W	TOF1	2.7
11	YMR076C	PDS5	2.7
12	YIL026C	IRR1	2.7
13	YDL003W	MCD1	2.7
14	YLR272C	YCS4	2.6
15	YDR507C	GIN4	2.6
16	YNL102W	POL1	2.6
17	YMR179W	SPT21	2.6
18	YNL166C	BNI5	2.6
19	YOR144C	ELG1	2.6
20	YDL164C	CDC9	2.6
21	YNL233W	BNI4	2.6
22	YPR141C	KAR3	2.6
23	YJR043C	POL32	2.5
24	YNL088W	TOP2	2.5
25	YLR045C	STU2	2.5
26	YBR275C	RIF1	2.5
27	YPR120C	CLB5	2.5
28	YFL008W	SMC1	2.5
29	YOL017W	ESC8	2.5
30	YBR088C	POL30	2.5
31	YDL102W	POL3	2.5
32	YKL089W	MIF2	2.5
33	YHR154W	RTT107	2.5
34	YAR008W	SEN34	2.5
35	YDR097C	MSH6	2.5
36	YNL262W	POL2	2.5
37	YPR018W	RLF2	2.5
38	YMR127C	SAS2	2.5
39	YLL021W	SPA2	2.5
40	YKL101W	HSL1	2.4
41	YBR073W	RDH54	2.4
42	YPR031W	NTO1	2.4
43	YOR233W	KIN4	2.4
44	YLR313C	SPH1	2.4
45	YKL045W	PRI2	2.4
46	YPR135W	CTF4	2.4
47	YLR032W	RAD5	2.4
48	YBL052C	SAS3	2.4
49	YOR195W	SLK19	2.4
50	YLL022C	HIF1	2.4
51	YBL034C	STU1	2.4
52	YLR386W	VAC14	2.4
53	YOL090W	MSH2	2.4
54	YGR152C	RSR1	2.4
55	YBL035C	POL12	2.4
56	YML093W	UTP14	2.4
57	YDR356W	SPC110	2.4
58	YNL082W	PMS1	2.4
59	YDR052C	DBF4	2.4
60	YDL101C	DUN1	2.4
61	YCL061C	MRC1	2.4
62	YJL098W	SAP185	2.4
63	YGR188C	BUB1	2.4
64	YNL072W	RNH201	2.4
65	YJR031C	GEA1	2.4
66	YDR113C	PDS1	2.3
67	YHR149C	SKG6	2.3
68	YER070W	RNR1	2.3
69	YNL126W	SPC98	2.3
70	YNL206C	RTT106	2.3
71	YFR031C	SMC2	2.3
72	YJL187C	SWE1	2.3
73	YOR074C	CDC21	2.3
74	YMR048W	CSM3	2.3
75	YHR120W	MSH1	2.3
76	YER118C	SHO1	2.3
77	YHR172W	SPC97	2.3
78	YML080W	DUS1	2.3
79	YML069W	POB3	2.3
80	YPL255W	BBP1	2.3
81	YFR038W	IRC5	2.3
82	YMR128W	ECM16	2.3
83	YLR015W	BRE2	2.3
84	YGR140W	CBF2	2.3
85	YPL153C	RAD53	2.3
86	YDR440W	DOT1	2.3
87	YDR325W	YCG1	2.3
88	YOL034W	SMC5	2.3
89	YDR499W	LCD1	2.3
90	YNL299W	TRF5	2.3
91	YLR381W	CTF3	2.3
92	YAR007C	RFA1	2.3
