SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: TEM1

Rank	Gene	Common	Score
Q	YML064C	TEM1	
1	YMR032W	HOF1	2.5
2	YPR119W	CLB2	2.4
3	YER031C	YPT31	2.4
4	YMR001C	CDC5	2.4
5	YAR018C	KIN3	2.4
6	YLR210W	CLB4	2.3
7	YKL130C	SHE2	2.3
8	YOR025W	HST3	2.3
9	YMR183C	SSO2	2.3
10	YNL290W	RFC3	2.2
11	YPL255W	BBP1	2.2
12	YDR146C	SWI5	2.2
13	YML052W	SUR7	2.2
14	YJR092W	BUD4	2.2
15	YBR164C	ARL1	2.2
16	YLR018C	POM34	2.2
17	YGL106W	MLC1	2.2
18	YLR353W	BUD8	2.2
19	YGL116W	CDC20	2.2
20	YML105C	SEC65	2.2
21	YFL017C	GNA1	2.2
22	YHR013C	ARD1	2.2
23	YNL246W	VPS75	2.2
24	YBL031W	SHE1	2.2
25	YPL227C	ALG5	2.2
26	YPR034W	ARP7	2.2
27	YML027W	YOX1	2.2
28	YOR281C	PLP2	2.2
29	YDL003W	MCD1	2.2
30	YFR028C	CDC14	2.1
31	YKR026C	GCN3	2.1
32	YDL226C	GCS1	2.1
33	YBR252W	DUT1	2.1
34	YGR108W	CLB1	2.1
35	YER016W	BIM1	2.1
36	YPR060C	ARO7	2.1
37	YNR009W	NRM1	2.1
38	YML124C	TUB3	2.1
39	YOL070C	NBA1	2.1
40	YHR201C	PPX1	2.1
41	YLR212C	TUB4	2.1
42	YCL063W	VAC17	2.1
43	YML060W	OGG1	2.1
44	YMR236W	TAF9	2.1
45	YJL125C	GCD14	2.1
46	YLR011W	LOT6	2.1
47	YLR190W	MMR1	2.1
48	YDR451C	YHP1	2.1
49	YGL021W	ALK1	2.1
50	YGR078C	PAC10	2.1
51	YNL153C	GIM3	2.1
52	YJR112W	NNF1	2.1
53	YLR181C	VTA1	2.1
54	YOR216C	RUD3	2.1
55	YNL188W	KAR1	2.1
56	YML062C	MFT1	2.1
57	YOR094W	ARF3	2.1
58	YOR315W	SFG1	2.1
59	YML015C	TAF11	2.1
60	YGR092W	DBF2	2.1
61	YNL090W	RHO2	2.1
62	YJR069C	HAM1	2.1
63	YGL061C	DUO1	2.1
64	YHR152W	SPO12	2.1
65	YPL243W	SRP68	2.1
66	YIL131C	FKH1	2.1
67	YPL209C	IPL1	2.1
68	YPR131C	NAT3	2.1
69	YBR130C	SHE3	2.1
70	YBR092C	PHO3	2.1
71	YML080W	DUS1	2.1
72	YBL057C	PTH2	2.1
73	YLR376C	PSY3	2.1
74	YDL082W	RPL13A	2.1
75	YOR106W	VAM3	2.1
76	YLR146C	SPE4	2.1
77	YJL124C	LSM1	2.0
78	YMR240C	CUS1	2.0
79	YML107C	PML39	2.0
80	YPL263C	KEL3	2.0
81	YGR084C	MRP13	2.0
82	YGR120C	COG2	2.0
83	YHR061C	GIC1	2.0
84	YFL037W	TUB2	2.0
85	YML106W	URA5	2.0
86	YLR192C	HCR1	2.0
87	YPL079W	RPL21B	2.0
88	YLR418C	CDC73	2.0
89	YGR152C	RSR1	2.0
90	YER118C	SHO1	2.0
91	YOR241W	MET7	2.0
92	YML094W	GIM5	2.0
93	YML061C	PIF1	2.0
94	YOL097C	WRS1	2.0
95	YLR060W	FRS1	2.0
96	YML113W	DAT1	2.0
97	YDL101C	DUN1	2.0
98	YMR263W	SAP30	2.0
99	YJR043C	POL32	2.0
100	YGR173W	RBG2	2.0
101	YPL050C	MNN9	2.0
102	YBR038W	CHS2	2.0
103	YJL179W	PFD1	2.0
104	YDL103C	QRI1	2.0
105	YGR195W	SKI6	2.0
106	YOR340C	RPA43	2.0
107	YHR062C	RPP1	2.0
108	YJR144W	MGM101	2.0
109	YPR105C	COG4	2.0
110	YMR270C	RRN9	2.0
111	YMR146C	TIF34	2.0
112	YMR060C	SAM37	2.0
113	YPL124W	SPC29	2.0
114	YNL166C	BNI5	2.0
115	YML032C	RAD52	2.0
116	YGR158C	MTR3	2.0
117	YNL316C	PHA2	2.0
118	YPR070W	MED1	2.0
119	YMR123W	PKR1	2.0
120	YHR069C	RRP4	2.0
121	YML026C	RPS18B	2.0
122	YPL210C	SRP72	2.0
123	YPL246C	RBD2	2.0
124	YPL155C	KIP2	2.0
125	YJL192C	SOP4	2.0
126	YMR199W	CLN1	2.0
127	YLR154C	RNH203	2.0
128	YHR193C	EGD2	2.0
129	YBR254C	TRS20	2.0
130	YIR021W	MRS1	2.0
131	YIL016W	SNL1	2.0
132	YIL021W	RPB3	2.0
133	YDL179W	PCL9	2.0
134	YGL097W	SRM1	2.0
135	YJL183W	MNN11	2.0
136	YML021C	UNG1	2.0
137	YPL235W	RVB2	2.0
138	YOR038C	HIR2	2.0
139	YOR295W	UAF30	2.0
140	YGR119C	NUP57	2.0
141	YKL127W	PGM1	2.0
