SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: WAR1

Rank	Gene	Common	Score
Q	YML076C	WAR1	
1	YKL020C	SPT23	2.6
2	YJR090C	GRR1	2.5
3	YLR240W	VPS34	2.5
4	YAL051W	OAF1	2.5
5	YER040W	GLN3	2.5
6	YNL183C	NPR1	2.5
7	YOL025W	LAG2	2.4
8	YHR006W	STP2	2.4
9	YGL073W	HSF1	2.4
10	YOL089C	HAL9	2.4
11	YMR019W	STB4	2.4
12	YJL084C	ALY2	2.4
13	YPL188W	POS5	2.4
14	YMR037C	MSN2	2.3
15	YMR064W	AEP1	2.3
16	YDR208W	MSS4	2.3
17	YOR329C	SCD5	2.3
18	YOL063C	CRT10	2.3
19	YBL103C	RTG3	2.3
20	YMR288W	HSH155	2.3
21	YNR039C	ZRG17	2.3
22	YOR363C	PIP2	2.3
23	YER024W	YAT2	2.3
24	YJL047C	RTT101	2.3
25	YDR150W	NUM1	2.3
26	YPR111W	DBF20	2.3
27	YPR008W	HAA1	2.2
28	YDR034C	LYS14	2.2
29	YKR021W	ALY1	2.2
30	YLR071C	RGR1	2.2
31	YNL236W	SIN4	2.2
32	YOL138C	RTC1	2.2
33	YLR371W	ROM2	2.2
34	YLR206W	ENT2	2.2
35	YLR320W	MMS22	2.2
36	YGL066W	SGF73	2.2
37	YDR409W	SIZ1	2.2
38	YDR293C	SSD1	2.2
39	YIL130W	ASG1	2.2
40	YDL138W	RGT2	2.2
41	YKL010C	UFD4	2.2
42	YDR422C	SIP1	2.2
43	YDR463W	STP1	2.2
44	YOR023C	AHC1	2.2
45	YML099C	ARG81	2.2
46	YOR371C	GPB1	2.2
47	YJL071W	ARG2	2.2
48	YDR027C	VPS54	2.2
49	YOR043W	WHI2	2.2
50	YLR425W	TUS1	2.2
51	YKL034W	TUL1	2.2
52	YHR161C	YAP1801	2.2
53	YJL100W	LSB6	2.2
54	YOL051W	GAL11	2.2
55	YDL170W	UGA3	2.2
56	YJR130C	STR2	2.2
57	YNL042W	BOP3	2.2
58	YKL022C	CDC16	2.2
59	YNL091W	NST1	2.2
60	YML117W	NAB6	2.2
61	YER169W	RPH1	2.2
62	YJL056C	ZAP1	2.2
63	YLL019C	KNS1	2.2
64	YNL125C	ESBP6	2.2
65	YDR159W	SAC3	2.2
66	YMR313C	TGL3	2.2
67	YDR006C	SOK1	2.2
68	YKR101W	SIR1	2.2
69	YIL046W	MET30	2.2
70	YFR029W	PTR3	2.2
71	YNL298W	CLA4	2.2
72	YLL027W	ISA1	2.2
73	YNL103W	MET4	2.2
74	YGL248W	PDE1	2.1
75	YLR219W	MSC3	2.1
76	YLL029W	FRA1	2.1
77	YBR237W	PRP5	2.1
78	YPL089C	RLM1	2.1
79	YJL090C	DPB11	2.1
80	YPR122W	AXL1	2.1
81	YDR104C	SPO71	2.1
82	YLR373C	VID22	2.1
83	YGL180W	ATG1	2.1
84	YPL204W	HRR25	2.1
85	YOL100W	PKH2	2.1
86	YKR089C	TGL4	2.1
87	YER167W	BCK2	2.1
88	YMR275C	BUL1	2.1
89	YGL023C	PIB2	2.1
90	YIR023W	DAL81	2.1
91	YOR322C	LDB19	2.1
92	YIL036W	CST6	2.1
93	YJR089W	BIR1	2.1
94	YGR270W	YTA7	2.1
95	YPR049C	ATG11	2.1
96	YMR302C	YME2	2.1
97	YOR171C	LCB4	2.1
98	YGR097W	ASK10	2.1
99	YNL297C	MON2	2.1
100	YKR008W	RSC4	2.1
101	YLR247C	IRC20	2.1
102	YLR362W	STE11	2.1
103	YDL088C	ASM4	2.1
104	YKL015W	PUT3	2.1
105	YOR129C	AFI1	2.1
106	YBR270C	BIT2	2.1
107	YNL314W	DAL82	2.1
108	YKL038W	RGT1	2.1
109	YBL101C	ECM21	2.1
110	YJR127C	RSF2	2.1
111	YCR033W	SNT1	2.1
112	YKR064W	OAF3	2.1
113	YLL048C	YBT1	2.1
114	YER008C	SEC3	2.1
115	YLR189C	ATG26	2.1
116	YGL154C	LYS5	2.1
117	YER033C	ZRG8	2.1
118	YDR351W	SBE2	2.1
119	YOR172W	YRM1	2.1
120	YJL128C	PBS2	2.1
121	YDR228C	PCF11	2.1
122	YAR019C	CDC15	2.1
