SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: ARG81

Rank	Gene	Common	Score
Q	YML099C	ARG81	
1	YMR172W	HOT1	2.5
2	YNR011C	PRP2	2.4
3	YDL231C	BRE4	2.4
4	YML006C	GIS4	2.3
5	YML097C	VPS9	2.3
6	YMR288W	HSH155	2.2
7	YNL221C	POP1	2.2
8	YKR021W	ALY1	2.2
9	YML076C	WAR1	2.2
10	YML065W	ORC1	2.2
11	YMR019W	STB4	2.2
12	YKL022C	CDC16	2.2
13	YML103C	NUP188	2.2
14	YKL072W	STB6	2.2
15	YMR128W	ECM16	2.2
16	YOL138C	RTC1	2.2
17	YKL176C	LST4	2.2
18	YKR086W	PRP16	2.2
19	YPR085C	ASA1	2.2
20	YOL045W	PSK2	2.1
21	YKR063C	LAS1	2.1
22	YOR048C	RAT1	2.1
23	YMR176W	ECM5	2.1
24	YKL173W	SNU114	2.1
25	YLR117C	CLF1	2.1
26	YMR285C	NGL2	2.1
27	YOR337W	TEA1	2.1
28	YMR064W	AEP1	2.1
29	YPR169W	JIP5	2.1
30	YLR320W	MMS22	2.1
31	YGL092W	NUP145	2.1
32	YNL163C	RIA1	2.1
33	YDR206W	EBS1	2.1
34	YMR207C	HFA1	2.1
35	YMR218C	TRS130	2.1
36	YLR368W	MDM30	2.1
37	YJL098W	SAP185	2.1
38	YHL023C	NPR3	2.1
39	YLR086W	SMC4	2.1
40	YHL007C	STE20	2.1
41	YOL021C	DIS3	2.1
42	YLR384C	IKI3	2.1
43	YML104C	MDM1	2.1
44	YML111W	BUL2	2.1
45	YDR017C	KCS1	2.1
46	YLR336C	SGD1	2.1
47	YKL074C	MUD2	2.1
48	YPR048W	TAH18	2.1
49	YNR012W	URK1	2.1
50	YJR089W	BIR1	2.1
51	YBR237W	PRP5	2.1
52	YNL201C	PSY2	2.1
53	YMR153W	NUP53	2.1
54	YKR064W	OAF3	2.1
55	YLR014C	PPR1	2.1
56	YBR055C	PRP6	2.1
57	YKR082W	NUP133	2.1
58	YJL110C	GZF3	2.0
59	YDR082W	STN1	2.0
60	YJR090C	GRR1	2.0
61	YML049C	RSE1	2.0
62	YMR283C	RIT1	2.0
63	YNL023C	FAP1	2.0
64	YPR031W	NTO1	2.0
65	YLR096W	KIN2	2.0
66	YFL050C	ALR2	2.0
67	YGL144C	ROG1	2.0
68	YMR026C	PEX12	2.0
69	YBR102C	EXO84	2.0
70	YMR066W	SOV1	2.0
71	YER171W	RAD3	2.0
72	YMR061W	RNA14	2.0
73	YML109W	ZDS2	2.0
74	YJL197W	UBP12	2.0
75	YOR171C	LCB4	2.0
76	YHR150W	PEX28	2.0
77	YLR409C	UTP21	2.0
78	YOR371C	GPB1	2.0
79	YHR077C	NMD2	2.0
80	YAL019W	FUN30	2.0
81	YGR271W	SLH1	2.0
82	YPL151C	PRP46	2.0
83	YDR198C	RKM2	2.0
84	YPL126W	NAN1	2.0
85	YML098W	TAF13	2.0
86	YCR054C	CTR86	2.0
87	YKL015W	PUT3	2.0
88	YNL103W	MET4	2.0
89	YKR036C	CAF4	2.0
90	YMR227C	TAF7	2.0
91	YIR031C	DAL7	2.0
92	YMR240C	CUS1	2.0
93	YIL159W	BNR1	2.0
94	YKL068W	NUP100	2.0
95	YLL035W	GRC3	2.0
96	YOR207C	RET1	2.0
97	YBL061C	SKT5	2.0
98	YOR350C	MNE1	2.0
99	YML007W	YAP1	2.0
100	YNL123W	NMA111	2.0
101	YLR247C	IRC20	2.0
102	YNL076W	MKS1	2.0
103	YLR397C	AFG2	2.0
104	YBL014C	RRN6	2.0
105	YMR216C	SKY1	2.0
106	YLR277C	YSH1	2.0
107	YKR099W	BAS1	2.0
108	YKR024C	DBP7	2.0
109	YMR049C	ERB1	2.0
110	YLR015W	BRE2	2.0
111	YLR318W	EST2	2.0
112	YLL008W	DRS1	2.0
113	YLR138W	NHA1	2.0
114	YMR275C	BUL1	2.0
115	YLR071C	RGR1	2.0
116	YBL008W	HIR1	2.0
117	YOR206W	NOC2	2.0
118	YLL015W	BPT1	2.0
119	YER105C	NUP157	2.0
120	YOR370C	MRS6	2.0
121	YDR351W	SBE2	2.0
122	YKL014C	URB1	2.0
123	YBL079W	NUP170	2.0
124	YHR073W	OSH3	2.0
125	YDR419W	RAD30	2.0
126	YCR057C	PWP2	2.0
127	YFR002W	NIC96	2.0
128	YDR421W	ARO80	2.0
129	YJR140C	HIR3	2.0
130	YBL060W	YEL1	2.0
131	YMR080C	NAM7	2.0
132	YGR003W	CUL3	2.0
133	YHR186C	KOG1	2.0
134	YDR034C	LYS14	2.0
135	YJL039C	NUP192	2.0
136	YLR115W	CFT2	2.0
137	YBL103C	RTG3	2.0
138	YMR047C	NUP116	2.0
139	YLR207W	HRD3	2.0
140	YMR268C	PRP24	2.0
141	YMR129W	POM152	2.0
142	YHR120W	MSH1	2.0
143	YLR335W	NUP2	2.0
144	YKR028W	SAP190	2.0
145	YBR228W	SLX1	2.0
146	YPR070W	MED1	2.0
147	YMR042W	ARG80	2.0
148	YML114C	TAF8	2.0
149	YDR416W	SYF1	2.0
150	YJR132W	NMD5	2.0
151	YDR464W	SPP41	2.0
152	YKR050W	TRK2	2.0
153	YLL003W	SFI1	2.0
154	YLR129W	DIP2	2.0
155	YNL298W	CLA4	2.0
156	YKL078W	DHR2	2.0
157	YFL023W	BUD27	2.0
158	YHR119W	SET1	1.9
159	YGL203C	KEX1	1.9
160	YGL201C	MCM6	1.9
161	YIL047C	SYG1	1.9
162	YJL047C	RTT101	1.9
163	YFL002C	SPB4	1.9
164	YPL202C	AFT2	1.9
165	YLR114C	AVL9	1.9
166	YGR089W	NNF2	1.9
167	YDR291W	HRQ1	1.9
168	YNL041C	COG6	1.9
169	YIL130W	ASG1	1.9
170	YPL115C	BEM3	1.9
171	YDR104C	SPO71	1.9
172	YNR013C	PHO91	1.9
173	YML014W	TRM9	1.9
174	YGR200C	ELP2	1.9
175	YNR039C	ZRG17	1.9
176	YOR141C	ARP8	1.9
177	YPL258C	THI21	1.9
178	YER075C	PTP3	1.9
179	YML016C	PPZ1	1.9
180	YNR038W	DBP6	1.9
181	YNL256W	FOL1	1.9
182	YGL111W	NSA1	1.9
183	YOR274W	MOD5	1.9
184	YOL130W	ALR1	1.9
185	YJR110W	YMR1	1.9
186	YDR081C	PDC2	1.9
187	YER049W	TPA1	1.9
188	YDR407C	TRS120	1.9
189	YPL074W	YTA6	1.9
190	YJR130C	STR2	1.9
191	YNL254C	RTC4	1.9
192	YER114C	BOI2	1.9
193	YLR451W	LEU3	1.9
194	YFR031C	SMC2	1.9
195	YLR223C	IFH1	1.9
196	YLR263W	RED1	1.9
197	YOL078W	AVO1	1.9
198	YCR032W	BPH1	1.9
199	YLR362W	STE11	1.9
200	YNL124W	NAF1	1.9
201	YGL246C	RAI1	1.9
202	YNL054W	VAC7	1.9
203	YDL170W	UGA3	1.9
204	YAR014C	BUD14	1.9
205	YJL023C	PET130	1.9
206	YMR213W	CEF1	1.9
207	YOR043W	WHI2	1.9
208	YER176W	ECM32	1.9
209	YDR108W	TRS85	1.9
