SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: CLU1

Rank	Gene	Common	Score
Q	YMR012W	CLU1	
1	YJL080C	SCP160	3.6
2	YMR309C	NIP1	3.5
3	YGR162W	TIF4631	3.4
4	YBR121C	GRS1	3.4
5	YPL160W	CDC60	3.4
6	YNL121C	TOM70	3.4
7	YNL085W	MKT1	3.2
8	YBL076C	ILS1	3.2
9	YDL145C	COP1	3.2
10	YOR361C	PRT1	3.2
11	YOR335C	ALA1	3.2
12	YGR094W	VAS1	3.2
13	YAL035W	FUN12	3.1
14	YDL040C	NAT1	3.1
15	YOR168W	GLN4	3.1
16	YLR060W	FRS1	3.1
17	YGR264C	MES1	3.1
18	YDR023W	SES1	3.1
19	YDR194C	MSS116	3.1
20	YGL195W	GCN1	3.1
21	YMR125W	STO1	3.0
22	YBR079C	RPG1	3.0
23	YPL226W	NEW1	3.0
24	YOR151C	RPB2	3.0
25	YDR170C	SEC7	3.0
26	YER025W	GCD11	3.0
27	YOR341W	RPA190	3.0
28	YPR074C	TKL1	3.0
29	YNL287W	SEC21	2.9
30	YNL016W	PUB1	2.9
31	YJR143C	PMT4	2.9
32	YMR308C	PSE1	2.9
33	YLR069C	MEF1	2.9
34	YGL092W	NUP145	2.9
35	YOR354C	MSC6	2.9
36	YBR084W	MIS1	2.9
37	YOL097C	WRS1	2.9
38	YMR146C	TIF34	2.9
39	YER165W	PAB1	2.8
40	YDL084W	SUB2	2.8
41	YKR082W	NUP133	2.8
42	YKL054C	DEF1	2.8
43	YOR198C	BFR1	2.8
44	YOR046C	DBP5	2.8
45	YGR090W	UTP22	2.8
46	YER043C	SAH1	2.8
47	YPL063W	TIM50	2.8
48	YHR064C	SSZ1	2.8
49	YGL245W	GUS1	2.8
50	YMR229C	RRP5	2.8
51	YLR384C	IKI3	2.8
52	YDR395W	SXM1	2.8
53	YPR163C	TIF3	2.8
54	YDR091C	RLI1	2.8
55	YNL132W	KRE33	2.8
56	YPR033C	HTS1	2.8
57	YMR089C	YTA12	2.8
58	YBR189W	RPS9B	2.8
59	YKL081W	TEF4	2.8
60	YMR212C	EFR3	2.8
61	YJR101W	RSM26	2.8
62	YPR041W	TIF5	2.8
63	YHR019C	DED81	2.8
