SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: NPL6

Rank	Gene	Common	Score
Q	YMR091C	NPL6	
1	YMR033W	ARP9	3.0
2	YPL243W	SRP68	2.9
3	YLR321C	SFH1	2.8
4	YDL074C	BRE1	2.8
5	YML105C	SEC65	2.8
6	YPL210C	SRP72	2.8
7	YMR061W	RNA14	2.7
8	YML069W	POB3	2.7
9	YJL111W	CCT7	2.7
10	YNL188W	KAR1	2.7
11	YOL115W	PAP2	2.7
12	YOR281C	PLP2	2.7
13	YOR216C	RUD3	2.7
14	YDR292C	SRP101	2.7
15	YNL166C	BNI5	2.7
16	YPL235W	RVB2	2.7
17	YIL021W	RPB3	2.7
18	YOR241W	MET7	2.6
19	YMR212C	EFR3	2.6
20	YGR119C	NUP57	2.6
21	YPL255W	BBP1	2.6
22	YOR168W	GLN4	2.6
23	YOR046C	DBP5	2.6
24	YPL050C	MNN9	2.6
25	YGL172W	NUP49	2.6
26	YJL124C	LSM1	2.6
27	YDR280W	RRP45	2.6
28	YLR285W	NNT1	2.6
29	YOR232W	MGE1	2.6
30	YOL149W	DCP1	2.6
31	YNL154C	YCK2	2.6
32	YBR130C	SHE3	2.6
33	YKR008W	RSC4	2.6
34	YKL154W	SRP102	2.6
35	YMR125W	STO1	2.6
36	YML065W	ORC1	2.5
37	YJL008C	CCT8	2.5
38	YPL254W	HFI1	2.5
39	YJR064W	CCT5	2.5
40	YML093W	UTP14	2.5
41	YGR083C	GCD2	2.5
42	YGL244W	RTF1	2.5
43	YIL035C	CKA1	2.5
44	YJR068W	RFC2	2.5
45	YDL226C	GCS1	2.5
46	YKL172W	EBP2	2.5
47	YLR192C	HCR1	2.5
48	YMR044W	IOC4	2.5
49	YMR093W	UTP15	2.5
50	YMR270C	RRN9	2.5
51	YER112W	LSM4	2.5
52	YLR314C	CDC3	2.5
53	YOR276W	CAF20	2.5
54	YHR013C	ARD1	2.5
55	YMR235C	RNA1	2.5
56	YNL151C	RPC31	2.5
57	YPR118W	MRI1	2.5
58	YHR201C	PPX1	2.5
59	YGL097W	SRM1	2.5
60	YML077W	BET5	2.5
61	YDR190C	RVB1	2.5
62	YDR245W	MNN10	2.5
63	YLR276C	DBP9	2.5
64	YOR115C	TRS33	2.5
65	YEL018W	EAF5	2.5
66	YNL059C	ARP5	2.5
67	YMR153W	NUP53	2.5
68	YNL153C	GIM3	2.5
69	YMR005W	TAF4	2.5
70	YNL001W	DOM34	2.5
71	YNL121C	TOM70	2.5
72	YML097C	VPS9	2.5
73	YDL003W	MCD1	2.5
74	YLR022C	SDO1	2.5
75	YER148W	SPT15	2.5
76	YOL097C	WRS1	2.4
77	YLR033W	RSC58	2.4
78	YFR037C	RSC8	2.4
79	YOR206W	NOC2	2.4
80	YLL036C	PRP19	2.4
81	YKL021C	MAK11	2.4
82	YLR182W	SWI6	2.4
83	YPR060C	ARO7	2.4
84	YNL290W	RFC3	2.4
85	YMR146C	TIF34	2.4
86	YML046W	PRP39	2.4
87	YIR004W	DJP1	2.4
88	YGR116W	SPT6	2.4
89	YOR217W	RFC1	2.4
90	YOR239W	ABP140	2.4
91	YPR056W	TFB4	2.4
92	YPR051W	MAK3	2.4
93	YDR172W	SUP35	2.4
94	YDL040C	NAT1	2.4
95	YML062C	MFT1	2.4
96	YLR335W	NUP2	2.4
97	YOR361C	PRT1	2.4
98	YFR002W	NIC96	2.4
99	YMR285C	NGL2	2.4
100	YMR001C	CDC5	2.4
101	YJR007W	SUI2	2.4
102	YGL099W	LSG1	2.4
103	YDR152W	GIR2	2.4
104	YCR035C	RRP43	2.4
105	YDR429C	TIF35	2.4
106	YEL055C	POL5	2.4
107	YGL213C	SKI8	2.4
108	YNL292W	PUS4	2.4
109	YNL110C	NOP15	2.4
110	YNR051C	BRE5	2.4
111	YPL237W	SUI3	2.4
112	YJR042W	NUP85	2.4
113	YPR034W	ARP7	2.4
114	YKL122C	SRP21	2.4
115	YOR143C	THI80	2.4
116	YDR023W	SES1	2.4
117	YDL166C	FAP7	2.4
118	YFR009W	GCN20	2.4
119	YDR496C	PUF6	2.4
120	YOR340C	RPA43	2.4
121	YER016W	BIM1	2.4
122	YDR120C	TRM1	2.4
123	YOR151C	RPB2	2.4
124	YPL227C	ALG5	2.4
125	YKR026C	GCN3	2.4
126	YDR412W	RRP17	2.4
127	YOL094C	RFC4	2.4
128	YJR032W	CPR7	2.4
129	YAL035W	FUN12	2.4
130	YKL179C	COY1	2.4
131	YMR183C	SSO2	2.4
132	YLR319C	BUD6	2.4
133	YJR069C	HAM1	2.4
134	YLR262C	YPT6	2.4
135	YML074C	FPR3	2.3
136	YGR081C	SLX9	2.3
137	YGL232W	TAN1	2.3
138	YPL086C	ELP3	2.3
139	YJR043C	POL32	2.3
140	YLR221C	RSA3	2.3
141	YLR277C	YSH1	2.3
142	YBR171W	SEC66	2.3
143	YDR449C	UTP6	2.3
144	YCL031C	RRP7	2.3
145	YNL308C	KRI1	2.3
146	YDR087C	RRP1	2.3
147	YOR212W	STE4	2.3
148	YJL183W	MNN11	2.3
149	YHL013C	OTU2	2.3
150	YPR041W	TIF5	2.3
151	YMR032W	HOF1	2.3
152	YPL129W	TAF14	2.3
153	YJL081C	ARP4	2.3
154	YBR155W	CNS1	2.3
155	YIL118W	RHO3	2.3
156	YBR154C	RPB5	2.3
157	YOL139C	CDC33	2.3
158	YHR144C	DCD1	2.3
159	YBR288C	APM3	2.3
160	YPR025C	CCL1	2.3
161	YOL093W	TRM10	2.3
162	YDL064W	UBC9	2.3
163	YKL009W	MRT4	2.3
164	YLR060W	FRS1	2.3
165	YPL178W	CBC2	2.3
166	YDL225W	SHS1	2.3
167	YDR211W	GCD6	2.3
168	YNL085W	MKT1	2.3
169	YBR164C	ARL1	2.3
170	YPL160W	CDC60	2.3
171	YJL145W	SFH5	2.3
172	YPL105C	SYH1	2.3
173	YDR194C	MSS116	2.3
174	YJL014W	CCT3	2.3
175	YPL043W	NOP4	2.3
176	YPR137W	RRP9	2.3
177	YPL208W	RKM1	2.3
178	YPR110C	RPC40	2.3
179	YMR131C	RRB1	2.3
180	YMR309C	NIP1	2.3
181	YGL070C	RPB9	2.3
182	YCL011C	GBP2	2.3
183	YGR162W	TIF4631	2.3
184	YNL330C	RPD3	2.3
185	YGR264C	MES1	2.3
186	YJL148W	RPA34	2.3
187	YNL087W	TCB2	2.3
188	YOL056W	GPM3	2.3
189	YFR013W	IOC3	2.3
190	YMR214W	SCJ1	2.3
191	YKR081C	RPF2	2.3
192	YBR198C	TAF5	2.3
193	YDL189W	RBS1	2.3
194	YPR088C	SRP54	2.3
195	YLR222C	UTP13	2.3
196	YDR212W	TCP1	2.3
197	YDL084W	SUB2	2.3
198	YBL052C	SAS3	2.3
199	YOR061W	CKA2	2.3
200	YHR063C	PAN5	2.3
201	YMR277W	FCP1	2.3
202	YDR303C	RSC3	2.3
203	YPL211W	NIP7	2.3
204	YJL168C	SET2	2.3
205	YPR072W	NOT5	2.3
206	YGR185C	TYS1	2.3
207	YGR229C	SMI1	2.3
208	YDL001W	RMD1	2.3
209	YPR048W	TAH18	2.3
210	YNL175C	NOP13	2.3
211	YGR208W	SER2	2.3
212	YGR187C	HGH1	2.3
213	YHR196W	UTP9	2.3
214	YNL316C	PHA2	2.3
215	YLR083C	EMP70	2.3
216	YLR309C	IMH1	2.3
217	YOR243C	PUS7	2.3
218	YML021C	UNG1	2.3
219	YLR435W	TSR2	2.3
220	YPR139C	LOA1	2.3
221	YNR054C	ESF2	2.3
222	YDR189W	SLY1	2.3
223	YOR254C	SEC63	2.3
224	YDR361C	BCP1	2.3
225	YEL022W	GEA2	2.3
226	YFL004W	VTC2	2.3
227	YOR209C	NPT1	2.3
228	YNL272C	SEC2	2.3
229	YKL114C	APN1	2.3
230	YNL216W	RAP1	2.3
231	YLR215C	CDC123	2.3
232	YLR175W	CBF5	2.3
233	YML080W	DUS1	2.3
234	YDR346C	SVF1	2.2
235	YMR240C	CUS1	2.2
236	YNL084C	END3	2.2
237	YOL123W	HRP1	2.2
238	YNL113W	RPC19	2.2
239	YGR276C	RNH70	2.2
240	YPL146C	NOP53	2.2
241	YLR449W	FPR4	2.2
242	YPR112C	MRD1	2.2
243	YPR163C	TIF3	2.2
244	YNL225C	CNM67	2.2
245	YOR106W	VAM3	2.2
246	YOL080C	REX4	2.2
247	YOR123C	LEO1	2.2
248	YKL068W	NUP100	2.2
249	YJL002C	OST1	2.2
250	YML060W	OGG1	2.2
251	YOL077C	BRX1	2.2
252	YJL087C	TRL1	2.2
253	YGL105W	ARC1	2.2
254	YKL081W	TEF4	2.2
255	YJL104W	PAM16	2.2
256	YNR052C	POP2	2.2
257	YNL002C	RLP7	2.2
258	YMR229C	RRP5	2.2
259	YGR074W	SMD1	2.2
260	YMR078C	CTF18	2.2
261	YDR165W	TRM82	2.2
262	YNL189W	SRP1	2.2
263	YER107C	GLE2	2.2
264	YLR020C	YEH2	2.2
265	YLL008W	DRS1	2.2
266	YMR047C	NUP116	2.2
267	YCL059C	KRR1	2.2
268	YGR078C	PAC10	2.2
269	YKR083C	DAD2	2.2
270	YML031W	NDC1	2.2
271	YAR008W	SEN34	2.2
272	YJL061W	NUP82	2.2
273	YNL287W	SEC21	2.2
274	YNL206C	RTT106	2.2
275	YGR152C	RSR1	2.2
276	YER122C	GLO3	2.2
277	YAR002W	NUP60	2.2
278	YOR304W	ISW2	2.2
279	YNL061W	NOP2	2.2
280	YFL001W	DEG1	2.2
281	YHR068W	DYS1	2.2
282	YHR154W	RTT107	2.2
283	YIL038C	NOT3	2.2
284	YDL143W	CCT4	2.2
285	YBR143C	SUP45	2.2
286	YPL263C	KEL3	2.2
287	YBR121C	GRS1	2.2
288	YJL080C	SCP160	2.2
289	YOR038C	HIR2	2.2
290	YOR260W	GCD1	2.2
291	YDR145W	TAF12	2.2
292	YOL076W	MDM20	2.2
293	YBR079C	RPG1	2.2
294	YGL238W	CSE1	2.2
295	YLL011W	SOF1	2.2
296	YBL024W	NCL1	2.2
297	YDR440W	DOT1	2.2
298	YPR119W	CLB2	2.2
299	YKR063C	LAS1	2.2
300	YBR245C	ISW1	2.2
301	YDL092W	SRP14	2.2
302	YAL025C	MAK16	2.2
303	YMR233W	TRI1	2.2
304	YDR002W	YRB1	2.2
305	YDR395W	SXM1	2.2
306	YGR271C-A	EFG1	2.2
307	YOR323C	PRO2	2.2
308	YMR239C	RNT1	2.2
309	YAL019W	FUN30	2.2
310	YBL032W	HEK2	2.2
311	YGL078C	DBP3	2.2
312	YDL116W	NUP84	2.2
313	YGL246C	RAI1	2.2
314	YPL217C	BMS1	2.2
315	YLR292C	SEC72	2.2
316	YFR001W	LOC1	2.2
317	YLR195C	NMT1	2.2
318	YOR039W	CKB2	2.2
319	YER048C	CAJ1	2.2
320	YLR183C	TOS4	2.2
321	YLR429W	CRN1	2.2
322	YNL038W	GPI15	2.2
323	YGL050W	TYW3	2.2
324	YOR078W	BUD21	2.2
325	YPR187W	RPO26	2.2
326	YHR065C	RRP3	2.2
327	YDL103C	QRI1	2.2
328	YML006C	GIS4	2.2
329	YKR084C	HBS1	2.2
330	YJL203W	PRP21	2.2
331	YMR014W	BUD22	2.2
332	YGR200C	ELP2	2.2
333	YJR002W	MPP10	2.2
334	YMR179W	SPT21	2.2
335	YLR181C	VTA1	2.2
336	YGL147C	RPL9A	2.2
337	YGR005C	TFG2	2.2
338	YOR198C	BFR1	2.2
339	YMR080C	NAM7	2.2
340	YGR145W	ENP2	2.2
341	YOR048C	RAT1	2.2
342	YPR018W	RLF2	2.2
343	YNL256W	FOL1	2.2
344	YHR052W	CIC1	2.2
345	YMR012W	CLU1	2.2
346	YKR025W	RPC37	2.2
347	YKL099C	UTP11	2.2
348	YLR197W	NOP56	2.2
349	YLR272C	YCS4	2.2
350	YFL008W	SMC1	2.2
351	YJL050W	MTR4	2.2
352	YBR057C	MUM2	2.2
353	YGL112C	TAF6	2.2
354	YGR072W	UPF3	2.2
355	YNL229C	URE2	2.2
356	YOL049W	GSH2	2.2
357	YNL090W	RHO2	2.2
358	YDL111C	RRP42	2.2
359	YJL011C	RPC17	2.2
360	YDR083W	RRP8	2.2
361	YPR105C	COG4	2.2
362	YLR200W	YKE2	2.2
363	YPL228W	CET1	2.2
364	YPR143W	RRP15	2.2
365	YBR279W	PAF1	2.2
366	YML015C	TAF11	2.2
367	YMR260C	TIF11	2.2
368	YEL015W	EDC3	2.2
369	YNL248C	RPA49	2.2
370	YKR082W	NUP133	2.2
371	YOL041C	NOP12	2.2
372	YER007C-A	TMA20	2.2
373	YDR372C	VPS74	2.2
374	YOR335C	ALA1	2.2
375	YGL020C	GET1	2.2
376	YBR049C	REB1	2.2
377	YML094W	GIM5	2.2
378	YKL054C	DEF1	2.2
379	YLR052W	IES3	2.2
380	YPL139C	UME1	2.2
381	YDL051W	LHP1	2.2
382	YKR060W	UTP30	2.2
383	YFR028C	CDC14	2.2
384	YGL049C	TIF4632	2.2
385	YBR142W	MAK5	2.2
386	YGL201C	MCM6	2.2
387	YER031C	YPT31	2.2
388	YDR257C	RKM4	2.2
389	YOR165W	SEY1	2.2
390	YMR129W	POM152	2.2
391	YML019W	OST6	2.2
392	YPR133C	SPN1	2.2
393	YLR441C	RPS1A	2.2
394	YLR015W	BRE2	2.2
395	YML124C	TUB3	2.2
396	YPR057W	BRR1	2.2
397	YDL153C	SAS10	2.2
398	YLR129W	DIP2	2.2
399	YCL054W	SPB1	2.2
400	YML010W	SPT5	2.2
401	YNL182C	IPI3	2.2
402	YML001W	YPT7	2.2
403	YGR158C	MTR3	2.2
404	YHR121W	LSM12	2.2
405	YEL051W	VMA8	2.2
406	YHR170W	NMD3	2.2
407	YLR418C	CDC73	2.2
408	YJR092W	BUD4	2.2
409	YMR243C	ZRC1	2.2
410	YJL074C	SMC3	2.2
411	YJR070C	LIA1	2.2
412	YJL197W	UBP12	2.2
413	YML111W	BUL2	2.2
414	YJL010C	NOP9	2.2
415	YJR076C	CDC11	2.2
416	YJL179W	PFD1	2.2
417	YOR320C	GNT1	2.2
418	YFL048C	EMP47	2.2
419	YDL148C	NOP14	2.2
420	YGR173W	RBG2	2.1
421	YMR126C	DLT1	2.1
422	YIL126W	STH1	2.1
423	YLR003C	CMS1	2.1
424	YDR117C	TMA64	2.1
425	YNL041C	COG6	2.1
426	YNR023W	SNF12	2.1
427	YMR028W	TAP42	2.1
428	YER171W	RAD3	2.1
429	YLR409C	UTP21	2.1
430	YLR103C	CDC45	2.1
431	YKL073W	LHS1	2.1
432	YLL021W	SPA2	2.1
433	YJR144W	MGM101	2.1
434	YDL201W	TRM8	2.1
435	YKR092C	SRP40	2.1
436	YOR310C	NOP58	2.1
437	YLR186W	EMG1	2.1
438	YNL075W	IMP4	2.1
439	YKL113C	RAD27	2.1
440	YKL205W	LOS1	2.1
441	YNL291C	MID1	2.1
442	YPR129W	SCD6	2.1
443	YCL050C	APA1	2.1
444	YJL176C	SWI3	2.1
445	YDR167W	TAF10	2.1
446	YDL155W	CLB3	2.1
447	YLR208W	SEC13	2.1
448	YCR052W	RSC6	2.1
449	YLR291C	GCD7	2.1
450	YPL273W	SAM4	2.1
451	YGR285C	ZUO1	2.1
452	YAL007C	ERP2	2.1
453	YHR005C	GPA1	2.1
454	YKL112W	ABF1	2.1
455	YLR405W	DUS4	2.1
456	YKR028W	SAP190	2.1
457	YLR185W	RPL37A	2.1
458	YOR101W	RAS1	2.1
459	YIL110W	HPM1	2.1
460	YJR134C	SGM1	2.1
461	YOR017W	PET127	2.1
462	YIL128W	MET18	2.1
463	YHR085W	IPI1	2.1
464	YNL096C	RPS7B	2.1
465	YDR060W	MAK21	2.1
466	YPR029C	APL4	2.1
467	YHR167W	THP2	2.1
468	YNL232W	CSL4	2.1
469	YOR261C	RPN8	2.1
470	YML038C	YMD8	2.1
471	YIL078W	THS1	2.1
472	YDR324C	UTP4	2.1
473	YOR259C	RPT4	2.1
474	YDR331W	GPI8	2.1
475	YOL006C	TOP1	2.1
476	YPL266W	DIM1	2.1
477	YDR110W	FOB1	2.1
478	YOR194C	TOA1	2.1
479	YNL118C	DCP2	2.1
480	YER151C	UBP3	2.1
481	YDR176W	NGG1	2.1
482	YOL061W	PRS5	2.1
483	YPL051W	ARL3	2.1
484	YER161C	SPT2	2.1
485	YML127W	RSC9	2.1
486	YDR365C	ESF1	2.1
487	YOR144C	ELG1	2.1
488	YDL031W	DBP10	2.1
489	YBR265W	TSC10	2.1
490	YNR024W	MPP6	2.1
491	YDL014W	NOP1	2.1
492	YPL195W	APL5	2.1
493	YOR047C	STD1	2.1
494	YIL016W	SNL1	2.1
495	YIL149C	MLP2	2.1
496	YMR194W	RPL36A	2.1
497	YBR060C	ORC2	2.1
498	YPR190C	RPC82	2.1
499	YNL088W	TOP2	2.1
500	YOR094W	ARF3	2.1
501	YMR177W	MMT1	2.1
502	YLR045C	STU2	2.1
503	YMR283C	RIT1	2.1
504	YBL091C	MAP2	2.1
505	YBR087W	RFC5	2.1
506	YLR051C	FCF2	2.1
507	YNL212W	VID27	2.1
508	YER029C	SMB1	2.1
509	YJL140W	RPB4	2.1
510	YFL022C	FRS2	2.1
511	YGR195W	SKI6	2.1
512	YNL016W	PUB1	2.1
513	YOR043W	WHI2	2.1
514	YOL124C	TRM11	2.1
515	YMR060C	SAM37	2.1
516	YOL145C	CTR9	2.1
517	YKR085C	MRPL20	2.1
518	YIR008C	PRI1	2.1
519	YBR095C	RXT2	2.1
520	YPR169W	JIP5	2.1
521	YMR301C	ATM1	2.1
522	YFL047W	RGD2	2.1
523	YPL081W	RPS9A	2.1
524	YOL021C	DIS3	2.1
525	YBR129C	OPY1	2.1
526	YDL112W	TRM3	2.1
527	YEL040W	UTR2	2.1
528	YKL120W	OAC1	2.1
529	YJR014W	TMA22	2.1
530	YLR383W	SMC6	2.1
531	YMR300C	ADE4	2.1
532	YPR141C	KAR3	2.1
533	YLR293C	GSP1	2.1
534	YPL115C	BEM3	2.1
535	YKL080W	VMA5	2.1
536	YPL126W	NAN1	2.1
537	YMR215W	GAS3	2.1
538	YML008C	ERG6	2.1
539	YOL090W	MSH2	2.1
540	YPR171W	BSP1	2.1
541	YBR123C	TFC1	2.1
542	YGR103W	NOP7	2.1
543	YKL028W	TFA1	2.1
544	YNL062C	GCD10	2.1
545	YHR089C	GAR1	2.1
546	YBR002C	RER2	2.1
547	YDR071C	PAA1	2.1
548	YER002W	NOP16	2.1
549	YLL004W	ORC3	2.1
550	YLR274W	MCM5	2.1
551	YNL233W	BNI4	2.1
552	YOR095C	RKI1	2.1
553	YML073C	RPL6A	2.1
554	YHR107C	CDC12	2.1
555	YLR367W	RPS22B	2.1
556	YDR414C	ERD1	2.1
