SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PGM2

Rank	Gene	Common	Score
Q	YMR105C	PGM2	
1	YMR250W	GAD1	5.9
2	YML100W	TSL1	5.8
3	YLR258W	GSY2	5.7
4	YGR248W	SOL4	5.6
5	YCL040W	GLK1	5.6
6	YPR160W	GPH1	5.5
7	YEL011W	GLC3	5.5
8	YML128C	MSC1	5.4
9	YOR173W	DCS2	5.4
10	YLR178C	TFS1	5.3
11	YGR008C	STF2	5.3
12	YGL037C	PNC1	5.3
13	YDR074W	TPS2	5.1
14	YFR053C	HXK1	5.0
15	YBR126C	TPS1	5.0
16	YPR184W	GDB1	5.0
17	YHR087W	RTC3	5.0
18	YHR104W	GRE3	4.9
19	YKL035W	UGP1	4.9
20	YOR120W	GCY1	4.7
21	YGR088W	CTT1	4.7
22	YIL136W	OM45	4.7
23	YDR516C	EMI2	4.6
24	YDL204W	RTN2	4.6
25	YNL274C	GOR1	4.6
26	YLR251W	SYM1	4.6
27	YJL164C	TPK1	4.5
28	YOR374W	ALD4	4.5
29	YDR001C	NTH1	4.5
30	YLR270W	DCS1	4.5
31	YBR169C	SSE2	4.5
32	YPL186C	UIP4	4.4
33	YER053C	PIC2	4.4
34	YDR171W	HSP42	4.4
35	YBR214W	SDS24	4.4
36	YFR015C	GSY1	4.4
37	YPL004C	LSP1	4.4
38	YLL026W	HSP104	4.3
39	YMR169C	ALD3	4.3
40	YKL150W	MCR1	4.3
41	YOL052C-A	DDR2	4.2
42	YJL161W	FMP33	4.2
43	YPL203W	TPK2	4.2
44	YGR194C	XKS1	4.2
45	YBL064C	PRX1	4.2
46	YPL123C	RNY1	4.2
47	YHR016C	YSC84	4.2
48	YDL110C	TMA17	4.2
49	YAL061W	BDH2	4.1
50	YMR110C	HFD1	4.1
51	YNL160W	YGP1	4.1
52	YPL230W	USV1	4.1
53	YEL039C	CYC7	4.1
54	YBR149W	ARA1	4.1
55	YBR230C	OM14	4.1
56	YDR070C	FMP16	4.1
57	YER054C	GIP2	4.1
58	YDL022W	GPD1	4.1
59	YOL082W	ATG19	4.1
60	YFL014W	HSP12	4.0
61	YGR019W	UGA1	4.0
62	YHL021C	AIM17	4.0
63	YDR358W	GGA1	4.0
64	YKL142W	MRP8	4.0
65	YKL103C	APE1	4.0
66	YBR072W	HSP26	4.0
67	YDL021W	GPM2	3.9
68	YER150W	SPI1	3.9
69	YKR076W	ECM4	3.9
70	YLR327C	TMA10	3.9
71	YMR261C	TPS3	3.9
72	YNR001C	CIT1	3.9
73	YOR347C	PYK2	3.8
74	YIL101C	XBP1	3.8
75	YDR258C	HSP78	3.8
76	YPR026W	ATH1	3.8
77	YNL015W	PBI2	3.8
78	YAL060W	BDH1	3.8
79	YOR185C	GSP2	3.8
80	YOL084W	PHM7	3.8
81	YEL060C	PRB1	3.8
82	YKL091C	YKL091C	3.8
83	YPL154C	PEP4	3.8
84	YBR052C	RFS1	3.8
85	YBR183W	YPC1	3.8
86	YPL087W	YDC1	3.8
87	YDR513W	GRX2	3.7
88	YKR058W	GLG1	3.7
89	YIL155C	GUT2	3.7
90	YGL156W	AMS1	3.7
91	YKL085W	MDH1	3.7
92	YML054C	CYB2	3.7
93	YOR178C	GAC1	3.7
94	YJL141C	YAK1	3.7
95	YJL066C	MPM1	3.7
96	YGL121C	GPG1	3.7
97	YMR170C	ALD2	3.7
98	YOR161C	PNS1	3.7
99	YIR038C	GTT1	3.7
100	YIL124W	AYR1	3.6
101	YDL222C	FMP45	3.6
102	YML070W	DAK1	3.6
103	YDL169C	UGX2	3.6
104	YMR173W	DDR48	3.6
105	YDR453C	TSA2	3.6
106	YGL006W	PMC1	3.6
107	YML120C	NDI1	3.6
108	YIL111W	COX5B	3.6
109	YPR149W	NCE102	3.6
110	YML004C	GLO1	3.6
111	YGL104C	VPS73	3.5
112	YJR059W	PTK2	3.5
113	YMR297W	PRC1	3.5
114	YGR043C	NQM1	3.5
115	YIL107C	PFK26	3.5
116	YBR280C	SAF1	3.5
117	YDL130W-A	STF1	3.5
118	YGR070W	ROM1	3.5
119	YMR139W	RIM11	3.5
120	YDR085C	AFR1	3.5
121	YBR006W	UGA2	3.5
122	YBR026C	ETR1	3.5
123	YCL035C	GRX1	3.5
124	YAL008W	FUN14	3.5
125	YGL227W	VID30	3.5
126	YMR251W-A	HOR7	3.5
127	YHR096C	HXT5	3.5
128	YIL033C	BCY1	3.5
129	YDR178W	SDH4	3.5
130	YOR386W	PHR1	3.5
131	YOR227W	HER1	3.5
132	YKR067W	GPT2	3.4
133	YBL078C	ATG8	3.4
134	YDR148C	KGD2	3.4
135	YKL193C	SDS22	3.4
136	YKL093W	MBR1	3.4
137	YDR032C	PST2	3.4
138	YGR256W	GND2	3.4
139	YCR091W	KIN82	3.4
140	YKR049C	FMP46	3.4
141	YIL113W	SDP1	3.4
142	YKL148C	SDH1	3.4
143	YGR244C	LSC2	3.4
144	YBR117C	TKL2	3.4
145	YBR001C	NTH2	3.4
146	YJL057C	IKS1	3.4
147	YER103W	SSA4	3.4
148	YMR081C	ISF1	3.4
149	YKL026C	GPX1	3.4
150	YAL034C	FUN19	3.4
151	YJL155C	FBP26	3.4
152	YMR174C	PAI3	3.4
153	YMR152W	YIM1	3.4
154	YBL015W	ACH1	3.3
155	YLL039C	UBI4	3.3
156	YLR080W	EMP46	3.3
157	YAL017W	PSK1	3.3
158	YDR204W	COQ4	3.3
159	YDL223C	HBT1	3.3
160	YOR317W	FAA1	3.3
161	YIL097W	FYV10	3.3
162	YER035W	EDC2	3.3
163	YKL067W	YNK1	3.3
164	YBR046C	ZTA1	3.3
165	YHR171W	ATG7	3.3
166	YEL012W	UBC8	3.3
167	YMR271C	URA10	3.3
168	YNR002C	ATO2	3.3
169	YHR008C	SOD2	3.3
170	YIR039C	YPS6	3.3
171	YDR096W	GIS1	3.3
172	YOL071W	SDH5	3.3
173	YBR269C	SDH8	3.3
174	YNL173C	MDG1	3.3
175	YNL237W	YTP1	3.2
176	YBR132C	AGP2	3.2
177	YLL041C	SDH2	3.2
178	YIL017C	VID28	3.2
179	YER037W	PHM8	3.2
180	YKL065C	YET1	3.2
181	YDR436W	PPZ2	3.2
182	YDR231C	COX20	3.2
183	YDR533C	HSP31	3.2
184	YPL222W	FMP40	3.2
185	YCR030C	SYP1	3.2
186	YDR343C	HXT6	3.2
187	YGR255C	COQ6	3.2
188	YOR230W	WTM1	3.2
189	YFL030W	AGX1	3.2
190	YML042W	CAT2	3.2
191	YPR030W	CSR2	3.1
192	YCR004C	YCP4	3.1
193	YMR304W	UBP15	3.1
194	YER067W	RGI1	3.1
195	YPL196W	OXR1	3.1
196	YFR014C	CMK1	3.1
197	YDR122W	KIN1	3.1
198	YLL019C	KNS1	3.1
199	YDL072C	YET3	3.1
200	YNL200C	NNR1	3.1
201	YIL045W	PIG2	3.1
202	YPL003W	ULA1	3.1
203	YML057W	CMP2	3.1
204	YCL052C	PBN1	3.1
205	YOR054C	VHS3	3.1
206	YGR086C	PIL1	3.1
207	YJL042W	MHP1	3.1
208	YLR201C	COQ9	3.1
209	YPL054W	LEE1	3.0
210	YDL085W	NDE2	3.0
211	YMR104C	YPK2	3.0
212	YLR151C	PCD1	3.0
213	YKL121W	DGR2	3.0
214	YBR024W	SCO2	3.0
215	YMR196W	YMR196W	3.0
216	YDR342C	HXT7	3.0
217	YDR003W	RCR2	3.0
218	YOL096C	COQ3	3.0
219	YFR017C	IGD1	3.0
220	YDR272W	GLO2	3.0
221	YGL208W	SIP2	3.0
222	YIL125W	KGD1	3.0
223	YOR273C	TPO4	3.0
224	YJL048C	UBX6	3.0
225	YAL028W	FRT2	3.0
226	YCR011C	ADP1	3.0
227	YGL248W	PDE1	3.0
