SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SPG4

Rank	Gene	Common	Score
Q	YMR107W	SPG4	
1	YHR096C	HXT5	4.5
2	YDR070C	FMP16	4.4
3	YGR043C	NQM1	4.4
4	YMR175W	SIP18	4.3
5	YPL223C	GRE1	4.0
6	YGR236C	SPG1	4.0
7	YDL085W	NDE2	4.0
8	YMR174C	PAI3	3.9
9	YPL186C	UIP4	3.9
10	YLR327C	TMA10	3.9
11	YML042W	CAT2	3.8
12	YIL136W	OM45	3.8
13	YML128C	MSC1	3.8
14	YBR072W	HSP26	3.8
15	YNR002C	ATO2	3.8
16	YAL054C	ACS1	3.8
17	YOL084W	PHM7	3.7
18	YOL052C-A	DDR2	3.7
19	YDL223C	HBT1	3.7
20	YKL026C	GPX1	3.7
21	YDL169C	UGX2	3.7
22	YOR173W	DCS2	3.7
23	YDL204W	RTN2	3.7
24	YBR117C	TKL2	3.7
25	YFL014W	HSP12	3.7
26	YKL217W	JEN1	3.6
27	YKR049C	FMP46	3.6
28	YDL222C	FMP45	3.6
29	YBL049W	MOH1	3.6
30	YGL121C	GPG1	3.6
31	YGR256W	GND2	3.5
32	YKR009C	FOX2	3.5
33	YIL160C	POT1	3.5
34	YCR010C	ADY2	3.5
35	YPR151C	SUE1	3.5
36	YMR169C	ALD3	3.5
37	YOR120W	GCY1	3.5
38	YKL093W	MBR1	3.5
39	YBL078C	ATG8	3.5
40	YBR230C	OM14	3.5
41	YFL030W	AGX1	3.4
42	YGR243W	MPC3	3.4
43	YLR174W	IDP2	3.4
44	YPL222W	FMP40	3.4
45	YML054C	CYB2	3.4
46	YKR076W	ECM4	3.4
47	YOR100C	CRC1	3.4
48	YHR139C	SPS100	3.4
49	YNL009W	IDP3	3.4
50	YBL075C	SSA3	3.4
51	YDR059C	UBC5	3.4
52	YGL156W	AMS1	3.4
53	YIL101C	XBP1	3.3
54	YLR178C	TFS1	3.3
55	YOR031W	CRS5	3.3
56	YGR248W	SOL4	3.3
57	YMR191W	SPG5	3.3
58	YDL110C	TMA17	3.3
59	YER054C	GIP2	3.3
60	YPL230W	USV1	3.3
61	YBR169C	SSE2	3.3
62	YNL202W	SPS19	3.3
63	YPR030W	CSR2	3.3
64	YAL061W	BDH2	3.3
65	YMR271C	URA10	3.3
66	YMR110C	HFD1	3.3
67	YPR026W	ATH1	3.3
68	YBL064C	PRX1	3.3
69	YPR001W	CIT3	3.3
70	YOR374W	ALD4	3.3
71	YGR088W	CTT1	3.3
72	YLR267W	BOP2	3.3
73	YMR250W	GAD1	3.2
74	YPL054W	LEE1	3.2
75	YGR008C	STF2	3.2
76	YBR269C	SDH8	3.2
77	YBR280C	SAF1	3.2
78	YNL093W	YPT53	3.2
79	YIR038C	GTT1	3.2
80	YIL107C	PFK26	3.2
81	YER150W	SPI1	3.2
82	YIL155C	GUT2	3.2
83	YJL161W	FMP33	3.1
84	YMR081C	ISF1	3.1
85	YGL205W	POX1	3.1
86	YAL034C	FUN19	3.1
87	YHR160C	PEX18	3.1
88	YLR142W	PUT1	3.1
89	YEL060C	PRB1	3.1
90	YER024W	YAT2	3.1
91	YJL155C	FBP26	3.1
92	YPR184W	GDB1	3.1
93	YLR080W	EMP46	3.1
94	YJL089W	SIP4	3.1
95	YDR256C	CTA1	3.1
96	YDR171W	HSP42	3.1
97	YKL142W	MRP8	3.1
98	YHR087W	RTC3	3.1
99	YPL123C	RNY1	3.0
100	YAL062W	GDH3	3.0
101	YLR284C	ECI1	3.0
102	YDL234C	GYP7	3.0
103	YPL147W	PXA1	3.0
104	YOR134W	BAG7	3.0
105	YLR270W	DCS1	3.0
106	YDL024C	DIA3	3.0
107	YDR085C	AFR1	3.0
108	YNL117W	MLS1	3.0
109	YER096W	SHC1	3.0
110	YEL011W	GLC3	3.0
111	YNL014W	HEF3	3.0
112	YBR214W	SDS24	3.0
113	YNL015W	PBI2	3.0
114	YMR280C	CAT8	3.0
