SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: LDO16

Rank	Gene	Common	Score
Q	YMR148W	LDO16	
1	YLR356W	ATG33	2.3
2	YBR230C	OM14	2.3
3	YLR178C	TFS1	2.2
4	YLL023C	POM33	2.2
5	YIR038C	GTT1	2.1
6	YML128C	MSC1	2.1
7	YMR250W	GAD1	2.1
8	YDL046W	NPC2	2.1
9	YDR059C	UBC5	2.1
10	YIR037W	HYR1	2.1
11	YGR248W	SOL4	2.1
12	YMR181C	YMR181C	2.1
13	YPL154C	PEP4	2.1
14	YPL004C	LSP1	2.0
15	YPL087W	YDC1	2.0
16	YOL083W	ATG34	2.0
17	YBL064C	PRX1	2.0
18	YNL274C	GOR1	2.0
19	YIL136W	OM45	2.0
20	YFL030W	AGX1	2.0
21	YKR049C	FMP46	2.0
22	YDR178W	SDH4	2.0
23	YDR070C	FMP16	2.0
24	YDL110C	TMA17	2.0
25	YNL305C	BXI1	2.0
26	YIL087C	AIM19	2.0
27	YOR374W	ALD4	2.0
28	YOL052C-A	DDR2	2.0
29	YOR173W	DCS2	2.0
30	YMR297W	PRC1	2.0
31	YPR026W	ATH1	2.0
32	YOR161C	PNS1	2.0
33	YBR241C	VVS1	2.0
34	YLR270W	DCS1	2.0
35	YHR008C	SOD2	2.0
36	YHR104W	GRE3	2.0
37	YJL066C	MPM1	2.0
38	YLR307W	CDA1	1.9
39	YBR126C	TPS1	1.9
40	YMR110C	HFD1	1.9
41	YJR096W	YJR096W	1.9
42	YOR142W	LSC1	1.9
43	YNL160W	YGP1	1.9
44	YBR139W	ATG42	1.9
45	YDL204W	RTN2	1.9
46	YKL035W	UGP1	1.9
47	YLR258W	GSY2	1.9
48	YPL230W	USV1	1.9
49	YLL041C	SDH2	1.9
50	YNL200C	NNR1	1.9
51	YBR269C	SDH8	1.9
52	YLR251W	SYM1	1.9
53	YPL186C	UIP4	1.9
54	YPR098C	TMH18	1.9
55	YBR169C	SSE2	1.9
56	YPR149W	NCE102	1.9
57	YOL129W	VPS68	1.9
58	YDR231C	COX20	1.9
59	YGR244C	LSC2	1.9
60	YMR090W	YMR090W	1.9
61	YML100W	TSL1	1.9
62	YPR184W	GDB1	1.9
