SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: YIM1

Rank	Gene	Common	Score
Q	YMR152W	YIM1	
1	YIL124W	AYR1	3.8
2	YMR110C	HFD1	3.6
3	YLR270W	DCS1	3.6
4	YPL004C	LSP1	3.6
5	YMR250W	GAD1	3.5
6	YPL203W	TPK2	3.5
7	YBR149W	ARA1	3.5
8	YHR104W	GRE3	3.4
9	YML004C	GLO1	3.4
10	YGL037C	PNC1	3.4
11	YPL123C	RNY1	3.4
12	YOL082W	ATG19	3.4
13	YMR105C	PGM2	3.4
14	YKR076W	ECM4	3.3
15	YDR513W	GRX2	3.3
16	YML128C	MSC1	3.3
17	YMR092C	AIP1	3.3
18	YBR026C	ETR1	3.3
19	YEL011W	GLC3	3.3
20	YOR173W	DCS2	3.3
21	YJL164C	TPK1	3.3
22	YGR019W	UGA1	3.3
23	YBL064C	PRX1	3.3
24	YDL204W	RTN2	3.3
25	YLR251W	SYM1	3.3
26	YOR120W	GCY1	3.3
27	YGR248W	SOL4	3.3
28	YNL274C	GOR1	3.3
29	YCR004C	YCP4	3.3
30	YIL136W	OM45	3.3
31	YKL142W	MRP8	3.3
32	YLR178C	TFS1	3.2
33	YBR126C	TPS1	3.2
34	YDR358W	GGA1	3.2
35	YHR016C	YSC84	3.2
36	YLR201C	COQ9	3.2
37	YLR258W	GSY2	3.2
38	YML100W	TSL1	3.2
39	YKL035W	UGP1	3.2
40	YIR038C	GTT1	3.2
41	YIL033C	BCY1	3.2
42	YCL040W	GLK1	3.2
43	YGR194C	XKS1	3.2
44	YPR184W	GDB1	3.2
45	YJL066C	MPM1	3.2
46	YKL150W	MCR1	3.2
47	YMR139W	RIM11	3.1
48	YPL154C	PEP4	3.1
49	YDL072C	YET3	3.1
50	YDL110C	TMA17	3.1
51	YDL078C	MDH3	3.1
52	YGR008C	STF2	3.1
53	YBR052C	RFS1	3.1
54	YOL071W	SDH5	3.1
55	YDR148C	KGD2	3.1
56	YKL193C	SDS22	3.1
57	YDR074W	TPS2	3.1
58	YIL034C	CAP2	3.1
59	YLL026W	HSP104	3.1
60	YCL052C	PBN1	3.1
61	YOR374W	ALD4	3.1
62	YML070W	DAK1	3.1
63	YDR516C	EMI2	3.1
64	YPL196W	OXR1	3.1
65	YBR269C	SDH8	3.0
66	YBR214W	SDS24	3.0
67	YPL186C	UIP4	3.0
68	YOR185C	GSP2	3.0
69	YGL104C	VPS73	3.0
70	YBR230C	OM14	3.0
71	YMR170C	ALD2	3.0
72	YIR037W	HYR1	3.0
73	YGR088W	CTT1	3.0
74	YDR032C	PST2	3.0
75	YOR042W	CUE5	3.0
76	YMR304W	UBP15	3.0
77	YKL065C	YET1	3.0
78	YML057W	CMP2	3.0
79	YJR125C	ENT3	3.0
80	YDR204W	COQ4	3.0
81	YOR142W	LSC1	3.0
82	YGR086C	PIL1	3.0
83	YMR261C	TPS3	3.0
84	YBR169C	SSE2	3.0
85	YDR059C	UBC5	3.0
86	YGR231C	PHB2	3.0
87	YBR280C	SAF1	3.0
88	YDR368W	YPR1	3.0
89	YAL008W	FUN14	3.0
90	YKL103C	APE1	3.0
91	YPR026W	ATH1	3.0
92	YBL058W	SHP1	3.0
93	YKR049C	FMP46	2.9
94	YHR087W	RTC3	2.9
95	YDR099W	BMH2	2.9
96	YDR330W	UBX5	2.9
97	YAL060W	BDH1	2.9
98	YDR001C	NTH1	2.9
99	YDL169C	UGX2	2.9
100	YJL161W	FMP33	2.9
101	YDR436W	PPZ2	2.9
102	YMR297W	PRC1	2.9
103	YJL001W	PRE3	2.9
104	YLR080W	EMP46	2.9
105	YBR046C	ZTA1	2.9
106	YFR049W	KGD4	2.9
107	YDL022W	GPD1	2.9
108	YNL173C	MDG1	2.9
109	YOL096C	COQ3	2.9
110	YPL087W	YDC1	2.9
111	YJR065C	ARP3	2.9
112	YBR006W	UGA2	2.9
113	YKL091C	YKL091C	2.9
114	YOL065C	INP54	2.9
115	YDR171W	HSP42	2.9
116	YJL141C	YAK1	2.9
117	YMR169C	ALD3	2.9
118	YKR058W	GLG1	2.9
119	YOL032W	OPI10	2.9
120	YFR024C-A	LSB3	2.9
121	YPL230W	USV1	2.9
122	YNL159C	ASI2	2.9
123	YNR035C	ARC35	2.9
124	YOL129W	VPS68	2.9
125	YIR036C	IRC24	2.8
126	YLR370C	ARC18	2.8
127	YPR149W	NCE102	2.8
128	YMR041C	ARA2	2.8
129	YFR003C	YPI1	2.8
130	YPR160W	GPH1	2.8
131	YFR050C	PRE4	2.8
132	YGR244C	LSC2	2.8
133	YPR155C	NCA2	2.8
134	YGL156W	AMS1	2.8
135	YER054C	GIP2	2.8
136	YKL007W	CAP1	2.8
137	YIL155C	GUT2	2.8
138	YDR202C	RAV2	2.8
139	YDR231C	COX20	2.8
140	YMR197C	VTI1	2.8
141	YNR007C	ATG3	2.8
142	YHR028C	DAP2	2.8
143	YIL107C	PFK26	2.8
144	YKL067W	YNK1	2.8
145	YEL060C	PRB1	2.8
146	YAL061W	BDH2	2.8
147	YHR075C	PPE1	2.8
148	YLL039C	UBI4	2.8
149	YLR203C	MSS51	2.8
150	YER143W	DDI1	2.8
151	YIL097W	FYV10	2.8
152	YNL239W	LAP3	2.8
153	YGR255C	COQ6	2.8
154	YDR070C	FMP16	2.8
155	YCR030C	SYP1	2.8
156	YJL155C	FBP26	2.8
157	YJR044C	VPS55	2.8
158	YDR003W	RCR2	2.8
159	YDL046W	NPC2	2.8
160	YDR258C	HSP78	2.8
161	YOR230W	WTM1	2.8
162	YJR019C	TES1	2.8
163	YGR132C	PHB1	2.8
164	YJL137C	GLG2	2.8
165	YKL013C	ARC19	2.8
166	YGL227W	VID30	2.8
167	YLL041C	SDH2	2.8
168	YIL101C	XBP1	2.8
169	YBR001C	NTH2	2.8
170	YCL035C	GRX1	2.8
