SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: MMT1

Rank	Gene	Common	Score
Q	YMR177W	MMT1	
1	YMR128W	ECM16	3.1
2	YPL086C	ELP3	2.9
3	YMR093W	UTP15	2.8
4	YPR048W	TAH18	2.8
5	YPL126W	NAN1	2.8
6	YPR060C	ARO7	2.8
7	YPR110C	RPC40	2.8
8	YKR026C	GCN3	2.8
9	YNL087W	TCB2	2.8
10	YMR239C	RNT1	2.7
11	YGR152C	RSR1	2.7
12	YLR276C	DBP9	2.7
13	YOR206W	NOC2	2.7
14	YPL043W	NOP4	2.7
15	YPL211W	NIP7	2.7
16	YNR012W	URK1	2.7
17	YPL012W	RRP12	2.7
18	YHR170W	NMD3	2.7
19	YNL175C	NOP13	2.7
20	YLR409C	UTP21	2.7
21	YOL097C	WRS1	2.7
22	YOR272W	YTM1	2.7
23	YOR340C	RPA43	2.7
24	YNL132W	KRE33	2.7
25	YGL099W	LSG1	2.7
26	YOR361C	PRT1	2.7
27	YGR128C	UTP8	2.7
28	YPR169W	JIP5	2.7
29	YNL061W	NOP2	2.7
30	YLR196W	PWP1	2.7
31	YKL021C	MAK11	2.7
32	YPR190C	RPC82	2.7
33	YLL011W	SOF1	2.7
34	YGR200C	ELP2	2.7
35	YCR057C	PWP2	2.7
36	YMR131C	RRB1	2.7
37	YPR137W	RRP9	2.6
38	YDR449C	UTP6	2.6
39	YPR112C	MRD1	2.6
40	YDL014W	NOP1	2.6
41	YLR221C	RSA3	2.6
42	YGR187C	HGH1	2.6
43	YOR243C	PUS7	2.6
44	YOR310C	NOP58	2.6
45	YLR397C	AFG2	2.6
46	YDR395W	SXM1	2.6
47	YGR145W	ENP2	2.6
48	YDR087C	RRP1	2.6
49	YOR004W	UTP23	2.6
50	YNL207W	RIO2	2.6
51	YDR496C	PUF6	2.6
52	YBR142W	MAK5	2.6
53	YHR068W	DYS1	2.6
54	YMR049C	ERB1	2.6
55	YJL050W	MTR4	2.6
56	YFL001W	DEG1	2.6
57	YNL023C	FAP1	2.6
58	YLR449W	FPR4	2.6
59	YLR129W	DIP2	2.6
60	YDR165W	TRM82	2.6
61	YHR196W	UTP9	2.6
62	YLR197W	NOP56	2.6
63	YLL008W	DRS1	2.6
64	YKR081C	RPF2	2.6
65	YLR175W	CBF5	2.6
66	YPL263C	KEL3	2.6
67	YLR222C	UTP13	2.6
68	YML060W	OGG1	2.6
69	YOR337W	TEA1	2.6
70	YOL080C	REX4	2.6
71	YNL182C	IPI3	2.6
72	YER049W	TPA1	2.6
73	YNL256W	FOL1	2.6
74	YDR324C	UTP4	2.6
75	YHR197W	RIX1	2.6
76	YML080W	DUS1	2.6
77	YMR146C	TIF34	2.6
78	YGR245C	SDA1	2.6
79	YKL110C	KTI12	2.6
80	YPR010C	RPA135	2.6
81	YMR308C	PSE1	2.6
82	YIR026C	YVH1	2.6
83	YOR046C	DBP5	2.6
84	YNL119W	NCS2	2.6
85	YPL217C	BMS1	2.6
86	YIR012W	SQT1	2.6
87	YLR020C	YEH2	2.6
88	YCL059C	KRR1	2.6
89	YDR398W	UTP5	2.6
90	YMR290C	HAS1	2.6
91	YNL248C	RPA49	2.6
92	YDR361C	BCP1	2.6
93	YNL151C	RPC31	2.6
94	YPR033C	HTS1	2.6
95	YDR190C	RVB1	2.6
96	YKL143W	LTV1	2.6
97	YDR184C	ATC1	2.5
98	YNL292W	PUS4	2.5
99	YHL011C	PRS3	2.5
100	YNL075W	IMP4	2.5
101	YGL120C	PRP43	2.5
102	YDL166C	FAP7	2.5
103	YLR060W	FRS1	2.5
104	YOR335C	ALA1	2.5
105	YMR014W	BUD22	2.5
106	YPL237W	SUI3	2.5
107	YHR052W	CIC1	2.5
108	YLL034C	RIX7	2.5
109	YLR372W	ELO3	2.5
110	YGL078C	DBP3	2.5
111	YFL002C	SPB4	2.5
112	YKL009W	MRT4	2.5
113	YLR009W	RLP24	2.5
114	YGR083C	GCD2	2.5
115	YLR083C	EMP70	2.5
116	YOR294W	RRS1	2.5
117	YER006W	NUG1	2.5
118	YDR300C	PRO1	2.5
119	YGL097W	SRM1	2.5
120	YML056C	IMD4	2.5
121	YBR061C	TRM7	2.5
122	YJR002W	MPP10	2.5
123	YPR041W	TIF5	2.5
124	YGR264C	MES1	2.5
125	YJL069C	UTP18	2.5
126	YML093W	UTP14	2.5
127	YGR103W	NOP7	2.5
128	YGL246C	RAI1	2.5
129	YDR060W	MAK21	2.5
130	YDR101C	ARX1	2.5
