SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: EFR3

Rank	Gene	Common	Score
Q	YMR212C	EFR3	
1	YMR125W	STO1	3.5
2	YMR309C	NIP1	3.4
3	YLR083C	EMP70	3.4
4	YOR361C	PRT1	3.3
5	YGR264C	MES1	3.3
6	YDR091C	RLI1	3.3
7	YMR308C	PSE1	3.3
8	YOL097C	WRS1	3.3
9	YDR324C	UTP4	3.3
10	YOR206W	NOC2	3.3
11	YMR129W	POM152	3.3
12	YOR243C	PUS7	3.2
13	YDR395W	SXM1	3.2
14	YLR129W	DIP2	3.2
15	YOR168W	GLN4	3.2
16	YMR033W	ARP9	3.2
17	YDR165W	TRM82	3.2
18	YNL085W	MKT1	3.1
19	YMR093W	UTP15	3.1
20	YDR245W	MNN10	3.1
21	YLR276C	DBP9	3.1
22	YNL256W	FOL1	3.1
23	YLR409C	UTP21	3.1
24	YLR222C	UTP13	3.1
25	YPL243W	SRP68	3.1
26	YNL248C	RPA49	3.1
27	YKL205W	LOS1	3.1
28	YPL183C	RTT10	3.1
29	YGR128C	UTP8	3.1
30	YGR200C	ELP2	3.1
31	YOL076W	MDM20	3.1
32	YBR143C	SUP45	3.1
33	YDR119W	VBA4	3.1
34	YNL132W	KRE33	3.1
35	YMR230W	RPS10B	3.1
36	YMR235C	RNA1	3.1
37	YPL050C	MNN9	3.1
38	YPL126W	NAN1	3.1
39	YGR090W	UTP22	3.1
40	YPR110C	RPC40	3.1
41	YPL160W	CDC60	3.1
42	YKL021C	MAK11	3.0
43	YPL226W	NEW1	3.0
44	YPR118W	MRI1	3.0
45	YJR132W	NMD5	3.0
46	YEL055C	POL5	3.0
47	YOR260W	GCD1	3.0
48	YDR496C	PUF6	3.0
49	YJL050W	MTR4	3.0
50	YKL014C	URB1	3.0
51	YPL211W	NIP7	3.0
52	YOR241W	MET7	3.0
53	YGL016W	KAP122	3.0
54	YGR123C	PPT1	3.0
55	YPL012W	RRP12	3.0
56	YOR254C	SEC63	3.0
57	YLR060W	FRS1	3.0
58	YLR397C	AFG2	3.0
59	YMR131C	RRB1	3.0
60	YPL086C	ELP3	3.0
61	YOR335C	ALA1	3.0
62	YNL182C	IPI3	3.0
63	YJR007W	SUI2	3.0
64	YDL167C	NRP1	3.0
65	YBL024W	NCL1	3.0
66	YDR211W	GCD6	3.0
67	YML031W	NDC1	3.0
68	YDR292C	SRP101	3.0
69	YJL109C	UTP10	3.0
70	YKR079C	TRZ1	3.0
71	YPR048W	TAH18	3.0
72	YJR143C	PMT4	3.0
73	YIL110W	HPM1	3.0
74	YMR243C	ZRC1	3.0
75	YML103C	NUP188	2.9
76	YHR052W	CIC1	2.9
77	YLR197W	NOP56	2.9
78	YPR041W	TIF5	2.9
79	YMR290C	HAS1	2.9
80	YOR046C	DBP5	2.9
81	YDR101C	ARX1	2.9
82	YLR384C	IKI3	2.9
83	YER025W	GCD11	2.9
84	YDL040C	NAT1	2.9
85	YKR082W	NUP133	2.9
86	YMR229C	RRP5	2.9
87	YMR080C	NAM7	2.9
88	YPL263C	KEL3	2.9
89	YGR162W	TIF4631	2.9
90	YKL009W	MRT4	2.9
91	YPL207W	TYW1	2.9
92	YBR142W	MAK5	2.9
93	YHR170W	NMD3	2.9
94	YLR291C	GCD7	2.9
95	YJR041C	URB2	2.9
96	YOL061W	PRS5	2.9
97	YNL175C	NOP13	2.9
98	YHR197W	RIX1	2.9
99	YJL183W	MNN11	2.9
100	YBR121C	GRS1	2.9
101	YFR009W	GCN20	2.9
102	YBL039C	URA7	2.9
103	YPR137W	RRP9	2.9
104	YCR057C	PWP2	2.9
105	YAL035W	FUN12	2.9
106	YOR095C	RKI1	2.9
107	YDR361C	BCP1	2.9
108	YOR341W	RPA190	2.9
109	YLL011W	SOF1	2.9
110	YBR084W	MIS1	2.9
111	YML046W	PRP39	2.9
112	YLL008W	DRS1	2.9
113	YML093W	UTP14	2.9
114	YNR012W	URK1	2.9
115	YJL010C	NOP9	2.9
116	YDR190C	RVB1	2.9
117	YHR196W	UTP9	2.9
118	YPR010C	RPA135	2.9
119	YML022W	APT1	2.9
120	YOR067C	ALG8	2.9
121	YGR187C	HGH1	2.9
122	YDL074C	BRE1	2.9
123	YLR002C	NOC3	2.8
124	YKL057C	NUP120	2.8
125	YNL292W	PUS4	2.8
126	YLR196W	PWP1	2.8
127	YJR031C	GEA1	2.8
128	YFR002W	NIC96	2.8
129	YPL043W	NOP4	2.8
130	YDL148C	NOP14	2.8
131	YMR146C	TIF34	2.8
132	YBR247C	ENP1	2.8
133	YLR285W	NNT1	2.8
134	YGR145W	ENP2	2.8
135	YDL112W	TRM3	2.8
136	YKR026C	GCN3	2.8
137	YNR038W	DBP6	2.8
138	YER049W	TPA1	2.8
139	YOR340C	RPA43	2.8
140	YDR023W	SES1	2.8
141	YDR346C	SVF1	2.8
142	YPL210C	SRP72	2.8
143	YMR217W	GUA1	2.8
144	YOR272W	YTM1	2.8
145	YPL093W	NOG1	2.8
146	YOR217W	RFC1	2.8
147	YGL246C	RAI1	2.8
148	YPR112C	MRD1	2.8
149	YFL002C	SPB4	2.8
150	YLR009W	RLP24	2.8
151	YOL021C	DIS3	2.8
152	YNL087W	TCB2	2.8
153	YDR087C	RRP1	2.8
154	YOR207C	RET1	2.8
155	YOL077C	BRX1	2.8
156	YGL120C	PRP43	2.8
157	YOR310C	NOP58	2.8
158	YDR144C	MKC7	2.8
159	YML019W	OST6	2.8
160	YGL195W	GCN1	2.8
161	YPL237W	SUI3	2.8
162	YDL116W	NUP84	2.8
163	YNL291C	MID1	2.8
