SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RNH1

Rank	Gene	Common	Score
Q	YMR234W	RNH1	
1	YMR270C	RRN9	2.4
2	YMR235C	RNA1	2.4
3	YMR233W	TRI1	2.3
4	YNL292W	PUS4	2.2
5	YER148W	SPT15	2.2
6	YPL254W	HFI1	2.2
7	YMR283C	RIT1	2.2
8	YPL146C	NOP53	2.1
9	YML065W	ORC1	2.1
10	YPL086C	ELP3	2.1
11	YMR260C	TIF11	2.1
12	YOR046C	DBP5	2.1
13	YMR127C	SAS2	2.1
14	YDR083W	RRP8	2.1
15	YPL244C	HUT1	2.1
16	YGL213C	SKI8	2.1
17	YMR212C	EFR3	2.1
18	YKR083C	DAD2	2.1
19	YBR155W	CNS1	2.1
20	YBR171W	SEC66	2.1
21	YDR021W	FAL1	2.1
22	YPL083C	SEN54	2.1
23	YKL021C	MAK11	2.1
24	YDR346C	SVF1	2.1
25	YPR060C	ARO7	2.1
26	YML105C	SEC65	2.1
27	YGR187C	HGH1	2.1
28	YPL210C	SRP72	2.1
29	YGL050W	TYW3	2.1
30	YOL080C	REX4	2.1
31	YOL115W	PAP2	2.1
32	YDR245W	MNN10	2.1
33	YPL227C	ALG5	2.1
34	YOR077W	RTS2	2.1
35	YNR012W	URK1	2.1
36	YLR276C	DBP9	2.1
37	YLR242C	ARV1	2.1
38	YDR414C	ERD1	2.1
39	YNL256W	FOL1	2.1
40	YPL243W	SRP68	2.1
41	YLR221C	RSA3	2.1
42	YOR148C	SPP2	2.1
43	YDR361C	BCP1	2.1
44	YNL001W	DOM34	2.1
45	YOR340C	RPA43	2.1
46	YPL122C	TFB2	2.1
47	YMR126C	DLT1	2.1
48	YOR143C	THI80	2.1
49	YPL043W	NOP4	2.1
50	YKR060W	UTP30	2.0
51	YMR033W	ARP9	2.0
52	YLR435W	TSR2	2.0
53	YDR412W	RRP17	2.0
54	YCR035C	RRP43	2.0
55	YMR227C	TAF7	2.0
56	YNL062C	GCD10	2.0
57	YKL114C	APN1	2.0
58	YMR078C	CTF18	2.0
59	YGR262C	BUD32	2.0
60	YMR239C	RNT1	2.0
61	YNL188W	KAR1	2.0
62	YPL064C	CWC27	2.0
63	YER180C	ISC10	2.0
64	YMR240C	CUS1	2.0
65	YOR206W	NOC2	2.0
66	YFL002C	SPB4	2.0
67	YPR169W	JIP5	2.0
68	YMR091C	NPL6	2.0
69	YML021C	UNG1	2.0
70	YML080W	DUS1	2.0
71	YOR101W	RAS1	2.0
72	YLR009W	RLP24	2.0
73	YGL246C	RAI1	2.0
74	YDL111C	RRP42	2.0
75	YML046W	PRP39	2.0
76	YHR013C	ARD1	2.0
77	YMR153W	NUP53	2.0
78	YKL108W	SLD2	2.0
79	YPL255W	BBP1	2.0
80	YGL243W	TAD1	2.0
81	YDR023W	SES1	2.0
82	YDR117C	TMA64	2.0
83	YGL099W	LSG1	2.0
84	YMR285C	NGL2	2.0
85	YGR072W	UPF3	2.0
86	YLR285W	NNT1	2.0
87	YGR123C	PPT1	2.0
88	YLR146C	SPE4	2.0
89	YNL151C	RPC31	2.0
90	YGL155W	CDC43	2.0
91	YLR078C	BOS1	2.0
92	YJL124C	LSM1	2.0
93	YOR295W	UAF30	2.0
94	YJL125C	GCD14	2.0
95	YDR087C	RRP1	2.0
96	YDL074C	BRE1	2.0
97	YGL232W	TAN1	2.0
98	YOR243C	PUS7	2.0
99	YPR139C	LOA1	2.0
100	YNR003C	RPC34	2.0
101	YNL075W	IMP4	2.0
102	YDL201W	TRM8	2.0
103	YGR163W	GTR2	2.0
104	YHR196W	UTP9	2.0
105	YOR115C	TRS33	2.0
106	YBR154C	RPB5	2.0
107	YCL031C	RRP7	2.0
108	YDR439W	LRS4	2.0
109	YGL111W	NSA1	2.0
110	YNL141W	AAH1	2.0
111	YMR290C	HAS1	2.0
112	YIL139C	REV7	2.0
113	YOR145C	PNO1	2.0
114	YML097C	VPS9	2.0
115	YDR449C	UTP6	2.0
116	YOR159C	SME1	2.0
117	YLR088W	GAA1	2.0
118	YNL119W	NCS2	2.0
119	YJR032W	CPR7	2.0
120	YGL112C	TAF6	2.0
121	YLR015W	BRE2	2.0
122	YDR280W	RRP45	2.0
123	YMR138W	CIN4	2.0
124	YJL087C	TRL1	2.0
125	YOL094C	RFC4	2.0
126	YBR002C	RER2	2.0
127	YML094W	GIM5	2.0
128	YCL059C	KRR1	2.0
129	YKR081C	RPF2	2.0
130	YMR223W	UBP8	2.0
131	YGR200C	ELP2	2.0
132	YJL050W	MTR4	2.0
133	YOL097C	WRS1	2.0
134	YOR239W	ABP140	2.0
135	YER161C	SPT2	2.0
136	YNL206C	RTT106	2.0
137	YPR041W	TIF5	2.0
138	YLR002C	NOC3	2.0
139	YPL235W	RVB2	2.0
140	YMR061W	RNA14	2.0
141	YOR260W	GCD1	2.0
142	YJR002W	MPP10	1.9
143	YIL085C	KTR7	1.9
144	YOR166C	SWT1	1.9
145	YOR213C	SAS5	1.9
146	YJR055W	HIT1	1.9
147	YGL171W	ROK1	1.9
148	YGR245C	SDA1	1.9
149	YAL059W	ECM1	1.9
150	YKL154W	SRP102	1.9
151	YHR081W	LRP1	1.9
152	YJL010C	NOP9	1.9
153	YMR268C	PRP24	1.9
154	YBR057C	MUM2	1.9
155	YMR277W	FCP1	1.9
156	YNL175C	NOP13	1.9
157	YLR292C	SEC72	1.9
158	YNL232W	CSL4	1.9
159	YML011C	RAD33	1.9
160	YNL248C	RPA49	1.9
161	YPR163C	TIF3	1.9
162	YLR457C	NBP1	1.9
163	YOR241W	MET7	1.9
164	YDR496C	PUF6	1.9
165	YLL011W	SOF1	1.9
166	YLR336C	SGD1	1.9
167	YLR409C	UTP21	1.9
168	YOR281C	PLP2	1.9
169	YLR412W	BER1	1.9
170	YGR120C	COG2	1.9
171	YOL149W	DCP1	1.9
172	YOL077C	BRX1	1.9
173	YDR152W	GIR2	1.9
174	YOR095C	RKI1	1.9
175	YPL129W	TAF14	1.9
176	YGL174W	BUD13	1.9
177	YOL102C	TPT1	1.9
178	YNL153C	GIM3	1.9
179	YPL050C	MNN9	1.9
180	YNL154C	YCK2	1.9
181	YGR145W	ENP2	1.9
182	YML077W	BET5	1.9
183	YOR168W	GLN4	1.9
184	YMR131C	RRB1	1.9
185	YLR022C	SDO1	1.9
186	YCR057C	PWP2	1.9
187	YBL052C	SAS3	1.9
188	YDR235W	PRP42	1.9
189	YLR052W	IES3	1.9
190	YPL126W	NAN1	1.9
191	YLR033W	RSC58	1.9
192	YNL110C	NOP15	1.9
193	YLR222C	UTP13	1.9
194	YJR134C	SGM1	1.9
195	YPL237W	SUI3	1.9
196	YDR227W	SIR4	1.9
197	YJR068W	RFC2	1.9
198	YOR210W	RPB10	1.9
199	YHR134W	WSS1	1.9
200	YML006C	GIS4	1.9
201	YOR004W	UTP23	1.9
202	YML060W	OGG1	1.9
203	YJL081C	ARP4	1.9
204	YOR254C	SEC63	1.9
205	YNL258C	DSL1	1.9
206	YGL147C	RPL9A	1.9
207	YMR097C	MTG1	1.9
208	YDR279W	RNH202	1.9
209	YOR078W	BUD21	1.9
210	YGR152C	RSR1	1.9
