SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RPL20A

Rank	Gene	Common	Score
Q	YMR242C	RPL20A	
1	YJL177W	RPL17B	6.1
2	YDR418W	RPL12B	6.0
3	YOR312C	RPL20B	5.8
4	YOR293W	RPS10A	5.8
5	YEL054C	RPL12A	5.8
6	YPL143W	RPL33A	5.7
7	YGL031C	RPL24A	5.7
8	YKL180W	RPL17A	5.7
9	YBR191W	RPL21A	5.6
10	YDL083C	RPS16B	5.6
11	YBR189W	RPS9B	5.6
12	YKL006W	RPL14A	5.6
13	YOL120C	RPL18A	5.6
14	YPL079W	RPL21B	5.6
15	YML073C	RPL6A	5.6
16	YDR471W	RPL27B	5.5
17	YML026C	RPS18B	5.5
18	YMR142C	RPL13B	5.5
19	YLR448W	RPL6B	5.5
20	YOL127W	RPL25	5.5
21	YLR344W	RPL26A	5.5
22	YBL027W	RPL19B	5.5
23	YML024W	RPS17A	5.5
24	YLR061W	RPL22A	5.5
25	YPR102C	RPL11A	5.5
26	YDL082W	RPL13A	5.4
27	YDR450W	RPS18A	5.4
28	YLR441C	RPS1A	5.4
29	YOR096W	RPS7A	5.4
30	YER131W	RPS26B	5.4
31	YIL052C	RPL34B	5.4
32	YBL072C	RPS8A	5.4
33	YGR148C	RPL24B	5.4
34	YML063W	RPS1B	5.4
35	YNL069C	RPL16B	5.4
36	YGR214W	RPS0A	5.4
37	YER074W	RPS24A	5.4
38	YHR010W	RPL27A	5.3
39	YNL302C	RPS19B	5.3
40	YJL190C	RPS22A	5.3
41	YBL087C	RPL23A	5.3
42	YOR234C	RPL33B	5.3
43	YKR094C	RPL40B	5.3
44	YDR025W	RPS11A	5.2
45	YGL147C	RPL9A	5.2
46	YIL133C	RPL16A	5.2
47	YER056C-A	RPL34A	5.2
48	YER102W	RPS8B	5.2
49	YLR048W	RPS0B	5.2
50	YNL178W	RPS3	5.2
51	YLR185W	RPL37A	5.2
52	YJR123W	RPS5	5.2
53	YGR034W	RPL26B	5.2
54	YMR143W	RPS16A	5.2
55	YLL045C	RPL8B	5.1
56	YLR388W	RPS29A	5.1
57	YOL040C	RPS15	5.1
58	YLR325C	RPL38	5.1
59	YBR048W	RPS11B	5.1
60	YJL136C	RPS21B	5.1
61	YGR085C	RPL11B	5.1
62	YLR333C	RPS25B	5.1
63	YJR145C	RPS4A	5.1
64	YKR057W	RPS21A	5.1
65	YDR064W	RPS13	5.0
66	YPR132W	RPS23B	5.0
67	YMR230W	RPS10B	5.0
68	YNL067W	RPL9B	5.0
69	YBL092W	RPL32	5.0
70	YFR031C-A	RPL2A	5.0
71	YGL123W	RPS2	5.0
72	YGR118W	RPS23A	5.0
73	YHL001W	RPL14B	5.0
74	YPR043W	RPL43A	5.0
75	YDL075W	RPL31A	4.9
76	YGL103W	RPL28	4.9
77	YER117W	RPL23B	4.9
78	YHL033C	RPL8A	4.9
79	YDL061C	RPS29B	4.9
80	YIL018W	RPL2B	4.9
81	YNL096C	RPS7B	4.9
82	YDR447C	RPS17B	4.9
83	YBR084C-A	RPL19A	4.9
84	YDR500C	RPL37B	4.9
85	YPL090C	RPS6A	4.9
86	YNL162W	RPL42A	4.9
87	YNL301C	RPL18B	4.9
88	YIL148W	RPL40A	4.8
89	YGL030W	RPL30	4.8
90	YIL069C	RPS24B	4.8
91	YGL189C	RPS26A	4.8
92	YMR194W	RPL36A	4.8
93	YGR027C	RPS25A	4.8
94	YOR369C	RPS12	4.8
95	YHR021C	RPS27B	4.8
96	YPL131W	RPL5	4.7
97	YCR031C	RPS14A	4.7
98	YOR167C	RPS28A	4.7
99	YLR029C	RPL15A	4.7
100	YLR367W	RPS22B	4.6
101	YOL121C	RPS19A	4.6
102	YLR406C	RPL31B	4.6
103	YLR264W	RPS28B	4.6
104	YDL081C	RPP1A	4.6
105	YPL220W	RPL1A	4.5
106	YDL191W	RPL35A	4.5
107	YGL076C	RPL7A	4.5
108	YHL015W	RPS20	4.5
109	YDL130W	RPP1B	4.5
110	YLR167W	RPS31	4.5
111	YHR203C	RPS4B	4.5
112	YPL081W	RPS9A	4.4
113	YOR063W	RPL3	4.4
114	YDR382W	RPP2B	4.4
115	YLR150W	STM1	4.4
116	YOL039W	RPP2A	4.4
117	YJL191W	RPS14B	4.4
118	YPL198W	RPL7B	4.3
119	YGL135W	RPL1B	4.3
120	YBR181C	RPS6B	4.3
121	YJR094W-A	RPL43B	4.3
122	YMR116C	ASC1	4.3
123	YHR141C	RPL42B	4.3
124	YKL156W	RPS27A	4.2
125	YNL209W	SSB2	4.2
126	YJL189W	RPL39	4.2
127	YLR340W	RPP0	4.2
128	YOR182C	RPS30B	4.2
129	YDR012W	RPL4B	4.1
130	YOL139C	CDC33	4.1
131	YLR075W	RPL10	4.1
132	YKL056C	TMA19	4.1
133	YDL136W	RPL35B	4.0
134	YMR260C	TIF11	4.0
135	YPL249C-A	RPL36B	3.9
136	YEL026W	SNU13	3.9
137	YPL037C	EGD1	3.9
138	YKL081W	TEF4	3.9
139	YLR249W	YEF3	3.8
140	YLR293C	GSP1	3.8
141	YOR276W	CAF20	3.8
142	YML106W	URA5	3.8
143	YLR197W	NOP56	3.8
144	YBR031W	RPL4A	3.8
145	YNL255C	GIS2	3.8
146	YFR032C-A	RPL29	3.8
147	YOL097C	WRS1	3.8
148	YDR023W	SES1	3.8
149	YDR454C	GUK1	3.7
150	YML022W	APT1	3.7
151	YPR110C	RPC40	3.7
152	YBR121C	GRS1	3.7
153	YMR217W	GUA1	3.7
154	YHR193C	EGD2	3.7
155	YOR310C	NOP58	3.7
156	YAL003W	EFB1	3.7
157	YPL211W	NIP7	3.6
158	YHR019C	DED81	3.6
159	YPR163C	TIF3	3.6
160	YLR372W	ELO3	3.6
161	YLR175W	CBF5	3.6
162	YHR089C	GAR1	3.6
163	YHR128W	FUR1	3.6
164	YMR121C	RPL15B	3.6
165	YOR224C	RPB8	3.6
166	YDL229W	SSB1	3.6
167	YOL077C	BRX1	3.6
168	YMR146C	TIF34	3.5
169	YER009W	NTF2	3.5
