SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: GTO3

Rank	Gene	Common	Score
Q	YMR251W	GTO3	
1	YLR136C	TIS11	2.7
2	YOR382W	FIT2	2.5
3	YHL040C	ARN1	2.5
4	YOR384W	FRE5	2.5
5	YNL237W	YTP1	2.5
6	YDL222C	FMP45	2.4
7	YOR383C	FIT3	2.4
8	YIL101C	XBP1	2.4
9	YDR270W	CCC2	2.4
10	YER175C	TMT1	2.4
11	YKR076W	ECM4	2.4
12	YOR173W	DCS2	2.4
13	YMR250W	GAD1	2.4
14	YHL047C	ARN2	2.3
15	YEL065W	SIT1	2.3
16	YIL099W	SGA1	2.3
17	YMR041C	ARA2	2.3
18	YBR047W	FMP23	2.3
19	YOL084W	PHM7	2.3
20	YOL158C	ENB1	2.3
21	YHR096C	HXT5	2.3
22	YPR151C	SUE1	2.3
23	YKR052C	MRS4	2.3
24	YGR043C	NQM1	2.3
25	YHL035C	VMR1	2.3
26	YIR038C	GTT1	2.3
27	YDL169C	UGX2	2.3
28	YHR139C	SPS100	2.3
29	YIL136W	OM45	2.2
30	YDR070C	FMP16	2.2
31	YLR267W	BOP2	2.2
32	YAL061W	BDH2	2.2
33	YDL085W	NDE2	2.2
34	YAR035W	YAT1	2.2
35	YNL093W	YPT53	2.2
36	YPL230W	USV1	2.2
37	YPL222W	FMP40	2.2
38	YGL045W	RIM8	2.2
39	YBR117C	TKL2	2.2
40	YMR174C	PAI3	2.2
41	YOL052C-A	DDR2	2.2
42	YOR100C	CRC1	2.2
43	YPL054W	LEE1	2.2
44	YLR205C	HMX1	2.2
45	YDL204W	RTN2	2.2
46	YDR003W	RCR2	2.2
47	YML128C	MSC1	2.2
48	YOR381W	FRE3	2.2
49	YML118W	NGL3	2.2
50	YDL024C	DIA3	2.2
51	YHR087W	RTC3	2.2
52	YLR327C	TMA10	2.2
53	YPL166W	ATG29	2.2
54	YLL019C	KNS1	2.2
55	YCL040W	GLK1	2.2
56	YGR288W	MAL13	2.2
57	YPL223C	GRE1	2.2
58	YBR214W	SDS24	2.2
59	YGR248W	SOL4	2.2
60	YPL119C	DBP1	2.2
61	YLR219W	MSC3	2.1
62	YGL156W	AMS1	2.1
63	YNR002C	ATO2	2.1
64	YJL214W	HXT8	2.1
65	YPL186C	UIP4	2.1
66	YDR223W	CRF1	2.1
67	YER179W	DMC1	2.1
68	YPL154C	PEP4	2.1
69	YMR104C	YPK2	2.1
70	YGR088W	CTT1	2.1
71	YPL017C	IRC15	2.1
72	YMR107W	SPG4	2.1
73	YKL217W	JEN1	2.1
74	YPL135W	ISU1	2.1
75	YBL078C	ATG8	2.1
76	YAL062W	GDH3	2.1
77	YEL060C	PRB1	2.1
78	YJL161W	FMP33	2.1
79	YPR030W	CSR2	2.1
80	YFL030W	AGX1	2.1
81	YLR178C	TFS1	2.1
82	YMR140W	SIP5	2.1
83	YPL004C	LSP1	2.1
84	YPR149W	NCE102	2.1
85	YHR160C	PEX18	2.1
86	YOR374W	ALD4	2.1
87	YOR316C	COT1	2.1
