SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: ROY1

Rank	Gene	Common	Score
Q	YMR258C	ROY1	
1	YNL159C	ASI2	2.1
2	YMR262W	YMR262W	2.1
3	YMR110C	HFD1	2.1
4	YMR139W	RIM11	2.0
5	YPL203W	TPK2	2.0
6	YJL053W	PEP8	2.0
7	YGR194C	XKS1	1.9
8	YDR479C	PEX29	1.9
9	YPL196W	OXR1	1.9
10	YJL164C	TPK1	1.9
11	YPL123C	RNY1	1.9
12	YPL087W	YDC1	1.9
13	YJL057C	IKS1	1.9
14	YBR280C	SAF1	1.9
15	YLR241W	CSC1	1.9
16	YHR171W	ATG7	1.9
17	YNL305C	BXI1	1.8
18	YHR104W	GRE3	1.8
19	YMR152W	YIM1	1.8
20	YLR270W	DCS1	1.8
21	YKL091C	YKL091C	1.8
22	YPL003W	ULA1	1.8
23	YBR204C	LDH1	1.8
24	YOL048C	RRT8	1.8
25	YDR358W	GGA1	1.8
26	YOL032W	OPI10	1.8
27	YOR132W	VPS17	1.8
28	YBR053C	YBR053C	1.8
29	YDR204W	COQ4	1.8
30	YBR214W	SDS24	1.8
31	YBR056W	MRX18	1.8
32	YIR042C	YIR042C	1.8
33	YLR251W	SYM1	1.8
34	YDR258C	HSP78	1.8
35	YDR516C	EMI2	1.8
36	YJL163C	YJL163C	1.8
37	YMR261C	TPS3	1.8
38	YNL045W	LAP2	1.8
39	YDR435C	PPM1	1.8
40	YOL013C	HRD1	1.8
41	YMR250W	GAD1	1.8
42	YHL021C	AIM17	1.8
43	YPL224C	MMT2	1.8
44	YMR170C	ALD2	1.8
45	YPR079W	MRL1	1.8
46	YMR105C	PGM2	1.7
47	YIL124W	AYR1	1.7
48	YNL011C	YNL011C	1.7
49	YKL193C	SDS22	1.7
50	YPL206C	PGC1	1.7
51	YBR126C	TPS1	1.7
52	YHR016C	YSC84	1.7
53	YLL026W	HSP104	1.7
54	YMR304W	UBP15	1.7
55	YGL037C	PNC1	1.7
56	YJL155C	FBP26	1.7
57	YDR436W	PPZ2	1.7
58	YNL200C	NNR1	1.7
59	YMR197C	VTI1	1.7
60	YOL082W	ATG19	1.7
61	YAL028W	FRT2	1.7
62	YDL146W	LDB17	1.7
63	YMR092C	AIP1	1.7
64	YML004C	GLO1	1.7
65	YPL247C	YPL247C	1.7
66	YJL161W	FMP33	1.7
67	YJL036W	SNX4	1.7
68	YLR178C	TFS1	1.7
69	YNL274C	GOR1	1.7
70	YGL104C	VPS73	1.7
71	YBR139W	ATG42	1.7
72	YEL011W	GLC3	1.7
73	YOL083W	ATG34	1.7
74	YLR345W	YLR345W	1.7
75	YKL126W	YPK1	1.7
76	YKR067W	GPT2	1.7
77	YER143W	DDI1	1.7
78	YGL047W	ALG13	1.7
79	YAR027W	UIP3	1.7
80	YOR292C	YOR292C	1.7
81	YHR161C	YAP1801	1.7
82	YKR003W	OSH6	1.7
83	YML100W	TSL1	1.7
84	YNL223W	ATG4	1.7
85	YPR026W	ATH1	1.7
86	YGR008C	STF2	1.7
87	YLR258W	GSY2	1.7
88	YCR073W-A	SOL2	1.7
89	YJR008W	MHO1	1.7
90	YBR269C	SDH8	1.7
91	YOR289W	YOR289W	1.7
92	YLL023C	POM33	1.7
93	YKR076W	ECM4	1.7
94	YGL161C	YIP5	1.7
95	YKL168C	KKQ8	1.7
96	YNR007C	ATG3	1.7
97	YLR034C	SMF3	1.7
98	YDR074W	TPS2	1.7
99	YOR285W	RDL1	1.7
100	YLR149C	GID11	1.7
101	YOL096C	COQ3	1.7
102	YHR198C	AIM18	1.7
103	YOR173W	DCS2	1.7
104	YOL129W	VPS68	1.7
105	YOR125C	CAT5	1.7
106	YGL227W	VID30	1.7
107	YAL060W	BDH1	1.7
108	YMR041C	ARA2	1.7
109	YBL064C	PRX1	1.7
110	YDR368W	YPR1	1.7
111	YKL034W	TUL1	1.7
112	YIL113W	SDP1	1.7
113	YKL142W	MRP8	1.7
114	YFR017C	IGD1	1.7
115	YDR003W	RCR2	1.6
116	YNR035C	ARC35	1.6
117	YHR004C	NEM1	1.6
118	YJR036C	HUL4	1.6
119	YKL100C	YPF1	1.6
120	YOR120W	GCY1	1.6
121	YMR053C	STB2	1.6
122	YDR513W	GRX2	1.6
123	YML070W	DAK1	1.6
124	YHR113W	APE4	1.6
125	YOR227W	HER1	1.6
126	YFR014C	CMK1	1.6
127	YOR329C	SCD5	1.6
128	YDL089W	NUR1	1.6
129	YCR011C	ADP1	1.6
130	YDL022W	GPD1	1.6
131	YLR201C	COQ9	1.6
132	YLR356W	ATG33	1.6
133	YPL236C	ENV7	1.6
134	YBR149W	ARA1	1.6
135	YMR119W	ASI1	1.6
136	YHR028C	DAP2	1.6
137	YDL021W	GPM2	1.6
138	YCL040W	GLK1	1.6
139	YIL017C	VID28	1.6
140	YOR059C	LPL1	1.6
141	YDL142C	CRD1	1.6
142	YHR075C	PPE1	1.6
143	YBL078C	ATG8	1.6
144	YJR044C	VPS55	1.6
145	YDR058C	TGL2	1.6
146	YKR058W	GLG1	1.6
147	YGR205W	TDA10	1.6
148	YBR052C	RFS1	1.6
149	YLR352W	LUG1	1.6
150	YOR155C	ISN1	1.6
151	YDL027C	MRX9	1.6
152	YIL136W	OM45	1.6
153	YOR054C	VHS3	1.6
154	YLR240W	VPS34	1.6
155	YDR251W	PAM1	1.6
156	YGR101W	PCP1	1.6
157	YML128C	MSC1	1.6
158	YIL033C	BCY1	1.6
159	YBR001C	NTH2	1.6
160	YLR327C	TMA10	1.6
161	YJR059W	PTK2	1.6
162	YGR127W	YGR127W	1.6
163	YKL103C	APE1	1.6
164	YDR503C	LPP1	1.6
165	YPL152W	RRD2	1.6
166	YMR271C	URA10	1.6
167	YOL117W	RRI2	1.6
168	YJL068C	YJL068C	1.6
169	YOR386W	PHR1	1.6
170	YDR171W	HSP42	1.6
171	YML057W	CMP2	1.6
172	YOR018W	ROD1	1.6
173	YOR124C	UBP2	1.6
174	YHR195W	NVJ1	1.6
175	YER066W	RRT13	1.6
176	YDL072C	YET3	1.6
177	YMR297W	PRC1	1.6
178	YGL059W	PKP2	1.6
179	YIL087C	AIM19	1.6
180	YMR169C	ALD3	1.6
181	YOL087C	DUF1	1.6
182	YDR001C	NTH1	1.6
183	YMR210W	MGL2	1.6
184	YKR011C	FPT1	1.6
185	YOR347C	PYK2	1.6
186	YGL250W	RMR1	1.6
187	YHR194W	MDM31	1.6
188	YIL097W	FYV10	1.6
189	YMR160W	CVM1	1.6
190	YJR096W	YJR096W	1.6
191	YOR052C	TMC1	1.6
192	YBR169C	SSE2	1.6
193	YMR278W	PRM15	1.6
194	YPL191C	MIY2	1.6
195	YGR111W	YGR111W	1.6
196	YPL031C	PHO85	1.6
197	YEL012W	UBC8	1.6
198	YGR248W	SOL4	1.6
199	YOR176W	HEM15	1.6
200	YCL052C	PBN1	1.6
201	YER067W	RGI1	1.6
202	YBR026C	ETR1	1.6
203	YPL004C	LSP1	1.6
204	YJL066C	MPM1	1.6
205	YOR070C	GYP1	1.6
206	YMR027W	YMR027W	1.6
207	YLR080W	EMP46	1.6
208	YOR137C	SIA1	1.6
209	YDR069C	DOA4	1.6
210	YNL003C	PET8	1.6
211	YCL035C	GRX1	1.6
212	YNL297C	MON2	1.6
213	YER119C	AVT6	1.6
214	YBR046C	ZTA1	1.6
215	YJL059W	YHC3	1.6
216	YOR035C	SHE4	1.6
217	YNL026W	SAM50	1.6
218	YCR030C	SYP1	1.6
219	YFR024C-A	LSB3	1.6
220	YPL166W	ATG29	1.6
221	YDL193W	NUS1	1.6
222	YAL017W	PSK1	1.6
223	YNR001C	CIT1	1.6
224	YJR125C	ENT3	1.6
225	YOR220W	RCN2	1.6
226	YGR019W	UGA1	1.6
227	YGL156W	AMS1	1.6
228	YFR049W	KGD4	1.6
229	YKL065C	YET1	1.6
230	YKR049C	FMP46	1.5
231	YJR039W	MLO127	1.5
232	YDL113C	ATG20	1.5
233	YPR155C	NCA2	1.5
234	YKL121W	DGR2	1.5
235	YMR181C	YMR181C	1.5
236	YIL034C	CAP2	1.5
237	YBR216C	YBP1	1.5
238	YJL137C	GLG2	1.5
239	YPR107C	YTH1	1.5
240	YLL029W	FRA1	1.5
241	YGR255C	COQ6	1.5
242	YMR315W	YMR315W	1.5
243	YDL020C	RPN4	1.5
244	YFR050C	PRE4	1.5
245	YGL229C	SAP4	1.5
246	YHR199C	AIM46	1.5
247	YKL067W	YNK1	1.5
248	YKL035W	UGP1	1.5
249	YDR202C	RAV2	1.5
250	YBR151W	APD1	1.5
251	YDL237W	AIM6	1.5
252	YOR374W	ALD4	1.5
253	YOR288C	MPD1	1.5
254	YDR255C	RMD5	1.5
255	YDR423C	CAD1	1.5
256	YHR017W	YSC83	1.5
257	YPL100W	ATG21	1.5
258	YLR102C	APC9	1.5
259	YGR149W	GPC1	1.5
260	YKL213C	DOA1	1.5
261	YDR490C	PKH1	1.5
262	YOR036W	PEP12	1.5
263	YPL214C	THI6	1.5
264	YLR219W	MSC3	1.5
265	YKL151C	NNR2	1.5
266	YLR177W	YLR177W	1.5
267	YJL016W	TPH3	1.5
268	YLL039C	UBI4	1.5
269	YIR036C	IRC24	1.5
270	YGL248W	PDE1	1.5
271	YOR215C	AIM41	1.5
272	YBR199W	KTR4	1.5
273	YKL026C	GPX1	1.5
274	YPR081C	GRS2	1.5
275	YIL107C	PFK26	1.5
276	YJL082W	IML2	1.5
277	YNL115C	YNL115C	1.5
278	YOR245C	DGA1	1.5
279	YDL204W	RTN2	1.5
280	YPL154C	PEP4	1.5
281	YKR052C	MRS4	1.5
282	YHR087W	RTC3	1.5
283	YPR184W	GDB1	1.5
284	YFR021W	ATG18	1.5
285	YJL151C	SNA3	1.5
286	YFR053C	HXK1	1.5
287	YGL196W	DSD1	1.5
288	YPL219W	PCL8	1.5
289	YLR362W	STE11	1.5
290	YOR228C	MCP1	1.5
291	YOL073C	DSC2	1.5
292	YER053C	PIC2	1.5
293	YNL183C	NPR1	1.5
294	YPR103W	PRE2	1.5
295	YPL084W	BRO1	1.5
296	YOR152C	ATG40	1.5
297	YOR352W	TFB6	1.5
298	YBR006W	UGA2	1.5
299	YLR132C	USB1	1.5
300	YGL141W	HUL5	1.5
301	YDR129C	SAC6	1.5
302	YDR335W	MSN5	1.5
303	YOR223W	DSC3	1.5
304	YGR268C	HUA1	1.5
305	YOL151W	GRE2	1.5
306	YMR090W	YMR090W	1.5
307	YFR015C	GSY1	1.5
308	YMR054W	STV1	1.5
309	YNL156C	NSG2	1.5
310	YIR038C	GTT1	1.5
311	YGR223C	HSV2	1.5
312	YGL053W	PRM8	1.5
313	YML131W	YML131W	1.5
314	YOR256C	TRE2	1.5
315	YMR030W	RSF1	1.5
316	YNR034W	SOL1	1.5
317	YDL149W	ATG9	1.5
318	YPR098C	TMH18	1.5
319	YER035W	EDC2	1.5
320	YDR105C	TMS1	1.5
321	YGR043C	NQM1	1.5
322	YPR158W	CUR1	1.5
323	YLL001W	DNM1	1.5
324	YKL064W	MNR2	1.5
325	YKL013C	ARC19	1.5
326	YLR164W	SHH4	1.5
327	YOR185C	GSP2	1.5
328	YMR284W	YKU70	1.5
329	YIR039C	YPS6	1.5
330	YDR330W	UBX5	1.5
331	YDR425W	SNX41	1.5
332	YDL110C	TMA17	1.5
333	YMR173W	DDR48	1.5
334	YJL141C	YAK1	1.5
335	YLR070C	XYL2	1.5
336	YPL186C	UIP4	1.5
337	YAL008W	FUN14	1.5
338	YNL092W	YNL092W	1.5
339	YLR001C	YLR001C	1.5
340	YBR273C	UBX7	1.5
341	YCR069W	CPR4	1.5
342	YJR019C	TES1	1.5
