SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: CUE1

Rank	Gene	Common	Score
Q	YMR264W	CUE1	
1	YML012W	ERV25	2.7
2	YDR304C	CPR5	2.7
3	YDR084C	TVP23	2.7
4	YDR328C	SKP1	2.6
5	YMR236W	TAF9	2.6
6	YDR519W	FPR2	2.6
7	YLR351C	NIT3	2.6
8	YGR232W	NAS6	2.6
9	YMR298W	LIP1	2.6
10	YIL043C	CBR1	2.6
11	YGL221C	NIF3	2.5
12	YMR022W	UBC7	2.5
13	YPL059W	GRX5	2.5
14	YEL066W	HPA3	2.5
15	YML001W	YPT7	2.5
16	YMR314W	PRE5	2.5
17	YAR002C-A	ERP1	2.5
18	YOL026C	MIM1	2.5
19	YPL010W	RET3	2.5
20	YJL004C	SYS1	2.5
21	YOR122C	PFY1	2.5
22	YOL129W	VPS68	2.5
23	YMR150C	IMP1	2.5
24	YDR487C	RIB3	2.5
25	YBR035C	PDX3	2.5
26	YBL040C	ERD2	2.5
27	YBL057C	PTH2	2.5
28	YML067C	ERV41	2.4
29	YOR103C	OST2	2.4
30	YGL001C	ERG26	2.4
31	YJL192C	SOP4	2.4
32	YBL001C	ECM15	2.4
33	YML078W	CPR3	2.4
34	YOL133W	HRT1	2.4
35	YER094C	PUP3	2.4
36	YDR373W	FRQ1	2.4
37	YML055W	SPC2	2.4
38	YLR066W	SPC3	2.4
39	YLL049W	LDB18	2.4
40	YIR022W	SEC11	2.4
41	YDR139C	RUB1	2.4
42	YNL281W	HCH1	2.4
43	YDL165W	CDC36	2.4
44	YJR058C	APS2	2.4
45	YJL178C	ATG27	2.4
46	YBR111C	YSA1	2.4
47	YJL151C	SNA3	2.3
48	YHR110W	ERP5	2.3
49	YOR016C	ERP4	2.3
50	YLL050C	COF1	2.3
51	YLR043C	TRX1	2.3
52	YNL168C	FMP41	2.3
53	YGR253C	PUP2	2.3
54	YDR378C	LSM6	2.3
55	YAL033W	POP5	2.3
56	YFL005W	SEC4	2.3
57	YMR292W	GOT1	2.3
58	YGR262C	BUD32	2.3
59	YBL006C	LDB7	2.3
60	YGL220W	BOL2	2.3
61	YDL212W	SHR3	2.3
62	YBR256C	RIB5	2.3
63	YAL009W	SPO7	2.3
64	YCR020C-A	MAK31	2.3
65	YJL097W	PHS1	2.3
66	YAL007C	ERP2	2.3
67	YJR118C	ILM1	2.3
68	YJR133W	XPT1	2.3
69	YGL200C	EMP24	2.3
70	YBR252W	DUT1	2.3
71	YIL027C	EMC5	2.3
72	YKL128C	PMU1	2.3
73	YOR125C	CAT5	2.3
74	YOL088C	MPD2	2.3
75	YGR105W	VMA21	2.3
76	YER057C	HMF1	2.3
77	YMR202W	ERG2	2.3
78	YML092C	PRE8	2.3
79	YGR172C	YIP1	2.3
80	YKL013C	ARC19	2.3
81	YOR357C	SNX3	2.3
82	YMR200W	ROT1	2.3
83	YOR085W	OST3	2.3
84	YLR209C	PNP1	2.3
85	YDR140W	MTQ2	2.3
86	YOR265W	RBL2	2.3
87	YPR073C	LTP1	2.3
88	YER031C	YPT31	2.3
89	YDL125C	HNT1	2.3
90	YGL020C	GET1	2.3
91	YOR126C	IAH1	2.3
92	YLR208W	SEC13	2.3
93	YMR149W	SWP1	2.3
94	YLR370C	ARC18	2.3
95	YNR035C	ARC35	2.3
96	YBR109C	CMD1	2.3
97	YML101C	CUE4	2.3
98	YOR099W	KTR1	2.2
99	YGR063C	SPT4	2.2
100	YNL079C	TPM1	2.2
101	YPL218W	SAR1	2.2
102	YPR176C	BET2	2.2
103	YPR113W	PIS1	2.2
104	YDL219W	DTD1	2.2
105	YKL190W	CNB1	2.2
106	YBR106W	SND3	2.2
107	YKL019W	RAM2	2.2
108	YDR092W	UBC13	2.2
109	YOR362C	PRE10	2.2
110	YDL135C	RDI1	2.2
111	YJL121C	RPE1	2.2
112	YNL135C	FPR1	2.2
113	YPR028W	YOP1	2.2
114	YBR234C	ARC40	2.2
115	YIR036C	IRC24	2.2
116	YOL038W	PRE6	2.2
117	YGL161C	YIP5	2.2
118	YPR131C	NAT3	2.2
119	YER083C	GET2	2.2
120	YCR059C	YIH1	2.2
121	YBL102W	SFT2	2.2
122	YPL031C	PHO85	2.2
123	YIL062C	ARC15	2.2
124	YML058W	SML1	2.2
125	YPR037C	ERV2	2.2
126	YDR100W	TVP15	2.2
127	YFR049W	KGD4	2.2
128	YPL094C	SEC62	2.2
129	YCR060W	TAH1	2.2
130	YGL002W	ERP6	2.2
131	YML110C	COQ5	2.2
132	YJR074W	MOG1	2.2
133	YLR421C	RPN13	2.2
134	YNL310C	ZIM17	2.2
135	YML011C	RAD33	2.2
136	YGR135W	PRE9	2.2
137	YER120W	SCS2	2.2
138	YOL146W	PSF3	2.2
139	YMR184W	ADD37	2.2
140	YNL330C	RPD3	2.2
141	YFR047C	BNA6	2.2
142	YDR236C	FMN1	2.2
143	YKR038C	KAE1	2.2
144	YGR284C	ERV29	2.2
145	YNR036C	MRPS12	2.2
146	YER023W	PRO3	2.2
147	YER063W	THO1	2.2
148	YER146W	LSM5	2.2
149	YKL119C	VPH2	2.2
150	YKR088C	TVP38	2.2
151	YJR099W	YUH1	2.2
152	YAL044C	GCV3	2.2
153	YBR171W	SEC66	2.2
154	YHR076W	PTC7	2.2
155	YDL232W	OST4	2.2
156	YKL007W	CAP1	2.2
157	YDR272W	GLO2	2.2
158	YER019C-A	SBH2	2.2
159	YOR332W	VMA4	2.2
160	YPR188C	MLC2	2.2
