SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: URA10

Rank	Gene	Common	Score
Q	YMR271C	URA10	
1	YGL121C	GPG1	4.2
2	YOR173W	DCS2	4.0
3	YOR120W	GCY1	4.0
4	YMR174C	PAI3	3.8
5	YKR049C	FMP46	3.8
6	YDR070C	FMP16	3.8
7	YMR250W	GAD1	3.8
8	YLR178C	TFS1	3.8
9	YPL123C	RNY1	3.7
10	YGR043C	NQM1	3.7
11	YPL186C	UIP4	3.7
12	YGL156W	AMS1	3.7
13	YLR080W	EMP46	3.7
14	YKR076W	ECM4	3.6
15	YJL161W	FMP33	3.6
16	YGR019W	UGA1	3.6
17	YLR251W	SYM1	3.6
18	YBR169C	SSE2	3.6
19	YBL049W	MOH1	3.6
20	YML042W	CAT2	3.6
21	YML128C	MSC1	3.6
22	YKL026C	GPX1	3.6
23	YDL085W	NDE2	3.6
24	YIL136W	OM45	3.6
25	YDL204W	RTN2	3.5
26	YGR248W	SOL4	3.5
27	YMR169C	ALD3	3.5
28	YBL064C	PRX1	3.5
29	YBR006W	UGA2	3.5
30	YBR072W	HSP26	3.5
31	YDL021W	GPM2	3.5
32	YDR453C	TSA2	3.5
33	YGR008C	STF2	3.5
34	YLR270W	DCS1	3.5
35	YML004C	GLO1	3.4
36	YPR026W	ATH1	3.4
37	YMR175W	SIP18	3.4
38	YMR170C	ALD2	3.4
39	YMR110C	HFD1	3.4
40	YGR256W	GND2	3.4
41	YPR184W	GDB1	3.4
42	YBR046C	ZTA1	3.4
43	YGR088W	CTT1	3.4
44	YIR038C	GTT1	3.3
45	YOL082W	ATG19	3.3
46	YKL065C	YET1	3.3
47	YDL169C	UGX2	3.3
48	YDR533C	HSP31	3.3
49	YDR059C	UBC5	3.3
50	YOL052C-A	DDR2	3.3
51	YMR105C	PGM2	3.3
52	YMR107W	SPG4	3.3
53	YLR258W	GSY2	3.3
54	YFL014W	HSP12	3.3
55	YEL011W	GLC3	3.3
56	YCL035C	GRX1	3.3
57	YER150W	SPI1	3.3
58	YOR185C	GSP2	3.3
59	YDL110C	TMA17	3.3
60	YJL066C	MPM1	3.2
61	YHR104W	GRE3	3.2
62	YNL015W	PBI2	3.2
63	YPL223C	GRE1	3.2
64	YBL078C	ATG8	3.2
65	YJL155C	FBP26	3.2
66	YHR087W	RTC3	3.2
67	YML054C	CYB2	3.2
68	YNL274C	GOR1	3.2
69	YDR001C	NTH1	3.2
70	YKL142W	MRP8	3.2
71	YIR039C	YPS6	3.2
72	YJL048C	UBX6	3.2
73	YMR020W	FMS1	3.2
74	YIL097W	FYV10	3.2
75	YNL237W	YTP1	3.2
76	YMR041C	ARA2	3.2
77	YBR214W	SDS24	3.2
78	YHR106W	TRR2	3.2
79	YEL039C	CYC7	3.2
80	YOR031W	CRS5	3.2
81	YPL196W	OXR1	3.2
82	YGL248W	PDE1	3.2
83	YPL087W	YDC1	3.2
84	YIL107C	PFK26	3.2
85	YBR280C	SAF1	3.2
86	YHR096C	HXT5	3.2
87	YBR117C	TKL2	3.2
88	YJL057C	IKS1	3.2
89	YCL040W	GLK1	3.1
90	YKR058W	GLG1	3.1
91	YER053C	PIC2	3.1
92	YML100W	TSL1	3.1
93	YGL037C	PNC1	3.1
94	YBR147W	RTC2	3.1
95	YAL061W	BDH2	3.1
96	YEL060C	PRB1	3.1
97	YDR513W	GRX2	3.1
98	YER175C	TMT1	3.1
99	YPR160W	GPH1	3.1
100	YBR269C	SDH8	3.1
101	YFL030W	AGX1	3.1
102	YAL008W	FUN14	3.1
103	YOL071W	SDH5	3.1
104	YHR209W	CRG1	3.1
105	YDR258C	HSP78	3.1
106	YNL093W	YPT53	3.1
107	YLL039C	UBI4	3.1
108	YNL160W	YGP1	3.1
109	YGR070W	ROM1	3.1
110	YPL222W	FMP40	3.1
111	YDR171W	HSP42	3.1
112	YDL024C	DIA3	3.1
113	YDL223C	HBT1	3.1
114	YDR358W	GGA1	3.1
115	YER037W	PHM8	3.1
116	YAL034C	FUN19	3.1
117	YJL164C	TPK1	3.1
118	YKL150W	MCR1	3.1
119	YPL203W	TPK2	3.1
120	YIL111W	COX5B	3.1
121	YNR002C	ATO2	3.1
122	YIL101C	XBP1	3.1
123	YEL012W	UBC8	3.0
124	YCR083W	TRX3	3.0
125	YKL163W	PIR3	3.0
126	YDR272W	GLO2	3.0
127	YJL141C	YAK1	3.0
128	YOL084W	PHM7	3.0
129	YGL059W	PKP2	3.0
130	YKR009C	FOX2	3.0
131	YJR155W	AAD10	3.0
132	YDR058C	TGL2	3.0
133	YER054C	GIP2	3.0
134	YDR085C	AFR1	3.0
135	YPL230W	USV1	3.0
136	YIL113W	SDP1	3.0
137	YDL215C	GDH2	3.0
138	YLL026W	HSP104	3.0
139	YKR046C	PLN1	3.0
140	YKL103C	APE1	3.0
141	YBR230C	OM14	3.0
142	YOR036W	PEP12	3.0
143	YBR026C	ETR1	3.0
144	YIL045W	PIG2	3.0
145	YML070W	DAK1	3.0
146	YPL154C	PEP4	3.0
147	YMR040W	YET2	3.0
148	YNR007C	ATG3	3.0
149	YHR016C	YSC84	3.0
150	YGR236C	SPG1	3.0
151	YDR204W	COQ4	3.0
152	YOR245C	DGA1	2.9
153	YMR173W	DDR48	2.9
154	YBR183W	YPC1	2.9
155	YMR191W	SPG5	2.9
156	YLR070C	XYL2	2.9
157	YBR149W	ARA1	2.9
158	YDL130W-A	STF1	2.9
159	YER101C	AST2	2.9
160	YKL091C	YKL091C	2.9
161	YMR297W	PRC1	2.9
162	YPR151C	SUE1	2.9
163	YDL234C	GYP7	2.9
164	YLR327C	TMA10	2.9
165	YDR032C	PST2	2.9
166	YIR037W	HYR1	2.9
167	YLR267W	BOP2	2.9
168	YPL004C	LSP1	2.9
169	YKL067W	YNK1	2.9
170	YMR278W	PRM15	2.9
171	YMR322C	SNO4	2.9
172	YMR180C	CTL1	2.9
