SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: GOT1

Rank	Gene	Common	Score
Q	YMR292W	GOT1	
1	YBR252W	DUT1	3.4
2	YBR187W	GDT1	3.1
3	YGL225W	VRG4	3.1
4	YOR016C	ERP4	3.1
5	YJR118C	ILM1	3.0
6	YER009W	NTF2	3.0
7	YLR372W	ELO3	3.0
8	YPL218W	SAR1	3.0
9	YAR002C-A	ERP1	3.0
10	YDL212W	SHR3	3.0
11	YMR123W	PKR1	3.0
12	YML022W	APT1	3.0
13	YDR302W	GPI11	3.0
14	YOR103C	OST2	3.0
15	YGR172C	YIP1	2.9
16	YJR143C	PMT4	2.9
17	YML019W	OST6	2.9
18	YJL183W	MNN11	2.9
19	YGL226C-A	OST5	2.9
20	YDR454C	GUK1	2.9
21	YLR333C	RPS25B	2.9
22	YHR133C	NSG1	2.9
23	YOR067C	ALG8	2.9
24	YOR167C	RPS28A	2.8
25	YMR215W	GAS3	2.8
26	YLR083C	EMP70	2.8
27	YOL012C	HTZ1	2.8
28	YGR106C	VOA1	2.8
29	YPL211W	NIP7	2.8
30	YGR105W	VMA21	2.8
31	YOL139C	CDC33	2.8
32	YJL173C	RFA3	2.8
33	YLR367W	RPS22B	2.8
34	YIL016W	SNL1	2.8
35	YBL002W	HTB2	2.8
36	YFL045C	SEC53	2.8
37	YKL156W	RPS27A	2.8
38	YOL102C	TPT1	2.7
39	YMR243C	ZRC1	2.7
40	YCL001W	RER1	2.7
41	YJL097W	PHS1	2.7
42	YAL059W	ECM1	2.7
43	YOR234C	RPL33B	2.7
44	YAL033W	POP5	2.7
45	YLR264W	RPS28B	2.7
46	YMR260C	TIF11	2.7
47	YOR253W	NAT5	2.7
48	YDR519W	FPR2	2.7
49	YOR045W	TOM6	2.7
50	YLR388W	RPS29A	2.7
51	YBL087C	RPL23A	2.7
52	YOR276W	CAF20	2.7
53	YGL020C	GET1	2.7
54	YOR095C	RKI1	2.7
55	YNL263C	YIF1	2.7
56	YCR034W	ELO2	2.7
57	YML024W	RPS17A	2.7
58	YHR181W	SVP26	2.7
59	YEL026W	SNU13	2.7
60	YIL008W	URM1	2.7
61	YML106W	URA5	2.7
62	YPR113W	PIS1	2.7
63	YER146W	LSM5	2.7
64	YJL121C	RPE1	2.6
65	YDR045C	RPC11	2.6
66	YLR229C	CDC42	2.6
67	YGR262C	BUD32	2.6
68	YDR084C	TVP23	2.6
69	YAL007C	ERP2	2.6
70	YDL061C	RPS29B	2.6
71	YLR344W	RPL26A	2.6
72	YPL241C	CIN2	2.6
73	YHR128W	FUR1	2.6
74	YNL044W	YIP3	2.6
75	YPL227C	ALG5	2.6
76	YHR021C	RPS27B	2.6
77	YDR410C	STE14	2.6
78	YOR293W	RPS10A	2.6
79	YBR070C	ALG14	2.6
80	YBR106W	SND3	2.6
81	YGR063C	SPT4	2.6
82	YEL042W	GDA1	2.6
83	YGL200C	EMP24	2.6
84	YDL064W	UBC9	2.6
85	YPR052C	NHP6A	2.6
86	YMR149W	SWP1	2.6
87	YDR245W	MNN10	2.6
88	YDL166C	FAP7	2.6
89	YML036W	CGI121	2.6
90	YPR187W	RPO26	2.6
91	YPL234C	VMA11	2.6
92	YIL020C	HIS6	2.6
93	YDL219W	DTD1	2.6
94	YOR224C	RPB8	2.6
95	YDR144C	MKC7	2.6
96	YDR471W	RPL27B	2.6
97	YLR185W	RPL37A	2.6
98	YMR290C	HAS1	2.6
99	YGR038W	ORM1	2.6
100	YNL067W	RPL9B	2.6
101	YOR320C	GNT1	2.6
102	YBR243C	ALG7	2.6
103	YMR194W	RPL36A	2.6
104	YLR459W	GAB1	2.6
105	YOR099W	KTR1	2.6
106	YJR069C	HAM1	2.6
107	YMR230W	RPS10B	2.6
108	YDL051W	LHP1	2.5
109	YJL002C	OST1	2.5
110	YIL040W	APQ12	2.5
111	YPL237W	SUI3	2.5
112	YER019C-A	SBH2	2.5
113	YIL133C	RPL16A	2.5
114	YML026C	RPS18B	2.5
115	YLR043C	TRX1	2.5
116	YNL151C	RPC31	2.5
117	YPR062W	FCY1	2.5
118	YNL244C	SUI1	2.5
119	YKL006W	RPL14A	2.5
120	YGR123C	PPT1	2.5
121	YIL027C	EMC5	2.5
122	YDL083C	RPS16B	2.5
123	YDL232W	OST4	2.5
124	YML073C	RPL6A	2.5
125	YKL009W	MRT4	2.5
126	YHL001W	RPL14B	2.5
127	YDR119W	VBA4	2.5
128	YML067C	ERV41	2.5
129	YPL143W	RPL33A	2.5
130	YJL136C	RPS21B	2.5
131	YJL191W	RPS14B	2.5
132	YPL144W	POC4	2.5
133	YOR210W	RPB10	2.5
134	YLR154C	RNH203	2.5
135	YBR283C	SSH1	2.5
136	YKL004W	AUR1	2.5
137	YHR041C	SRB2	2.5
138	YLR325C	RPL38	2.5
139	YKL058W	TOA2	2.5
140	YOR085W	OST3	2.5
141	YNL070W	TOM7	2.5
142	YJL190C	RPS22A	2.5
143	YNL130C	CPT1	2.5
144	YNL255C	GIS2	2.5
145	YBL018C	POP8	2.5
146	YPL079W	RPL21B	2.5
147	YMR241W	YHM2	2.5
148	YBR091C	TIM12	2.5
149	YNL291C	MID1	2.5
150	YBL026W	LSM2	2.5
151	YLR061W	RPL22A	2.5
152	YKL056C	TMA19	2.5
153	YDL130W	RPP1B	2.5
154	YPR110C	RPC40	2.5
155	YML052W	SUR7	2.5
156	YOL061W	PRS5	2.5
157	YOL077C	BRX1	2.5
158	YOL149W	DCP1	2.5
159	YDR414C	ERD1	2.5
160	YDR404C	RPB7	2.5
161	YJR094W-A	RPL43B	2.5
162	YBL003C	HTA2	2.5
163	YOR340C	RPA43	2.5
164	YBR189W	RPS9B	2.5
165	YER072W	VTC1	2.5
166	YCR031C	RPS14A	2.5
167	YNL096C	RPS7B	2.5
168	YNL301C	RPL18B	2.5
169	YPL086C	ELP3	2.5
170	YNL069C	RPL16B	2.5
171	YOR096W	RPS7A	2.5
172	YPR118W	MRI1	2.5
173	YNL292W	PUS4	2.5
174	YML080W	DUS1	2.5
175	YJR024C	MDE1	2.5
176	YGR027C	RPS25A	2.5
177	YMR242C	RPL20A	2.5
178	YBR265W	TSC10	2.5
179	YDL084W	SUB2	2.5
180	YPR043W	RPL43A	2.4
181	YNL030W	HHF2	2.4
182	YDL081C	RPP1A	2.4
183	YMR202W	ERG2	2.4
184	YJR063W	RPA12	2.4
185	YPL050C	MNN9	2.4
186	YER117W	RPL23B	2.4
187	YLR146C	SPE4	2.4
188	YPR069C	SPE3	2.4
189	YJR105W	ADO1	2.4
190	YKR057W	RPS21A	2.4
191	YOR297C	TIM18	2.4
192	YJL122W	ALB1	2.4
193	YBL039C	URA7	2.4
194	YER131W	RPS26B	2.4
195	YNL075W	IMP4	2.4
