SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: GAS1

Rank	Gene	Common	Score
Q	YMR307W	GAS1	
1	YBR078W	ECM33	4.1
2	YMR305C	SCW10	3.8
3	YJL158C	CIS3	3.7
4	YLR372W	ELO3	3.7
5	YGL225W	VRG4	3.6
6	YJR143C	PMT4	3.6
7	YER043C	SAH1	3.5
8	YLR048W	RPS0B	3.5
9	YDL055C	PSA1	3.5
10	YPR074C	TKL1	3.4
11	YMR215W	GAS3	3.4
12	YLR249W	YEF3	3.4
13	YMR116C	ASC1	3.4
14	YLR083C	EMP70	3.3
15	YBR162C	TOS1	3.3
16	YCR034W	ELO2	3.3
17	YFL045C	SEC53	3.3
18	YLR448W	RPL6B	3.3
19	YLR342W	FKS1	3.2
20	YNL209W	SSB2	3.2
21	YIL123W	SIM1	3.2
22	YGR214W	RPS0A	3.2
23	YAL023C	PMT2	3.2
24	YOL120C	RPL18A	3.2
25	YLR060W	FRS1	3.2
26	YKL006W	RPL14A	3.2
27	YOR247W	SRL1	3.2
28	YMR217W	GUA1	3.2
29	YIL133C	RPL16A	3.2
30	YDR064W	RPS13	3.1
31	YER070W	RNR1	3.1
32	YJL177W	RPL17B	3.1
33	YEL042W	GDA1	3.1
34	YBR121C	GRS1	3.1
35	YJR105W	ADO1	3.1
36	YHL033C	RPL8A	3.1
37	YLR061W	RPL22A	3.1
38	YGL123W	RPS2	3.1
39	YNL178W	RPS3	3.1
40	YLL045C	RPL8B	3.1
41	YBL002W	HTB2	3.1
42	YKL081W	TEF4	3.1
43	YEL054C	RPL12A	3.1
44	YDL130W	RPP1B	3.1
45	YLR340W	RPP0	3.1
46	YJL190C	RPS22A	3.1
47	YBR189W	RPS9B	3.1
48	YML106W	URA5	3.1
49	YHR019C	DED81	3.0
50	YGL008C	PMA1	3.0
51	YDR033W	MRH1	3.0
52	YJL080C	SCP160	3.0
53	YDR418W	RPL12B	3.0
54	YNL096C	RPS7B	3.0
55	YER003C	PMI40	3.0
56	YNL069C	RPL16B	3.0
57	YFR031C-A	RPL2A	3.0
58	YEL040W	UTR2	3.0
59	YOL097C	WRS1	3.0
60	YDL014W	NOP1	3.0
61	YDR091C	RLI1	3.0
62	YML022W	APT1	3.0
63	YBR106W	SND3	3.0
64	YKL180W	RPL17A	3.0
65	YOR063W	RPL3	3.0
66	YLR185W	RPL37A	3.0
67	YPL079W	RPL21B	3.0
68	YGL012W	ERG4	3.0
69	YDL082W	RPL13A	3.0
70	YJR123W	RPS5	3.0
71	YER025W	GCD11	3.0
72	YPL131W	RPL5	2.9
73	YPL256C	CLN2	2.9
