SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SSN8

Rank	Gene	Common	Score
Q	YNL025C	SSN8	
1	YMR140W	SIP5	3.2
2	YNL159C	ASI2	3.0
3	YPL203W	TPK2	2.8
4	YOR386W	PHR1	2.7
5	YMR139W	RIM11	2.7
6	YGR268C	HUA1	2.7
7	YNR007C	ATG3	2.6
8	YIL099W	SGA1	2.6
9	YOL117W	RRI2	2.6
10	YLR251W	SYM1	2.5
11	YKL168C	KKQ8	2.5
12	YDR358W	GGA1	2.5
13	YIL097W	FYV10	2.5
14	YGL098W	USE1	2.5
15	YHR195W	NVJ1	2.5
16	YLR270W	DCS1	2.5
17	YOR035C	SHE4	2.5
18	YGR023W	MTL1	2.5
19	YJL141C	YAK1	2.5
20	YCL052C	PBN1	2.5
21	YHR171W	ATG7	2.4
22	YPL006W	NCR1	2.4
23	YMR110C	HFD1	2.4
24	YPL166W	ATG29	2.4
25	YCR091W	KIN82	2.4
26	YBR018C	GAL7	2.4
27	YDR255C	RMD5	2.4
28	YDR069C	DOA4	2.4
29	YPL224C	MMT2	2.4
30	YHR017W	YSC83	2.4
31	YNL223W	ATG4	2.4
32	YJR062C	NTA1	2.4
33	YPL119C	DBP1	2.4
34	YJL155C	FBP26	2.4
35	YIL113W	SDP1	2.4
36	YOL013C	HRD1	2.4
37	YGL104C	VPS73	2.4
38	YAL028W	FRT2	2.4
39	YDR435C	PPM1	2.4
40	YHR004C	NEM1	2.3
41	YCL008C	STP22	2.3
42	YMR053C	STB2	2.3
43	YNL101W	AVT4	2.3
44	YDR074W	TPS2	2.3
45	YPL196W	OXR1	2.3
46	YKL193C	SDS22	2.3
47	YLR219W	MSC3	2.3
48	YLR258W	GSY2	2.3
49	YEL011W	GLC3	2.3
50	YHR161C	YAP1801	2.3
51	YOL025W	LAG2	2.3
52	YJL053W	PEP8	2.3
53	YJL164C	TPK1	2.3
54	YBR214W	SDS24	2.3
55	YIR015W	RPR2	2.3
56	YPL123C	RNY1	2.3
57	YIL017C	VID28	2.3
58	YNR034W	SOL1	2.3
59	YLL006W	MMM1	2.3
60	YDR003W	RCR2	2.3
61	YGR194C	XKS1	2.3
62	YOR132W	VPS17	2.3
63	YKR058W	GLG1	2.3
64	YIL036W	CST6	2.3
65	YAL034C	FUN19	2.3
66	YDR350C	ATP22	2.3
67	YMR284W	YKU70	2.3
68	YNL127W	FAR11	2.3
69	YDR436W	PPZ2	2.3
70	YDL142C	CRD1	2.3
71	YMR152W	YIM1	2.2
72	YMR261C	TPS3	2.2
73	YML057W	CMP2	2.2
74	YJL057C	IKS1	2.2
75	YBR183W	YPC1	2.2
76	YGR019W	UGA1	2.2
77	YIL033C	BCY1	2.2
78	YDL238C	GUD1	2.2
79	YBR126C	TPS1	2.2
80	YOR036W	PEP12	2.2
81	YDR001C	NTH1	2.2
82	YDL234C	GYP7	2.2
83	YHR105W	YPT35	2.2
84	YOL096C	COQ3	2.2
85	YBR001C	NTH2	2.2
86	YGL208W	SIP2	2.2
87	YOL065C	INP54	2.2
88	YML100W	TSL1	2.2
89	YOL060C	MAM3	2.2
90	YAR027W	UIP3	2.2
91	YNL293W	MSB3	2.2
92	YGL227W	VID30	2.2
93	YOR245C	DGA1	2.2
94	YDR204W	COQ4	2.2
95	YNR006W	VPS27	2.2
96	YLR133W	CKI1	2.2
97	YDR516C	EMI2	2.2
98	YOR178C	GAC1	2.2
99	YML120C	NDI1	2.2
100	YLR240W	VPS34	2.2
101	YBR216C	YBP1	2.2
102	YBL078C	ATG8	2.2
103	YMR135C	GID8	2.2
104	YJR036C	HUL4	2.2
105	YDL113C	ATG20	2.2
106	YJL036W	SNX4	2.2
107	YOR347C	PYK2	2.2
108	YGL053W	PRM8	2.2
