SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: YIP3

Rank	Gene	Common	Score
Q	YNL044W	YIP3	
1	YHR123W	EPT1	3.0
2	YOR099W	KTR1	3.0
3	YNL169C	PSD1	2.9
4	YDR519W	FPR2	2.9
5	YLR229C	CDC42	2.9
6	YFL045C	SEC53	2.8
7	YLR372W	ELO3	2.8
8	YER009W	NTF2	2.8
9	YOR209C	NPT1	2.8
10	YOL012C	HTZ1	2.7
11	YNL130C	CPT1	2.7
12	YPL218W	SAR1	2.7
13	YOR103C	OST2	2.7
14	YGL225W	VRG4	2.7
15	YDR454C	GUK1	2.7
16	YBR252W	DUT1	2.6
17	YMR305C	SCW10	2.6
18	YDR497C	ITR1	2.6
19	YGL200C	EMP24	2.6
20	YLR083C	EMP70	2.6
21	YMR292W	GOT1	2.6
22	YAL007C	ERP2	2.6
23	YBR029C	CDS1	2.6
24	YAR002C-A	ERP1	2.6
25	YBR187W	GDT1	2.6
26	YGL077C	HNM1	2.6
27	YMR149W	SWP1	2.6
28	YER043C	SAH1	2.6
29	YHR142W	CHS7	2.6
30	YJR105W	ADO1	2.6
31	YBR162C	TOS1	2.6
32	YER026C	CHO1	2.6
33	YMR215W	GAS3	2.6
34	YPL246C	RBD2	2.6
35	YHR181W	SVP26	2.6
36	YML022W	APT1	2.6
37	YOR276W	CAF20	2.6
38	YOL139C	CDC33	2.5
39	YJR143C	PMT4	2.5
40	YGR037C	ACB1	2.5
41	YOR085W	OST3	2.5
42	YCR034W	ELO2	2.5
43	YPR113W	PIS1	2.5
44	YPR052C	NHP6A	2.5
45	YKL165C	MCD4	2.5
46	YDL212W	SHR3	2.5
47	YHR133C	NSG1	2.5
48	YML058W	SML1	2.5
49	YBL040C	ERD2	2.5
50	YJL097W	PHS1	2.5
51	YNL090W	RHO2	2.5
52	YOR224C	RPB8	2.4
53	YNR043W	MVD1	2.4
54	YER003C	PMI40	2.4
55	YPR165W	RHO1	2.4
56	YML106W	URA5	2.4
57	YMR123W	PKR1	2.4
58	YNL111C	CYB5	2.4
59	YMR241W	YHM2	2.4
60	YJR133W	XPT1	2.4
61	YER023W	PRO3	2.4
62	YDR404C	RPB7	2.4
63	YLR350W	ORM2	2.4
64	YPL227C	ALG5	2.4
65	YGL147C	RPL9A	2.4
66	YLR285W	NNT1	2.4
67	YOR247W	SRL1	2.4
68	YDR502C	SAM2	2.4
69	YPL028W	ERG10	2.4
70	YNL135C	FPR1	2.4
71	YDR225W	HTA1	2.4
72	YIL040W	APQ12	2.4
73	YPL211W	NIP7	2.4
74	YKL056C	TMA19	2.4
75	YGL020C	GET1	2.4
76	YOR197W	MCA1	2.4
77	YDR400W	URH1	2.4
78	YLR264W	RPS28B	2.4
79	YLR333C	RPS25B	2.4
80	YDL236W	PHO13	2.4
81	YNL067W	RPL9B	2.4
82	YDL192W	ARF1	2.4
83	YPL234C	VMA11	2.4
84	YGR189C	CRH1	2.4
85	YDR302W	GPI11	2.4
86	YLR459W	GAB1	2.4
87	YLR185W	RPL37A	2.4
88	YBL002W	HTB2	2.4
89	YOR311C	DGK1	2.4
90	YOR067C	ALG8	2.4
91	YMR146C	TIF34	2.4
92	YGR172C	YIP1	2.4
93	YOR254C	SEC63	2.4
94	YOR234C	RPL33B	2.4
95	YLR367W	RPS22B	2.4
96	YPL010W	RET3	2.4
97	YMR238W	DFG5	2.4
98	YBR106W	SND3	2.4
99	YDL055C	PSA1	2.4
100	YHR013C	ARD1	2.4
101	YHR163W	SOL3	2.4
102	YBR162W-A	YSY6	2.4
103	YEL040W	UTR2	2.4
104	YJL158C	CIS3	2.3
105	YMR079W	SEC14	2.3
106	YHL011C	PRS3	2.3
107	YPL163C	SVS1	2.3
108	YNL244C	SUI1	2.3
109	YNL066W	SUN4	2.3
110	YKR057W	RPS21A	2.3
111	YMR202W	ERG2	2.3
112	YNL263C	YIF1	2.3
113	YGL226C-A	OST5	2.3
114	YDR245W	MNN10	2.3
115	YJR073C	OPI3	2.3
116	YKR088C	TVP38	2.3
117	YNL255C	GIS2	2.3
118	YOL061W	PRS5	2.3
119	YDL061C	RPS29B	2.3
120	YHR041C	SRB2	2.3
121	YER087C-B	SBH1	2.3
122	YPL094C	SEC62	2.3
123	YNL153C	GIM3	2.3
124	YER131W	RPS26B	2.3
125	YIL016W	SNL1	2.3
126	YPL050C	MNN9	2.3
127	YBR171W	SEC66	2.3
128	YGR284C	ERV29	2.3
129	YOR327C	SNC2	2.3
130	YLR146C	SPE4	2.3
131	YNL096C	RPS7B	2.3
132	YHR021C	RPS27B	2.3
133	YLR292C	SEC72	2.3
134	YOR045W	TOM6	2.3
135	YIR022W	SEC11	2.3
136	YAL023C	PMT2	2.3
137	YDL219W	DTD1	2.3
138	YDL235C	YPD1	2.3
139	YML067C	ERV41	2.3
140	YLR344W	RPL26A	2.3
141	YJL167W	ERG20	2.3
142	YDR086C	SSS1	2.3
143	YNL069C	RPL16B	2.3
144	YHR128W	FUR1	2.3
145	YGR262C	BUD32	2.3
146	YMR243C	ZRC1	2.3
147	YEL026W	SNU13	2.3
148	YJR069C	HAM1	2.3
149	YPR183W	DPM1	2.3
150	YEL058W	PCM1	2.3
