SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RPL9B

Rank	Gene	Common	Score
Q	YNL067W	RPL9B	
1	YGL147C	RPL9A	5.3
2	YOR096W	RPS7A	5.2
3	YNL069C	RPL16B	5.2
4	YDR418W	RPL12B	5.2
5	YJL190C	RPS22A	5.2
6	YOR293W	RPS10A	5.2
7	YDR471W	RPL27B	5.1
8	YML063W	RPS1B	5.1
9	YBR189W	RPS9B	5.1
10	YEL054C	RPL12A	5.1
11	YMR142C	RPL13B	5.1
12	YLR441C	RPS1A	5.1
13	YMR242C	RPL20A	5.0
14	YJL177W	RPL17B	5.0
15	YOR312C	RPL20B	5.0
16	YDL083C	RPS16B	5.0
17	YER131W	RPS26B	5.0
18	YML073C	RPL6A	5.0
19	YBR191W	RPL21A	4.9
20	YGR118W	RPS23A	4.9
21	YPR102C	RPL11A	4.9
22	YNL178W	RPS3	4.9
23	YHL033C	RPL8A	4.9
24	YNL302C	RPS19B	4.9
25	YDL082W	RPL13A	4.9
26	YOL120C	RPL18A	4.9
27	YOR234C	RPL33B	4.9
28	YGL031C	RPL24A	4.8
29	YNL096C	RPS7B	4.8
30	YOL127W	RPL25	4.8
31	YHR010W	RPL27A	4.8
32	YLR061W	RPL22A	4.8
33	YPL079W	RPL21B	4.8
34	YML024W	RPS17A	4.8
35	YPL090C	RPS6A	4.8
36	YNL301C	RPL18B	4.8
37	YGR214W	RPS0A	4.8
38	YLR448W	RPL6B	4.8
39	YML026C	RPS18B	4.8
40	YPL143W	RPL33A	4.7
41	YKL006W	RPL14A	4.7
42	YNL162W	RPL42A	4.7
43	YIL133C	RPL16A	4.7
44	YOL040C	RPS15	4.7
45	YJR123W	RPS5	4.7
46	YGL103W	RPL28	4.7
47	YER074W	RPS24A	4.7
48	YER102W	RPS8B	4.7
49	YLL045C	RPL8B	4.7
50	YKL180W	RPL17A	4.7
51	YGR085C	RPL11B	4.7
52	YLR344W	RPL26A	4.7
53	YIL052C	RPL34B	4.7
54	YGL123W	RPS2	4.7
55	YDR450W	RPS18A	4.6
56	YMR143W	RPS16A	4.6
57	YGR148C	RPL24B	4.6
58	YPR132W	RPS23B	4.6
59	YLR333C	RPS25B	4.6
60	YBL072C	RPS8A	4.6
61	YLR048W	RPS0B	4.6
62	YHL001W	RPL14B	4.6
63	YKR057W	RPS21A	4.6
64	YPL131W	RPL5	4.6
65	YOR063W	RPL3	4.6
66	YBL087C	RPL23A	4.6
67	YOR369C	RPS12	4.6
68	YGR034W	RPL26B	4.6
69	YER117W	RPL23B	4.6
70	YLR367W	RPS22B	4.6
71	YBL027W	RPL19B	4.6
72	YLR264W	RPS28B	4.6
73	YBL092W	RPL32	4.6
74	YIL018W	RPL2B	4.5
75	YLR325C	RPL38	4.5
76	YGR027C	RPS25A	4.5
77	YJR145C	RPS4A	4.5
78	YFR031C-A	RPL2A	4.5
79	YLR185W	RPL37A	4.5
80	YDR064W	RPS13	4.5
81	YJL136C	RPS21B	4.5
82	YPL081W	RPS9A	4.5
83	YGL030W	RPL30	4.5
84	YDR447C	RPS17B	4.5
85	YOL039W	RPP2A	4.5
86	YBR048W	RPS11B	4.5
87	YGL189C	RPS26A	4.5
88	YPR043W	RPL43A	4.5
89	YGL076C	RPL7A	4.5
90	YLR388W	RPS29A	4.5
91	YKR094C	RPL40B	4.4
92	YMR116C	ASC1	4.4
93	YER056C-A	RPL34A	4.4
94	YMR194W	RPL36A	4.4
95	YHL015W	RPS20	4.4
