SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PMS1

Rank	Gene	Common	Score
Q	YNL082W	PMS1	
1	YLR103C	CDC45	3.4
2	YJL074C	SMC3	3.2
3	YMR179W	SPT21	3.2
4	YNL273W	TOF1	3.1
5	YOR144C	ELG1	3.1
6	YOL090W	MSH2	3.0
7	YLR383W	SMC6	3.0
8	YNL102W	POL1	3.0
9	YFL008W	SMC1	3.0
10	YMR076C	PDS5	3.0
11	YDL003W	MCD1	3.0
12	YNL233W	BNI4	3.0
13	YMR078C	CTF18	2.9
14	YOL017W	ESC8	2.9
15	YIL026C	IRR1	2.9
16	YKL045W	PRI2	2.9
17	YBL035C	POL12	2.9
18	YDR097C	MSH6	2.9
19	YPR018W	RLF2	2.8
20	YKL113C	RAD27	2.8
21	YNL088W	TOP2	2.8
22	YDR507C	GIN4	2.8
23	YAR008W	SEN34	2.8
24	YLR183C	TOS4	2.8
25	YNL225C	CNM67	2.8
26	YKL089W	MIF2	2.7
27	YCL061C	MRC1	2.7
28	YBR073W	RDH54	2.7
29	YBR088C	POL30	2.7
30	YCL024W	KCC4	2.7
31	YPL153C	RAD53	2.7
32	YML109W	ZDS2	2.7
33	YPL267W	ACM1	2.7
34	YNL312W	RFA2	2.6
35	YHR154W	RTT107	2.6
36	YAR007C	RFA1	2.6
37	YDL164C	CDC9	2.6
38	YDL101C	DUN1	2.6
39	YNL166C	BNI5	2.6
40	YOL034W	SMC5	2.6
41	YJL115W	ASF1	2.6
42	YOR195W	SLK19	2.6
43	YPR120C	CLB5	2.6
44	YMR048W	CSM3	2.5
45	YLR032W	RAD5	2.5
46	YPR135W	CTF4	2.5
47	YKL108W	SLD2	2.5
48	YNL126W	SPC98	2.5
49	YGR152C	RSR1	2.5
50	YFR031C	SMC2	2.5
51	YPL255W	BBP1	2.5
52	YPR175W	DPB2	2.5
53	YML060W	OGG1	2.5
54	YOR074C	CDC21	2.5
55	YNL206C	RTT106	2.5
56	YLR313C	SPH1	2.5
57	YFR027W	ECO1	2.5
58	YNL262W	POL2	2.5
59	YNL272C	SEC2	2.5
60	YGR140W	CBF2	2.5
61	YPR141C	KAR3	2.4
62	YML069W	POB3	2.4
63	YJR043C	POL32	2.4
64	YOL006C	TOP1	2.4
65	YKL101W	HSL1	2.4
66	YLL021W	SPA2	2.4
67	YGL061C	DUO1	2.4
68	YNL188W	KAR1	2.4
69	YDR440W	DOT1	2.4
70	YPL124W	SPC29	2.4
71	YEL061C	CIN8	2.4
72	YDL102W	POL3	2.4
73	YER070W	RNR1	2.4
74	YLR272C	YCS4	2.4
75	YML061C	PIF1	2.4
76	YDL074C	BRE1	2.4
77	YHR153C	SPO16	2.4
78	YGR109C	CLB6	2.4
79	YJL187C	SWE1	2.3
80	YHR149C	SKG6	2.3
81	YPL208W	RKM1	2.3
82	YNL304W	YPT11	2.3
83	YLR212C	TUB4	2.3
84	YGL241W	KAP114	2.3
85	YOR075W	UFE1	2.3
86	YDR356W	SPC110	2.3
87	YML065W	ORC1	2.3
88	YNL039W	BDP1	2.3
89	YNL218W	MGS1	2.3
90	YOR368W	RAD17	2.3
91	YLR045C	STU2	2.3
92	YPL209C	IPL1	2.3
93	YOR033C	EXO1	2.3
94	YDL103C	QRI1	2.3
95	YIL159W	BNR1	2.2
96	YNL059C	ARP5	2.2
97	YOR216C	RUD3	2.2
98	YDR325W	YCG1	2.2
99	YOL149W	DCP1	2.2
100	YDR499W	LCD1	2.2
101	YJL073W	JEM1	2.2
102	YDR113C	PDS1	2.2
