SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: AVT4

Rank	Gene	Common	Score
Q	YNL101W	AVT4	
1	YEL063C	CAN1	3.0
2	YMR140W	SIP5	2.6
3	YMR088C	VBA1	2.6
4	YNL183C	NPR1	2.6
5	YPL006W	NCR1	2.6
6	YJL094C	KHA1	2.6
7	YNL142W	MEP2	2.6
8	YNL125C	ESBP6	2.6
9	YNL321W	VNX1	2.5
10	YNL127W	FAR11	2.5
11	YIL088C	AVT7	2.5
12	YIL048W	NEO1	2.5
13	YDL231C	BRE4	2.4
14	YNR047W	FPK1	2.4
15	YDR481C	PHO8	2.4
16	YGR023W	MTL1	2.4
17	YJR152W	DAL5	2.4
18	YDR456W	NHX1	2.4
19	YKR021W	ALY1	2.4
20	YLR189C	ATG26	2.4
21	YHR028C	DAP2	2.4
22	YKL034W	TUL1	2.4
23	YOR317W	FAA1	2.4
24	YJL093C	TOK1	2.4
25	YOL119C	MCH4	2.4
26	YDR205W	MSC2	2.4
27	YLR246W	ERF2	2.4
28	YNR013C	PHO91	2.3
29	YNL025C	SSN8	2.3
30	YOR014W	RTS1	2.3
31	YJR001W	AVT1	2.3
32	YHL016C	DUR3	2.3
33	YNL156C	NSG2	2.3
34	YGR268C	HUA1	2.3
35	YJL172W	CPS1	2.3
36	YBR018C	GAL7	2.3
37	YIL146C	ATG32	2.3
38	YHL027W	RIM101	2.3
39	YPL179W	PPQ1	2.3
40	YDR505C	PSP1	2.3
41	YNL167C	SKO1	2.3
42	YLR299W	ECM38	2.3
43	YOL060C	MAM3	2.3
44	YOR002W	ALG6	2.3
45	YNL239W	LAP3	2.3
46	YLR142W	PUT1	2.3
47	YEL006W	YEA6	2.3
48	YNL297C	MON2	2.3
49	YDL054C	MCH1	2.3
50	YKL020C	SPT23	2.3
51	YKL146W	AVT3	2.3
52	YNL074C	MLF3	2.3
53	YHR074W	QNS1	2.3
54	YMR207C	HFA1	2.2
55	YNL294C	RIM21	2.2
56	YPL265W	DIP5	2.2
57	YOR256C	TRE2	2.2
58	YIR031C	DAL7	2.2
59	YMR237W	BCH1	2.2
60	YDR504C	SPG3	2.2
61	YLR089C	ALT1	2.2
62	YOR035C	SHE4	2.2
63	YOL062C	APM4	2.2
64	YDR422C	SIP1	2.2
65	YKL175W	ZRT3	2.2
66	YPR198W	SGE1	2.2
67	YNR039C	ZRG17	2.2
68	YLR361C	DCR2	2.2
69	YML011C	RAD33	2.2
70	YOR171C	LCB4	2.2
71	YBR043C	QDR3	2.2
72	YCR011C	ADP1	2.2
73	YPR159W	KRE6	2.2
74	YHR037W	PUT2	2.2
75	YEL017W	GTT3	2.2
76	YLR240W	VPS34	2.2
77	YDL215C	GDH2	2.2
78	YNL103W	MET4	2.2
79	YEL064C	AVT2	2.2
80	YOL136C	PFK27	2.2
81	YDR350C	ATP22	2.2
82	YPL224C	MMT2	2.2
83	YLL019C	KNS1	2.2
84	YOL138C	RTC1	2.2
85	YBR293W	VBA2	2.2
86	YLR098C	CHA4	2.2
87	YAR035W	YAT1	2.2
88	YKR034W	DAL80	2.2
89	YLR144C	ACF2	2.2
90	YMR110C	HFD1	2.2
91	YLR362W	STE11	2.2
92	YOR003W	YSP3	2.2
93	YNL212W	VID27	2.2
94	YLR248W	RCK2	2.2
95	YOR034C	AKR2	2.2
96	YIL099W	SGA1	2.2
97	YOL025W	LAG2	2.2
98	YNL197C	WHI3	2.2
99	YOL128C	YGK3	2.2
100	YOR092W	ECM3	2.2
101	YIL090W	ICE2	2.2
102	YER040W	GLN3	2.2
103	YDR284C	DPP1	2.2
104	YBR036C	CSG2	2.1
105	YOR149C	SMP3	2.1
106	YMR191W	SPG5	2.1
107	YOL068C	HST1	2.1
108	YKL218C	SRY1	2.1
109	YGL139W	FLC3	2.1
110	YCL008C	STP22	2.1
111	YNR055C	HOL1	2.1
112	YER119C	AVT6	2.1
113	YDR293C	SSD1	2.1
114	YNL085W	MKT1	2.1
115	YDR264C	AKR1	2.1
116	YKR039W	GAP1	2.1
117	YLR332W	MID2	2.1
118	YOR245C	DGA1	2.1
119	YMR037C	MSN2	2.1
120	YDL031W	DBP10	2.1
121	YPL213W	LEA1	2.1
122	YLR023C	IZH3	2.1
123	YOR138C	RUP1	2.1
124	YLR019W	PSR2	2.1
125	YNL263C	YIF1	2.1
126	YPL214C	THI6	2.1
127	YDL224C	WHI4	2.1
128	YKR089C	TGL4	2.1
129	YFL021W	GAT1	2.1
130	YLR403W	SFP1	2.1
131	YDR106W	ARP10	2.1
132	YGL186C	TPN1	2.1
133	YOR030W	DFG16	2.1
134	YCL052C	PBN1	2.1
135	YPL270W	MDL2	2.1
136	YCR067C	SED4	2.1
137	YDL170W	UGA3	2.1
138	YLR371W	ROM2	2.1
139	YEL060C	PRB1	2.1
140	YKL176C	LST4	2.1
141	YIL056W	VHR1	2.1
142	YOL137W	BSC6	2.1
143	YMR119W	ASI1	2.1
144	YJL110C	GZF3	2.1
145	YDR160W	SSY1	2.1
146	YKL010C	UFD4	2.1
147	YDR242W	AMD2	2.1
148	YGL252C	RTG2	2.1
149	YGR218W	CRM1	2.1
150	YNL116W	DMA2	2.1
151	YMR020W	FMS1	2.1
152	YBL089W	AVT5	2.1
153	YLR034C	SMF3	2.1
154	YOR227W	HER1	2.1
155	YHR029C	YHI9	2.1
156	YPL206C	PGC1	2.1
157	YER125W	RSP5	2.1
158	YML057W	CMP2	2.1
159	YGR143W	SKN1	2.1
160	YOR160W	MTR10	2.1
161	YMR272C	SCS7	2.1
162	YNL168C	FMP41	2.1
163	YOR363C	PIP2	2.1
164	YKL039W	PTM1	2.1
165	YMR275C	BUL1	2.1
166	YJR106W	ECM27	2.1
167	YBR183W	YPC1	2.1
168	YOR043W	WHI2	2.1
169	YOR380W	RDR1	2.1
170	YNL130C	CPT1	2.1
171	YNR032W	PPG1	2.1
172	YMR102C	LAF1	2.1
173	YOL013C	HRD1	2.1
174	YBR222C	PCS60	2.1
175	YER033C	ZRG8	2.1
176	YMR054W	STV1	2.1
177	YPL054W	LEE1	2.1
178	YNL161W	CBK1	2.1
179	YNL094W	APP1	2.1
180	YEL062W	NPR2	2.1
181	YNL008C	ASI3	2.1
182	YML117W	NAB6	2.1
183	YBR140C	IRA1	2.1
184	YNL159C	ASI2	2.1
185	YML051W	GAL80	2.1
186	YLR247C	IRC20	2.1
187	YLR425W	TUS1	2.1
188	YGL062W	PYC1	2.1
189	YNL049C	SFB2	2.1
190	YNL287W	SEC21	2.0
191	YGL077C	HNM1	2.0
192	YOR324C	FRT1	2.0
193	YJR138W	IML1	2.0
194	YIL125W	KGD1	2.0
195	YML019W	OST6	2.0
196	YGR121C	MEP1	2.0
197	YHR188C	GPI16	2.0
198	YNL219C	ALG9	2.0
199	YER136W	GDI1	2.0
200	YNL307C	MCK1	2.0
201	YMR313C	TGL3	2.0
202	YJR126C	VPS70	2.0
203	YBR287W	YBR287W	2.0
204	YPL023C	MET12	2.0
205	YOL030W	GAS5	2.0
206	YHR082C	KSP1	2.0
207	YIL135C	VHS2	2.0
208	YJL048C	UBX6	2.0
209	YFR030W	MET10	2.0
210	YOL070C	NBA1	2.0
211	YPL159C	PET20	2.0
212	YPR024W	YME1	2.0
213	YGR032W	GSC2	2.0
214	YOR350C	MNE1	2.0
215	YFL025C	BST1	2.0
216	YJL060W	BNA3	2.0
217	YCR079W	PTC6	2.0
218	YLR005W	SSL1	2.0
219	YMR261C	TPS3	2.0
220	YDR425W	SNX41	2.0
221	YOR307C	SLY41	2.0
222	YMR200W	ROT1	2.0
223	YHR006W	STP2	2.0
224	YKL038W	RGT1	2.0
225	YEL013W	VAC8	2.0
226	YNL314W	DAL82	2.0
227	YLR270W	DCS1	2.0
228	YJR004C	SAG1	2.0
229	YAL016W	TPD3	2.0
230	YLL031C	GPI13	2.0
231	YKL064W	MNR2	2.0
232	YMR108W	ILV2	2.0
233	YOL001W	PHO80	2.0
234	YLR389C	STE23	2.0
235	YJL023C	PET130	2.0
236	YBL047C	EDE1	2.0
237	YOR113W	AZF1	2.0
238	YMR168C	CEP3	2.0
239	YKL184W	SPE1	2.0
240	YLR459W	GAB1	2.0
241	YMR019W	STB4	2.0
242	YLL015W	BPT1	2.0
243	YDR436W	PPZ2	2.0
244	YOR192C	THI72	2.0
245	YNL291C	MID1	2.0
246	YBR216C	YBP1	2.0
247	YKL157W	APE2	2.0
248	YML120C	NDI1	2.0
249	YML076C	WAR1	2.0
250	YMR092C	AIP1	2.0
251	YPL188W	POS5	2.0
252	YBR023C	CHS3	2.0
253	YMR302C	YME2	2.0
254	YML016C	PPZ1	2.0
255	YNL192W	CHS1	2.0
256	YCR028C	FEN2	2.0
257	YOR336W	KRE5	2.0
258	YMR171C	EAR1	2.0
259	YOL051W	GAL11	2.0
260	YPL057C	SUR1	2.0
261	YKR088C	TVP38	2.0
262	YBL101C	ECM21	2.0
263	YIL164C	NIT1	2.0
264	YIR029W	DAL2	2.0
265	YMR013C	SEC59	2.0
266	YPL091W	GLR1	2.0
267	YNR015W	SMM1	2.0
268	YLR097C	HRT3	2.0
269	YOR371C	GPB1	2.0
270	YPR181C	SEC23	2.0
271	YHR205W	SCH9	2.0
272	YCL026C-A	FRM2	2.0
273	YPL125W	KAP120	2.0
274	YOL063C	CRT10	2.0
275	YOR172W	YRM1	2.0
276	YDL138W	RGT2	2.0
277	YBR177C	EHT1	2.0
278	YJL156C	SSY5	2.0
279	YNR006W	VPS27	2.0
280	YLR133W	CKI1	2.0
281	YOR303W	CPA1	2.0
282	YFR055W	IRC7	2.0
283	YDR459C	PFA5	2.0
284	YDR349C	YPS7	2.0
285	YKL213C	DOA1	2.0
286	YMR257C	PET111	2.0
287	YPR176C	BET2	2.0
288	YOR100C	CRC1	2.0
289	YPL176C	TRE1	2.0
290	YIL109C	SEC24	2.0
291	YFL004W	VTC2	2.0
292	YAL034C	FUN19	2.0
293	YDL114W	YDL114W	2.0
294	YOR141C	ARP8	2.0
295	YOR044W	IRC23	2.0
296	YLR206W	ENT2	2.0
297	YOR085W	OST3	2.0
298	YHR123W	EPT1	2.0
299	YPR138C	MEP3	2.0
300	YOR061W	CKA2	2.0
301	YER024W	YAT2	2.0
302	YNR030W	ALG12	2.0
303	YLL029W	FRA1	2.0
304	YKL126W	YPK1	2.0
305	YOR008C	SLG1	2.0
306	YHR039C	MSC7	2.0
307	YOR353C	SOG2	2.0
308	YMR216C	SKY1	2.0
309	YNR059W	MNT4	2.0
310	YNL267W	PIK1	2.0
311	YDR406W	PDR15	2.0
312	YJL155C	FBP26	2.0
313	YNL238W	KEX2	2.0
314	YJL004C	SYS1	2.0
315	YGL006W	PMC1	2.0
316	YKR031C	SPO14	2.0
317	YGL178W	MPT5	2.0
318	YFL063W	YFL063W	2.0
319	YLR047C	FRE8	2.0
320	YER005W	YND1	2.0
321	YNL330C	RPD3	2.0
322	YIL047C	SYG1	2.0
323	YNL083W	SAL1	2.0
324	YGL167C	PMR1	2.0
325	YJL056C	ZAP1	2.0
326	YGL248W	PDE1	2.0
327	YML058W	SML1	2.0
328	YDR435C	PPM1	2.0
329	YDL238C	GUD1	2.0
330	YNL236W	SIN4	2.0
331	YOL011W	PLB3	2.0
332	YOL072W	THP1	2.0
333	YNL293W	MSB3	2.0
334	YAL053W	FLC2	2.0
335	YDL210W	UGA4	2.0
336	YKL025C	PAN3	2.0
337	YGR197C	SNG1	2.0
338	YLR381W	CTF3	2.0
339	YFR022W	ROG3	2.0
340	YOR219C	STE13	2.0
341	YPR070W	MED1	2.0
342	YNL076W	MKS1	2.0
343	YIR032C	DAL3	2.0
344	YGR157W	CHO2	1.9
345	YLR207W	HRD3	1.9
346	YPL084W	BRO1	1.9
347	YGR295C	COS6	1.9
348	YIL046W	MET30	1.9
349	YNL104C	LEU4	1.9
350	YOR208W	PTP2	1.9
351	YMR100W	MUB1	1.9
352	YKL135C	APL2	1.9
353	YOR058C	ASE1	1.9
354	YBL105C	PKC1	1.9
355	YOL133W	HRT1	1.9
356	YPL087W	YDC1	1.9
357	YKL062W	MSN4	1.9
358	YCL025C	AGP1	1.9
359	YOL129W	VPS68	1.9
360	YDL128W	VCX1	1.9
361	YER141W	COX15	1.9
362	YBR001C	NTH2	1.9
363	YJR044C	VPS55	1.9
364	YDR105C	TMS1	1.9
365	YNL268W	LYP1	1.9
366	YOR311C	DGK1	1.9
367	YPL115C	BEM3	1.9
368	YJR117W	STE24	1.9
369	YKL174C	TPO5	1.9
370	YDR335W	MSN5	1.9
371	YOL089C	HAL9	1.9
372	YGL141W	HUL5	1.9
373	YMR008C	PLB1	1.9
374	YKR046C	PLN1	1.9
375	YGL142C	GPI10	1.9
376	YNL027W	CRZ1	1.9
377	YJR091C	JSN1	1.9
378	YBR255W	MTC4	1.9
379	YJL103C	GSM1	1.9
380	YBR237W	PRP5	1.9
381	YNL099C	OCA1	1.9
382	YPL155C	KIP2	1.9
383	YNR033W	ABZ1	1.9
384	YER017C	AFG3	1.9
385	YPR026W	ATH1	1.9
386	YIL030C	SSM4	1.9
387	YMR064W	AEP1	1.9
388	YMR165C	PAH1	1.9
389	YPL204W	HRR25	1.9
390	YIL050W	PCL7	1.9
391	YDL160C	DHH1	1.9
392	YML048W	GSF2	1.9
393	YDR107C	TMN2	1.9
394	YHR194W	MDM31	1.9
395	YIR015W	RPR2	1.9
396	YDR142C	PEX7	1.9
397	YPR194C	OPT2	1.9
398	YDR034C	LYS14	1.9
399	YPL145C	KES1	1.9
400	YPL152W	RRD2	1.9
401	YEL072W	RMD6	1.9
402	YKL104C	GFA1	1.9
403	YJL082W	IML2	1.9
404	YOR067C	ALG8	1.9
405	YMR255W	GFD1	1.9
406	YJR065C	ARP3	1.9
407	YJL212C	OPT1	1.9
408	YHR161C	YAP1801	1.9
409	YDR438W	THI74	1.9
410	YJL101C	GSH1	1.9
411	YAL051W	OAF1	1.9
412	YJR110W	YMR1	1.9
413	YGL125W	MET13	1.9
414	YBL108W	YBL108W	1.9
415	YJR130C	STR2	1.9
416	YNL169C	PSD1	1.9
417	YOR322C	LDB19	1.9
418	YMR056C	AAC1	1.9
419	YNL329C	PEX6	1.9
420	YOR147W	MDM32	1.9
421	YCL057W	PRD1	1.9
422	YIL129C	TAO3	1.9
423	YPR023C	EAF3	1.9
424	YOR128C	ADE2	1.9
425	YAL066W	YAL066W	1.9
426	YOR129C	AFI1	1.9
427	YNL233W	BNI4	1.9
428	YNL047C	SLM2	1.9
429	YOR087W	YVC1	1.9
430	YJR127C	RSF2	1.9
431	YCL017C	NFS1	1.9
432	YPL258C	THI21	1.9
433	YLR120C	YPS1	1.9
434	YGL202W	ARO8	1.9
435	YOR070C	GYP1	1.9
436	YJL084C	ALY2	1.9
