SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: POL1

Rank	Gene	Common	Score
Q	YNL102W	POL1	
1	YMR076C	PDS5	3.8
2	YNL262W	POL2	3.6
3	YDR097C	MSH6	3.5
4	YLR103C	CDC45	3.5
5	YJL074C	SMC3	3.5
6	YBR088C	POL30	3.4
7	YKL113C	RAD27	3.4
8	YBL035C	POL12	3.4
9	YER070W	RNR1	3.3
10	YNL273W	TOF1	3.3
11	YDR507C	GIN4	3.2
12	YMR078C	CTF18	3.2
13	YIL026C	IRR1	3.2
14	YHR154W	RTT107	3.2
15	YLR183C	TOS4	3.2
16	YDL003W	MCD1	3.2
17	YOR074C	CDC21	3.1
18	YNL233W	BNI4	3.1
19	YNL082W	PMS1	3.0
20	YDL164C	CDC9	3.0
21	YLR383W	SMC6	3.0
22	YFL008W	SMC1	3.0
23	YPL256C	CLN2	2.9
24	YAR008W	SEN34	2.9
25	YOL090W	MSH2	2.9
26	YNL088W	TOP2	2.9
27	YLL021W	SPA2	2.9
28	YKL101W	HSL1	2.8
29	YBR275C	RIF1	2.8
30	YML060W	OGG1	2.8
31	YLR272C	YCS4	2.8
32	YJR031C	GEA1	2.8
33	YJL187C	SWE1	2.8
34	YOR144C	ELG1	2.8
35	YPR018W	RLF2	2.7
36	YJL080C	SCP160	2.7
37	YNL312W	RFA2	2.7
38	YNL132W	KRE33	2.7
39	YGR221C	TOS2	2.7
40	YNL072W	RNH201	2.7
41	YKL045W	PRI2	2.7
42	YNL166C	BNI5	2.7
43	YPR175W	DPB2	2.7
44	YOL017W	ESC8	2.7
45	YCL061C	MRC1	2.7
46	YHR149C	SKG6	2.7
47	YMR179W	SPT21	2.7
48	YAR007C	RFA1	2.7
49	YDL112W	TRM3	2.7
50	YJR143C	PMT4	2.7
51	YBR073W	RDH54	2.7
52	YLR212C	TUB4	2.7
53	YPR120C	CLB5	2.7
54	YBL009W	ALK2	2.6
55	YGR152C	RSR1	2.6
56	YMR229C	RRP5	2.6
57	YKL014C	URB1	2.6
58	YDL102W	POL3	2.6
59	YEL055C	POL5	2.6
60	YML061C	PIF1	2.6
61	YMR128W	ECM16	2.6
62	YPR163C	TIF3	2.6
63	YML109W	ZDS2	2.6
64	YDR440W	DOT1	2.6
65	YNL163C	RIA1	2.6
66	YER118C	SHO1	2.6
67	YPL255W	BBP1	2.6
68	YJL115W	ASF1	2.6
69	YBR245C	ISW1	2.6
70	YLL022C	HIF1	2.6
71	YJL050W	MTR4	2.6
72	YCL024W	KCC4	2.6
73	YBR252W	DUT1	2.6
74	YPL163C	SVS1	2.6
75	YLR222C	UTP13	2.6
76	YOR326W	MYO2	2.6
77	YBR121C	GRS1	2.6
78	YGR200C	ELP2	2.6
79	YPL226W	NEW1	2.6
80	YGR140W	CBF2	2.5
81	YOR341W	RPA190	2.5
82	YGR109C	CLB6	2.5
83	YJL109C	UTP10	2.5
84	YNL182C	IPI3	2.5
85	YPR135W	CTF4	2.5
86	YPL267W	ACM1	2.5
87	YPL217C	BMS1	2.5
88	YOR038C	HIR2	2.5
89	YCR057C	PWP2	2.5
90	YOR168W	GLN4	2.5
91	YPR010C	RPA135	2.5
92	YOR361C	PRT1	2.5
93	YER001W	MNN1	2.5
94	YMR049C	ERB1	2.5
95	YGR162W	TIF4631	2.5
96	YNL126W	SPC98	2.5
97	YPL160W	CDC60	2.5
98	YMR199W	CLN1	2.5
99	YPL263C	KEL3	2.5
100	YMR290C	HAS1	2.5
101	YOR188W	MSB1	2.5
102	YEL042W	GDA1	2.5
103	YGL099W	LSG1	2.5
104	YGL097W	SRM1	2.5
105	YOL007C	CSI2	2.5
106	YNL061W	NOP2	2.5
107	YLR409C	UTP21	2.5
108	YBR084W	MIS1	2.5
109	YJR043C	POL32	2.5
110	YPL241C	CIN2	2.5
111	YJR092W	BUD4	2.5
112	YNL292W	PUS4	2.5
113	YOR310C	NOP58	2.5
114	YOR335C	ALA1	2.5
115	YMR308C	PSE1	2.5
116	YDL227C	HO	2.4
117	YBR079C	RPG1	2.4
118	YLR060W	FRS1	2.4
119	YKR082W	NUP133	2.4
120	YPL126W	NAN1	2.4
121	YNL248C	RPA49	2.4
122	YLR032W	RAD5	2.4
123	YPL012W	RRP12	2.4
124	YDR395W	SXM1	2.4
125	YER110C	KAP123	2.4
126	YOR206W	NOC2	2.4
127	YMR131C	RRB1	2.4
128	YJR140C	HIR3	2.4
129	YLR372W	ELO3	2.4
130	YAL035W	FUN12	2.4
131	YNL300W	TOS6	2.4
132	YLL008W	DRS1	2.4
133	YPL227C	ALG5	2.4
