SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SPC98

Rank	Gene	Common	Score
Q	YNL126W	SPC98	
1	YEL061C	CIN8	3.0
2	YPL253C	VIK1	2.8
3	YLR272C	YCS4	2.8
4	YJR031C	GEA1	2.8
5	YDR325W	YCG1	2.8
6	YLR045C	STU2	2.8
7	YML065W	ORC1	2.7
8	YKR010C	TOF2	2.7
9	YPR141C	KAR3	2.7
10	YBL009W	ALK2	2.7
11	YHR154W	RTT107	2.6
12	YGR099W	TEL2	2.6
13	YLR373C	VID22	2.6
14	YMR125W	STO1	2.6
15	YGR098C	ESP1	2.5
16	YMR078C	CTF18	2.5
17	YIL131C	FKH1	2.5
18	YNL082W	PMS1	2.5
19	YPL255W	BBP1	2.5
20	YHR172W	SPC97	2.5
21	YDL240W	LRG1	2.5
22	YOL076W	MDM20	2.5
23	YLR183C	TOS4	2.5
24	YMR076C	PDS5	2.5
25	YNL102W	POL1	2.5
26	YMR215W	GAS3	2.5
27	YNL166C	BNI5	2.5
28	YPR120C	CLB5	2.5
29	YML104C	MDM1	2.5
30	YNL273W	TOF1	2.4
31	YER032W	FIR1	2.4
32	YBL002W	HTB2	2.4
33	YMR212C	EFR3	2.4
34	YDL003W	MCD1	2.4
35	YDR356W	SPC110	2.4
36	YJL092W	SRS2	2.4
37	YEL022W	GEA2	2.4
38	YDL074C	BRE1	2.4
39	YGR140W	CBF2	2.4
40	YDR507C	GIN4	2.4
41	YPL242C	IQG1	2.4
42	YOR073W	SGO1	2.4
43	YMR001C	CDC5	2.4
44	YML103C	NUP188	2.4
45	YJL187C	SWE1	2.4
46	YPR031W	NTO1	2.4
47	YBL079W	NUP170	2.4
48	YDR180W	SCC2	2.4
49	YPL127C	HHO1	2.4
50	YOR038C	HIR2	2.4
51	YLR383W	SMC6	2.4
52	YNR009W	NRM1	2.4
53	YPR105C	COG4	2.4
54	YDR113C	PDS1	2.4
55	YNL088W	TOP2	2.4
56	YLL004W	ORC3	2.4
57	YNL188W	KAR1	2.4
58	YKL112W	ABF1	2.4
59	YLL021W	SPA2	2.4
60	YKR082W	NUP133	2.4
61	YAL024C	LTE1	2.4
62	YPL227C	ALG5	2.3
63	YNL225C	CNM67	2.3
64	YML061C	PIF1	2.3
65	YDR303C	RSC3	2.3
66	YMR270C	RRN9	2.3
67	YNL216W	RAP1	2.3
68	YOR320C	GNT1	2.3
69	YPL208W	RKM1	2.3
70	YIL159W	BNR1	2.3
71	YMR199W	CLN1	2.3
72	YJL074C	SMC3	2.3
73	YOR144C	ELG1	2.3
74	YLR103C	CDC45	2.3
75	YBR088C	POL30	2.3
76	YDR451C	YHP1	2.3
77	YOR372C	NDD1	2.3
78	YLR313C	SPH1	2.3
79	YJL183W	MNN11	2.3
80	YPL116W	HOS3	2.3
81	YMR061W	RNA14	2.3
82	YJR092W	BUD4	2.3
83	YDR017C	KCS1	2.3
84	YNL087W	TCB2	2.3
85	YOR195W	SLK19	2.3
86	YNL085W	MKT1	2.3
87	YER118C	SHO1	2.3
88	YKL101W	HSL1	2.3
89	YDL155W	CLB3	2.3
90	YOR233W	KIN4	2.3
91	YOL012C	HTZ1	2.3
92	YNL132W	KRE33	2.3
93	YIL026C	IRR1	2.3
94	YLR182W	SWI6	2.3
95	YMR231W	PEP5	2.3
96	YGL093W	SPC105	2.3
97	YBL052C	SAS3	2.3
98	YDR245W	MNN10	2.3
99	YOR168W	GLN4	2.3
100	YMR080C	NAM7	2.3
101	YKL048C	ELM1	2.3
102	YLR381W	CTF3	2.3
103	YDL028C	MPS1	2.3
104	YPL128C	TBF1	2.3
105	YOR026W	BUB3	2.3
106	YPR104C	FHL1	2.3
107	YHR061C	GIC1	2.2
108	YNR023W	SNF12	2.2
109	YOL090W	MSH2	2.2
110	YPR119W	CLB2	2.2
111	YDR324C	UTP4	2.2
112	YLR210W	CLB4	2.2
113	YER070W	RNR1	2.2
114	YOR165W	SEY1	2.2
115	YBR156C	SLI15	2.2
116	YNL118C	DCP2	2.2
117	YKL057C	NUP120	2.2
118	YBL031W	SHE1	2.2
119	YDR395W	SXM1	2.2
120	YDL102W	POL3	2.2
121	YEL042W	GDA1	2.2
122	YDL084W	SUB2	2.2
123	YGL021W	ALK1	2.2
124	YNL123W	NMA111	2.2
125	YJR143C	PMT4	2.2
126	YCL014W	BUD3	2.2
127	YDL116W	NUP84	2.2
128	YBL063W	KIP1	2.2
129	YJL176C	SWI3	2.2
130	YNL291C	MID1	2.2
131	YDR407C	TRS120	2.2
132	YNL256W	FOL1	2.2
133	YOR326W	MYO2	2.2
134	YNL238W	KEX2	2.2
135	YPL126W	NAN1	2.2
136	YAR008W	SEN34	2.2
137	YNL233W	BNI4	2.2
138	YLR212C	TUB4	2.2
139	YMR198W	CIK1	2.2
140	YNL258C	DSL1	2.2
141	YFR002W	NIC96	2.2
142	YLR372W	ELO3	2.2
143	YML046W	PRP39	2.2
144	YGR108W	CLB1	2.2
145	YLR335W	NUP2	2.2
146	YNL154C	YCK2	2.2
147	YNL262W	POL2	2.2
148	YGR090W	UTP22	2.2
149	YDL101C	DUN1	2.2
150	YBL034C	STU1	2.2
151	YOR373W	NUD1	2.2
152	YPL241C	CIN2	2.2
153	YIL115C	NUP159	2.2
154	YIR010W	DSN1	2.1
155	YLR307W	CDA1	2.1
156	YPL207W	TYW1	2.1
157	YPL254W	HFI1	2.1
158	YLR083C	EMP70	2.1
159	YHR103W	SBE22	2.1
160	YDR147W	EKI1	2.1
161	YGL016W	KAP122	2.1
162	YPR048W	TAH18	2.1
163	YIL147C	SLN1	2.1
164	YER157W	COG3	2.1
165	YJL006C	CTK2	2.1
166	YDR144C	MKC7	2.1
167	YJL039C	NUP192	2.1
168	YNR011C	PRP2	2.1
169	YMR292W	GOT1	2.1
170	YBL003C	HTA2	2.1
171	YJL061W	NUP82	2.1
172	YBR010W	HHT1	2.1
173	YDL056W	MBP1	2.1
174	YGR188C	BUB1	2.1
175	YNL119W	NCS2	2.1
176	YJL080C	SCP160	2.1
177	YMR006C	PLB2	2.1
178	YML109W	ZDS2	2.1
179	YPL267W	ACM1	2.1
180	YDR501W	PLM2	2.1
181	YPL032C	SVL3	2.1
182	YDL112W	TRM3	2.1
183	YPL243W	SRP68	2.1
184	YDR499W	LCD1	2.1
185	YBL035C	POL12	2.1
186	YJR118C	ILM1	2.1
187	YOR175C	ALE1	2.1
188	YGL216W	KIP3	2.1
189	YNL189W	SRP1	2.1
190	YGL094C	PAN2	2.1
191	YHR153C	SPO16	2.1
