SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SRV2

Rank	Gene	Common	Score
Q	YNL138W	SRV2	
1	YCR088W	ABP1	3.5
2	YJR065C	ARP3	3.4
3	YNL071W	LAT1	3.3
4	YDL029W	ARP2	3.1
5	YBR234C	ARC40	3.1
6	YNL243W	SLA2	3.0
7	YIL034C	CAP2	3.0
8	YNR035C	ARC35	3.0
9	YNL239W	LAP3	3.0
10	YMR092C	AIP1	2.9
11	YDR388W	RVS167	2.9
12	YFL018C	LPD1	2.9
13	YKL210W	UBA1	2.9
14	YDL126C	CDC48	2.8
15	YCL057W	PRD1	2.8
16	YBR149W	ARA1	2.8
17	YOR042W	CUE5	2.8
18	YML070W	DAK1	2.8
19	YLR028C	ADE16	2.8
20	YER178W	PDA1	2.8
21	YNL287W	SEC21	2.8
22	YFR044C	DUG1	2.8
23	YKL103C	APE1	2.8
24	YIL041W	GVP36	2.7
25	YOL082W	ATG19	2.7
26	YKR001C	VPS1	2.7
27	YOL049W	GSH2	2.7
28	YOR142W	LSC1	2.7
29	YJR125C	ENT3	2.7
30	YKL007W	CAP1	2.7
31	YIL010W	DOT5	2.7
32	YHL034C	SBP1	2.7
33	YHR074W	QNS1	2.7
34	YBR111C	YSA1	2.7
35	YMR237W	BCH1	2.7
36	YPR036W	VMA13	2.7
37	YKL035W	UGP1	2.7
38	YFR051C	RET2	2.7
39	YKL157W	APE2	2.7
40	YBR080C	SEC18	2.7
41	YBR059C	AKL1	2.7
42	YDL103C	QRI1	2.7
43	YJL020C	BBC1	2.7
44	YDR032C	PST2	2.7
45	YML110C	COQ5	2.7
46	YNR030W	ALG12	2.7
47	YCL043C	PDI1	2.7
48	YCR004C	YCP4	2.6
49	YGR167W	CLC1	2.6
50	YKL126W	YPK1	2.6
51	YKL117W	SBA1	2.6
52	YLR270W	DCS1	2.6
53	YDR129C	SAC6	2.6
54	YBL007C	SLA1	2.6
55	YDR099W	BMH2	2.6
56	YOR176W	HEM15	2.6
57	YJL060W	BNA3	2.6
58	YOR230W	WTM1	2.6
59	YBR011C	IPP1	2.6
60	YDR368W	YPR1	2.6
61	YKL213C	DOA1	2.6
62	YOR157C	PUP1	2.6
63	YER136W	GDI1	2.6
64	YLR259C	HSP60	2.6
65	YMR314W	PRE5	2.6
66	YML057W	CMP2	2.6
67	YNL241C	ZWF1	2.6
68	YBR026C	ETR1	2.6
69	YPL262W	FUM1	2.6
70	YKR003W	OSH6	2.6
71	YIL109C	SEC24	2.6
72	YMR276W	DSK2	2.6
73	YGL245W	GUS1	2.6
74	YLR370C	ARC18	2.6
75	YPL154C	PEP4	2.6
76	YOL129W	VPS68	2.5
77	YFR024C-A	LSB3	2.5
78	YOR329C	SCD5	2.5
79	YOR117W	RPT5	2.5
80	YBR221C	PDB1	2.5
81	YNL168C	FMP41	2.5
82	YMR297W	PRC1	2.5
83	YNL079C	TPM1	2.5
84	YLR354C	TAL1	2.5
85	YMR261C	TPS3	2.5
86	YIL124W	AYR1	2.5
87	YBR127C	VMA2	2.5
88	YOR132W	VPS17	2.5
89	YOR155C	ISN1	2.5
90	YOR122C	PFY1	2.5
91	YGR244C	LSC2	2.5
92	YGR255C	COQ6	2.5
93	YGR019W	UGA1	2.5
94	YBR286W	APE3	2.5
95	YCR069W	CPR4	2.5
96	YCL028W	RNQ1	2.5
97	YKL145W	RPT1	2.5
98	YGR204W	ADE3	2.5
99	YJL167W	ERG20	2.5
100	YKL127W	PGM1	2.5
101	YER023W	PRO3	2.5
102	YKL065C	YET1	2.5
103	YKL193C	SDS22	2.5
104	YER119C	AVT6	2.5
105	YIR037W	HYR1	2.5
106	YOR332W	VMA4	2.5
107	YOR197W	MCA1	2.5
108	YDL185W	VMA1	2.5
109	YKL013C	ARC19	2.5
110	YNL084C	END3	2.5
111	YGR080W	TWF1	2.5
112	YIL088C	AVT7	2.5
113	YPR028W	YOP1	2.5
114	YDL097C	RPN6	2.5
115	YHR108W	GGA2	2.5
116	YOR085W	OST3	2.5
117	YBL058W	SHP1	2.4
118	YLR324W	PEX30	2.4
119	YFL037W	TUB2	2.4
120	YHR016C	YSC84	2.4
121	YPL048W	CAM1	2.4
122	YGR231C	PHB2	2.4
123	YGL026C	TRP5	2.4
124	YOR124C	UBP2	2.4
125	YMR110C	HFD1	2.4
126	YNL055C	POR1	2.4
127	YLR027C	AAT2	2.4
128	YIL062C	ARC15	2.4
129	YNR001C	CIT1	2.4
130	YLR447C	VMA6	2.4
131	YBL091C	MAP2	2.4
132	YDR148C	KGD2	2.4
133	YML004C	GLO1	2.4
134	YHR027C	RPN1	2.4
135	YCL035C	GRX1	2.4
136	YDR304C	CPR5	2.4
137	YCR011C	ADP1	2.4
138	YHR104W	GRE3	2.4
139	YCR030C	SYP1	2.4
140	YLR351C	NIT3	2.4
141	YGL202W	ARO8	2.4
142	YGL137W	SEC27	2.4
143	YBR035C	PDX3	2.4
144	YLR337C	VRP1	2.4
145	YPR108W	RPN7	2.4
146	YOR323C	PRO2	2.4
147	YGL048C	RPT6	2.4
148	YEL002C	WBP1	2.4
149	YML078W	CPR3	2.4
150	YPL091W	GLR1	2.4
151	YNL307C	MCK1	2.4
152	YBR214W	SDS24	2.4
153	YPL028W	ERG10	2.4
154	YCR036W	RBK1	2.4
155	YCR002C	CDC10	2.4
156	YKL039W	PTM1	2.4
157	YLR429W	CRN1	2.4
158	YOR187W	TUF1	2.4
159	YER177W	BMH1	2.4
160	YOR086C	TCB1	2.4
161	YGR284C	ERV29	2.4
162	YPR129W	SCD6	2.4
163	YAL016W	TPD3	2.4
164	YJR139C	HOM6	2.4
165	YKL034W	TUL1	2.4
166	YJL172W	CPS1	2.4
167	YJR148W	BAT2	2.4
168	YNL137C	NAM9	2.4
169	YDL135C	RDI1	2.4
170	YGL161C	YIP5	2.4
171	YOR347C	PYK2	2.4
172	YPL123C	RNY1	2.4
173	YDL100C	GET3	2.4
174	YJL001W	PRE3	2.4
175	YLL040C	VPS13	2.4
176	YML028W	TSA1	2.4
177	YMR250W	GAD1	2.3
178	YJL002C	OST1	2.3
179	YHR190W	ERG9	2.3
180	YOR362C	PRE10	2.3
181	YML092C	PRE8	2.3
182	YGR232W	NAS6	2.3
183	YJR059W	PTK2	2.3
184	YBR196C	PGI1	2.3
185	YKL080W	VMA5	2.3
186	YOR090C	PTC5	2.3
187	YEL060C	PRB1	2.3
188	YCL034W	LSB5	2.3
189	YIR038C	GTT1	2.3
190	YDL137W	ARF2	2.3
191	YNL037C	IDH1	2.3
192	YIL033C	BCY1	2.3
193	YKL129C	MYO3	2.3
194	YFL039C	ACT1	2.3
195	YNL074C	MLF3	2.3
196	YDR074W	TPS2	2.3
197	YKL150W	MCR1	2.3
198	YHR117W	TOM71	2.3
199	YMR152W	YIM1	2.3
200	YMR109W	MYO5	2.3
201	YNL130C	CPT1	2.3
202	YDR452W	PPN1	2.3
203	YHR188C	GPI16	2.3
204	YOR136W	IDH2	2.3
205	YDR238C	SEC26	2.3
206	YOR184W	SER1	2.3
207	YFR010W	UBP6	2.3
208	YJR044C	VPS55	2.3
209	YBR229C	ROT2	2.3
210	YFL010C	WWM1	2.3
211	YOR185C	GSP2	2.3
212	YPL004C	LSP1	2.3
213	YPL203W	TPK2	2.3
214	YGR193C	PDX1	2.3
215	YGL105W	ARC1	2.3
216	YGL173C	XRN1	2.3
217	YER003C	PMI40	2.3
218	YGL207W	SPT16	2.3
219	YNL274C	GOR1	2.3
220	YMR105C	PGM2	2.3
221	YDL095W	PMT1	2.3
222	YDR204W	COQ4	2.3
223	YGL206C	CHC1	2.3
224	YNL015W	PBI2	2.3
225	YER048C	CAJ1	2.3
226	YBR109C	CMD1	2.3
227	YPL249C	GYP5	2.3
228	YNL098C	RAS2	2.3
229	YJR121W	ATP2	2.3
230	YAL042W	ERV46	2.3
231	YBL047C	EDE1	2.3
232	YDR284C	DPP1	2.3
233	YCR073W-A	SOL2	2.3
234	YJR001W	AVT1	2.3
235	YDL190C	UFD2	2.3
236	YLL050C	COF1	2.3
237	YOR259C	RPT4	2.3
238	YNL330C	RPD3	2.3
239	YDL078C	MDH3	2.3
240	YML012W	ERV25	2.3
241	YPR103W	PRE2	2.3
242	YNL322C	KRE1	2.3
243	YDL188C	PPH22	2.3
244	YLR304C	ACO1	2.3
245	YIR036C	IRC24	2.3
246	YMR304W	UBP15	2.3
247	YML126C	ERG13	2.3
248	YDR394W	RPT3	2.3
249	YHR028C	DAP2	2.3
250	YML085C	TUB1	2.3
251	YGR178C	PBP1	2.3
252	YOL038W	PRE6	2.3
253	YNL189W	SRP1	2.3
254	YDR001C	NTH1	2.3
255	YIL123W	SIM1	2.3
256	YGL022W	STT3	2.3
257	YDR353W	TRR1	2.3
258	YDL145C	COP1	2.3
259	YOR125C	CAT5	2.2
260	YLL026W	HSP104	2.2
261	YNL085W	MKT1	2.2
262	YDL022W	GPD1	2.2
263	YML086C	ALO1	2.2
264	YCL040W	GLK1	2.2
265	YDR122W	KIN1	2.2
266	YOR198C	BFR1	2.2
267	YHR037W	PUT2	2.2
268	YIR006C	PAN1	2.2
269	YLR178C	TFS1	2.2
270	YJL053W	PEP8	2.2
271	YMR139W	RIM11	2.2
272	YBL056W	PTC3	2.2
273	YDL066W	IDP1	2.2
274	YGR132C	PHB1	2.2
275	YGL084C	GUP1	2.2
276	YMR072W	ABF2	2.2
277	YKL142W	MRP8	2.2
278	YLR258W	GSY2	2.2
279	YBR126C	TPS1	2.2
280	YOR375C	GDH1	2.2
281	YNL005C	MRP7	2.2
282	YDR294C	DPL1	2.2
283	YBR003W	COQ1	2.2
284	YLL018C	DPS1	2.2
285	YBL017C	PEP1	2.2
286	YJL042W	MHP1	2.2
287	YGR194C	XKS1	2.2
288	YBR052C	RFS1	2.2
289	YPL087W	YDC1	2.2
290	YMR302C	YME2	2.2
291	YAL005C	SSA1	2.2
292	YDL015C	TSC13	2.2
293	YOR321W	PMT3	2.2
294	YBL022C	PIM1	2.2
295	YGR189C	CRH1	2.2
296	YLR378C	SEC61	2.2
297	YJL066C	MPM1	2.2
298	YER057C	HMF1	2.2
299	YDR435C	PPM1	2.2
300	YPL206C	PGC1	2.2
301	YNL272C	SEC2	2.2
302	YPL031C	PHO85	2.2
303	YJR073C	OPI3	2.2
304	YJR103W	URA8	2.2
305	YKL067W	YNK1	2.2
306	YDL195W	SEC31	2.2
307	YNL173C	MDG1	2.2
308	YMR083W	ADH3	2.2
309	YMR220W	ERG8	2.2
310	YDL226C	GCS1	2.2
311	YER027C	GAL83	2.2
312	YIL075C	RPN2	2.2
313	YDR516C	EMI2	2.2
314	YOR087W	YVC1	2.2
315	YBR177C	EHT1	2.2
316	YNR043W	MVD1	2.2
317	YHR008C	SOD2	2.2
318	YBR046C	ZTA1	2.2
319	YNL312W	RFA2	2.2
320	YDR272W	GLO2	2.2
321	YDR518W	EUG1	2.2
322	YJR045C	SSC1	2.2
323	YML124C	TUB3	2.2
324	YLR203C	MSS51	2.2
325	YKL104C	GFA1	2.2
326	YGL011C	SCL1	2.2
327	YOR120W	GCY1	2.2
328	YNL073W	MSK1	2.2
329	YAL023C	PMT2	2.2
330	YNL094W	APP1	2.2
331	YNL297C	MON2	2.2
332	YHR110W	ERP5	2.2
333	YDL072C	YET3	2.2
334	YPL270W	MDL2	2.2
335	YDR168W	CDC37	2.2
336	YDR084C	TVP23	2.2
337	YGR136W	LSB1	2.2
338	YAL008W	FUN14	2.2
339	YER026C	CHO1	2.2
340	YLR208W	SEC13	2.2
341	YGR135W	PRE9	2.2
342	YPL006W	NCR1	2.2
343	YFR050C	PRE4	2.2
344	YFR052W	RPN12	2.2
345	YLR153C	ACS2	2.2
346	YML069W	POB3	2.2
