SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: YNL194C

Rank	Gene	Common	Score
Q	YNL194C	YNL194C	
1	YNL195C	YNL195C	3.4
2	YOL084W	PHM7	2.7
3	YPL186C	UIP4	2.6
4	YER150W	SPI1	2.6
5	YOR173W	DCS2	2.6
6	YGR248W	SOL4	2.6
7	YDR070C	FMP16	2.6
8	YML128C	MSC1	2.6
9	YPL230W	USV1	2.6
10	YAL061W	BDH2	2.5
11	YIL057C	RGI2	2.5
12	YIL136W	OM45	2.5
13	YLR149C	GID11	2.5
14	YIL101C	XBP1	2.5
15	YEL011W	GLC3	2.5
16	YDL204W	RTN2	2.5
17	YFR017C	IGD1	2.4
18	YDL222C	FMP45	2.4
19	YKL026C	GPX1	2.4
20	YOL052C-A	DDR2	2.4
21	YBR169C	SSE2	2.4
22	YMR250W	GAD1	2.4
23	YHR096C	HXT5	2.4
24	YGR043C	NQM1	2.4
25	YLR178C	TFS1	2.4
26	YJL221C	IMA4	2.4
27	YER054C	GIP2	2.4
28	YMR169C	ALD3	2.3
29	YMR107W	SPG4	2.3
30	YJR096W	YJR096W	2.3
31	YML100W	TSL1	2.3
32	YDL223C	HBT1	2.3
33	YGR088W	CTT1	2.3
34	YLR312C	ATG39	2.3
35	YDL085W	NDE2	2.3
36	YNL200C	NNR1	2.3
37	YNR002C	ATO2	2.3
38	YDR171W	HSP42	2.3
39	YHL021C	AIM17	2.2
40	YJL161W	FMP33	2.2
41	YHR087W	RTC3	2.2
42	YPR184W	GDB1	2.2
43	YMR105C	PGM2	2.2
44	YBR280C	SAF1	2.2
45	YOR178C	GAC1	2.2
46	YBR072W	HSP26	2.2
47	YKL151C	NNR2	2.2
48	YDR074W	TPS2	2.2
49	YKL093W	MBR1	2.2
50	YBR117C	TKL2	2.2
51	YPR026W	ATH1	2.2
52	YJL163C	YJL163C	2.2
53	YOR374W	ALD4	2.2
54	YPL033C	SRL4	2.2
55	YBR230C	OM14	2.2
56	YPL222W	FMP40	2.2
57	YJR008W	MHO1	2.2
58	YLR251W	SYM1	2.2
59	YLR327C	TMA10	2.2
60	YMR175W	SIP18	2.2
61	YAL034C	FUN19	2.1
62	YDR001C	NTH1	2.1
63	YER079W	YER079W	2.1
64	YGR008C	STF2	2.1
65	YML054C	CYB2	2.1
66	YBR214W	SDS24	2.1
67	YLR258W	GSY2	2.1
68	YGR052W	FMP48	2.1
69	YJL144W	ROQ1	2.1
70	YDL110C	TMA17	2.1
71	YHR097C	PAL2	2.1
72	YLR270W	DCS1	2.1
73	YBR285W	YBR285W	2.1
74	YKL091C	YKL091C	2.1
75	YMR206W	YMR206W	2.1
76	YPL247C	YPL247C	2.1
77	YDL199C	YDL199C	2.1
78	YGR256W	GND2	2.1
79	YLR345W	YLR345W	2.1
80	YMR081C	ISF1	2.1
81	YMR174C	PAI3	2.1
82	YOR120W	GCY1	2.1
83	YPL223C	GRE1	2.1
84	YDL169C	UGX2	2.1
85	YMR110C	HFD1	2.1
86	YMR181C	YMR181C	2.1
87	YMR090W	YMR090W	2.1
88	YER067W	RGI1	2.1
89	YBR126C	TPS1	2.1
90	YLL026W	HSP104	2.1
91	YJL141C	YAK1	2.1
92	YHR104W	GRE3	2.1
93	YNR014W	YNR014W	2.1
94	YOL083W	ATG34	2.1
95	YGR236C	SPG1	2.1
96	YBL078C	ATG8	2.1
97	YIL155C	GUT2	2.1
98	YOR161C	PNS1	2.1
99	YNL305C	BXI1	2.1
100	YHR138C	YHR138C	2.1
101	YBR241C	VVS1	2.1
102	YNL115C	YNL115C	2.1
103	YGR127W	YGR127W	2.0
104	YKR049C	FMP46	2.0
105	YCL040W	GLK1	2.0
106	YGL037C	PNC1	2.0
107	YGR243W	MPC3	2.0
108	YCR021C	HSP30	2.0
109	YIL099W	SGA1	2.0
110	YKR076W	ECM4	2.0
111	YGL156W	AMS1	2.0
112	YML004C	GLO1	2.0
113	YMR196W	YMR196W	2.0
114	YPL004C	LSP1	2.0
115	YIL160C	POT1	2.0
116	YML042W	CAT2	2.0
117	YER121W	YER121W	2.0
118	YDR018C	YDR018C	2.0
119	YPL123C	RNY1	2.0
120	YJL155C	FBP26	2.0
121	YDR358W	GGA1	2.0
122	YIL113W	SDP1	2.0
123	YFL030W	AGX1	2.0
124	YIR016W	YIR016W	2.0
125	YIL087C	AIM19	2.0
126	YBL015W	ACH1	2.0
127	YPL054W	LEE1	2.0
128	YOL048C	RRT8	2.0
129	YOR289W	YOR289W	2.0
130	YKL150W	MCR1	2.0
131	YIL077C	RCI37	2.0
132	YJL164C	TPK1	2.0
133	YIL045W	PIG2	2.0
134	YER053C	PIC2	2.0
135	YPR149W	NCE102	2.0
136	YOL032W	OPI10	2.0
137	YER103W	SSA4	2.0
138	YNL274C	GOR1	2.0
139	YJL103C	GSM1	2.0
140	YCR091W	KIN82	2.0
141	YEL039C	CYC7	2.0
