SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SPS18

Rank	Gene	Common	Score
Q	YNL204C	SPS18	
1	YGL170C	SPO74	2.7
2	YLR343W	GAS2	2.6
3	YDR523C	SPS1	2.6
4	YBR148W	YSW1	2.6
5	YJL214W	HXT8	2.5
6	YIR013C	GAT4	2.5
7	YDR273W	DON1	2.5
8	YLR329W	REC102	2.5
9	YFR023W	PES4	2.5
10	YOR242C	SSP2	2.5
11	YOR380W	RDR1	2.4
12	YOL132W	GAS4	2.4
13	YPL130W	SPO19	2.4
14	YOL091W	SPO21	2.4
15	YOR190W	SPR1	2.4
16	YGR059W	SPR3	2.3
17	YNL128W	TEP1	2.3
18	YML102W	CAC2	2.3
19	YBR045C	GIP1	2.3
20	YNL029C	KTR5	2.3
21	YOR298W	MUM3	2.3
22	YGR109C	CLB6	2.3
23	YMR017W	SPO20	2.3
24	YDR104C	SPO71	2.3
25	YJL038C	LOH1	2.2
26	YOL024W	YOL024W	2.2
27	YBR040W	FIG1	2.2
28	YDR317W	HIM1	2.2
29	YHR184W	SSP1	2.2
30	YGR060W	ERG25	2.2
31	YBR180W	DTR1	2.2
32	YCR089W	FIG2	2.2
33	YLR307W	CDA1	2.2
34	YPR054W	SMK1	2.2
35	YCL048W	SPS22	2.2
36	YLR213C	CRR1	2.2
37	YOR255W	OSW1	2.2
38	YER180C	ISC10	2.2
39	YOR313C	SPS4	2.1
40	YLR227C	ADY4	2.1
41	YOL080C	REX4	2.1
42	YDR218C	SPR28	2.1
43	YLR210W	CLB4	2.1
44	YOR339C	UBC11	2.1
45	YMR274C	RCE1	2.1
46	YOL110W	SHR5	2.1
47	YMR236W	TAF9	2.1
48	YER115C	SPR6	2.1
49	YPL222W	FMP40	2.1
50	YNL225C	CNM67	2.1
51	YBL014C	RRN6	2.1
52	YDR522C	SPS2	2.1
53	YBR250W	SPO23	2.1
54	YHR015W	MIP6	2.1
55	YPL030W	TRM44	2.1
56	YMR232W	FUS2	2.1
57	YOR394W	PAU21	2.1
58	YJR114W	YJR114W	2.1
59	YOL015W	IRC10	2.1
60	YPL027W	SMA1	2.1
61	YHR124W	NDT80	2.1
62	YIL103W	DPH1	2.1
63	YMR126C	DLT1	2.0
64	YIR020C	YIR020C	2.0
65	YCL026C-A	FRM2	2.0
66	YJL037W	IRC18	2.0
67	YLR341W	SPO77	2.0
68	YHR036W	BRL1	2.0
69	YMR096W	SNZ1	2.0
70	YGL171W	ROK1	2.0
71	YDR143C	SAN1	2.0
72	YGL014W	PUF4	2.0
73	YIL159W	BNR1	2.0
74	YGR229C	SMI1	2.0
75	YDR206W	EBS1	2.0
76	YNL299W	TRF5	2.0
77	YLR397C	AFG2	2.0
78	YCR057C	PWP2	2.0
79	YDL112W	TRM3	2.0
80	YKR056W	TRM2	2.0
81	YNL256W	FOL1	2.0
82	YJR153W	PGU1	2.0
83	YHR139C-A	YHR139C-A	2.0
84	YLR409C	UTP21	2.0
85	YGL122C	NAB2	2.0
86	YPR046W	MCM16	2.0
87	YLR263W	RED1	2.0
88	YDL122W	UBP1	2.0
89	YOR033C	EXO1	2.0
90	YPL189W	GUP2	2.0
91	YLR223C	IFH1	2.0
92	YLR272C	YCS4	2.0
93	YLR099C	ICT1	2.0
94	YPR078C	YPR078C	2.0
95	YIL146C	ATG32	2.0
96	YML047C	PRM6	2.0
97	YLR451W	LEU3	2.0
98	YNR011C	PRP2	2.0
99	YNL318C	HXT14	2.0
100	YPL255W	BBP1	2.0
101	YHR185C	PFS1	2.0
102	YOR249C	APC5	2.0
103	YNL218W	MGS1	2.0
104	YLR308W	CDA2	2.0
105	YLL004W	ORC3	2.0
106	YNL202W	SPS19	2.0
107	YOL141W	PPM2	2.0
108	YNL269W	BSC4	2.0
109	YGR225W	AMA1	2.0
110	YKR102W	FLO10	2.0
111	YJR119C	JHD2	1.9
112	YIL132C	CSM2	1.9
113	YPL056C	LCL1	1.9
114	YMR213W	CEF1	1.9
115	YPR182W	SMX3	1.9
116	YGL099W	LSG1	1.9
117	YDR263C	DIN7	1.9
118	YDR066C	RTR2	1.9
119	YJR132W	NMD5	1.9
120	YOL068C	HST1	1.9
121	YDL028C	MPS1	1.9
122	YMR288W	HSH155	1.9
123	YOL115W	PAP2	1.9
124	YER179W	DMC1	1.9
125	YNL112W	DBP2	1.9
126	YLR054C	OSW2	1.9
127	YDL247W	MPH2	1.9
128	YBR270C	BIT2	1.9
129	YPL204W	HRR25	1.9
130	YFL023W	BUD27	1.9
131	YER181C	YER181C	1.9
132	YOR192C	THI72	1.9
133	YPL192C	PRM3	1.9
134	YPR122W	AXL1	1.9
135	YNL042W	BOP3	1.9
136	YOR009W	TIR4	1.9
137	YNL124W	NAF1	1.9
138	YMR285C	NGL2	1.9
139	YER106W	MAM1	1.9
140	YNL163C	RIA1	1.9
141	YGL092W	NUP145	1.9
142	YBR152W	SPP381	1.9
143	YKR053C	YSR3	1.9
144	YNL132W	KRE33	1.9
145	YLR384C	IKI3	1.9
146	YOR341W	RPA190	1.9
147	YNL017C	YNL017C	1.9
148	YNL227C	JJJ1	1.9
149	YNL298W	CLA4	1.9
150	YBL024W	NCL1	1.9
151	YJL125C	GCD14	1.9
152	YPL258C	THI21	1.9
153	YHR084W	STE12	1.9
154	YKL132C	RMA1	1.9
155	YBR275C	RIF1	1.9
156	YMR049C	ERB1	1.9
157	YLR457C	NBP1	1.9
158	YGL144C	ROG1	1.9
159	YLL034C	RIX7	1.9
160	YDR021W	FAL1	1.9
161	YBL004W	UTP20	1.9
162	YNR012W	URK1	1.9
163	YMR128W	ECM16	1.9
164	YOR038C	HIR2	1.9
165	YOR107W	RGS2	1.9
