SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: VID27

Rank	Gene	Common	Score
Q	YNL212W	VID27	
1	YDR027C	VPS54	2.7
2	YOR014W	RTS1	2.7
3	YDL132W	CDC53	2.7
4	YGL252C	RTG2	2.6
5	YNL118C	DCP2	2.6
6	YKR031C	SPO14	2.6
7	YOL116W	MSN1	2.6
8	YLR189C	ATG26	2.6
9	YOR086C	TCB1	2.6
10	YML034W	SRC1	2.6
11	YJL036W	SNX4	2.5
12	YKL213C	DOA1	2.5
13	YML007W	YAP1	2.5
14	YHR027C	RPN1	2.5
15	YAL016W	TPD3	2.5
16	YDR122W	KIN1	2.5
17	YDR329C	PEX3	2.5
18	YPL203W	TPK2	2.5
19	YNL257C	SIP3	2.5
20	YPR025C	CCL1	2.5
21	YLR371W	ROM2	2.5
22	YBL058W	SHP1	2.5
23	YJR126C	VPS70	2.5
24	YMR037C	MSN2	2.5
25	YOL089C	HAL9	2.5
26	YLR219W	MSC3	2.5
27	YOR043W	WHI2	2.5
28	YGL228W	SHE10	2.4
29	YNL215W	IES2	2.4
30	YJL042W	MHP1	2.4
31	YJL057C	IKS1	2.4
32	YDL019C	OSH2	2.4
33	YDR069C	DOA4	2.4
34	YPR105C	COG4	2.4
35	YNL183C	NPR1	2.4
36	YMR100W	MUB1	2.4
37	YNL127W	FAR11	2.4
38	YNL054W	VAC7	2.4
39	YKL179C	COY1	2.4
40	YOL013C	HRD1	2.4
41	YJL155C	FBP26	2.4
42	YJL101C	GSH1	2.4
43	YNR031C	SSK2	2.4
44	YGL227W	VID30	2.4
45	YNL258C	DSL1	2.4
46	YKL064W	MNR2	2.4
47	YGL093W	SPC105	2.4
48	YPR023C	EAF3	2.4
49	YGR270W	YTA7	2.4
50	YKL005C	BYE1	2.4
51	YMR004W	MVP1	2.4
52	YER021W	RPN3	2.4
53	YCL052C	PBN1	2.4
54	YNL121C	TOM70	2.4
55	YMR302C	YME2	2.4
56	YLR427W	MAG2	2.4
57	YDR129C	SAC6	2.4
58	YKL010C	UFD4	2.4
59	YOR256C	TRE2	2.4
60	YKR008W	RSC4	2.4
61	YMR119W	ASI1	2.4
62	YKL034W	TUL1	2.4
63	YOL100W	PKH2	2.4
64	YOL065C	INP54	2.3
65	YOR151C	RPB2	2.3
66	YDR358W	GGA1	2.3
67	YOR113W	AZF1	2.3
68	YER162C	RAD4	2.3
69	YDR335W	MSN5	2.3
70	YNL287W	SEC21	2.3
71	YOR141C	ARP8	2.3
72	YNL297C	MON2	2.3
73	YLR247C	IRC20	2.3
74	YDR150W	NUM1	2.3
75	YIL105C	SLM1	2.3
76	YOL049W	GSH2	2.3
77	YNL216W	RAP1	2.3
78	YFR040W	SAP155	2.3
79	YGR047C	TFC4	2.3
80	YKL025C	PAN3	2.3
81	YMR044W	IOC4	2.3
82	YJL094C	KHA1	2.3
83	YLR362W	STE11	2.3
84	YOR054C	VHS3	2.3
85	YDR003W	RCR2	2.3
86	YDR028C	REG1	2.3
87	YNL027W	CRZ1	2.3
88	YGL048C	RPT6	2.3
89	YDR477W	SNF1	2.3
90	YDL074C	BRE1	2.3
91	YLR240W	VPS34	2.3
92	YDL115C	IWR1	2.3
93	YNR023W	SNF12	2.3
94	YDL240W	LRG1	2.3
95	YNL084C	END3	2.3
96	YPR024W	YME1	2.3
97	YBL047C	EDE1	2.3
98	YML069W	POB3	2.3
99	YNL076W	MKS1	2.3
100	YBR272C	HSM3	2.3
101	YMR311C	GLC8	2.3
102	YIL143C	SSL2	2.3
103	YJR066W	TOR1	2.3
104	YOR087W	YVC1	2.3
105	YOL117W	RRI2	2.3
106	YIR002C	MPH1	2.3
107	YKR014C	YPT52	2.3
108	YLR206W	ENT2	2.3
109	YBR097W	VPS15	2.3
110	YDL113C	ATG20	2.3
111	YMR275C	BUL1	2.3
112	YLR425W	TUS1	2.3
113	YOR219C	STE13	2.3
114	YNL008C	ASI3	2.3
115	YDL147W	RPN5	2.3
116	YGL006W	PMC1	2.3
117	YDL168W	SFA1	2.3
118	YJL164C	TPK1	2.3
119	YML117W	NAB6	2.3
120	YOR023C	AHC1	2.3
121	YHR028C	DAP2	2.3
122	YNL156C	NSG2	2.3
123	YIL048W	NEO1	2.3
124	YGR186W	TFG1	2.3
125	YNL167C	SKO1	2.3
126	YNL267W	PIK1	2.3
127	YMR313C	TGL3	2.3
128	YHR171W	ATG7	2.3
129	YMR304W	UBP15	2.3
130	YNR007C	ATG3	2.3
131	YNL218W	MGS1	2.3
132	YGR223C	HSV2	2.3
133	YDR356W	SPC110	2.3
134	YDL091C	UBX3	2.3
135	YOL051W	GAL11	2.3
136	YNL059C	ARP5	2.3
137	YNL173C	MDG1	2.3
138	YLR270W	DCS1	2.3
139	YNL330C	RPD3	2.3
140	YBR049C	REB1	2.3
141	YNL085W	MKT1	2.3
142	YGR184C	UBR1	2.3
143	YPL228W	CET1	2.3
144	YMR261C	TPS3	2.3
145	YIL036W	CST6	2.3
146	YML049C	RSE1	2.3
147	YKR021W	ALY1	2.3
148	YMR029C	FAR8	2.3
149	YDL028C	MPS1	2.3
150	YCR011C	ADP1	2.3
151	YDL007W	RPT2	2.2
152	YPL249C	GYP5	2.2
153	YNL307C	MCK1	2.2
154	YMR115W	MGR3	2.2
155	YNL321W	VNX1	2.2
156	YPL091W	GLR1	2.2
157	YIL107C	PFK26	2.2
158	YJR138W	IML1	2.2
159	YJR052W	RAD7	2.2
160	YLR369W	SSQ1	2.2
161	YKL015W	PUT3	2.2
162	YBR212W	NGR1	2.2
163	YDR362C	TFC6	2.2
164	YOR162C	YRR1	2.2
165	YMR109W	MYO5	2.2
166	YGR116W	SPT6	2.2
167	YLR028C	ADE16	2.2
168	YDR407C	TRS120	2.2
169	YBL022C	PIM1	2.2
170	YAL051W	OAF1	2.2
171	YOR117W	RPT5	2.2
172	YNL243W	SLA2	2.2
173	YKL020C	SPT23	2.2
174	YOR076C	SKI7	2.2
175	YLR389C	STE23	2.2
176	YNL317W	PFS2	2.2
177	YJR122W	IBA57	2.2
178	YLL015W	BPT1	2.2
179	YOL018C	TLG2	2.2
180	YOR124C	UBP2	2.2
181	YHR103W	SBE22	2.2
182	YMR237W	BCH1	2.2
183	YLR299W	ECM38	2.2
184	YMR036C	MIH1	2.2
185	YBR129C	OPY1	2.2
186	YKR028W	SAP190	2.2
187	YBR255W	MTC4	2.2
188	YDR293C	SSD1	2.2
189	YMR097C	MTG1	2.2
190	YOR165W	SEY1	2.2
191	YDR170C	SEC7	2.2
192	YDR159W	SAC3	2.2
193	YNL229C	URE2	2.2
194	YOR089C	VPS21	2.2
195	YML072C	TCB3	2.2
196	YGL112C	TAF6	2.2
197	YOL082W	ATG19	2.2
198	YDR485C	VPS72	2.2
199	YBR140C	IRA1	2.2
200	YOR329C	SCD5	2.2
201	YCR030C	SYP1	2.2
202	YMR125W	STO1	2.2
203	YPR008W	HAA1	2.2
204	YPR072W	NOT5	2.2
205	YLR250W	SSP120	2.2
206	YNL161W	CBK1	2.2
207	YBR001C	NTH2	2.2
208	YDR425W	SNX41	2.2
209	YDR505C	PSP1	2.2
210	YJL141C	YAK1	2.2
211	YMR061W	RNA14	2.2
212	YDR350C	ATP22	2.2
213	YOR018W	ROD1	2.2
214	YNL250W	RAD50	2.2
215	YER027C	GAL83	2.2
216	YLR260W	LCB5	2.2
217	YDR330W	UBX5	2.2
218	YPR081C	GRS2	2.2
219	YOR035C	SHE4	2.2
220	YJL005W	CYR1	2.2
221	YAL056W	GPB2	2.2
222	YGR143W	SKN1	2.2
223	YJR090C	GRR1	2.2
224	YNL223W	ATG4	2.2
225	YOL060C	MAM3	2.2
226	YGL190C	CDC55	2.2
227	YOR211C	MGM1	2.2
228	YIL097W	FYV10	2.2
229	YPL084W	BRO1	2.2
230	YNL159C	ASI2	2.2
231	YDR458C	HEH2	2.2
232	YER017C	AFG3	2.2
233	YPL139C	UME1	2.2
234	YLR398C	SKI2	2.2
235	YNL091W	NST1	2.2
236	YOR058C	ASE1	2.2
237	YPR029C	APL4	2.2
238	YOR069W	VPS5	2.2
239	YOR017W	PET127	2.2
240	YJR089W	BIR1	2.2
241	YKL145W	RPT1	2.2
242	YMR064W	AEP1	2.2
243	YHL002W	HSE1	2.2
244	YOR239W	ABP140	2.2
245	YHR082C	KSP1	2.2
246	YJR033C	RAV1	2.2
247	YOR275C	RIM20	2.2
248	YPL100W	ATG21	2.2
249	YMR092C	AIP1	2.2
250	YJR059W	PTK2	2.2
251	YGL139W	FLC3	2.2
252	YGR009C	SEC9	2.2
253	YDR117C	TMA64	2.2
254	YGL233W	SEC15	2.2
255	YDL077C	VAM6	2.2
256	YKL126W	YPK1	2.2
257	YNL225C	CNM67	2.2
258	YJL074C	SMC3	2.2
259	YNL098C	RAS2	2.2
260	YMR054W	STV1	2.2
261	YNL101W	AVT4	2.2
262	YPR108W	RPN7	2.2
263	YFL007W	BLM10	2.2
264	YPL074W	YTA6	2.2
265	YMR139W	RIM11	2.2
266	YBL033C	RIB1	2.2
267	YDR011W	SNQ2	2.2
268	YDR460W	TFB3	2.2
269	YPL003W	ULA1	2.2
270	YGR231C	PHB2	2.2
271	YLR166C	SEC10	2.2
272	YAL017W	PSK1	2.2
273	YNL214W	PEX17	2.2
274	YDR283C	GCN2	2.2
275	YFL033C	RIM15	2.2
276	YLR182W	SWI6	2.2
277	YOR171C	LCB4	2.2
278	YAL001C	TFC3	2.2
279	YMR047C	NUP116	2.2
280	YOR245C	DGA1	2.2
281	YOR244W	ESA1	2.2
282	YDR166C	SEC5	2.2
283	YGL180W	ATG1	2.2
284	YLR207W	HRD3	2.2
285	YLR403W	SFP1	2.2
286	YLR309C	IMH1	2.2
287	YLL040C	VPS13	2.2
288	YLR399C	BDF1	2.2
289	YBR273C	UBX7	2.2
290	YHR037W	PUT2	2.2
291	YPL004C	LSP1	2.2
292	YNL137C	NAM9	2.2
293	YGL150C	INO80	2.1
294	YJL103C	GSM1	2.1
295	YOR172W	YRM1	2.1
296	YPL116W	HOS3	2.1
297	YBL050W	SEC17	2.1
298	YLR117C	CLF1	2.1
299	YLR163C	MAS1	2.1
300	YLL019C	KNS1	2.1
301	YMR190C	SGS1	2.1
302	YOR227W	HER1	2.1
303	YMR284W	YKU70	2.1
304	YEL013W	VAC8	2.1
305	YDR096W	GIS1	2.1
306	YPL180W	TCO89	2.1
307	YMR089C	YTA12	2.1
308	YGR010W	NMA2	2.1
309	YML041C	VPS71	2.1
310	YMR033W	ARP9	2.1
311	YIL005W	EPS1	2.1
312	YMR231W	PEP5	2.1
313	YBL105C	PKC1	2.1
314	YCL051W	LRE1	2.1
315	YHL019C	APM2	2.1
316	YNL083W	SAL1	2.1
317	YKL168C	KKQ8	2.1
318	YJR110W	YMR1	2.1
319	YJL047C	RTT101	2.1
320	YBR103W	SIF2	2.1
321	YKL210W	UBA1	2.1
322	YKL065C	YET1	2.1
323	YNL272C	SEC2	2.1
324	YDL234C	GYP7	2.1
325	YMR165C	PAH1	2.1
326	YPL138C	SPP1	2.1
327	YDL116W	NUP84	2.1
328	YMR218C	TRS130	2.1
329	YKL112W	ABF1	2.1
330	YDR017C	KCS1	2.1
331	YDL078C	MDH3	2.1
332	YIL002C	INP51	2.1
333	YPR049C	ATG11	2.1
334	YIL125W	KGD1	2.1
335	YBR170C	NPL4	2.1
336	YNL238W	KEX2	2.1
337	YCR033W	SNT1	2.1
338	YGL091C	NBP35	2.1
339	YBR199W	KTR4	2.1
340	YNL006W	LST8	2.1
341	YER040W	GLN3	2.1
342	YKL121W	DGR2	2.1
343	YNL103W	MET4	2.1
344	YJL176C	SWI3	2.1
345	YBR095C	RXT2	2.1
346	YOR259C	RPT4	2.1
347	YNR033W	ABZ1	2.1
348	YLL029W	FRA1	2.1
349	YML088W	UFO1	2.1
350	YKL129C	MYO3	2.1
351	YER155C	BEM2	2.1
352	YBR059C	AKL1	2.1
353	YKR029C	SET3	2.1
354	YFR010W	UBP6	2.1
355	YOL151W	GRE2	2.1
356	YNL172W	APC1	2.1
357	YNL047C	SLM2	2.1
358	YLR387C	REH1	2.1
359	YNR039C	ZRG17	2.1
360	YKL124W	SSH4	2.1
361	YDR313C	PIB1	2.1
362	YJL053W	PEP8	2.1
363	YGL197W	MDS3	2.1
364	YNR047W	FPK1	2.1
365	YGL250W	RMR1	2.1
366	YDR292C	SRP101	2.1
367	YDR457W	TOM1	2.1
368	YML057W	CMP2	2.1
369	YKL039W	PTM1	2.1
370	YML032C	RAD52	2.1
371	YOR363C	PIP2	2.1
372	YLR442C	SIR3	2.1
373	YPL155C	KIP2	2.1
374	YEL052W	AFG1	2.1
375	YKR001C	VPS1	2.1
376	YER059W	PCL6	2.1
377	YDR421W	ARO80	2.1
378	YPR178W	PRP4	2.1
379	YCL034W	LSB5	2.1
380	YLR353W	BUD8	2.1
381	YOR354C	MSC6	2.1
382	YJL102W	MEF2	2.1
383	YMR091C	NPL6	2.1
384	YJL112W	MDV1	2.1
385	YKL035W	UGP1	2.1
386	YBR216C	YBP1	2.1
387	YGR218W	CRM1	2.1
388	YBR081C	SPT7	2.1
389	YHL030W	ECM29	2.1
390	YNL138W	SRV2	2.1
391	YPR180W	AOS1	2.1
392	YPR155C	NCA2	2.1
393	YDR228C	PCF11	2.1
394	YOL023W	IFM1	2.1
395	YKL094W	YJU3	2.1
396	YLR418C	CDC73	2.1
397	YPR026W	ATH1	2.1
398	YDR419W	RAD30	2.1
399	YGR281W	YOR1	2.1
400	YKL048C	ELM1	2.1
401	YOR109W	INP53	2.1
402	YBR003W	COQ1	2.1
403	YHR006W	STP2	2.1
404	YER048C	CAJ1	2.1
405	YDR258C	HSP78	2.1
406	YDR369C	XRS2	2.1
407	YGR048W	UFD1	2.1
408	YOR353C	SOG2	2.1
409	YGR046W	TAM41	2.1
410	YPL115C	BEM3	2.1
411	YEL012W	UBC8	2.1
412	YIL129C	TAO3	2.1
413	YPL140C	MKK2	2.1
414	YLR330W	CHS5	2.1
415	YNL253W	TEX1	2.1
416	YDR208W	MSS4	2.1
417	YDL097C	RPN6	2.1
418	YDL160C	DHH1	2.1
419	YLR373C	VID22	2.1
420	YDL070W	BDF2	2.1
421	YOR132W	VPS17	2.1
422	YKR003W	OSH6	2.1
423	YLR423C	ATG17	2.1
424	YDL035C	GPR1	2.1
425	YIL146C	ATG32	2.1
426	YLR417W	VPS36	2.1
427	YPL005W	AEP3	2.1
428	YPL105C	SYH1	2.1
429	YLR133W	CKI1	2.1
430	YMR152W	YIM1	2.1
431	YPL119C	DBP1	2.1
432	YNL087W	TCB2	2.1
433	YLR307W	CDA1	2.1
434	YNL116W	DMA2	2.1
435	YPL020C	ULP1	2.1
436	YNL239W	LAP3	2.1
437	YNL041C	COG6	2.1
438	YER114C	BOI2	2.1
439	YJR091C	JSN1	2.1
440	YLR310C	CDC25	2.1
441	YNL192W	CHS1	2.1
442	YOR336W	KRE5	2.1
443	YNL026W	SAM50	2.1
444	YDR074W	TPS2	2.1
445	YOR304W	ISW2	2.1
446	YBR211C	AME1	2.1
447	YKL140W	TGL1	2.1
448	YDL231C	BRE4	2.1
449	YLR386W	VAC14	2.1
450	YDR325W	YCG1	2.1
451	YPR055W	SEC8	2.1
452	YKL007W	CAP1	2.1
453	YDR389W	SAC7	2.1
454	YKL054C	DEF1	2.1
455	YNR026C	SEC12	2.1
456	YJR031C	GEA1	2.1
457	YNL039W	BDP1	2.1
458	YML128C	MSC1	2.1
459	YHR155W	LAM1	2.1
460	YFL004W	VTC2	2.1
461	YBR133C	HSL7	2.1
462	YDR211W	GCD6	2.1
463	YBR200W	BEM1	2.1
464	YBR125C	PTC4	2.1
465	YOR175C	ALE1	2.1
466	YNL177C	MRPL22	2.1
467	YDR169C	STB3	2.1
468	YER136W	GDI1	2.1
469	YOR070C	GYP1	2.1
470	YNL051W	COG5	2.1
471	YGR258C	RAD2	2.1
472	YCR032W	BPH1	2.1
473	YKL135C	APL2	2.1
474	YCL039W	GID7	2.1
475	YNL224C	SQS1	2.1
476	YBR179C	FZO1	2.1
477	YOR048C	RAT1	2.1
478	YBR086C	IST2	2.1
479	YGR019W	UGA1	2.1
480	YOL063C	CRT10	2.1
481	YDR194C	MSS116	2.1
482	YDR255C	RMD5	2.1
483	YNL199C	GCR2	2.1
484	YDL159W	STE7	2.1
485	YDL005C	MED2	2.1
486	YLR248W	RCK2	2.1
487	YOR173W	DCS2	2.1
488	YDR227W	SIR4	2.1
489	YPL125W	KAP120	2.1
490	YNR006W	VPS27	2.1
491	YML004C	GLO1	2.1
492	YOL044W	PEX15	2.1
493	YNL265C	IST1	2.1
494	YHR178W	STB5	2.1
495	YKL092C	BUD2	2.1
496	YPR106W	ISR1	2.0
497	YPL206C	PGC1	2.0
498	YMR098C	ATP25	2.0
499	YOR155C	ISN1	2.0
500	YER169W	RPH1	2.0
501	YPL202C	AFT2	2.0
502	YKL117W	SBA1	2.0
503	YGR002C	SWC4	2.0
504	YHR074W	QNS1	2.0
505	YMR012W	CLU1	2.0
506	YDR103W	STE5	2.0
507	YML068W	ITT1	2.0
508	YDL224C	WHI4	2.0
509	YOR042W	CUE5	2.0
510	YBR123C	TFC1	2.0
511	YDR422C	SIP1	2.0
512	YBR279W	PAF1	2.0
513	YKR055W	RHO4	2.0
514	YGL095C	VPS45	2.0
515	YMR053C	STB2	2.0
516	YKL157W	APE2	2.0
517	YDL020C	RPN4	2.0
518	YGL073W	HSF1	2.0
519	YDL045C	FAD1	2.0
520	YPR189W	SKI3	2.0
521	YOR261C	RPN8	2.0
522	YKR067W	GPT2	2.0
523	YDR436W	PPZ2	2.0
524	YDR135C	YCF1	2.0
525	YGL084C	GUP1	2.0
526	YGL151W	NUT1	2.0
527	YML065W	ORC1	2.0
528	YEL060C	PRB1	2.0
529	YDR456W	NHX1	2.0
530	YDR394W	RPT3	2.0
531	YCL057W	PRD1	2.0
532	YBR163W	EXO5	2.0
533	YDR244W	PEX5	2.0
534	YPL179W	PPQ1	2.0
535	YDR334W	SWR1	2.0
536	YKL188C	PXA2	2.0
537	YHR146W	CRP1	2.0
538	YOL148C	SPT20	2.0
539	YKL204W	EAP1	2.0
540	YDR251W	PAM1	2.0
541	YAR007C	RFA1	2.0
