SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: YNL234W

Rank	Gene	Common	Score
Q	YNL234W	YNL234W	
1	YOR338W	YOR338W	1.8
2	YBR114W	RAD16	1.7
3	YBR105C	VID24	1.6
4	YER169W	RPH1	1.6
5	YPL159C	PET20	1.6
6	YNL065W	AQR1	1.6
7	YNL201C	PSY2	1.5
8	YLR107W	REX3	1.5
9	YGR079W	YGR079W	1.5
10	YMR265C	YMR265C	1.5
11	YPR125W	YLH47	1.5
12	YGR043C	NQM1	1.5
13	YOR360C	PDE2	1.5
14	YGR249W	MGA1	1.5
15	YPL137C	GIP3	1.5
16	YMR090W	YMR090W	1.5
17	YLR224W	UCC1	1.5
18	YBL054W	TOD6	1.5
19	YDL039C	PRM7	1.4
20	YKR009C	FOX2	1.4
21	YNL195C	YNL195C	1.4
22	YMR275C	BUL1	1.4
23	YOR047C	STD1	1.4
24	YNL042W	BOP3	1.4
25	YFL014W	HSP12	1.4
26	YML128C	MSC1	1.4
27	YNL213C	RRG9	1.4
28	YJL116C	NCA3	1.4
29	YML043C	RRN11	1.4
30	YMR170C	ALD2	1.4
31	YOR062C	YOR062C	1.4
32	YNL165W	YNL165W	1.4
33	YMR169C	ALD3	1.4
34	YHR094C	HXT1	1.4
35	YOR161C	PNS1	1.4
36	YDL183C	MRX19	1.4
37	YML035C	AMD1	1.4
38	YOR059C	LPL1	1.4
39	YIL056W	VHR1	1.4
40	YPL229W	YPL229W	1.4
41	YDL223C	HBT1	1.4
42	YER150W	SPI1	1.4
43	YBR238C	YBR238C	1.4
44	YGR159C	NSR1	1.4
45	YOL136C	PFK27	1.4
46	YLR403W	SFP1	1.4
47	YLR223C	IFH1	1.4
48	YPL088W	YPL088W	1.4
49	YKR076W	ECM4	1.4
50	YPR150W	YPR150W	1.4
51	YNL186W	UBP10	1.4
52	YNL112W	DBP2	1.3
53	YDR006C	SOK1	1.3
54	YJL084C	ALY2	1.3
55	YOR092W	ECM3	1.3
56	YOR107W	RGS2	1.3
57	YOR052C	TMC1	1.3
58	YMR041C	ARA2	1.3
59	YNL124W	NAF1	1.3
60	YHR096C	HXT5	1.3
61	YGR052W	FMP48	1.3
62	YIL146C	ATG32	1.3
63	YJR096W	YJR096W	1.3
64	YDR070C	FMP16	1.3
65	YGL158W	RCK1	1.3
66	YJR155W	AAD10	1.3
67	YLR297W	YLR297W	1.3
68	YNL160W	YGP1	1.3
69	YPL202C	AFT2	1.3
70	YCR083W	TRX3	1.3
71	YBL014C	RRN6	1.3
72	YLL012W	YEH1	1.3
73	YPR008W	HAA1	1.3
74	YPL052W	OAZ1	1.3
75	YER132C	PMD1	1.3
76	YKL078W	DHR2	1.3
77	YKR099W	BAS1	1.3
78	YDR275W	BSC2	1.3
79	YMR181C	YMR181C	1.3
80	YMR316C-A	YMR316C-A	1.3
81	YPL223C	GRE1	1.3
82	YDR021W	FAL1	1.3
83	YJL103C	GSM1	1.3
84	YJR115W	YJR115W	1.3
85	YGL157W	ARI1	1.3
86	YGR256W	GND2	1.3
87	YPL146C	NOP53	1.3
88	YBR117C	TKL2	1.3
89	YDR184C	ATC1	1.3
90	YMR266W	RSN1	1.3
91	YOR262W	GPN2	1.3
92	YGR088W	CTT1	1.3
93	YDR262W	YDR262W	1.3
94	YLL019C	KNS1	1.3
95	YLR225C	YLR225C	1.3
96	YGR102C	GTF1	1.3
97	YJL087C	TRL1	1.3
98	YNL141W	AAH1	1.3
99	YOR185C	GSP2	1.3
100	YKR046C	PLN1	1.3
101	YMR173W	DDR48	1.3
102	YNL295W	MRX6	1.3
103	YPL193W	RSA1	1.3
104	YOR303W	CPA1	1.3
105	YDL037C	BSC1	1.3
106	YHR049W	FSH1	1.3
107	YOR267C	HRK1	1.3
108	YOR028C	CIN5	1.3
109	YNL299W	TRF5	1.3
110	YER037W	PHM8	1.3
111	YER045C	ACA1	1.3
112	YOR289W	YOR289W	1.3
113	YMR322C	SNO4	1.3
114	YBR062C	YBR062C	1.3
115	YGL156W	AMS1	1.3
116	YOL151W	GRE2	1.3
117	YLL055W	YCT1	1.3
118	YOL052C-A	DDR2	1.3
119	YKR056W	TRM2	1.3
120	YHR139C	SPS100	1.3
121	YMR175W	SIP18	1.3
122	YDL218W	YDL218W	1.2
123	YDR001C	NTH1	1.2
124	YDL129W	YDL129W	1.2
