SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SIP3

Rank	Gene	Common	Score
Q	YNL257C	SIP3	
1	YNL297C	MON2	2.9
2	YOR086C	TCB1	2.8
3	YDR407C	TRS120	2.7
4	YPR105C	COG4	2.7
5	YMR231W	PEP5	2.7
6	YBR097W	VPS15	2.6
7	YNL258C	DSL1	2.6
8	YNL287W	SEC21	2.6
9	YLR039C	RIC1	2.6
10	YMR029C	FAR8	2.5
11	YML103C	NUP188	2.5
12	YGR170W	PSD2	2.5
13	YNL212W	VID27	2.5
14	YMR237W	BCH1	2.5
15	YOL049W	GSH2	2.5
16	YKL213C	DOA1	2.4
17	YLR454W	FMP27	2.4
18	YNL267W	PIK1	2.4
19	YDL132W	CDC53	2.4
20	YLR371W	ROM2	2.4
21	YGL233W	SEC15	2.4
22	YER008C	SEC3	2.4
23	YIL002C	INP51	2.4
24	YPR055W	SEC8	2.4
25	YOR275C	RIM20	2.4
26	YEL022W	GEA2	2.4
27	YOR124C	UBP2	2.4
28	YNL273W	TOF1	2.4
29	YLR425W	TUS1	2.4
30	YPR189W	SKI3	2.4
31	YKR003W	OSH6	2.4
32	YDR452W	PPN1	2.4
33	YGR271W	SLH1	2.4
34	YLR436C	ECM30	2.4
35	YLR189C	ATG26	2.3
36	YMR304W	UBP15	2.3
37	YMR261C	TPS3	2.3
38	YNL041C	COG6	2.3
39	YDR027C	VPS54	2.3
40	YCR030C	SYP1	2.3
41	YLR166C	SEC10	2.3
42	YKR031C	SPO14	2.3
43	YNL051W	COG5	2.3
44	YPL161C	BEM4	2.3
45	YGR116W	SPT6	2.3
46	YPL007C	TFC8	2.3
47	YDL019C	OSH2	2.3
48	YJL005W	CYR1	2.3
49	YCR011C	ADP1	2.3
50	YDR170C	SEC7	2.3
51	YDL103C	QRI1	2.3
52	YNL085W	MKT1	2.3
53	YNL059C	ARP5	2.3
54	YNL239W	LAP3	2.3
55	YLR398C	SKI2	2.3
56	YMR092C	AIP1	2.3
57	YNL118C	DCP2	2.3
58	YMR218C	TRS130	2.3
59	YMR302C	YME2	2.3
60	YCR032W	BPH1	2.3
61	YBR140C	IRA1	2.3
62	YOR076C	SKI7	2.3
63	YLR386W	VAC14	2.3
64	YKL140W	TGL1	2.3
65	YGL151W	NUT1	2.2
66	YPR029C	APL4	2.2
67	YJR138W	IML1	2.2
68	YER155C	BEM2	2.2
69	YLL040C	VPS13	2.2
70	YNL167C	SKO1	2.2
71	YOL063C	CRT10	2.2
72	YML072C	TCB3	2.2
73	YNL225C	CNM67	2.2
74	YOL004W	SIN3	2.2
75	YLR207W	HRD3	2.2
76	YDR141C	DOP1	2.2
77	YIL128W	MET18	2.2
78	YDR484W	VPS52	2.2
79	YNL325C	FIG4	2.2
80	YJR090C	GRR1	2.2
81	YLR148W	PEP3	2.2
82	YKL025C	PAN3	2.2
83	YOR087W	YVC1	2.2
84	YOR038C	HIR2	2.2
85	YLR309C	IMH1	2.2
86	YNR031C	SSK2	2.2
87	YNL169C	PSD1	2.2
88	YPL249C	GYP5	2.2
89	YHL030W	ECM29	2.2
90	YKL010C	UFD4	2.2
91	YKL092C	BUD2	2.2
92	YBR229C	ROT2	2.2
93	YDL116W	NUP84	2.2
94	YNL236W	SIN4	2.2
95	YKL168C	KKQ8	2.2
96	YGL084C	GUP1	2.2
97	YDR284C	DPP1	2.2
98	YPL242C	IQG1	2.2
99	YGL093W	SPC105	2.2
100	YGL094C	PAN2	2.2
101	YMR109W	MYO5	2.2
102	YGR047C	TFC4	2.2
103	YER111C	SWI4	2.2
104	YNL088W	TOP2	2.2
105	YOR336W	KRE5	2.2
106	YKL179C	COY1	2.2
107	YGL190C	CDC55	2.2
108	YMR119W	ASI1	2.2
109	YPL116W	HOS3	2.2
110	YIL115C	NUP159	2.2
111	YNL233W	BNI4	2.2
112	YLR133W	CKI1	2.2
113	YGR194C	XKS1	2.2
114	YGL197W	MDS3	2.2
115	YCL057W	PRD1	2.2
116	YGR270W	YTA7	2.2
117	YOL117W	RRI2	2.2
118	YLR272C	YCS4	2.2
119	YPL115C	BEM3	2.2
120	YHR074W	QNS1	2.2
121	YDL239C	ADY3	2.2
122	YDR159W	SAC3	2.2
123	YML049C	RSE1	2.2
124	YAL001C	TFC3	2.2
125	YAL029C	MYO4	2.2
126	YOR211C	MGM1	2.1
127	YOR249C	APC5	2.1
128	YDR283C	GCN2	2.1
129	YJL167W	ERG20	2.1
