SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PDR17

Rank	Gene	Common	Score
Q	YNL264C	PDR17	
1	YOL056W	GPM3	2.7
2	YNL263C	YIF1	2.6
3	YCL050C	APA1	2.6
4	YMR298W	LIP1	2.5
5	YIL114C	POR2	2.4
6	YOL064C	MET22	2.4
7	YER027C	GAL83	2.4
8	YDR297W	SUR2	2.3
9	YKL128C	PMU1	2.3
10	YMR079W	SEC14	2.3
11	YLR447C	VMA6	2.3
12	YGR038W	ORM1	2.3
13	YOL097C	WRS1	2.3
14	YDR368W	YPR1	2.2
15	YDR518W	EUG1	2.2
16	YHR068W	DYS1	2.2
17	YPR113W	PIS1	2.2
18	YHR179W	OYE2	2.2
19	YOR323C	PRO2	2.2
20	YDR044W	HEM13	2.2
21	YMR272C	SCS7	2.2
22	YBR085W	AAC3	2.2
23	YKL080W	VMA5	2.2
24	YLR209C	PNP1	2.2
25	YIL034C	CAP2	2.2
26	YPL208W	RKM1	2.2
27	YML124C	TUB3	2.2
28	YLR328W	NMA1	2.2
29	YNR026C	SEC12	2.2
30	YDR400W	URH1	2.2
31	YCR048W	ARE1	2.2
32	YLR380W	CSR1	2.2
33	YDL226C	GCS1	2.2
34	YKR088C	TVP38	2.2
35	YNL288W	CAF40	2.2
36	YNL330C	RPD3	2.2
37	YJR118C	ILM1	2.2
38	YOR125C	CAT5	2.2
39	YGR193C	PDX1	2.2
40	YMR200W	ROT1	2.2
41	YMR123W	PKR1	2.2
42	YOR061W	CKA2	2.1
43	YOR176W	HEM15	2.1
44	YLR285W	NNT1	2.1
45	YOL003C	PFA4	2.1
46	YIL053W	GPP1	2.1
47	YNL312W	RFA2	2.1
48	YOR085W	OST3	2.1
49	YOR165W	SEY1	2.1
50	YNL154C	YCK2	2.1
51	YKL008C	LAC1	2.1
52	YML021C	UNG1	2.1
53	YLR459W	GAB1	2.1
54	YJL124C	LSM1	2.1
55	YMR013C	SEC59	2.1
56	YPL059W	GRX5	2.1
57	YOL111C	MDY2	2.1
58	YDL236W	PHO13	2.1
59	YIL010W	DOT5	2.1
60	YPR036W	VMA13	2.1
61	YOL133W	HRT1	2.1
62	YMR038C	CCS1	2.1
63	YNL080C	EOS1	2.1
64	YMR083W	ADH3	2.1
65	YDR331W	GPI8	2.1
66	YPL196W	OXR1	2.1
67	YNL159C	ASI2	2.1
68	YNL191W	DUG3	2.1
69	YMR205C	PFK2	2.1
70	YDR353W	TRR1	2.1
71	YKL130C	SHE2	2.1
72	YHR013C	ARD1	2.1
73	YLR201C	COQ9	2.1
74	YJL178C	ATG27	2.1
75	YDR260C	SWM1	2.1
76	YDR047W	HEM12	2.1
77	YOR321W	PMT3	2.1
78	YAR031W	PRM9	2.1
79	YHR123W	EPT1	2.1
80	YNL246W	VPS75	2.1
81	YCR053W	THR4	2.1
82	YOR241W	MET7	2.1
83	YOR278W	HEM4	2.1
84	YHR163W	SOL3	2.1
85	YBR187W	GDT1	2.1
86	YJL004C	SYS1	2.1
87	YMR319C	FET4	2.1
88	YDL052C	SLC1	2.1
89	YOL102C	TPT1	2.1
90	YDR435C	PPM1	2.1
91	YOR297C	TIM18	2.1
92	YHR181W	SVP26	2.1
93	YNL290W	RFC3	2.1
94	YGR185C	TYS1	2.1
95	YDL103C	QRI1	2.1
96	YNL323W	LEM3	2.1
97	YIL020C	HIS6	2.1
98	YPR110C	RPC40	2.1
99	YKR038C	KAE1	2.1
100	YJR117W	STE24	2.1
101	YNL026W	SAM50	2.1
102	YBR252W	DUT1	2.1
103	YJL126W	NIT2	2.1
104	YDR487C	RIB3	2.1
105	YNL169C	PSD1	2.1
106	YDR100W	TVP15	2.1
107	YJL002C	OST1	2.1
108	YEL038W	UTR4	2.1
109	YHR083W	SAM35	2.1
110	YHR063C	PAN5	2.1
111	YLR293C	GSP1	2.1
112	YOR184W	SER1	2.1
113	YOR175C	ALE1	2.1
114	YJL053W	PEP8	2.1
115	YLR375W	STP3	2.1
116	YLR292C	SEC72	2.1
117	YBR127C	VMA2	2.1
118	YHR108W	GGA2	2.1
119	YGR262C	BUD32	2.1
120	YER107C	GLE2	2.1
121	YMR149W	SWP1	2.0
122	YML019W	OST6	2.0
123	YJL183W	MNN11	2.0
124	YGR007W	ECT1	2.0
125	YGR240C	PFK1	2.0
126	YNL168C	FMP41	2.0
127	YLR291C	GCD7	2.0
128	YDR517W	GRH1	2.0
129	YML048W	GSF2	2.0
130	YOR115C	TRS33	2.0
131	YBL032W	HEK2	2.0
132	YGL001C	ERG26	2.0
133	YML125C	PGA3	2.0
134	YHR133C	NSG1	2.0
135	YLR268W	SEC22	2.0
136	YLR437C	DIF1	2.0
137	YOR046C	DBP5	2.0
138	YMR022W	UBC7	2.0
139	YNL238W	KEX2	2.0
140	YGR080W	TWF1	2.0
141	YPR106W	ISR1	2.0
142	YFR025C	HIS2	2.0
143	YDR516C	EMI2	2.0
144	YOR002W	ALG6	2.0
145	YNL310C	ZIM17	2.0
146	YJL196C	ELO1	2.0
147	YDR454C	GUK1	2.0
148	YPR069C	SPE3	2.0
149	YNL099C	OCA1	2.0
150	YPL145C	KES1	2.0
151	YPL031C	PHO85	2.0
152	YLR203C	MSS51	2.0
153	YLR066W	SPC3	2.0
154	YNR035C	ARC35	2.0
