SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RPL18B

Rank	Gene	Common	Score
Q	YNL301C	RPL18B	
1	YOL120C	RPL18A	5.8
2	YDL082W	RPL13A	5.2
3	YEL054C	RPL12A	5.1
4	YDL083C	RPS16B	5.1
5	YJL177W	RPL17B	5.0
6	YNL069C	RPL16B	5.0
7	YLR448W	RPL6B	5.0
8	YLR048W	RPS0B	4.9
9	YJL190C	RPS22A	4.9
10	YBR189W	RPS9B	4.9
11	YML073C	RPL6A	4.9
12	YNL302C	RPS19B	4.9
13	YPL079W	RPL21B	4.9
14	YOR096W	RPS7A	4.9
15	YGR214W	RPS0A	4.9
16	YML026C	RPS18B	4.9
17	YMR242C	RPL20A	4.9
18	YMR142C	RPL13B	4.8
19	YBR191W	RPL21A	4.8
20	YDR418W	RPL12B	4.8
21	YDR025W	RPS11A	4.8
22	YIL018W	RPL2B	4.8
23	YNL096C	RPS7B	4.8
24	YBL087C	RPL23A	4.8
25	YNL067W	RPL9B	4.8
26	YFR031C-A	RPL2A	4.8
27	YOR234C	RPL33B	4.7
28	YKL006W	RPL14A	4.7
29	YER117W	RPL23B	4.7
30	YGL076C	RPL7A	4.7
31	YLR061W	RPL22A	4.7
32	YER102W	RPS8B	4.7
33	YHL033C	RPL8A	4.7
34	YBR048W	RPS11B	4.7
35	YOL040C	RPS15	4.7
36	YPL143W	RPL33A	4.7
37	YPL090C	RPS6A	4.7
38	YMR143W	RPS16A	4.7
39	YPL081W	RPS9A	4.7
40	YNL178W	RPS3	4.6
41	YDR064W	RPS13	4.6
42	YHL001W	RPL14B	4.6
43	YOR312C	RPL20B	4.6
44	YKL180W	RPL17A	4.6
45	YML024W	RPS17A	4.6
46	YBL072C	RPS8A	4.6
47	YOR293W	RPS10A	4.6
48	YDR471W	RPL27B	4.6
49	YGL123W	RPS2	4.6
50	YLR344W	RPL26A	4.6
51	YJL191W	RPS14B	4.6
52	YBL027W	RPL19B	4.6
53	YLL045C	RPL8B	4.6
54	YIL133C	RPL16A	4.6
55	YML063W	RPS1B	4.6
56	YMR116C	ASC1	4.6
57	YLR441C	RPS1A	4.6
58	YJR123W	RPS5	4.6
59	YGL147C	RPL9A	4.5
60	YLR367W	RPS22B	4.5
61	YDR450W	RPS18A	4.5
62	YGL031C	RPL24A	4.5
63	YLR388W	RPS29A	4.5
64	YGL030W	RPL30	4.5
65	YPL198W	RPL7B	4.5
66	YER131W	RPS26B	4.5
67	YLR264W	RPS28B	4.5
68	YGR118W	RPS23A	4.5
69	YJL136C	RPS21B	4.5
70	YPR102C	RPL11A	4.5
71	YER074W	RPS24A	4.5
72	YJR145C	RPS4A	4.5
73	YGR148C	RPL24B	4.4
74	YIL069C	RPS24B	4.4
75	YDL130W	RPP1B	4.4
76	YGR085C	RPL11B	4.4
77	YGR034W	RPL26B	4.4
78	YPR043W	RPL43A	4.4
79	YOL039W	RPP2A	4.4
80	YPL131W	RPL5	4.4
81	YOL127W	RPL25	4.4
82	YIL052C	RPL34B	4.4
83	YPR132W	RPS23B	4.4
84	YPL220W	RPL1A	4.4
85	YGL135W	RPL1B	4.4
86	YER056C-A	RPL34A	4.4
87	YLR333C	RPS25B	4.4
88	YHR203C	RPS4B	4.3
89	YKR057W	RPS21A	4.3
90	YHR010W	RPL27A	4.3
91	YLR185W	RPL37A	4.3
92	YGL103W	RPL28	4.3
93	YDR500C	RPL37B	4.3
94	YBR084C-A	RPL19A	4.3
95	YDL081C	RPP1A	4.3
96	YLR325C	RPL38	4.2
97	YMR194W	RPL36A	4.2
98	YBL092W	RPL32	4.2
99	YNL162W	RPL42A	4.2
100	YMR230W	RPS10B	4.2
101	YOR369C	RPS12	4.2
102	YOR063W	RPL3	4.2
103	YOR167C	RPS28A	4.2
104	YCR031C	RPS14A	4.2
105	YDR447C	RPS17B	4.2
106	YDL061C	RPS29B	4.2
107	YLR029C	RPL15A	4.2
108	YDR382W	RPP2B	4.1
109	YKR094C	RPL40B	4.1
110	YLR340W	RPP0	4.1
111	YBR181C	RPS6B	4.1
112	YDL075W	RPL31A	4.1
113	YHR021C	RPS27B	4.1
114	YLR150W	STM1	4.1
115	YGL189C	RPS26A	4.1
116	YIL148W	RPL40A	4.1
117	YOL121C	RPS19A	4.0
118	YHL015W	RPS20	4.0
119	YLR406C	RPL31B	4.0
120	YGR027C	RPS25A	4.0
121	YLR167W	RPS31	4.0
122	YJR094W-A	RPL43B	4.0
123	YDL191W	RPL35A	3.9
124	YKL156W	RPS27A	3.9
125	YKL081W	TEF4	3.9
126	YLR075W	RPL10	3.9
127	YOL139C	CDC33	3.9
