SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RPD3

Rank	Gene	Common	Score
Q	YNL330C	RPD3	
1	YNL284C	MRPL10	2.7
2	YGL252C	RTG2	2.6
3	YGR231C	PHB2	2.6
4	YMR044W	IOC4	2.6
5	YGR163W	GTR2	2.5
6	YML069W	POB3	2.5
7	YPL091W	GLR1	2.5
8	YOL049W	GSH2	2.5
9	YMR228W	MTF1	2.5
10	YPR057W	BRR1	2.5
11	YNL231C	PDR16	2.4
12	YNL258C	DSL1	2.4
13	YOR257W	CDC31	2.4
14	YDL103C	QRI1	2.4
15	YNL154C	YCK2	2.4
16	YOR039W	CKB2	2.4
17	YNR035C	ARC35	2.4
18	YHR076W	PTC7	2.4
19	YNL236W	SIN4	2.4
20	YGL048C	RPT6	2.4
21	YJR001W	AVT1	2.4
22	YER048C	CAJ1	2.4
23	YDR322W	MRPL35	2.4
24	YJL081C	ARP4	2.4
25	YGR167W	CLC1	2.3
26	YNL290W	RFC3	2.3
27	YPR023C	EAF3	2.3
28	YNL215W	IES2	2.3
29	YNL229C	URE2	2.3
30	YOL062C	APM4	2.3
31	YBR123C	TFC1	2.3
32	YNL315C	ATP11	2.3
33	YMR098C	ATP25	2.3
34	YGL172W	NUP49	2.3
35	YGL084C	GUP1	2.3
36	YOR362C	PRE10	2.3
37	YNL267W	PIK1	2.3
38	YGL100W	SEH1	2.3
39	YLR239C	LIP2	2.3
40	YNR023W	SNF12	2.3
41	YAL016W	TPD3	2.3
42	YNL263C	YIF1	2.3
43	YOR037W	CYC2	2.3
44	YOR259C	RPT4	2.3
45	YOR354C	MSC6	2.3
46	YPL007C	TFC8	2.3
47	YPR072W	NOT5	2.3
48	YPL031C	PHO85	2.3
49	YNL177C	MRPL22	2.3
50	YOR194C	TOA1	2.3
51	YDL029W	ARP2	2.3
52	YGL213C	SKI8	2.3
53	YMR091C	NPL6	2.3
54	YNL252C	MRPL17	2.3
55	YGR253C	PUP2	2.3
56	YNL005C	MRP7	2.3
57	YNL138W	SRV2	2.3
58	YNL098C	RAS2	2.3
59	YPL129W	TAF14	2.3
60	YOR089C	VPS21	2.3
61	YMR113W	FOL3	2.3
62	YBR236C	ABD1	2.3
63	YJL003W	COX16	2.3
64	YAR007C	RFA1	2.3
65	YHR012W	VPS29	2.3
66	YNL212W	VID27	2.3
67	YNL041C	COG6	2.3
68	YOR209C	NPT1	2.3
69	YML115C	VAN1	2.3
70	YNL059C	ARP5	2.3
71	YMR153W	NUP53	2.3
72	YBL038W	MRPL16	2.3
73	YOL033W	MSE1	2.3
74	YJL124C	LSM1	2.3
75	YNR052C	POP2	2.3
76	YDL115C	IWR1	2.2
77	YKR002W	PAP1	2.2
78	YNL304W	YPT11	2.2
79	YGR262C	BUD32	2.2
80	YOR043W	WHI2	2.2
81	YNL225C	CNM67	2.2
82	YPR180W	AOS1	2.2
83	YNL084C	END3	2.2
84	YNL121C	TOM70	2.2
85	YPR176C	BET2	2.2
86	YGR193C	PDX1	2.2
87	YLR418C	CDC73	2.2
88	YMR089C	YTA12	2.2
89	YLR330W	CHS5	2.2
90	YNL051W	COG5	2.2
91	YNL026W	SAM50	2.2
92	YPR103W	PRE2	2.2
93	YEL056W	HAT2	2.2
94	YKR008W	RSC4	2.2
95	YNL099C	OCA1	2.2
96	YHR063C	PAN5	2.2
97	YIL021W	RPB3	2.2
98	YKR038C	KAE1	2.2
99	YNL001W	DOM34	2.2
100	YBR272C	HSM3	2.2
101	YDL147W	RPN5	2.2
102	YPL053C	KTR6	2.2
103	YOR165W	SEY1	2.2
104	YPL023C	MET12	2.2
105	YNL223W	ATG4	2.2
106	YOR117W	RPT5	2.2
107	YGL228W	SHE10	2.2
108	YLR208W	SEC13	2.2
109	YGR099W	TEL2	2.2
110	YGL115W	SNF4	2.2
111	YIR004W	DJP1	2.2
112	YNL323W	LEM3	2.2
113	YJR051W	OSM1	2.2
114	YLR069C	MEF1	2.2
115	YOR196C	LIP5	2.2
116	YDR280W	RRP45	2.2
117	YJR042W	NUP85	2.2
118	YOL012C	HTZ1	2.2
119	YLR209C	PNP1	2.2
120	YPL228W	CET1	2.2
121	YDR376W	ARH1	2.2
122	YNL199C	GCR2	2.2
123	YMR264W	CUE1	2.2
124	YNL310C	ZIM17	2.2
125	YNR045W	PET494	2.2
126	YLR028C	ADE16	2.2
127	YKL025C	PAN3	2.2
128	YGL221C	NIF3	2.2
129	YDR375C	BCS1	2.2
130	YPR088C	SRP54	2.2
131	YNL167C	SKO1	2.2
132	YNL317W	PFS2	2.2
133	YER021W	RPN3	2.2
134	YGL151W	NUT1	2.2
135	YNL166C	BNI5	2.2
136	YNL264C	PDR17	2.2
137	YLR181C	VTA1	2.2
138	YOR038C	HIR2	2.2
139	YKR084C	HBS1	2.2
140	YNL169C	PSD1	2.2
141	YHR037W	PUT2	2.2
142	YPR081C	GRS2	2.2
143	YDR117C	TMA64	2.2
144	YDR292C	SRP101	2.2
145	YDL178W	DLD2	2.2
146	YPL097W	MSY1	2.2
147	YPL214C	THI6	2.2
148	YBL056W	PTC3	2.2
149	YIL068C	SEC6	2.2
150	YDL007W	RPT2	2.2
151	YPL139C	UME1	2.2
152	YNL189W	SRP1	2.2
153	YGL065C	ALG2	2.2
154	YDR147W	EKI1	2.2
155	YDR390C	UBA2	2.2
156	YIL157C	COA1	2.2
157	YKL114C	APN1	2.2
158	YDL236W	PHO13	2.2
159	YPR025C	CCL1	2.2
160	YER063W	THO1	2.2
161	YNL329C	PEX6	2.2
162	YGR246C	BRF1	2.2
163	YNR032W	PPG1	2.2
164	YKL190W	CNB1	2.2
165	YBR129C	OPY1	2.2
166	YMR237W	BCH1	2.2
167	YPL215W	CBP3	2.1
168	YNL085W	MKT1	2.1
169	YMR029C	FAR8	2.1
170	YNL137C	NAM9	2.1
171	YNL090W	RHO2	2.1
172	YNL272C	SEC2	2.1
173	YPL138C	SPP1	2.1
174	YKL046C	DCW1	2.1
175	YBR036C	CSG2	2.1
176	YNL232W	CSL4	2.1
177	YPL235W	RVB2	2.1
