SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SWM2

Rank	Gene	Common	Score
Q	YNR004W	SWM2	
1	YJL214W	HXT8	2.0
2	YGR109C	CLB6	2.0
3	YML102W	CAC2	2.0
4	YIR013C	GAT4	2.0
5	YOR223W	DSC3	2.0
6	YNR014W	YNR014W	2.0
7	YCR051W	YCR051W	2.0
8	YJR114W	YJR114W	2.0
9	YGL088W	YGL088W	1.9
10	YLR125W	YLR125W	1.9
11	YOL114C	PTH4	1.9
12	YLR329W	REC102	1.9
13	YIR020C	YIR020C	1.8
14	YNL204C	SPS18	1.8
15	YPL222W	FMP40	1.8
16	YMR236W	TAF9	1.8
17	YPL247C	YPL247C	1.8
18	YGR060W	ERG25	1.8
19	YOL110W	SHR5	1.8
20	YMR096W	SNZ1	1.8
21	YPL056C	LCL1	1.8
22	YPR078C	YPR078C	1.8
23	YHR139C-A	YHR139C-A	1.8
24	YNL029C	KTR5	1.8
25	YGR066C	GID10	1.8
26	YOL024W	YOL024W	1.8
27	YPR182W	SMX3	1.8
28	YJL160C	PIR5	1.7
29	YNR077C	YNR077C	1.7
30	YCR076C	FUB1	1.7
31	YOR380W	RDR1	1.7
32	YMR254C	YMR254C	1.7
33	YOR394W	PAU21	1.7
34	YER181C	YER181C	1.7
35	YIL165C	YIL165C	1.7
36	YIL163C	YIL163C	1.7
37	YLR354C	TAL1	1.7
38	YNL017C	YNL017C	1.7
39	YLR280C	YLR280C	1.7
40	YOR379C	YOR379C	1.7
41	YPL025C	YPL025C	1.6
42	YPR044C	OPI11	1.6
43	YLR364W	GRX8	1.4
44	YOR022C	DDL1	1.3
45	YNR010W	CSE2	1.3
46	YNR002C	ATO2	1.3
47	YOL128C	YGK3	1.3
48	YHL009C	YAP3	1.3
49	YPL047W	SGF11	1.3
50	YNL211C	MRX7	1.3
51	YPL069C	BTS1	1.3
52	YLR146C	SPE4	1.3
53	YGL058W	RAD6	1.3
54	YDR020C	DAS2	1.3
55	YOR238W	YOR238W	1.3
56	YBR257W	POP4	1.3
57	YKR060W	UTP30	1.2
58	YOR319W	HSH49	1.2
59	YNL253W	TEX1	1.2
60	YHR128W	FUR1	1.2
61	YNL261W	ORC5	1.2
62	YOR071C	NRT1	1.2
63	YNL249C	MPA43	1.2
64	YJR055W	HIT1	1.2
65	YPR071W	YPR071W	1.2
66	YEL048C	TCA17	1.2
67	YOL002C	IZH2	1.2
68	YNR012W	URK1	1.2
69	YPL038W	MET31	1.2
70	YLR022C	SDO1	1.2
71	YLR003C	CMS1	1.2
72	YNR028W	CPR8	1.2
73	YJR063W	RPA12	1.2
74	YOR295W	UAF30	1.2
75	YML005W	TRM12	1.2
76	YOR258W	HNT3	1.2
77	YMR156C	TPP1	1.2
78	YKL090W	CUE2	1.2
79	YJL162C	JJJ2	1.2
80	YML002W	VRL1	1.2
81	YLR363C	NMD4	1.2
82	YIL001W	YIL001W	1.2
83	YNL001W	DOM34	1.2
84	YPL076W	GPI2	1.2
85	YDL098C	SNU23	1.2
86	YOL166C	YOL166C	1.2
87	YMR263W	SAP30	1.2
88	YGL129C	RSM23	1.2
89	YBR165W	UBS1	1.2
90	YPL134C	ODC1	1.2
91	YIL110W	HPM1	1.2
