SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: CSE2

Rank	Gene	Common	Score
Q	YNR010W	CSE2	
1	YKL159C	RCN1	2.8
2	YOR036W	PEP12	2.6
3	YNR006W	VPS27	2.6
4	YGL166W	CUP2	2.5
5	YMR255W	GFD1	2.5
6	YBR290W	BSD2	2.5
7	YMR022W	UBC7	2.5
8	YMR316W	DIA1	2.5
9	YOR257W	CDC31	2.5
10	YPL149W	ATG5	2.5
11	YLR147C	SMD3	2.4
12	YOR327C	SNC2	2.4
13	YML112W	CTK3	2.4
14	YMR197C	VTI1	2.4
15	YLR298C	YHC1	2.4
16	YDR486C	VPS60	2.3
17	YML129C	COX14	2.3
18	YLR102C	APC9	2.3
19	YAR027W	UIP3	2.3
20	YJL023C	PET130	2.3
21	YDR482C	CWC21	2.3
22	YDR183W	PLP1	2.3
23	YMR180C	CTL1	2.3
24	YHL002W	HSE1	2.3
25	YJR082C	EAF6	2.3
26	YLR119W	SRN2	2.3
27	YKL065C	YET1	2.3
28	YNL133C	FYV6	2.3
29	YNL314W	DAL82	2.3
30	YPR025C	CCL1	2.3
31	YDR246W	TRS23	2.3
32	YLR350W	ORM2	2.3
33	YGR136W	LSB1	2.3
34	YDL234C	GYP7	2.3
35	YNL265C	IST1	2.3
36	YPL213W	LEA1	2.3
37	YNR049C	MSO1	2.3
38	YLR275W	SMD2	2.3
39	YGR142W	BTN2	2.3
40	YNL051W	COG5	2.3
41	YPR188C	MLC2	2.3
42	YBR167C	POP7	2.3
43	YBR165W	UBS1	2.3
44	YDL010W	GRX6	2.3
45	YMR112C	MED11	2.3
46	YNL081C	SWS2	2.3
47	YPL232W	SSO1	2.3
48	YIL007C	NAS2	2.3
49	YOR075W	UFE1	2.3
50	YMR097C	MTG1	2.2
51	YLR250W	SSP120	2.2
52	YDL045C	FAD1	2.2
53	YOL108C	INO4	2.2
54	YML011C	RAD33	2.2
55	YDR151C	CTH1	2.2
56	YGL091C	NBP35	2.2
