SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: ARC35

Rank	Gene	Common	Score
Q	YNR035C	ARC35	
1	YJR065C	ARP3	3.5
2	YBR149W	ARA1	3.4
3	YKL007W	CAP1	3.3
4	YIL034C	CAP2	3.3
5	YMR092C	AIP1	3.3
6	YLR370C	ARC18	3.3
7	YDL072C	YET3	3.2
8	YDL029W	ARP2	3.2
9	YKL013C	ARC19	3.2
10	YKL142W	MRP8	3.1
11	YIL124W	AYR1	3.1
12	YLR270W	DCS1	3.1
13	YHR104W	GRE3	3.1
14	YIL062C	ARC15	3.1
15	YJR125C	ENT3	3.1
16	YKL065C	YET1	3.1
17	YOL082W	ATG19	3.1
18	YOR362C	PRE10	3.1
19	YDR368W	YPR1	3.1
20	YKL193C	SDS22	3.0
21	YML004C	GLO1	3.0
22	YMR110C	HFD1	3.0
23	YOL129W	VPS68	3.0
24	YFR050C	PRE4	3.0
25	YPL203W	TPK2	3.0
26	YOL038W	PRE6	3.0
27	YNL138W	SRV2	3.0
28	YBR234C	ARC40	3.0
29	YNL071W	LAT1	3.0
30	YML057W	CMP2	3.0
31	YPL087W	YDC1	2.9
32	YJL053W	PEP8	2.9
33	YFR052W	RPN12	2.9
34	YPL206C	PGC1	2.9
35	YGR080W	TWF1	2.9
36	YPL123C	RNY1	2.9
37	YBR026C	ETR1	2.9
38	YDR129C	SAC6	2.9
39	YPL196W	OXR1	2.9
40	YPL154C	PEP4	2.9
41	YGL161C	YIP5	2.9
42	YDR099W	BMH2	2.9
43	YDR032C	PST2	2.9
44	YPR103W	PRE2	2.9
45	YGL037C	PNC1	2.9
46	YMR197C	VTI1	2.9
47	YMR152W	YIM1	2.9
48	YCL035C	GRX1	2.8
49	YAL016W	TPD3	2.8
50	YKL035W	UGP1	2.8
51	YBR052C	RFS1	2.8
52	YCR036W	RBK1	2.8
53	YKR014C	YPT52	2.8
54	YKL103C	APE1	2.8
55	YOR042W	CUE5	2.8
56	YML070W	DAK1	2.8
57	YAR027W	UIP3	2.8
58	YMR139W	RIM11	2.8
59	YML110C	COQ5	2.8
60	YNR001C	CIT1	2.8
61	YCL052C	PBN1	2.8
62	YGR231C	PHB2	2.8
63	YDR358W	GGA1	2.8
64	YMR261C	TPS3	2.8
65	YKR003W	OSH6	2.8
66	YCR088W	ABP1	2.8
67	YHR016C	YSC84	2.8
68	YML092C	PRE8	2.8
69	YDR435C	PPM1	2.8
70	YDR513W	GRX2	2.8
71	YDR388W	RVS167	2.8
72	YGR136W	LSB1	2.8
73	YBL058W	SHP1	2.8
74	YKL126W	YPK1	2.8
75	YOR120W	GCY1	2.8
76	YBR035C	PDX3	2.8
77	YBR126C	TPS1	2.8
78	YGL048C	RPT6	2.8
79	YJL001W	PRE3	2.8
80	YNL239W	LAP3	2.8
81	YKL213C	DOA1	2.7
82	YBL041W	PRE7	2.7
83	YDR272W	GLO2	2.7
84	YLL026W	HSP104	2.7
85	YGL011C	SCL1	2.7
86	YNL084C	END3	2.7
87	YNL159C	ASI2	2.7
88	YPL004C	LSP1	2.7
89	YCR004C	YCP4	2.7
90	YHR190W	ERG9	2.7
91	YBR214W	SDS24	2.7
92	YNL098C	RAS2	2.7
93	YLR178C	TFS1	2.7
94	YPL031C	PHO85	2.7
95	YOR259C	RPT4	2.7
96	YCR030C	SYP1	2.7
97	YDR394W	RPT3	2.7
98	YBR111C	YSA1	2.7
99	YJL164C	TPK1	2.7
100	YOR142W	LSC1	2.7
101	YDL007W	RPT2	2.7
102	YFR003C	YPI1	2.7
103	YOL071W	SDH5	2.7
104	YER094C	PUP3	2.7
105	YOR155C	ISN1	2.7
106	YEL060C	PRB1	2.7
107	YGR167W	CLC1	2.7
108	YIR037W	HYR1	2.7
109	YOL032W	OPI10	2.7
110	YFR024C-A	LSB3	2.7
111	YCL040W	GLK1	2.7
112	YOR230W	WTM1	2.7
113	YJR044C	VPS55	2.7
114	YKL141W	SDH3	2.7
115	YFR010W	UBP6	2.7
116	YGR135W	PRE9	2.7
117	YDL097C	RPN6	2.7
118	YDR202C	RAV2	2.7
119	YER136W	GDI1	2.7
120	YMR314W	PRE5	2.7
121	YLR258W	GSY2	2.7
122	YKL117W	SBA1	2.7
123	YER177W	BMH1	2.7
124	YGR008C	STF2	2.7
125	YMR022W	UBC7	2.7
126	YBR269C	SDH8	2.7
127	YPR028W	YOP1	2.7
128	YJL066C	MPM1	2.7
129	YHR008C	SOD2	2.7
130	YIL010W	DOT5	2.7
131	YFL018C	LPD1	2.7
132	YBL064C	PRX1	2.6
133	YPR108W	RPN7	2.6
134	YDR074W	TPS2	2.6
135	YBR273C	UBX7	2.6
136	YJL020C	BBC1	2.6
137	YPL091W	GLR1	2.6
138	YHR161C	YAP1801	2.6
139	YJL155C	FBP26	2.6
140	YBR059C	AKL1	2.6
141	YGR132C	PHB1	2.6
142	YKL039W	PTM1	2.6
143	YGR019W	UGA1	2.6
144	YGR193C	PDX1	2.6
145	YLR201C	COQ9	2.6
146	YOR275C	RIM20	2.6
147	YMR297W	PRC1	2.6
148	YBR024W	SCO2	2.6
149	YBL078C	ATG8	2.6
150	YKL150W	MCR1	2.6
151	YIL041W	GVP36	2.6
152	YIL033C	BCY1	2.6
153	YCL057W	PRD1	2.6
154	YOR036W	PEP12	2.6
155	YOR117W	RPT5	2.6
156	YAL008W	FUN14	2.6
157	YLR028C	ADE16	2.6
158	YDR284C	DPP1	2.6
159	YOR157C	PUP1	2.6
160	YDL022W	GPD1	2.6
161	YOR261C	RPN8	2.6
162	YBR151W	APD1	2.6
163	YER012W	PRE1	2.6
164	YGR194C	XKS1	2.6
165	YBR199W	KTR4	2.6
166	YJR059W	PTK2	2.6
167	YOL096C	COQ3	2.6
168	YBR286W	APE3	2.6
169	YMR237W	BCH1	2.6
170	YEL012W	UBC8	2.6
171	YMR250W	GAD1	2.6
172	YDR204W	COQ4	2.6
173	YOR132W	VPS17	2.6
174	YNL274C	GOR1	2.6
175	YMR170C	ALD2	2.6
176	YNL079C	TPM1	2.6
177	YMR173W	DDR48	2.6
178	YLR206W	ENT2	2.6
179	YDR516C	EMI2	2.6
180	YNL156C	NSG2	2.6
181	YDR100W	TVP15	2.6
182	YIL136W	OM45	2.6
183	YKL085W	MDH1	2.6
184	YDR001C	NTH1	2.6
185	YDL045C	FAD1	2.6
186	YHL002W	HSE1	2.6
187	YDR148C	KGD2	2.6
188	YKL094W	YJU3	2.6
189	YPR036W	VMA13	2.5
190	YOR329C	SCD5	2.5
191	YOR124C	UBP2	2.5
192	YDR304C	CPR5	2.5
193	YKL210W	UBA1	2.5
194	YDL078C	MDH3	2.5
195	YJL057C	IKS1	2.5
196	YGR253C	PUP2	2.5
197	YCR009C	RVS161	2.5
198	YDR427W	RPN9	2.5
199	YLR216C	CPR6	2.5
200	YOR125C	CAT5	2.5
201	YLR251W	SYM1	2.5
202	YKL140W	TGL1	2.5
203	YKL067W	YNK1	2.5
204	YLR250W	SSP120	2.5
205	YNL015W	PBI2	2.5
206	YOR176W	HEM15	2.5
207	YPL152W	RRD2	2.5
208	YDL110C	TMA17	2.5
209	YML100W	TSL1	2.5
210	YBR230C	OM14	2.5
211	YOR288C	MPD1	2.5
212	YOR374W	ALD4	2.5
213	YFR049W	KGD4	2.5
214	YNL265C	IST1	2.5
215	YJL036W	SNX4	2.5
216	YDL147W	RPN5	2.5
217	YAL030W	SNC1	2.5
218	YEL011W	GLC3	2.5
219	YOR317W	FAA1	2.5
220	YMR311C	GLC8	2.5
221	YOR122C	PFY1	2.5
222	YKL091C	YKL091C	2.5
223	YGR255C	COQ6	2.5
224	YNL243W	SLA2	2.5
225	YJL141C	YAK1	2.5
226	YDR171W	HSP42	2.5
227	YHR028C	DAP2	2.5
228	YMR072W	ABF2	2.5
229	YBR109C	CMD1	2.5
230	YBL050W	SEC17	2.5
231	YGR232W	NAS6	2.5
232	YNL168C	FMP41	2.5
233	YAL060W	BDH1	2.5
234	YML128C	MSC1	2.5
235	YNR033W	ABZ1	2.5
236	YOR173W	DCS2	2.5
237	YHR043C	DOG2	2.5
238	YJL167W	ERG20	2.5
239	YPL003W	ULA1	2.5
240	YOR197W	MCA1	2.5
241	YDR258C	HSP78	2.5
242	YGR284C	ERV29	2.5
243	YER021W	RPN3	2.5
244	YGL006W	PMC1	2.5
245	YPL224C	MMT2	2.5
246	YDL126C	CDC48	2.5
247	YGR086C	PIL1	2.5
248	YIR036C	IRC24	2.4
249	YJL151C	SNA3	2.4
250	YCR073W-A	SOL2	2.4
251	YGL104C	VPS73	2.4
252	YMR105C	PGM2	2.4
253	YGL227W	VID30	2.4
254	YMR302C	YME2	2.4
255	YGL198W	YIP4	2.4
256	YNL055C	POR1	2.4
257	YOR347C	PYK2	2.4
258	YCL034W	LSB5	2.4
259	YBR173C	UMP1	2.4
260	YIL097W	FYV10	2.4
261	YHR074W	QNS1	2.4
262	YBR036C	CSG2	2.4
263	YGL248W	PDE1	2.4
264	YNR006W	VPS27	2.4
265	YMR276W	DSK2	2.4
266	YDR084C	TVP23	2.4
267	YGL053W	PRM8	2.4
268	YOL065C	INP54	2.4
269	YFR004W	RPN11	2.4
270	YMR029C	FAR8	2.4
271	YHL021C	AIM17	2.4
272	YNR007C	ATG3	2.4
273	YDR436W	PPZ2	2.4
274	YBR169C	SSE2	2.4
275	YBR280C	SAF1	2.4
276	YLL039C	UBI4	2.4
277	YPL249C	GYP5	2.4
278	YDR486C	VPS60	2.4
279	YPR149W	NCE102	2.4
280	YML028W	TSA1	2.4
281	YLL050C	COF1	2.4
282	YGR248W	SOL4	2.4
283	YPL262W	FUM1	2.4
284	YKR067W	GPT2	2.4
285	YKR076W	ECM4	2.4
286	YDL021W	GPM2	2.4
287	YGR244C	LSC2	2.4
288	YNL322C	KRE1	2.4
289	YPR180W	AOS1	2.4
290	YPL078C	ATP4	2.4
291	YDL091C	UBX3	2.4
292	YDR058C	TGL2	2.4
293	YDL103C	QRI1	2.4
294	YNR032W	PPG1	2.4
295	YKL195W	MIA40	2.4
296	YNL330C	RPD3	2.4
297	YPL100W	ATG21	2.4
298	YIL107C	PFK26	2.4
299	YDR329C	PEX3	2.4
300	YMR304W	UBP15	2.4
301	YNL074C	MLF3	2.4
302	YIL017C	VID28	2.4
303	YER048C	CAJ1	2.4
304	YLR102C	APC9	2.4
305	YDL193W	NUS1	2.4
306	YKL129C	MYO3	2.4
307	YDL134C	PPH21	2.4
308	YNL007C	SIS1	2.4
309	YLR330W	CHS5	2.4
310	YNL037C	IDH1	2.4
311	YKR049C	FMP46	2.4
312	YOR220W	RCN2	2.4
313	YMR184W	ADD37	2.4
314	YER143W	DDI1	2.4
315	YIL036W	CST6	2.4
316	YOL133W	HRT1	2.4
317	YJR099W	YUH1	2.4
318	YLR080W	EMP46	2.4
319	YDL132W	CDC53	2.4
320	YIR038C	GTT1	2.4
321	YDR231C	COX20	2.4
322	YNL173C	MDG1	2.4
323	YLR093C	NYV1	2.4
324	YNL263C	YIF1	2.4
325	YDR511W	SDH7	2.4
326	YDR373W	FRQ1	2.4
327	YKR066C	CCP1	2.4
328	YFR044C	DUG1	2.4
329	YNL223W	ATG4	2.4
330	YOR136W	IDH2	2.4
331	YGR268C	HUA1	2.4
332	YKR011C	FPT1	2.4
333	YDL135C	RDI1	2.4
334	YMR278W	PRM15	2.4
335	YDR168W	CDC37	2.4
336	YGL084C	GUP1	2.4
337	YHR001W	OSH7	2.4
338	YJR019C	TES1	2.4
339	YOL049W	GSH2	2.4
340	YGL095C	VPS45	2.4
341	YKL190W	CNB1	2.4
342	YMR200W	ROT1	2.4
343	YDR003W	RCR2	2.4
344	YJL060W	BNA3	2.3
345	YDR122W	KIN1	2.3
346	YHR200W	RPN10	2.3
347	YOR018W	ROD1	2.3
348	YBR006W	UGA2	2.3
349	YPL059W	GRX5	2.3
350	YBR290W	BSD2	2.3
351	YNL003C	PET8	2.3
352	YDL142C	CRD1	2.3
353	YPR165W	RHO1	2.3
354	YOR367W	SCP1	2.3
355	YML120C	NDI1	2.3
356	YKL145W	RPT1	2.3
357	YOR163W	DDP1	2.3
358	YNR036C	MRPS12	2.3
359	YGL181W	GTS1	2.3
360	YNL026W	SAM50	2.3
361	YER035W	EDC2	2.3
362	YHR037W	PUT2	2.3
363	YKL157W	APE2	2.3
364	YMR004W	MVP1	2.3
365	YBR256C	RIB5	2.3
366	YOR227W	HER1	2.3
367	YAL017W	PSK1	2.3
368	YFR015C	GSY1	2.3
369	YOR386W	PHR1	2.3
370	YMR284W	YKU70	2.3
371	YCR011C	ADP1	2.3
372	YHR027C	RPN1	2.3
373	YKR091W	SRL3	2.3
374	YOL062C	APM4	2.3
375	YGL221C	NIF3	2.3
376	YOL088C	MPD2	2.3
377	YNL135C	FPR1	2.3
378	YIL075C	RPN2	2.3
379	YMR041C	ARA2	2.3
380	YDL234C	GYP7	2.3
381	YOR158W	PET123	2.3
382	YDL188C	PPH22	2.3
383	YBL040C	ERD2	2.3
384	YDL230W	PTP1	2.3
385	YDL130W-A	STF1	2.3
386	YPR081C	GRS2	2.3
387	YOL013C	HRD1	2.3
388	YBR046C	ZTA1	2.3
389	YNL036W	NCE103	2.3
390	YOR185C	GSP2	2.3
391	YDR411C	DFM1	2.3
392	YLR421C	RPN13	2.3
393	YGR028W	MSP1	2.3
394	YNL051W	COG5	2.3
395	YLR337C	VRP1	2.3
396	YDL089W	NUR1	2.3
397	YBR183W	YPC1	2.3
398	YHR012W	VPS29	2.3
399	YDR177W	UBC1	2.3
400	YOR089C	VPS21	2.3
401	YPL096W	PNG1	2.3
402	YFL010C	WWM1	2.3
403	YPR026W	ATH1	2.3
404	YCL032W	STE50	2.3
405	YNL287W	SEC21	2.3
406	YJR103W	URA8	2.3
407	YBL047C	EDE1	2.3
408	YPL118W	MRP51	2.3
409	YDR178W	SDH4	2.3
410	YER119C	AVT6	2.3
411	YIL111W	COX5B	2.3
412	YJL003W	COX16	2.3
413	YOR007C	SGT2	2.3
414	YLR248W	RCK2	2.3
415	YNL241C	ZWF1	2.3
416	YJR139C	HOM6	2.3
417	YER178W	PDA1	2.3
418	YDR294C	DPL1	2.3
419	YPR079W	MRL1	2.3
420	YDL169C	UGX2	2.3
421	YNL160W	YGP1	2.3
422	YFR053C	HXK1	2.3
423	YDR353W	TRR1	2.3
424	YKR001C	VPS1	2.3
425	YHL031C	GOS1	2.3
426	YHL034C	SBP1	2.3
427	YMR097C	MTG1	2.3
428	YER027C	GAL83	2.3
429	YHR195W	NVJ1	2.3
430	YDR452W	PPN1	2.3
431	YBR003W	COQ1	2.3
432	YPL186C	UIP4	2.3
433	YCL028W	RNQ1	2.3
434	YKL016C	ATP7	2.3
435	YLR240W	VPS34	2.3
436	YGL004C	RPN14	2.3
437	YBL102W	SFT2	2.3
438	YBL045C	COR1	2.3
439	YMR169C	ALD3	2.3
440	YER053C	PIC2	2.3
441	YCL043C	PDI1	2.3
442	YOL060C	MAM3	2.3
443	YMR264W	CUE1	2.3
444	YGL219C	MDM34	2.3
445	YER059W	PCL6	2.3
446	YML001W	YPT7	2.3
447	YNL167C	SKO1	2.3
448	YCR002C	CDC10	2.3
449	YHR087W	RTC3	2.3
450	YPR155C	NCA2	2.3
451	YGL156W	AMS1	2.3
452	YDL204W	RTN2	2.3
453	YDL046W	NPC2	2.3
454	YDR330W	UBX5	2.3
455	YDR246W	TRS23	2.3
456	YPR023C	EAF3	2.3
457	YGL252C	RTG2	2.2
458	YLL001W	DNM1	2.2
459	YBR212W	NGR1	2.2
460	YBR221C	PDB1	2.2
461	YOR069W	VPS5	2.2
462	YDR328C	SKP1	2.2
463	YDR335W	MSN5	2.2
464	YDL019C	OSH2	2.2
465	YFR014C	CMK1	2.2
466	YOR065W	CYT1	2.2
467	YOR161C	PNS1	2.2
468	YNL183C	NPR1	2.2
469	YMR298W	LIP1	2.2
470	YGR209C	TRX2	2.2
471	YFL048C	EMP47	2.2
472	YMR255W	GFD1	2.2
473	YPR184W	GDB1	2.2
474	YMR119W	ASI1	2.2
475	YJL031C	BET4	2.2
476	YBL038W	MRPL16	2.2
477	YKL189W	HYM1	2.2
478	YGL115W	SNF4	2.2
479	YIL007C	NAS2	2.2
480	YLR327C	TMA10	2.2
481	YNL297C	MON2	2.2
482	YPR047W	MSF1	2.2
483	YOL151W	GRE2	2.2
484	YLR324W	PEX30	2.2
485	YPR067W	ISA2	2.2
486	YLR423C	ATG17	2.2
487	YIL155C	GUT2	2.2
488	YDL100C	GET3	2.2
489	YJL161W	FMP33	2.2
490	YDL004W	ATP16	2.2
491	YIL154C	IMP21	2.2
492	YNL131W	TOM22	2.2
493	YDL161W	ENT1	2.2
494	YNR010W	CSE2	2.2
495	YOR035C	SHE4	2.2
496	YNR037C	RSM19	2.2
497	YDR479C	PEX29	2.2
498	YBR177C	EHT1	2.2
499	YKL168C	KKQ8	2.2
500	YML078W	CPR3	2.2
501	YIL157C	COA1	2.2
502	YKL034W	TUL1	2.2
503	YLR209C	PNP1	2.2
504	YHR209W	CRG1	2.2
505	YDR085C	AFR1	2.2
506	YHR075C	PPE1	2.2
507	YOR054C	VHS3	2.2
508	YCR069W	CPR4	2.2
509	YHR110W	ERP5	2.2
510	YLL019C	KNS1	2.2
511	YML054C	CYB2	2.2
512	YOR027W	STI1	2.2
513	YMR251W-A	HOR7	2.2
514	YMR109W	MYO5	2.2
515	YPL028W	ERG10	2.2
516	YGL047W	ALG13	2.2
517	YFL016C	MDJ1	2.2
518	YGR223C	HSV2	2.2
519	YOR256C	TRE2	2.2
520	YHR106W	TRR2	2.2
521	YJR080C	AIM24	2.2
522	YPR134W	MSS18	2.2
523	YLR025W	SNF7	2.2
524	YNL006W	LST8	2.2
525	YML012W	ERV25	2.2
526	YDL113C	ATG20	2.2
527	YOL016C	CMK2	2.2
528	YER020W	GPA2	2.2
529	YJL082W	IML2	2.2
530	YER142C	MAG1	2.2
531	YPR107C	YTH1	2.2
532	YCL033C	MXR2	2.2
533	YIL088C	AVT7	2.2
534	YBR014C	GRX7	2.2
535	YNR002C	ATO2	2.2
536	YOL117W	RRI2	2.2
537	YBR222C	PCS60	2.2
538	YLR203C	MSS51	2.2
539	YKR046C	PLN1	2.2
540	YLR170C	APS1	2.2
541	YIL101C	XBP1	2.2
542	YFR047C	BNA6	2.2
543	YNL094W	APP1	2.2
544	YFL038C	YPT1	2.2
545	YPR154W	PIN3	2.2
546	YLR351C	NIT3	2.2
547	YNL253W	TEX1	2.2
548	YNL305C	BXI1	2.2
549	YHR171W	ATG7	2.2
550	YGR088W	CTT1	2.2
551	YML069W	POB3	2.2
552	YEL039C	CYC7	2.2
553	YLR354C	TAL1	2.2
554	YMR030W	RSF1	2.2
555	YKL206C	ADD66	2.2
556	YNL284C	MRPL10	2.2
557	YNL214W	PEX17	2.2
558	YJR091C	JSN1	2.2
559	YKL159C	RCN1	2.2
560	YBR272C	HSM3	2.2
561	YCR082W	AHC2	2.2
562	YMR053C	STB2	2.2
563	YPL084W	BRO1	2.2
564	YJL172W	CPS1	2.2
565	YGR070W	ROM1	2.2
566	YOR332W	VMA4	2.2
567	YPL065W	VPS28	2.2
568	YBR170C	NPL4	2.2
569	YMR140W	SIP5	2.2
570	YOR090C	PTC5	2.2
571	YDR214W	AHA1	2.2
572	YOR245C	DGA1	2.2
573	YGL001C	ERG26	2.2
574	YJR033C	RAV1	2.2
575	YGL087C	MMS2	2.2
576	YLL040C	VPS13	2.2
577	YJL123C	MTC1	2.2
578	YJR086W	STE18	2.2
579	YNL130C	CPT1	2.2
580	YOR126C	IAH1	2.2
581	YBR001C	NTH2	2.2
582	YOR357C	SNX3	2.2
583	YEL002C	WBP1	2.2
584	YOR014W	RTS1	2.2
585	YCR079W	PTC6	2.2
586	YGR044C	RME1	2.2
587	YPL010W	RET3	2.2
588	YBR053C	YBR053C	2.2
589	YML117W	NAB6	2.2
590	YKL019W	RAM2	2.2
591	YKR065C	PAM17	2.2
592	YLR350W	ORM2	2.2
593	YAR007C	RFA1	2.2
594	YLR219W	MSC3	2.2
595	YNL215W	IES2	2.2
596	YJL174W	KRE9	2.2
597	YIL076W	SEC28	2.2
598	YDL115C	IWR1	2.2
599	YBR229C	ROT2	2.2
600	YBR011C	IPP1	2.2
601	YJR148W	BAT2	2.2
602	YDR453C	TSA2	2.2
603	YGL250W	RMR1	2.2
604	YLR120C	YPS1	2.2
605	YPL214C	THI6	2.2
606	YNR034W	SOL1	2.1
607	YHR132C	ECM14	2.1
608	YHL019C	APM2	2.1
609	YER103W	SSA4	2.1
610	YGR010W	NMA2	2.1
611	YLR066W	SPC3	2.1
612	YHR017W	YSC83	2.1
613	YPL230W	USV1	2.1
614	YNR049C	MSO1	2.1
615	YDR255C	RMD5	2.1
616	YJR073C	OPI3	2.1
617	YDR517W	GRH1	2.1
618	YHR004C	NEM1	2.1
619	YIL125W	KGD1	2.1
620	YLL041C	SDH2	2.1
621	YML048W	GSF2	2.1
622	YGL106W	MLC1	2.1
623	YFL039C	ACT1	2.1
624	YGL208W	SIP2	2.1
625	YJR049C	UTR1	2.1
626	YJR062C	NTA1	2.1
627	YBL001C	ECM15	2.1
628	YER141W	COX15	2.1
629	YOR181W	LAS17	2.1
630	YDR251W	PAM1	2.1
631	YOR221C	MCT1	2.1
632	YJR117W	STE24	2.1
633	YBR082C	UBC4	2.1
634	YLR097C	HRT3	2.1
635	YDR490C	PKH1	2.1
636	YJR104C	SOD1	2.1
637	YBR287W	YBR287W	2.1
638	YOR023C	AHC1	2.1
639	YBR039W	ATP3	2.1
640	YDR031W	MIX14	2.1
641	YDR077W	SED1	2.1
642	YPL002C	SNF8	2.1
643	YJL048C	UBX6	2.1
644	YDR293C	SSD1	2.1
645	YGR295C	COS6	2.1
646	YKL218C	SRY1	2.1
647	YHR051W	COX6	2.1
648	YNL081C	SWS2	2.1
649	YPR160W	GPH1	2.1
650	YCL039W	GID7	2.1
651	YIL050W	PCL7	2.1
652	YJL159W	HSP150	2.1
653	YLR118C	TML25	2.1
654	YDR320C	SWA2	2.1
655	YCR075C	ERS1	2.1
656	YGR222W	PET54	2.1
657	YGL002W	ERP6	2.1
658	YML129C	COX14	2.1
659	YPL240C	HSP82	2.1
660	YBL007C	SLA1	2.1
661	YOR150W	MRPL23	2.1
662	YHR199C	AIM46	2.1
663	YPR072W	NOT5	2.1
664	YJL042W	MHP1	2.1
665	YER026C	CHO1	2.1
666	YKL002W	DID4	2.1
667	YNL237W	YTP1	2.1
668	YOL116W	MSN1	2.1
669	YOR280C	FSH3	2.1
670	YNL059C	ARP5	2.1
671	YIL105C	SLM1	2.1
672	YER063W	THO1	2.1
673	YLR307W	CDA1	2.1
674	YDR055W	PST1	2.1
675	YFL029C	CAK1	2.1
676	YKR009C	FOX2	2.1
677	YOL100W	PKH2	2.1
678	YMR002W	MIX17	2.1
679	YBR072W	HSP26	2.1
680	YLR418C	CDC73	2.1
681	YGL038C	OCH1	2.1
682	YGL121C	GPG1	2.1
683	YMR020W	FMS1	2.1
684	YDR028C	REG1	2.1
685	YPR191W	QCR2	2.1
686	YDR059C	UBC5	2.1
687	YDL137W	ARF2	2.1
688	YLR038C	COX12	2.1
689	YIL051C	MMF1	2.1
690	YOR138C	RUP1	2.1
691	YAL028W	FRT2	2.1
692	YNL294C	RIM21	2.1
693	YNL257C	SIP3	2.1
694	YFL005W	SEC4	2.1
695	YBR056W	MRX18	2.1
696	YPR199C	ARR1	2.1
697	YOR086C	TCB1	2.1
698	YGL166W	CUP2	2.1
699	YOR137C	SIA1	2.1
700	YDL018C	ERP3	2.1
701	YJL154C	VPS35	2.1
702	YHL030W	ECM29	2.1
703	YMR071C	TVP18	2.1
704	YGL191W	COX13	2.1
705	YEL052W	AFG1	2.1
706	YBL101C	ECM21	2.1
707	YLR011W	LOT6	2.1
708	YKL087C	CYT2	2.1
709	YMR135C	GID8	2.1
710	YML013W	UBX2	2.1
711	YKR020W	VPS51	2.1
712	YLR079W	SIC1	2.1
713	YLR006C	SSK1	2.1
714	YDR529C	QCR7	2.1
715	YFL062W	COS4	2.1
716	YLR113W	HOG1	2.1
717	YPR073C	LTP1	2.1
718	YHR198C	AIM18	2.1
719	YPR131C	NAT3	2.1
720	YPL061W	ALD6	2.1
721	YHL048W	COS8	2.1
722	YAL015C	NTG1	2.1
723	YDR423C	CAD1	2.1
724	YBR193C	MED8	2.1
725	YKL093W	MBR1	2.1
726	YDR070C	FMP16	2.1
727	YMR271C	URA10	2.1
728	YNL005C	MRP7	2.1
729	YDL238C	GUD1	2.1
730	YDL010W	GRX6	2.1
731	YPR075C	OPY2	2.1
732	YDL215C	GDH2	2.1
733	YBL015W	ACH1	2.1
734	YDR512C	EMI1	2.1
735	YFL042C	LAM5	2.1
736	YPL222W	FMP40	2.1
737	YDR287W	INM2	2.1
738	YGR048W	UFD1	2.1
739	YPL195W	APL5	2.1
740	YGL228W	SHE10	2.1
741	YDR229W	IVY1	2.1
742	YJL026W	RNR2	2.1
743	YDR377W	ATP17	2.1
744	YOR327C	SNC2	2.1
745	YLR239C	LIP2	2.1
746	YOR052C	TMC1	2.1
747	YKR058W	GLG1	2.1
748	YBL056W	PTC3	2.1
749	YER004W	FMP52	2.1
750	YPL070W	MUK1	2.1
751	YBR125C	PTC4	2.1
752	YPL097W	MSY1	2.1
753	YGL091C	NBP35	2.1
754	YLR027C	AAT2	2.1
755	YBR086C	IST2	2.1
756	YNL312W	RFA2	2.1
757	YMR115W	MGR3	2.1
758	YKL121W	DGR2	2.1
759	YOL070C	NBA1	2.1
760	YML042W	CAT2	2.1
761	YJL034W	KAR2	2.1
762	YLR231C	BNA5	2.1
763	YJL005W	CYR1	2.1
