SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: YNR048W

Rank	Gene	Common	Score
Q	YNR048W	YNR048W	
1	YDR223W	CRF1	3.6
2	YLR307W	CDA1	2.0
3	YNL119W	NCS2	2.0
4	YNR039C	ZRG17	1.9
5	YNR052C	POP2	1.9
6	YNL253W	TEX1	1.9
7	YOR359W	VTS1	1.9
8	YNL288W	CAF40	1.9
9	YPL069C	BTS1	1.9
10	YNR038W	DBP6	1.9
11	YNR032W	PPG1	1.9
12	YLR215C	CDC123	1.9
13	YOL042W	NGL1	1.9
14	YNL023C	FAP1	1.9
15	YPL122C	TFB2	1.8
16	YNL326C	PFA3	1.8
17	YNL164C	IBD2	1.8
18	YOR213C	SAS5	1.8
19	YNL275W	BOR1	1.8
20	YMR211W	DML1	1.8
21	YML080W	DUS1	1.8
22	YMR059W	SEN15	1.8
23	YNL316C	PHA2	1.8
24	YNR015W	SMM1	1.8
25	YOL066C	RIB2	1.8
26	YPR083W	MDM36	1.8
27	YNL216W	RAP1	1.8
28	YML032C	RAD52	1.8
29	YMR093W	UTP15	1.8
30	YJL125C	GCD14	1.8
31	YDR184C	ATC1	1.8
32	YNL314W	DAL82	1.8
33	YNR012W	URK1	1.8
34	YOL021C	DIS3	1.8
35	YOR360C	PDE2	1.8
36	YNL249C	MPA43	1.8
37	YNR045W	PET494	1.8
38	YHR036W	BRL1	1.8
39	YNL291C	MID1	1.8
40	YML023C	NSE5	1.8
41	YOL088C	MPD2	1.8
42	YML011C	RAD33	1.7
43	YKR087C	OMA1	1.7
44	YNL317W	PFS2	1.7
45	YNL261W	ORC5	1.7
46	YNL001W	DOM34	1.7
47	YLR328W	NMA1	1.7
48	YLR396C	VPS33	1.7
49	YKR056W	TRM2	1.7
50	YJL072C	PSF2	1.7
51	YOL062C	APM4	1.7
52	YIL110W	HPM1	1.7
53	YOR138C	RUP1	1.7
54	YOR129C	AFI1	1.7
55	YNL256W	FOL1	1.7
56	YOR269W	PAC1	1.7
57	YPL254W	HFI1	1.7
58	YOL115W	PAP2	1.7
59	YOR205C	GEP3	1.7
60	YLR014C	PPR1	1.7
61	YMR288W	HSH155	1.7
62	YGR003W	CUL3	1.7
63	YOR154W	SLP1	1.7
64	YOR334W	MRS2	1.7
65	YNL311C	SKP2	1.7
66	YPL159C	PET20	1.7
67	YNL083W	SAL1	1.7
68	YNR010W	CSE2	1.7
69	YML006C	GIS4	1.7
70	YPR031W	NTO1	1.7
71	YNL222W	SSU72	1.7
72	YOL128C	YGK3	1.7
73	YNR020C	ATP23	1.7
74	YOR143C	THI80	1.7
75	YMR036C	MIH1	1.7
76	YNL151C	RPC31	1.7
77	YKL134C	OCT1	1.7
78	YOL094C	RFC4	1.7
79	YNL152W	INN1	1.7
80	YNL248C	RPA49	1.7
81	YNL263C	YIF1	1.7
82	YJR097W	JJJ3	1.7
83	YBR257W	POP4	1.7
84	YPL161C	BEM4	1.7
85	YOL089C	HAL9	1.7
86	YKL018W	SWD2	1.7
87	YMR274C	RCE1	1.7
88	YCL005W	LDB16	1.7
89	YLR405W	DUS4	1.7
90	YOR166C	SWT1	1.7
91	YLR403W	SFP1	1.7
92	YOR209C	NPT1	1.7
93	YDR280W	RRP45	1.7
94	YML007W	YAP1	1.7
95	YPR046W	MCM16	1.7
96	YOR147W	MDM32	1.7
97	YPR125W	YLH47	1.7
98	YKL106W	AAT1	1.7
99	YOR106W	VAM3	1.7
100	YBL004W	UTP20	1.7
101	YKL078W	DHR2	1.7
102	YLL011W	SOF1	1.7
103	YML046W	PRP39	1.7
104	YNL212W	VID27	1.7
105	YJL178C	ATG27	1.7
106	YJL010C	NOP9	1.7
107	YDR419W	RAD30	1.7
108	YCL016C	DCC1	1.7
109	YNL188W	KAR1	1.7
110	YNR046W	TRM112	1.7
111	YCR057C	PWP2	1.7
112	YKR082W	NUP133	1.7
113	YPL172C	COX10	1.7
114	YNL323W	LEM3	1.7
115	YGL119W	COQ8	1.7
116	YNL123W	NMA111	1.7
117	YPL083C	SEN54	1.7
118	YML031W	NDC1	1.7
119	YLR332W	MID2	1.7
120	YOR171C	LCB4	1.7
121	YNL186W	UBP10	1.7
122	YNL051W	COG5	1.7
123	YLR186W	EMG1	1.7
124	YPL128C	TBF1	1.7
125	YNL182C	IPI3	1.6
126	YOR244W	ESA1	1.6
127	YNL191W	DUG3	1.6
128	YDL042C	SIR2	1.6
129	YML038C	YMD8	1.6
130	YGR004W	PEX31	1.6
131	YML127W	RSC9	1.6
132	YLR191W	PEX13	1.6
133	YMR091C	NPL6	1.6
134	YMR127C	SAS2	1.6
135	YNR023W	SNF12	1.6
136	YGL169W	SUA5	1.6
137	YOR078W	BUD21	1.6
