SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: BIO3

Rank	Gene	Common	Score
Q	YNR058W	BIO3	
1	YNR057C	BIO4	4.6
2	YNR056C	BIO5	4.5
3	YJR155W	AAD10	3.4
4	YGR065C	VHT1	3.2
5	YGR286C	BIO2	3.1
6	YER024W	YAT2	2.8
7	YJR130C	STR2	2.6
8	YPL188W	POS5	2.6
9	YIL164C	NIT1	2.5
10	YNL116W	DMA2	2.5
11	YML042W	CAT2	2.4
12	YOL119C	MCH4	2.4
13	YMR096W	SNZ1	2.4
14	YJL071W	ARG2	2.4
15	YMR095C	SNO1	2.4
16	YOL055C	THI20	2.4
17	YER175C	TMT1	2.4
18	YPL092W	SSU1	2.4
19	YMR271C	URA10	2.4
20	YDL170W	UGA3	2.4
21	YLR307W	CDA1	2.4
22	YJR109C	CPA2	2.4
23	YPL214C	THI6	2.4
24	YKL211C	TRP3	2.4
25	YFL020C	PAU5	2.4
26	YPR001W	CIT3	2.3
27	YER065C	ICL1	2.3
28	YER185W	PUG1	2.3
29	YPL258C	THI21	2.3
30	YKR069W	MET1	2.3
31	YNL125C	ESBP6	2.3
32	YIL099W	SGA1	2.3
33	YOR303W	CPA1	2.3
34	YDL054C	MCH1	2.3
35	YBR147W	RTC2	2.3
36	YLR174W	IDP2	2.3
37	YNL128W	TEP1	2.3
38	YDL215C	GDH2	2.3
39	YIR034C	LYS1	2.3
40	YLR037C	PAU23	2.3
41	YEL049W	PAU2	2.3
42	YOR328W	PDR10	2.3
43	YOL091W	SPO21	2.3
44	YOL064C	MET22	2.3
45	YHR018C	ARG4	2.3
46	YGL154C	LYS5	2.3
47	YPR111W	DBF20	2.3
48	YHR006W	STP2	2.2
49	YGL224C	SDT1	2.2
50	YBR047W	FMP23	2.2
51	YGR144W	THI4	2.2
52	YOL025W	LAG2	2.2
53	YJL108C	PRM10	2.2
54	YKL218C	SRY1	2.2
55	YGR161C	RTS3	2.2
56	YOR003W	YSP3	2.2
57	YML116W	ATR1	2.2
58	YHL016C	DUR3	2.2
59	YLR092W	SUL2	2.2
60	YGR043C	NQM1	2.2
61	YOR130C	ORT1	2.2
62	YNL014W	HEF3	2.2
63	YNL331C	AAD14	2.2
64	YDR242W	AMD2	2.2
65	YMR062C	ARG7	2.2
66	YOR337W	TEA1	2.2
67	YML054C	CYB2	2.2
68	YNL012W	SPO1	2.2
69	YNL009W	IDP3	2.2
70	YPL223C	GRE1	2.2
71	YER015W	FAA2	2.2
72	YHR150W	PEX28	2.2
73	YGL184C	STR3	2.2
74	YOR100C	CRC1	2.2
75	YIR017C	MET28	2.2
76	YFR030W	MET10	2.2
77	YER039C	HVG1	2.2
78	YPL250C	ATG41	2.2
79	YHL027W	RIM101	2.2
80	YOR120W	GCY1	2.2
81	YGR239C	PEX21	2.2
82	YBR043C	QDR3	2.2
83	YCR020C	PET18	2.2
84	YOR363C	PIP2	2.2
85	YNL294C	RIM21	2.2
86	YDL085W	NDE2	2.2
87	YKL217W	JEN1	2.2
88	YAR020C	PAU7	2.2
89	YPR167C	MET16	2.2
90	YGL156W	AMS1	2.2
91	YMR020W	FMS1	2.2
92	YGL248W	PDE1	2.2
93	YFL030W	AGX1	2.2
94	YJL089W	SIP4	2.2
95	YBR301W	PAU24	2.2
96	YLR267W	BOP2	2.2
97	YMR019W	STB4	2.2
98	YMR107W	SPG4	2.2
99	YIL046W	MET30	2.2
100	YDL141W	BPL1	2.2
101	YPL252C	YAH1	2.2
102	YAL054C	ACS1	2.1
103	YNR002C	ATO2	2.1
104	YJL088W	ARG3	2.1
105	YMR191W	SPG5	2.1
106	YNL279W	PRM1	2.1
107	YHR096C	HXT5	2.1
108	YDR223W	CRF1	2.1
109	YGL125W	MET13	2.1
110	YNL104C	LEU4	2.1
111	YBR295W	PCA1	2.1
112	YGR032W	GSC2	2.1
113	YKR009C	FOX2	2.1
114	YPR058W	YMC1	2.1
115	YBR293W	VBA2	2.1
116	YNR076W	PAU6	2.1
117	YGR256W	GND2	2.1
118	YOL043C	NTG2	2.1
119	YMR017W	SPO20	2.1
120	YIL146C	ATG32	2.1
121	YBR240C	THI2	2.1
122	YBR256C	RIB5	2.1
123	YGL059W	PKP2	2.1
124	YGL180W	ATG1	2.1
125	YKL188C	PXA2	2.1
126	YHR071W	PCL5	2.1
127	YDL223C	HBT1	2.1
128	YFL056C	AAD6	2.1
129	YLR461W	PAU4	2.1
130	YOL164W	BDS1	2.1
131	YOR202W	HIS3	2.1
132	YKL093W	MBR1	2.1
133	YIR029W	DAL2	2.1
134	YIL056W	VHR1	2.1
135	YBR046C	ZTA1	2.1
136	YGR088W	CTT1	2.1
137	YIR028W	DAL4	2.1
138	YKL163W	PIR3	2.1
139	YDL024C	DIA3	2.1
140	YJL153C	INO1	2.1
141	YJR036C	HUL4	2.1
142	YNR060W	FRE4	2.1
143	YNL277W	MET2	2.1
144	YMR170C	ALD2	2.1
145	YER096W	SHC1	2.1
146	YOL084W	PHM7	2.1
147	YNL202W	SPS19	2.1
148	YOR044W	IRC23	2.1
149	YJR119C	JHD2	2.1
150	YMR180C	CTL1	2.1
151	YOL140W	ARG8	2.1
152	YPL186C	UIP4	2.1
153	YAL015C	NTG1	2.1
154	YDR035W	ARO3	2.1
155	YNL117W	MLS1	2.1
156	YER052C	HOM3	2.1
157	YFL028C	CAF16	2.1
158	YBR182C	SMP1	2.1
159	YLL060C	GTT2	2.1
160	YBR145W	ADH5	2.1
161	YBL033C	RIB1	2.1
162	YNR059W	MNT4	2.1
163	YOR380W	RDR1	2.1
164	YKR101W	SIR1	2.1
165	YOR306C	MCH5	2.1
166	YHR029C	YHI9	2.1
167	YHR139C	SPS100	2.1
168	YJL116C	NCA3	2.1
169	YGL121C	GPG1	2.1
170	YDR158W	HOM2	2.0
171	YLR070C	XYL2	2.0
172	YIL117C	PRM5	2.0
173	YOR208W	PTP2	2.0
174	YBL075C	SSA3	2.0
175	YBL043W	ECM13	2.0
176	YHR209W	CRG1	2.0
177	YOL154W	ZPS1	2.0
178	YNL274C	GOR1	2.0
179	YDR234W	LYS4	2.0
180	YJR154W	YJR154W	2.0
181	YNL036W	NCE103	2.0
182	YJL223C	PAU1	2.0
183	YJL200C	ACO2	2.0
184	YLL055W	YCT1	2.0
185	YLR080W	EMP46	2.0
186	YGL026C	TRP5	2.0
187	YNR050C	LYS9	2.0
188	YLR251W	SYM1	2.0
189	YIL160C	POT1	2.0
190	YGR019W	UGA1	2.0
191	YPR193C	HPA2	2.0
192	YDL243C	AAD4	2.0
193	YLL063C	AYT1	2.0
194	YPL177C	CUP9	2.0
195	YPL054W	LEE1	2.0
196	YGL166W	CUP2	2.0
197	YOR177C	MPC54	2.0
198	YNR044W	AGA1	2.0
199	YKR061W	KTR2	2.0
200	YOL113W	SKM1	2.0
201	YJR078W	BNA2	2.0
202	YIL116W	HIS5	2.0
203	YBR294W	SUL1	2.0
204	YPL134C	ODC1	2.0
205	YOR192C	THI72	2.0
206	YKL124W	SSH4	2.0
207	YLR284C	ECI1	2.0
208	YGR213C	RTA1	2.0
209	YHR137W	ARO9	2.0
210	YGL096W	TOS8	2.0
211	YMR169C	ALD3	2.0
212	YJR025C	BNA1	2.0
213	YBL049W	MOH1	2.0
214	YIR039C	YPS6	2.0
215	YKL208W	CBT1	2.0
216	YNL142W	MEP2	2.0
