SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: DIS3

Rank	Gene	Common	Score
Q	YOL021C	DIS3	
1	YNL061W	NOP2	3.7
2	YCR057C	PWP2	3.7
3	YLR409C	UTP21	3.6
4	YPL012W	RRP12	3.6
5	YNL132W	KRE33	3.6
6	YDR101C	ARX1	3.6
7	YOR272W	YTM1	3.6
8	YLR222C	UTP13	3.6
9	YOR048C	RAT1	3.5
10	YMR049C	ERB1	3.5
11	YJL050W	MTR4	3.5
12	YLR196W	PWP1	3.5
13	YGL099W	LSG1	3.5
14	YOR361C	PRT1	3.5
15	YOR207C	RET1	3.5
16	YOR206W	NOC2	3.5
17	YOR243C	PUS7	3.5
18	YGL120C	PRP43	3.4
19	YPR010C	RPA135	3.4
20	YPL226W	NEW1	3.4
21	YOR001W	RRP6	3.4
22	YJL109C	UTP10	3.4
23	YLR129W	DIP2	3.4
24	YHR170W	NMD3	3.4
25	YPR112C	MRD1	3.4
26	YDL060W	TSR1	3.4
27	YPL126W	NAN1	3.4
28	YLR397C	AFG2	3.4
29	YNL182C	IPI3	3.4
30	YOR341W	RPA190	3.4
31	YNR012W	URK1	3.4
32	YKR024C	DBP7	3.3
33	YDR398W	UTP5	3.3
34	YPL086C	ELP3	3.3
35	YDL031W	DBP10	3.3
36	YMR128W	ECM16	3.3
37	YPL093W	NOG1	3.3
38	YBR247C	ENP1	3.3
39	YOR116C	RPO31	3.3
40	YNL163C	RIA1	3.3
41	YPL217C	BMS1	3.3
42	YNR038W	DBP6	3.3
43	YDL112W	TRM3	3.3
44	YMR308C	PSE1	3.3
45	YGR162W	TIF4631	3.3
46	YNL248C	RPA49	3.3
47	YMR229C	RRP5	3.3
48	YLR384C	IKI3	3.3
49	YBL024W	NCL1	3.3
50	YDR496C	PUF6	3.3
51	YMR093W	UTP15	3.3
52	YGR145W	ENP2	3.3
53	YLR002C	NOC3	3.3
54	YLL008W	DRS1	3.3
55	YGR128C	UTP8	3.3
56	YKL014C	URB1	3.3
57	YDR120C	TRM1	3.2
58	YOR260W	GCD1	3.2
59	YGR200C	ELP2	3.2
60	YPL183C	RTT10	3.2
61	YOR340C	RPA43	3.2
62	YJR002W	MPP10	3.2
63	YLR276C	DBP9	3.2
64	YDR060W	MAK21	3.2
65	YJR041C	URB2	3.2
66	YMR290C	HAS1	3.2
67	YJL010C	NOP9	3.2
68	YJL033W	HCA4	3.2
69	YPR144C	NOC4	3.2
70	YHR197W	RIX1	3.2
71	YOR335C	ALA1	3.2
72	YNL256W	FOL1	3.2
73	YKR056W	TRM2	3.2
74	YPL043W	NOP4	3.2
75	YKL078W	DHR2	3.2
76	YBR142W	MAK5	3.2
77	YMR131C	RRB1	3.2
78	YCL054W	SPB1	3.2
79	YNL075W	IMP4	3.2
80	YML093W	UTP14	3.2
81	YNL062C	GCD10	3.2
