SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: MIM1

Rank	Gene	Common	Score
Q	YOL026C	MIM1	
1	YOL005C	RPB11	2.8
2	YPR182W	SMX3	2.7
3	YJL184W	GON7	2.7
4	YAL030W	SNC1	2.6
5	YCL033C	MXR2	2.6
6	YJL151C	SNA3	2.6
7	YKR049C	FMP46	2.6
8	YML101C	CUE4	2.6
9	YOL129W	VPS68	2.5
10	YNL310C	ZIM17	2.5
11	YMR236W	TAF9	2.5
12	YGL087C	MMS2	2.5
13	YMR264W	CUE1	2.5
14	YMR298W	LIP1	2.5
15	YMR022W	UBC7	2.5
16	YCR060W	TAH1	2.5
17	YIL062C	ARC15	2.4
18	YDR328C	SKP1	2.4
19	YDR510W	SMT3	2.4
20	YIL065C	FIS1	2.4
21	YDL125C	HNT1	2.4
22	YEL066W	HPA3	2.4
23	YGL220W	BOL2	2.4
24	YDL137W	ARF2	2.4
25	YJR058C	APS2	2.4
26	YNR037C	RSM19	2.4
27	YGL198W	YIP4	2.3
28	YEL059C-A	SOM1	2.3
29	YOR122C	PFY1	2.3
30	YLR390W	ECM19	2.3
31	YGR232W	NAS6	2.3
32	YML012W	ERV25	2.3
33	YBR035C	PDX3	2.3
34	YBR077C	SLM4	2.3
35	YOL133W	HRT1	2.3
36	YGR181W	TIM13	2.3
37	YOL038W	PRE6	2.3
38	YMR150C	IMP1	2.3
39	YIR036C	IRC24	2.3
40	YLR043C	TRX1	2.3
41	YLR154C	RNH203	2.3
42	YIR037W	HYR1	2.3
43	YGL002W	ERP6	2.3
44	YNR036C	MRPS12	2.3
45	YGR209C	TRX2	2.3
46	YOR265W	RBL2	2.3
47	YOR357C	SNX3	2.3
48	YLR351C	NIT3	2.3
49	YDR092W	UBC13	2.3
50	YJR017C	ESS1	2.2
51	YOR332W	VMA4	2.2
52	YHL031C	GOS1	2.2
53	YNL135C	FPR1	2.2
54	YJL205C	NCE101	2.2
55	YER094C	PUP3	2.2
56	YPL098C	MGR2	2.2
57	YOL111C	MDY2	2.2
58	YOR327C	SNC2	2.2
59	YBR269C	SDH8	2.2
60	YPL059W	GRX5	2.2
61	YNR046W	TRM112	2.2
62	YDR304C	CPR5	2.2
63	YHR057C	CPR2	2.2
64	YJR074W	MOG1	2.2
65	YJL065C	DLS1	2.2
66	YGR206W	MVB12	2.2
67	YBR268W	MRPL37	2.2
68	YDL232W	OST4	2.2
69	YDR231C	COX20	2.2
70	YOR362C	PRE10	2.2
71	YCR082W	AHC2	2.2
72	YCL035C	GRX1	2.2
73	YBL001C	ECM15	2.2
74	YPL271W	ATP15	2.2
75	YGL106W	MLC1	2.2
76	YOL143C	RIB4	2.2
77	YDR462W	MRPL28	2.2
78	YDR084C	TVP23	2.2
79	YOR045W	TOM6	2.2
80	YDL072C	YET3	2.2
81	YMR184W	ADD37	2.2
82	YFR049W	KGD4	2.2
83	YLR370C	ARC18	2.2
84	YER057C	HMF1	2.1
85	YDR378C	LSM6	2.1
86	YHR110W	ERP5	2.1
87	YMR038C	CCS1	2.1
88	YOR125C	CAT5	2.1
89	YGR063C	SPT4	2.1
90	YCR046C	IMG1	2.1
91	YJL173C	RFA3	2.1
92	YBR111C	YSA1	2.1
93	YOR163W	DDP1	2.1
94	YDL120W	YFH1	2.1
95	YFL017C	GNA1	2.1
96	YBL102W	SFT2	2.1
97	YBR173C	UMP1	2.1
98	YMR314W	PRE5	2.1
99	YPR037C	ERV2	2.1
100	YPR062W	FCY1	2.1
101	YML058W	SML1	2.1
102	YDR513W	GRX2	2.1
103	YPL170W	DAP1	2.1
104	YMR072W	ABF2	2.1
105	YLR307W	CDA1	2.1
106	YLR437C	DIF1	2.1
107	YFL010C	WWM1	2.1
108	YIR022W	SEC11	2.1
109	YBL057C	PTH2	2.1
110	YDR482C	CWC21	2.1
111	YER019C-A	SBH2	2.1
