SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: YOL038C-A

Rank	Gene	Common	Score
Q	YOL038C-A	YOL038C-A	
1	YNR069C	BSC5	1.0
2	YBR199W	KTR4	0.9
3	YNL214W	PEX17	0.8
4	YHR075C	PPE1	0.8
5	YGR053C	MCO32	0.8
6	YBR137W	YBR137W	0.8
7	YOR357C	SNX3	0.8
8	YPR151C	SUE1	0.8
9	YBR277C	YBR277C	0.8
10	YGR236C	SPG1	0.8
11	YDL200C	MGT1	0.7
12	YLR408C	BLS1	0.7
13	YLR251W	SYM1	0.7
14	YKL007W	CAP1	0.7
15	YDR100W	TVP15	0.7
16	YMR087W	PDL32	0.7
17	YLR356W	ATG33	0.7
18	YDR357C	CNL1	0.7
19	YAL030W	SNC1	0.7
20	YJL132W	YJL132W	0.7
21	YPR148C	YPR148C	0.7
22	YBR062C	YBR062C	0.7
23	YGR230W	BNS1	0.7
24	YLR290C	COQ11	0.7
25	YJR044C	VPS55	0.7
26	YMR210W	MGL2	0.7
27	YOR215C	AIM41	0.7
28	YHR138C	YHR138C	0.7
29	YPL148C	PPT2	0.7
30	YDR286C	MGP12	0.7
31	YLR298C	YHC1	0.7
32	YOL083W	ATG34	0.7
33	YNR040W	MRX15	0.7
34	YEL012W	UBC8	0.7
35	YMR097C	MTG1	0.7
36	YGR205W	TDA10	0.7
37	YPL013C	MRPS16	0.7
38	YCR076C	FUB1	0.7
39	YIL007C	NAS2	0.7
40	YOL087C	DUF1	0.7
41	YMR197C	VTI1	0.7
42	YLR031W	YLR031W	0.7
43	YPL113C	YPL113C	0.7
44	YFR003C	YPI1	0.7
45	YER071C	TDA2	0.7
46	YOL133W	HRT1	0.7
47	YKR049C	FMP46	0.7
48	YMR025W	CSI1	0.7
49	YOR037W	CYC2	0.7
50	YBR024W	SCO2	0.7
51	YGR050C	YGR050C	0.7
52	YDR214W	AHA1	0.7
53	YMR114C	YMR114C	0.7
54	YDR358W	GGA1	0.7
55	YER142C	MAG1	0.7
56	YDR383C	NKP1	0.7
57	YDR058C	TGL2	0.7
58	YBR098W	MMS4	0.7
59	YER121W	YER121W	0.7
60	YLR218C	COA4	0.7
61	YLR345W	YLR345W	0.7
62	YDL089W	NUR1	0.7
63	YBR230C	OM14	0.7
64	YGR206W	MVB12	0.7
65	YBR101C	FES1	0.7
66	YIL113W	SDP1	0.7
67	YGR127W	YGR127W	0.7
68	YLR102C	APC9	0.7
69	YLR326W	YLR326W	0.7
70	YPR098C	TMH18	0.7
71	YOR368W	RAD17	0.7
72	YML004C	GLO1	0.7
73	YLR164W	SHH4	0.7
74	YJL003W	COX16	0.7
75	YCR075C	ERS1	0.7
76	YPR028W	YOP1	0.7
77	YBL039W-B	MIN6	0.7
78	YDR063W	AIM7	0.7
79	YMR293C	HER2	0.7
80	YJR085C	TMH11	0.7
81	YLL039C	UBI4	0.7
82	YLR219W	MSC3	0.7
83	YLR273C	PIG1	0.7
84	YDL135C	RDI1	0.7
85	YMR180C	CTL1	0.7
86	YKL065C	YET1	0.7
87	YER096W	SHC1	0.7
88	YHR171W	ATG7	0.7
89	YBR053C	YBR053C	0.7
90	YBL064C	PRX1	0.7
91	YGL010W	MPO1	0.7
92	YMR022W	UBC7	0.7
93	YIL124W	AYR1	0.7
94	YLR189C	ATG26	0.7
95	YOL018C	TLG2	0.7
96	YDL008W	APC11	0.7
97	YMR065W	KAR5	0.7
98	YPR081C	GRS2	0.7
99	YDR223W	CRF1	0.7
100	YLR446W	NGK1	0.7
101	YAL055W	PEX22	0.7
102	YGL250W	RMR1	0.7
103	YOR044W	IRC23	0.7
104	YDL130W-A	STF1	0.7
105	YPL214C	THI6	0.7
106	YDR328C	SKP1	0.7
107	YPR049C	ATG11	0.7
108	YNL008C	ASI3	0.7
109	YDR196C	CAB5	0.7
110	YDR461C-A	CMI8	0.7
111	YBL091C-A	SCS22	0.7
112	YOR265W	RBL2	0.7
113	YKR009C	FOX2	0.7
114	YLR376C	PSY3	0.7
115	YMR304W	UBP15	0.7
116	YHR106W	TRR2	0.7
117	YIR037W	HYR1	0.7
118	YOL117W	RRI2	0.7
119	YOR075W	UFE1	0.7
120	YOR062C	YOR062C	0.7
121	YMR092C	AIP1	0.7
122	YIL024C	YIL024C	0.7
123	YMR072W	ABF2	0.7
124	YOR292C	YOR292C	0.7
125	YDR284C	DPP1	0.7
126	YFR039C	OSW7	0.7
127	YLR011W	LOT6	0.7
128	YLR312C	ATG39	0.7
129	YDL142C	CRD1	0.7
130	YOR152C	ATG40	0.7
131	YDR490C	PKH1	0.7
132	YBR217W	ATG12	0.7
133	YLR352W	LUG1	0.7
134	YKL100C	YPF1	0.7
135	YER012W	PRE1	0.6
136	YBR128C	ATG14	0.6
137	YMR027W	YMR027W	0.6
138	YDR512C	EMI1	0.6
139	YBR169C	SSE2	0.6
140	YMR101C	SRT1	0.6
141	YER093C-A	AIM11	0.6
142	YLR093C	NYV1	0.6
143	YCR020C	PET18	0.6
144	YIL062C	ARC15	0.6
145	YJR034W	PET191	0.6
146	YCL039W	GID7	0.6
147	YOL129W	VPS68	0.6
148	YNL092W	YNL092W	0.6
149	YML002W	VRL1	0.6
150	YNL084C	END3	0.6
151	YDL021W	GPM2	0.6
152	YER163C	GCG1	0.6
153	YML030W	RCF1	0.6
154	YLR254C	NDL1	0.6
155	YPL046C	ELC1	0.6
156	YPL120W	VPS30	0.6
157	YPL087W	YDC1	0.6
158	YBR278W	DPB3	0.6
159	YOR367W	SCP1	0.6
160	YDL027C	MRX9	0.6
161	YHR181W	SVP26	0.6
162	YJL066C	MPM1	0.6
163	YMR060C	SAM37	0.6
164	YKL093W	MBR1	0.6
165	YMR068W	AVO2	0.6
166	YBR164C	ARL1	0.6
167	YJL037W	IRC18	0.6
168	YNL211C	MRX7	0.6
169	YJR102C	VPS25	0.6
170	YDR031W	MIX14	0.6
171	YNL157W	IGO1	0.6
172	YKR005C	YKR005C	0.6
173	YPL203W	TPK2	0.6
174	YMR302C	YME2	0.6
175	YNL045W	LAP2	0.6
176	YDL199C	YDL199C	0.6
177	YML068W	ITT1	0.6
178	YJR100C	AIM25	0.6
179	YBR070C	ALG14	0.6
180	YFR049W	KGD4	0.6
181	YGL018C	JAC1	0.6
182	YPR026W	ATH1	0.6
183	YPL147W	PXA1	0.6
184	YLR080W	EMP46	0.6
185	YJR125C	ENT3	0.6
186	YCL033C	MXR2	0.6
187	YCR011C	ADP1	0.6
188	YJR022W	LSM8	0.6
189	YJR099W	YUH1	0.6
190	YCR069W	CPR4	0.6
191	YGR008C	STF2	0.6
192	YDR379C-A	SDH6	0.6
193	YBR139W	ATG42	0.6
194	YJR036C	HUL4	0.6
195	YDL010W	GRX6	0.6
196	YBR161W	CSH1	0.6
197	YLR072W	LAM6	0.6
198	YKL167C	MRP49	0.6
199	YNL051W	COG5	0.6
200	YLR216C	CPR6	0.6
201	YLL025W	PAU17	0.6
202	YER016W	BIM1	0.6
203	YEL059C-A	SOM1	0.6
204	YGL104C	VPS73	0.6
205	YGL247W	BRR6	0.6
206	YJL036W	SNX4	0.6
207	YMR196W	YMR196W	0.6
208	YFR045W	MRX20	0.6
209	YNL128W	TEP1	0.6
210	YGR222W	PET54	0.6
211	YKL034W	TUL1	0.6
212	YFL029C	CAK1	0.6
213	YDL076C	RXT3	0.6
214	YML121W	GTR1	0.6
215	YGL047W	ALG13	0.6
216	YJL059W	YHC3	0.6
217	YMR284W	YKU70	0.6
218	YPL045W	VPS16	0.6
219	YML050W	AIM32	0.6
220	YJL161W	FMP33	0.6
221	YER179W	DMC1	0.6
222	YIL111W	COX5B	0.6
223	YER044C	ERG28	0.6
224	YJL163C	YJL163C	0.6
225	YOR007C	SGT2	0.6
226	YGR135W	PRE9	0.6
227	YMR184W	ADD37	0.6
228	YDL110C	TMA17	0.6
229	YOR278W	HEM4	0.6
230	YGL080W	MPC1	0.6
231	YOR328W	PDR10	0.6
232	YGR086C	PIL1	0.6
233	YPL065W	VPS28	0.6
234	YER079W	YER079W	0.6
235	YLR265C	NEJ1	0.6
236	YDR018C	YDR018C	0.6
237	YNL115C	YNL115C	0.6
238	YMR262W	YMR262W	0.6
239	YOR179C	SYC1	0.6
240	YGR168C	PEX35	0.6
241	YER137C	YER137C	0.6
242	YER066W	RRT13	0.6
