SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: GPM3

Rank	Gene	Common	Score
Q	YOL056W	GPM3	
1	YGR208W	SER2	3.0
2	YNL153C	GIM3	2.9
3	YLR022C	SDO1	2.7
4	YKR026C	GCN3	2.7
5	YJR069C	HAM1	2.7
6	YOR115C	TRS33	2.7
7	YHR068W	DYS1	2.7
8	YOL064C	MET22	2.7
9	YNL264C	PDR17	2.7
10	YOL080C	REX4	2.7
11	YHR144C	DCD1	2.7
12	YDR280W	RRP45	2.7
13	YBR104W	YMC2	2.7
14	YKL128C	PMU1	2.6
15	YPR060C	ARO7	2.6
16	YOL097C	WRS1	2.6
17	YOR241W	MET7	2.6
18	YOR079C	ATX2	2.6
19	YIL114C	POR2	2.6
20	YCL050C	APA1	2.5
21	YBR130C	SHE3	2.5
22	YOL149W	DCP1	2.5
23	YKL009W	MRT4	2.5
24	YOR046C	DBP5	2.5
25	YOR243C	PUS7	2.5
26	YDL236W	PHO13	2.5
27	YMR093W	UTP15	2.5
28	YIL110W	HPM1	2.5
29	YOR340C	RPA43	2.5
30	YNL292W	PUS4	2.5
31	YBR002C	RER2	2.5
32	YPR110C	RPC40	2.5
33	YHR133C	NSG1	2.5
34	YML077W	BET5	2.5
35	YDR300C	PRO1	2.5
36	YOL115W	PAP2	2.5
37	YLR285W	NNT1	2.5
38	YGL097W	SRM1	2.5
39	YHR046C	INM1	2.5
40	YPL211W	NIP7	2.4
41	YOR168W	GLN4	2.4
42	YLR372W	ELO3	2.4
43	YML094W	GIM5	2.4
44	YPL244C	HUT1	2.4
45	YBR085W	AAC3	2.4
46	YDR087C	RRP1	2.4
47	YOR143C	THI80	2.4
48	YOR004W	UTP23	2.4
49	YOR051C	ETT1	2.4
50	YGR123C	PPT1	2.4
51	YKL154W	SRP102	2.4
52	YNL075W	IMP4	2.4
53	YKL144C	RPC25	2.4
54	YOR276W	CAF20	2.4
55	YNL151C	RPC31	2.4
56	YBR061C	TRM7	2.4
57	YGR264C	MES1	2.4
58	YHR052W	CIC1	2.4
59	YHR063C	PAN5	2.4
60	YLR276C	DBP9	2.4
61	YDL166C	FAP7	2.4
62	YEL040W	UTR2	2.4
63	YLR146C	SPE4	2.4
64	YAL033W	POP5	2.4
65	YLR186W	EMG1	2.4
66	YML105C	SEC65	2.4
67	YHR167W	THP2	2.4
68	YHR201C	PPX1	2.4
69	YML021C	UNG1	2.3
70	YOL139C	CDC33	2.3
71	YER107C	GLE2	2.3
72	YOR310C	NOP58	2.3
73	YGR173W	RBG2	2.3
74	YDR302W	GPI11	2.3
75	YML125C	PGA3	2.3
76	YPR137W	RRP9	2.3
77	YOR272W	YTM1	2.3
78	YOL077C	BRX1	2.3
79	YJL011C	RPC17	2.3
80	YNL248C	RPA49	2.3
81	YIL020C	HIS6	2.3
82	YNL154C	YCK2	2.3
83	YGL020C	GET1	2.3
84	YPR051W	MAK3	2.3
85	YNL129W	NRK1	2.3
86	YNL188W	KAR1	2.3
87	YDR245W	MNN10	2.3
88	YPR118W	MRI1	2.3
89	YKR060W	UTP30	2.3
90	YOR254C	SEC63	2.3
91	YPL237W	SUI3	2.3
92	YMR212C	EFR3	2.3
93	YMR113W	FOL3	2.3
94	YJL125C	GCD14	2.3
95	YOR061W	CKA2	2.3
96	YMR285C	NGL2	2.3
97	YOR361C	PRT1	2.3
98	YOR216C	RUD3	2.3
99	YKL120W	OAC1	2.3
100	YJR043C	POL32	2.3
101	YMR131C	RRB1	2.3
102	YOL094C	RFC4	2.3
103	YLR185W	RPL37A	2.3
104	YNR027W	BUD17	2.3
105	YNL175C	NOP13	2.3
106	YHR128W	FUR1	2.3
107	YGL246C	RAI1	2.3
108	YDL064W	UBC9	2.3
109	YNL001W	DOM34	2.3
110	YPR041W	TIF5	2.3
111	YNR012W	URK1	2.3
112	YAL059W	ECM1	2.3
113	YHR013C	ARD1	2.3
114	YPL254W	HFI1	2.3
115	YBR164C	ARL1	2.3
116	YDR361C	BCP1	2.3
117	YHR123W	EPT1	2.3
118	YLR435W	TSR2	2.3
119	YLR060W	FRS1	2.3
120	YIL053W	GPP1	2.3
121	YOR315W	SFG1	2.3
122	YOR206W	NOC2	2.3
123	YLR221C	RSA3	2.3
124	YJR007W	SUI2	2.3
125	YDL226C	GCS1	2.3
126	YLR083C	EMP70	2.3
127	YHL013C	OTU2	2.3
128	YBR252W	DUT1	2.3
129	YJL124C	LSM1	2.3
130	YOL142W	RRP40	2.3
131	YBR087W	RFC5	2.3
132	YIL021W	RPB3	2.3
133	YNR026C	SEC12	2.3
134	YDR002W	YRB1	2.3
135	YLR196W	PWP1	2.3
136	YDR410C	STE14	2.3
137	YMR233W	TRI1	2.3
138	YNL256W	FOL1	2.3
139	YOL124C	TRM11	2.3
140	YMR091C	NPL6	2.3
141	YPL227C	ALG5	2.3
142	YKL021C	MAK11	2.3
143	YBR187W	GDT1	2.3
144	YBR042C	CST26	2.3
145	YGL253W	HXK2	2.3
146	YFR009W	GCN20	2.3
147	YPL086C	ELP3	2.3
148	YCL059C	KRR1	2.3
149	YNL096C	RPS7B	2.3
150	YMR033W	ARP9	2.3
151	YMR239C	RNT1	2.3
152	YMR177W	MMT1	2.3
153	YNL182C	IPI3	2.3
154	YLR175W	CBF5	2.3
155	YPL208W	RKM1	2.3
156	YKL106W	AAT1	2.3
157	YPR113W	PIS1	2.3
158	YLR020C	YEH2	2.3
159	YDR190C	RVB1	2.3
160	YPL178W	CBC2	2.3
161	YDR292C	SRP101	2.3
162	YHR148W	IMP3	2.3
163	YOR260W	GCD1	2.3
164	YNL113W	RPC19	2.3
165	YOL102C	TPT1	2.3
166	YJR032W	CPR7	2.3
167	YLR292C	SEC72	2.3
168	YPL243W	SRP68	2.3
169	YER148W	SPT15	2.3
170	YGL147C	RPL9A	2.2
171	YDL051W	LHP1	2.2
172	YLL004W	ORC3	2.2
173	YDR165W	TRM82	2.2
174	YNL255C	GIS2	2.2
175	YDR023W	SES1	2.2
176	YIR012W	SQT1	2.2
177	YML080W	DUS1	2.2
178	YOR047C	STD1	2.2
179	YPL273W	SAM4	2.2
180	YGR185C	TYS1	2.2
181	YML036W	CGI121	2.2
182	YOR212W	STE4	2.2
183	YLR210W	CLB4	2.2
184	YPR033C	HTS1	2.2
185	YOR209C	NPT1	2.2
186	YNL141W	AAH1	2.2
187	YJR118C	ILM1	2.2
188	YOR232W	MGE1	2.2
189	YHR062C	RPP1	2.2
190	YER126C	NSA2	2.2
191	YDR449C	UTP6	2.2
192	YOR101W	RAS1	2.2
193	YOR281C	PLP2	2.2
194	YOL061W	PRS5	2.2
195	YPL255W	BBP1	2.2
196	YER006W	NUG1	2.2
