SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: ATG19

Rank	Gene	Common	Score
Q	YOL082W	ATG19	
1	YLR270W	DCS1	4.5
2	YPL123C	RNY1	4.5
3	YLR178C	TFS1	4.3
4	YMR250W	GAD1	4.2
5	YDR358W	GGA1	4.2
6	YJL164C	TPK1	4.2
7	YOR173W	DCS2	4.2
8	YBR149W	ARA1	4.2
9	YMR110C	HFD1	4.1
10	YGL037C	PNC1	4.1
11	YDL110C	TMA17	4.1
12	YPL203W	TPK2	4.1
13	YMR105C	PGM2	4.1
14	YHR104W	GRE3	4.1
15	YCL040W	GLK1	4.0
16	YGR019W	UGA1	4.0
17	YKL142W	MRP8	4.0
18	YOR120W	GCY1	4.0
19	YLR258W	GSY2	4.0
20	YKL103C	APE1	4.0
21	YBR214W	SDS24	3.9
22	YNL274C	GOR1	3.9
23	YML100W	TSL1	3.9
24	YIL136W	OM45	3.9
25	YML128C	MSC1	3.9
26	YGR248W	SOL4	3.9
27	YHR016C	YSC84	3.9
28	YBL064C	PRX1	3.9
29	YGR008C	STF2	3.8
30	YGR194C	XKS1	3.8
31	YBR169C	SSE2	3.8
32	YDR001C	NTH1	3.8
33	YGL156W	AMS1	3.8
34	YPL154C	PEP4	3.8
35	YLR251W	SYM1	3.8
36	YPR184W	GDB1	3.8
37	YBR126C	TPS1	3.8
38	YEL060C	PRB1	3.8
39	YKR076W	ECM4	3.8
40	YJL161W	FMP33	3.7
41	YPR026W	ATH1	3.7
42	YJL066C	MPM1	3.7
43	YDL021W	GPM2	3.7
44	YKL065C	YET1	3.7
45	YKL193C	SDS22	3.7
46	YBR026C	ETR1	3.6
47	YPL087W	YDC1	3.6
48	YIR038C	GTT1	3.6
49	YEL011W	GLC3	3.6
50	YDR074W	TPS2	3.6
51	YJL155C	FBP26	3.6
52	YDL169C	UGX2	3.6
53	YCL035C	GRX1	3.6
54	YDR171W	HSP42	3.6
55	YIL124W	AYR1	3.6
56	YKL035W	UGP1	3.6
57	YDL204W	RTN2	3.6
58	YDL130W-A	STF1	3.6
59	YPL186C	UIP4	3.6
60	YHR087W	RTC3	3.6
61	YLL026W	HSP104	3.6
62	YOR185C	GSP2	3.6
63	YNL015W	PBI2	3.5
64	YLR080W	EMP46	3.5
65	YKL150W	MCR1	3.5
66	YIL107C	PFK26	3.5
67	YBR230C	OM14	3.5
68	YGL104C	VPS73	3.5
69	YBL078C	ATG8	3.5
70	YEL012W	UBC8	3.5
71	YPL004C	LSP1	3.5
72	YOR374W	ALD4	3.5
73	YMR173W	DDR48	3.5
74	YGR088W	CTT1	3.5
75	YPR160W	GPH1	3.5
76	YBR046C	ZTA1	3.5
77	YBR269C	SDH8	3.5
78	YJR059W	PTK2	3.5
79	YKR049C	FMP46	3.5
80	YIL017C	VID28	3.5
81	YMR170C	ALD2	3.4
82	YIL101C	XBP1	3.4
83	YDR070C	FMP16	3.4
84	YHR171W	ATG7	3.4
85	YDR204W	COQ4	3.4
86	YJL057C	IKS1	3.4
87	YOL071W	SDH5	3.4
88	YMR169C	ALD3	3.4
89	YGL248W	PDE1	3.4
90	YBR052C	RFS1	3.4
91	YPL206C	PGC1	3.4
92	YGR070W	ROM1	3.4
93	YDL072C	YET3	3.4
94	YGL006W	PMC1	3.4
95	YDL022W	GPD1	3.4
96	YMR261C	TPS3	3.4
97	YBR280C	SAF1	3.4
98	YMR139W	RIM11	3.4
99	YDR516C	EMI2	3.4
100	YOR347C	PYK2	3.4
101	YMR152W	YIM1	3.4
102	YGL121C	GPG1	3.4
103	YOR042W	CUE5	3.4
104	YIL033C	BCY1	3.4
105	YGL227W	VID30	3.4
106	YIL097W	FYV10	3.4
107	YDR513W	GRX2	3.4
