SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SDD3

Rank	Gene	Common	Score
Q	YOL098C	SDD3	
1	YOR151C	RPB2	1.9
2	YOR260W	GCD1	1.9
3	YNL085W	MKT1	1.9
4	YGL238W	CSE1	1.8
5	YNL123W	NMA111	1.8
6	YLR307W	CDA1	1.8
7	YDR212W	TCP1	1.8
8	YMR308C	PSE1	1.8
9	YJL014W	CCT3	1.8
10	YNL287W	SEC21	1.8
11	YDL040C	NAT1	1.7
12	YGL207W	SPT16	1.7
13	YLR384C	IKI3	1.7
14	YJL008C	CCT8	1.7
15	YJL080C	SCP160	1.7
16	YMR125W	STO1	1.7
17	YFR009W	GCN20	1.7
18	YDL145C	COP1	1.7
19	YJL111W	CCT7	1.7
20	YMR309C	NIP1	1.7
21	YMR012W	CLU1	1.7
22	YMR080C	NAM7	1.7
23	YJR132W	NMD5	1.7
24	YMR212C	EFR3	1.6
25	YJR064W	CCT5	1.6
26	YIL030C	SSM4	1.6
27	YPL160W	CDC60	1.6
28	YNL189W	SRP1	1.6
29	YDL143W	CCT4	1.6
30	YKL212W	SAC1	1.6
31	YOR217W	RFC1	1.6
32	YER105C	NUP157	1.6
33	YNL247W	CRS1	1.6
34	YKR001C	VPS1	1.6
35	YOR341W	RPA190	1.6
36	YDR091C	RLI1	1.6
37	YGL195W	GCN1	1.6
38	YOL103W	ITR2	1.6
39	YGL092W	NUP145	1.6
40	YOR335C	ALA1	1.6
41	YOR168W	GLN4	1.6
42	YHR027C	RPN1	1.6
43	YPR097W	LEC1	1.6
44	YLR398C	SKI2	1.6
45	YGL016W	KAP122	1.6
46	YNL021W	HDA1	1.6
47	YPL145C	KES1	1.6
48	YOL021C	DIS3	1.6
49	YPL125W	KAP120	1.6
50	YPL226W	NEW1	1.6
51	YOR109W	INP53	1.6
52	YOR254C	SEC63	1.6
53	YGR264C	MES1	1.6
54	YBL076C	ILS1	1.5
55	YKR082W	NUP133	1.5
56	YOL097C	WRS1	1.5
57	YKL210W	UBA1	1.5
58	YLR410W	VIP1	1.5
59	YOR046C	DBP5	1.5
60	YPR010C	RPA135	1.5
61	YBR283C	SSH1	1.5
62	YGL137W	SEC27	1.5
63	YGR261C	APL6	1.5
64	YJR143C	PMT4	1.5
65	YLR143W	DPH6	1.5
66	YPL009C	RQC2	1.5
67	YJL039C	NUP192	1.5
68	YOR241W	MET7	1.5
69	YML049C	RSE1	1.5
70	YDR238C	SEC26	1.5
71	YNR013C	PHO91	1.5
72	YPR019W	MCM4	1.5
73	YBR079C	RPG1	1.5
74	YAL035W	FUN12	1.5
75	YPL115C	BEM3	1.5
76	YOR361C	PRT1	1.5
77	YOR270C	VPH1	1.5
78	YDR395W	SXM1	1.5
79	YOR067C	ALG8	1.5
80	YKL057C	NUP120	1.5
81	YPL126W	NAN1	1.5
82	YLL048C	YBT1	1.5
83	YOR323C	PRO2	1.5
84	YKL184W	SPE1	1.5
85	YHR098C	SFB3	1.5
86	YOR243C	PUS7	1.5
87	YDR170C	SEC7	1.5
88	YGR124W	ASN2	1.5
89	YGR094W	VAS1	1.5
90	YPR181C	SEC23	1.5
91	YNL256W	FOL1	1.5
92	YKL077W	PSG1	1.5
93	YML125C	PGA3	1.5
94	YLR083C	EMP70	1.5
95	YLR335W	NUP2	1.5
96	YNL016W	PUB1	1.5
97	YOL004W	SIN3	1.5
98	YDR211W	GCD6	1.5
99	YBR017C	KAP104	1.5
100	YNR043W	MVD1	1.5
101	YIL109C	SEC24	1.5
102	YNL132W	KRE33	1.5
103	YLR060W	FRS1	1.5
104	YCL045C	EMC1	1.5
105	YEL031W	SPF1	1.5
106	YNL121C	TOM70	1.5
107	YLR342W	FKS1	1.5
108	YPR041W	TIF5	1.5
109	YIL039W	TED1	1.5
110	YPL235W	RVB2	1.5
111	YOL049W	GSH2	1.5
112	YGL201C	MCM6	1.5
113	YOR165W	SEY1	1.5
114	YKR018C	YKR018C	1.5
115	YMR205C	PFK2	1.5
116	YOR207C	RET1	1.5
117	YEL013W	VAC8	1.5
118	YKL054C	DEF1	1.5
119	YER125W	RSP5	1.5
120	YPR033C	HTS1	1.5
121	YJL109C	UTP10	1.4
122	YNL273W	TOF1	1.4
123	YPR029C	APL4	1.4
124	YLR432W	IMD3	1.4
125	YJL197W	UBP12	1.4
126	YPL217C	BMS1	1.4
127	YGR162W	TIF4631	1.4
128	YDR127W	ARO1	1.4
129	YOR116C	RPO31	1.4
130	YGR240C	PFK1	1.4
131	YFR002W	NIC96	1.4
132	YLR222C	UTP13	1.4
133	YDR062W	LCB2	1.4
134	YOR326W	MYO2	1.4
135	YOL062C	APM4	1.4
136	YOR160W	MTR10	1.4
137	YOR336W	KRE5	1.4
138	YLR277C	YSH1	1.4
139	YOL057W	YOL057W	1.4
140	YBR121C	GRS1	1.4
141	YHR068W	DYS1	1.4
142	YHR064C	SSZ1	1.4
143	YER025W	GCD11	1.4
144	YPR074C	TKL1	1.4
145	YJR031C	GEA1	1.4
146	YPL190C	NAB3	1.4
147	YMR235C	RNA1	1.4
148	YOR204W	DED1	1.4
149	YOL061W	PRS5	1.4
150	YML072C	TCB3	1.4
151	YPL204W	HRR25	1.4
152	YLR409C	UTP21	1.4
153	YDR023W	SES1	1.4
154	YMR259C	TRM732	1.4
155	YLR305C	STT4	1.4
156	YHR074W	QNS1	1.4
157	YLR397C	AFG2	1.4
158	YOR048C	RAT1	1.4
159	YDR190C	RVB1	1.4
160	YBR058C	UBP14	1.4
161	YOL090W	MSH2	1.4
162	YJR041C	URB2	1.4
163	YLR088W	GAA1	1.4
164	YPL084W	BRO1	1.4
165	YPL244C	HUT1	1.4
166	YOL051W	GAL11	1.4
167	YER110C	KAP123	1.4
168	YMR089C	YTA12	1.4
169	YGR090W	UTP22	1.4
170	YBR084W	MIS1	1.4
171	YNL236W	SIN4	1.4
172	YMR129W	POM152	1.4
173	YLR208W	SEC13	1.4
174	YIL142W	CCT2	1.4
175	YGL173C	XRN1	1.4
176	YIL012W	YIL012W	1.4
177	YMR231W	PEP5	1.4
178	YML081W	TDA9	1.4
179	YDL141W	BPL1	1.4
180	YPR110C	RPC40	1.4
181	YKL104C	GFA1	1.4
182	YLR347C	KAP95	1.4
183	YMR054W	STV1	1.4
184	YOR127W	RGA1	1.4
185	YLR180W	SAM1	1.4
186	YDL116W	NUP84	1.4
187	YGR218W	CRM1	1.4
188	YCL050C	APA1	1.4
189	YMR218C	TRS130	1.4
190	YOR320C	GNT1	1.4
191	YOR112W	CEX1	1.4
192	YMR109W	MYO5	1.4
193	YCR084C	TUP1	1.4
194	YNL163C	RIA1	1.4
195	YGL022W	STT3	1.4
196	YOR002W	ALG6	1.4
197	YMR237W	BCH1	1.4
198	YFL007W	BLM10	1.4
199	YPR112C	MRD1	1.4
200	YOR198C	BFR1	1.4
201	YNL238W	KEX2	1.4
202	YJL207C	LAA1	1.4
203	YPL022W	RAD1	1.4
204	YGR061C	ADE6	1.4
205	YMR100W	MUB1	1.4
206	YKL205W	LOS1	1.4
207	YLR071C	RGR1	1.4
208	YBR074W	PFF1	1.4
209	YJR040W	GEF1	1.4
210	YMR079W	SEC14	1.4
211	YMR229C	RRP5	1.4
212	YNL297C	MON2	1.4
213	YNL049C	SFB2	1.4
214	YHL011C	PRS3	1.4
215	YIL078W	THS1	1.4
216	YFR038W	IRC5	1.4
217	YFL044C	OTU1	1.4
218	YOR087W	YVC1	1.4
219	YDR292C	SRP101	1.4
220	YGL245W	GUS1	1.4
221	YMR247C	RKR1	1.4
222	YHR117W	TOM71	1.4
223	YOL094C	RFC4	1.4
224	YBR281C	DUG2	1.4
225	YOR370C	MRS6	1.4
226	YKL033W	TTI1	1.4
227	YPL086C	ELP3	1.4
228	YFR051C	RET2	1.4
229	YJR007W	SUI2	1.4
230	YIL090W	ICE2	1.4
231	YGL167C	PMR1	1.4
232	YOR239W	ABP140	1.4
233	YPL050C	MNN9	1.4
