SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PFK27

Rank	Gene	Common	Score
Q	YOL136C	PFK27	
1	YOR360C	PDE2	3.0
2	YBR105C	VID24	2.9
3	YOR204W	DED1	2.7
4	YPL057C	SUR1	2.7
5	YPL026C	SKS1	2.7
6	YLR023C	IZH3	2.6
7	YNL065W	AQR1	2.6
8	YER056C	FCY2	2.6
9	YEL063C	CAN1	2.6
10	YOR359W	VTS1	2.6
11	YGL209W	MIG2	2.6
12	YLR226W	BUR2	2.6
13	YLR403W	SFP1	2.5
14	YDR091C	RLI1	2.5
15	YOR047C	STD1	2.5
16	YMR309C	NIP1	2.5
17	YHR049W	FSH1	2.5
18	YDR345C	HXT3	2.4
19	YNL141W	AAH1	2.4
20	YPR041W	TIF5	2.4
21	YPL126W	NAN1	2.4
22	YOL128C	YGK3	2.4
23	YLR083C	EMP70	2.4
24	YPL226W	NEW1	2.4
25	YPL145C	KES1	2.4
26	YFR055W	IRC7	2.4
27	YOR092W	ECM3	2.4
28	YNL248C	RPA49	2.4
29	YNL123W	NMA111	2.4
30	YMR290C	HAS1	2.4
31	YPR008W	HAA1	2.4
32	YHR094C	HXT1	2.4
33	YDR297W	SUR2	2.4
34	YMR216C	SKY1	2.4
35	YNR053C	NOG2	2.4
36	YNL066W	SUN4	2.4
37	YLR223C	IFH1	2.3
38	YPL202C	AFT2	2.3
39	YPR060C	ARO7	2.3
40	YOR337W	TEA1	2.3
41	YMR093W	UTP15	2.3
42	YGR162W	TIF4631	2.3
43	YKL062W	MSN4	2.3
44	YPL179W	PPQ1	2.3
45	YPR110C	RPC40	2.3
46	YOR061W	CKA2	2.3
47	YDR184C	ATC1	2.3
48	YOL061W	PRS5	2.3
49	YDL014W	NOP1	2.3
50	YIL053W	GPP1	2.3
51	YGR159C	NSR1	2.3
52	YJR007W	SUI2	2.3
53	YLL012W	YEH1	2.3
54	YOR107W	RGS2	2.3
55	YOR344C	TYE7	2.3
56	YNR012W	URK1	2.3
57	YPR119W	CLB2	2.3
58	YNL201C	PSY2	2.3
59	YNR013C	PHO91	2.3
60	YHR092C	HXT4	2.3
61	YHR179W	OYE2	2.3
62	YMR272C	SCS7	2.3
63	YGL225W	VRG4	2.3
64	YNL112W	DBP2	2.3
65	YML056C	IMD4	2.3
66	YNL132W	KRE33	2.3
67	YOR306C	MCH5	2.3
68	YLR180W	SAM1	2.2
69	YOR145C	PNO1	2.2
70	YEL040W	UTR2	2.2
71	YHR206W	SKN7	2.2
72	YOR260W	GCD1	2.2
73	YMR177W	MMT1	2.2
74	YDR508C	GNP1	2.2
75	YER036C	ARB1	2.2
76	YHR069C	RRP4	2.2
77	YPL093W	NOG1	2.2
78	YPL159C	PET20	2.2
79	YOR085W	OST3	2.2
80	YDL111C	RRP42	2.2
81	YOR315W	SFG1	2.2
82	YOL020W	TAT2	2.2
83	YLR409C	UTP21	2.2
84	YGR191W	HIP1	2.2
85	YGR264C	MES1	2.2
86	YLR452C	SST2	2.2
87	YOL010W	RCL1	2.2
88	YHR128W	FUR1	2.2
89	YMR080C	NAM7	2.2
90	YNL316C	PHA2	2.2
91	YBR034C	HMT1	2.2
92	YDR398W	UTP5	2.2
93	YOL097C	WRS1	2.2
94	YNR026C	SEC12	2.2
95	YOR355W	GDS1	2.2
96	YLR328W	NMA1	2.2
97	YDR502C	SAM2	2.2
98	YLR332W	MID2	2.2
99	YHL011C	PRS3	2.2
100	YCR057C	PWP2	2.2
101	YOL137W	BSC6	2.2
102	YDL236W	PHO13	2.2
103	YNL101W	AVT4	2.2
104	YER062C	GPP2	2.2
105	YER127W	LCP5	2.2
106	YOR335C	ALA1	2.2
107	YPR125W	YLH47	2.2
108	YDR021W	FAL1	2.2
109	YNL124W	NAF1	2.2
110	YPL160W	CDC60	2.2
111	YDL039C	PRM7	2.2
112	YLR347C	KAP95	2.2
113	YHR046C	INM1	2.2
114	YLR372W	ELO3	2.2
115	YDR395W	SXM1	2.2
116	YPR159W	KRE6	2.2
117	YMR108W	ILV2	2.2
118	YCR035C	RRP43	2.2
119	YOR272W	YTM1	2.2
120	YJL133W	MRS3	2.2
121	YMR015C	ERG5	2.2
122	YPR137W	RRP9	2.2
123	YMR318C	ADH6	2.2
124	YER086W	ILV1	2.2
125	YBL069W	AST1	2.2
126	YNL197C	WHI3	2.2
127	YMR205C	PFK2	2.2
128	YOR310C	NOP58	2.2
129	YMR011W	HXT2	2.2
130	YER043C	SAH1	2.2
131	YKL072W	STB6	2.2
132	YDR496C	PUF6	2.2
133	YEL046C	GLY1	2.2
134	YML080W	DUS1	2.2
135	YKR071C	DRE2	2.2
136	YMR079W	SEC14	2.2
137	YHR052W	CIC1	2.2
138	YOR108W	LEU9	2.2
139	YOR008C	SLG1	2.2
140	YGR229C	SMI1	2.2
141	YGR155W	CYS4	2.2
142	YBL054W	TOD6	2.2
143	YDR211W	GCD6	2.1
144	YPL183C	RTT10	2.1
145	YGR175C	ERG1	2.1
146	YDR400W	URH1	2.1
147	YER049W	TPA1	2.1
148	YPR010C	RPA135	2.1
149	YKR042W	UTH1	2.1
150	YDR449C	UTP6	2.1
151	YLL019C	KNS1	2.1
152	YHR170W	NMD3	2.1
153	YPL211W	NIP7	2.1
154	YNL154C	YCK2	2.1
155	YOL130W	ALR1	2.1
156	YAL040C	CLN3	2.1
157	YKR024C	DBP7	2.1
158	YHR148W	IMP3	2.1
159	YMR131C	RRB1	2.1
160	YHL029C	OCA5	2.1
161	YPR074C	TKL1	2.1
162	YCL031C	RRP7	2.1
163	YOL030W	GAS5	2.1
164	YKL009W	MRT4	2.1
165	YNL298W	CLA4	2.1
166	YOL002C	IZH2	2.1
167	YOR271C	FSF1	2.1
168	YNL307C	MCK1	2.1
169	YOR206W	NOC2	2.1
170	YHR205W	SCH9	2.1
171	YGR036C	CAX4	2.1
172	YBR092C	PHO3	2.1
173	YOR303W	CPA1	2.1
174	YHR068W	DYS1	2.1
175	YDR165W	TRM82	2.1
176	YGR123C	PPT1	2.1
177	YLR300W	EXG1	2.1
178	YKL051W	SFK1	2.1
179	YLL011W	SOF1	2.1
180	YNL207W	RIO2	2.1
181	YBR023C	CHS3	2.1
182	YLR186W	EMG1	2.1
183	YNR038W	DBP6	2.1
184	YPL137C	GIP3	2.1
185	YOR153W	PDR5	2.1
186	YOR294W	RRS1	2.1
187	YOR311C	DGK1	2.1
188	YDR072C	IPT1	2.1
189	YOL007C	CSI2	2.1
190	YPL204W	HRR25	2.1
191	YNR027W	BUD17	2.1
192	YLR432W	IMD3	2.1
193	YOL052C	SPE2	2.1
194	YDR414C	ERD1	2.1
195	YIR012W	SQT1	2.1
196	YMR049C	ERB1	2.1
197	YPR163C	TIF3	2.1
198	YOR051C	ETT1	2.1
199	YHR196W	UTP9	2.1
200	YLL035W	GRC3	2.1
201	YLR293C	GSP1	2.1
202	YOL042W	NGL1	2.1
203	YOR209C	NPT1	2.1
204	YDR044W	HEM13	2.1
205	YGL008C	PMA1	2.1
206	YOR078W	BUD21	2.1
207	YNL182C	IPI3	2.1
208	YPR144C	NOC4	2.1
209	YDR389W	SAC7	2.1
210	YBR187W	GDT1	2.1
211	YDL037C	BSC1	2.1
212	YPL058C	PDR12	2.1
213	YPL012W	RRP12	2.1
214	YJL108C	PRM10	2.1
215	YGR128C	UTP8	2.1
216	YLR129W	DIP2	2.1
217	YLR074C	BUD20	2.1
218	YLR276C	DBP9	2.1
219	YBR142W	MAK5	2.1
220	YLR307W	CDA1	2.1
221	YJL125C	GCD14	2.1
222	YKL029C	MAE1	2.1
223	YKL104C	GFA1	2.1
224	YDL170W	UGA3	2.1
225	YBR162C	TOS1	2.1
226	YGR152C	RSR1	2.1
227	YER165W	PAB1	2.1
228	YLR009W	RLP24	2.1
229	YML130C	ERO1	2.1
230	YLR196W	PWP1	2.1
231	YPR009W	SUT2	2.1
232	YKR092C	SRP40	2.1
233	YPL255W	BBP1	2.1
234	YHR066W	SSF1	2.1
235	YGR240C	PFK1	2.1
236	YPL227C	ALG5	2.1
237	YNL110C	NOP15	2.1
238	YDL048C	STP4	2.1
239	YER169W	RPH1	2.1
240	YMR217W	GUA1	2.1
241	YDR280W	RRP45	2.1
242	YOR030W	DFG16	2.1
243	YOL064C	MET22	2.1
244	YER052C	HOM3	2.1
245	YER126C	NSA2	2.1
246	YKL078W	DHR2	2.1
247	YOR340C	RPA43	2.1
248	YCL063W	VAC17	2.1
249	YDL148C	NOP14	2.1
250	YPR112C	MRD1	2.1
251	YPL030W	TRM44	2.1
252	YIL090W	ICE2	2.1
253	YMR013C	SEC59	2.1
254	YNL175C	NOP13	2.1
255	YBL039C	URA7	2.1
256	YHR064C	SSZ1	2.1
257	YPR138C	MEP3	2.1
258	YKL120W	OAC1	2.1
259	YOL124C	TRM11	2.1
260	YIL056W	VHR1	2.1
261	YLR355C	ILV5	2.0
262	YPL237W	SUI3	2.0
263	YNR039C	ZRG17	2.0
264	YDR101C	ARX1	2.0
265	YMR319C	FET4	2.0
266	YOL056W	GPM3	2.0
267	YOL104C	NDJ1	2.0
268	YHR149C	SKG6	2.0
269	YLR212C	TUB4	2.0
270	YNR043W	MVD1	2.0
271	YLR397C	AFG2	2.0
272	YDR441C	APT2	2.0
273	YLL004W	ORC3	2.0
274	YCR072C	RSA4	2.0
275	YOR243C	PUS7	2.0
276	YOR361C	PRT1	2.0
277	YPL128C	TBF1	2.0
278	YOR079C	ATX2	2.0
279	YDR037W	KRS1	2.0
280	YLR116W	MSL5	2.0
281	YJL116C	NCA3	2.0
282	YLL028W	TPO1	2.0
283	YOR149C	SMP3	2.0
284	YER125W	RSP5	2.0
285	YJR143C	PMT4	2.0
286	YDR465C	RMT2	2.0
287	YHR065C	RRP3	2.0
288	YGL028C	SCW11	2.0
289	YER025W	GCD11	2.0
290	YPL143W	RPL33A	2.0
291	YBL076C	ILS1	2.0
292	YDL240W	LRG1	2.0
293	YLR342W	FKS1	2.0
294	YMR037C	MSN2	2.0
295	YJL069C	UTP18	2.0
296	YIL123W	SIM1	2.0
297	YMR182C	RGM1	2.0
298	YML006C	GIS4	2.0
299	YOR269W	PAC1	2.0
300	YOR171C	LCB4	2.0
301	YKR056W	TRM2	2.0
302	YMR171C	EAR1	2.0
303	YKR081C	RPF2	2.0
304	YBR021W	FUR4	2.0
305	YOR341W	RPA190	2.0
306	YOR226C	ISU2	2.0
307	YOL080C	REX4	2.0
308	YPR016C	TIF6	2.0
309	YFL026W	STE2	2.0
310	YBL014C	RRN6	2.0
311	YIL079C	AIR1	2.0
312	YPR065W	ROX1	2.0
313	YNR055C	HOL1	2.0
314	YLR249W	YEF3	2.0
315	YHR197W	RIX1	2.0
316	YNL231C	PDR16	2.0
317	YIR011C	STS1	2.0
318	YOL059W	GPD2	2.0
319	YDR033W	MRH1	2.0
320	YLR056W	ERG3	2.0
321	YBR104W	YMC2	2.0
322	YOR207C	RET1	2.0
323	YCR053W	THR4	2.0
324	YKR060W	UTP30	2.0
325	YDL015C	TSC13	2.0
326	YER070W	RNR1	2.0
327	YPL135W	ISU1	2.0
328	YGL111W	NSA1	2.0
