SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: YOL163W

Rank	Gene	Common	Score
Q	YOL163W	YOL163W	
1	YOL162W	YOL162W	2.2
2	YFL056C	AAD6	2.0
3	YGL053W	PRM8	1.9
4	YDL248W	COS7	1.8
5	YOL164W	BDS1	1.8
6	YHL048W	COS8	1.8
7	YHL047C	ARN2	1.8
8	YDL246C	SOR2	1.8
9	YDL245C	HXT15	1.7
10	YLR162W	YLR162W	1.6
11	YFL055W	AGP3	1.6
12	Q0050	AI1	1.5
13	YLL057C	JLP1	1.5
14	YNL196C	SLZ1	1.4
15	YLL058W	HSU1	1.4
16	YLL056C	YLL056C	1.4
17	YMR322C	SNO4	1.4
18	YDL169C	UGX2	1.4
19	YIR042C	YIR042C	1.4
20	YLL060C	GTT2	1.4
21	YMR323W	ERR3	1.4
22	YKL221W	MCH2	1.4
23	YOL159C	CSS3	1.4
24	YLL061W	MMP1	1.4
25	YDR403W	DIT1	1.4
26	YAL067C	SEO1	1.3
27	YIR039C	YPS6	1.3
28	YHR176W	FMO1	1.3
29	YLR080W	EMP46	1.3
30	YIL055C	YIL055C	1.3
31	YPL052W	OAZ1	1.3
32	YCR104W	PAU3	1.3
33	YPR078C	YPR078C	1.3
34	YOL047C	LDS2	1.3
35	YDR059C	UBC5	1.3
36	YIL166C	SOA1	1.3
37	YPL054W	LEE1	1.3
38	YHL044W	DFP4	1.3
39	YOR019W	YOR019W	1.3
40	YOL083W	ATG34	1.3
41	YOR289W	YOR289W	1.3
42	YDR391C	YDR391C	1.3
43	YJR156C	THI11	1.3
44	YGR154C	GTO1	1.3
45	YDL024C	DIA3	1.3
46	YGR213C	RTA1	1.3
47	YMR271C	URA10	1.3
48	YGR087C	PDC6	1.3
49	YBR284W	YBR284W	1.3
50	YMR009W	ADI1	1.3
51	YJR078W	BNA2	1.3
52	YJL219W	HXT9	1.3
53	YOL131W	YOL131W	1.3
54	YJL045W	SDH9	1.3
55	YLL055W	YCT1	1.3
56	YOL161C	PAU20	1.3
57	YNL270C	ALP1	1.3
58	YHR138C	YHR138C	1.3
59	YLR461W	PAU4	1.3
60	YBR293W	VBA2	1.3
61	YER096W	SHC1	1.3
62	YNL093W	YPT53	1.3
63	YHL036W	MUP3	1.3
64	YOL165C	AAD15	1.2
65	YGR144W	THI4	1.2
66	YOL157C	IMA2	1.2
67	YPL027W	SMA1	1.2
68	YDL234C	GYP7	1.2
69	YDR018C	YDR018C	1.2
70	YIL160C	POT1	1.2
71	YGL184C	STR3	1.2
72	YOR220W	RCN2	1.2
73	YPL223C	GRE1	1.2
74	YPL280W	HSP32	1.2
75	YJR155W	AAD10	1.2
76	YNR064C	YNR064C	1.2
77	YLR460C	YLR460C	1.2
78	YNL092W	YNL092W	1.2
79	YCR007C	DFP3	1.2
80	YMR107W	SPG4	1.2
81	YOR100C	CRC1	1.2
82	YOR059C	LPL1	1.2
83	YER158C	YER158C	1.2
84	YIR028W	DAL4	1.2
85	YLR307W	CDA1	1.2
86	YPR178W	PRP4	1.2
87	YNL331C	AAD14	1.2
88	YLR142W	PUT1	1.2
89	YLR299W	ECM38	1.2
90	YGR066C	GID10	1.2
91	YEL060C	PRB1	1.2
92	YLR312C	ATG39	1.2
93	YMR020W	FMS1	1.2
94	YHR209W	CRG1	1.2
95	YPL222W	FMP40	1.2
96	YNL115C	YNL115C	1.2
97	YKL026C	GPX1	1.2
98	YPR006C	ICL2	1.2
99	YBL078C	ATG8	1.2
100	YLL062C	MHT1	1.2
101	YIL099W	SGA1	1.2
102	YFR023W	PES4	1.2
103	YJL037W	IRC18	1.2
104	YOR134W	BAG7	1.2
105	YKL107W	YKL107W	1.2
106	YOR036W	PEP12	1.2
107	YDL243C	AAD4	1.2
108	YOR138C	RUP1	1.2
109	YER185W	PUG1	1.2
110	YGR043C	NQM1	1.2
111	YBR294W	SUL1	1.2
112	YBR056W	MRX18	1.2
113	YIR041W	PAU15	1.2
114	YNL202W	SPS19	1.2
115	YJL213W	YJL213W	1.2
116	YPL149W	ATG5	1.2
117	YKL218C	SRY1	1.2
118	YJL221C	IMA4	1.2
119	YIL046W	MET30	1.2
120	YFL054C	AQY3	1.2
121	YGL156W	AMS1	1.2
122	YJL155C	FBP26	1.2
123	YHL042W	YHL042W	1.2
124	YHR097C	PAL2	1.2
125	YBR241C	VVS1	1.2
126	YMR251W	GTO3	1.2
127	YPR198W	SGE1	1.2
128	YOR391C	HSP33	1.2
129	YNL335W	DDI2	1.2
130	YBR240C	THI2	1.2
131	YER187W	YER187W	1.2
132	YBR005W	RCR1	1.2
133	YMR114C	YMR114C	1.2
134	YLR054C	OSW2	1.2
135	YFL030W	AGX1	1.2
136	YJL038C	LOH1	1.2
137	YKL224C	PAU16	1.2
138	YIL165C	YIL165C	1.2
139	YDL115C	IWR1	1.2
140	YGR289C	MAL11	1.2
141	YOR245C	DGA1	1.2
142	YNL012W	SPO1	1.2
143	YCL049C	YCL049C	1.2
144	YBL049W	MOH1	1.2
145	YDR479C	PEX29	1.2
146	YGL127C	SOH1	1.2
147	YOR003W	YSP3	1.2
148	YLR156W	YLR156W	1.2
149	YDR058C	TGL2	1.2
150	YIL024C	YIL024C	1.2
151	YJL060W	BNA3	1.2
152	YGL081W	YGL081W	1.2
153	YER142C	MAG1	1.2
154	YOL048C	RRT8	1.2
155	YLR338W	OPI9	1.2
156	YJL132W	YJL132W	1.2
157	YMR206W	YMR206W	1.2
158	YHL024W	RIM4	1.2
159	YPL214C	THI6	1.2
160	YLR149C	GID11	1.2
161	YER162C	RAD4	1.2
162	YGL263W	COS12	1.2
163	YHR140W	YHR140W	1.2
164	YIR027C	DAL1	1.2
165	YIL172C	IMA3	1.2
166	YLR267W	BOP2	1.2
167	YLR037C	PAU23	1.2
168	YPL250C	ATG41	1.2
169	YHR157W	REC104	1.2
170	YGR161C	RTS3	1.2
171	YNR059W	MNT4	1.2
172	YDL199C	YDL199C	1.2
173	YOR152C	ATG40	1.2
174	YCR102C	YCR102C	1.2
175	YJL103C	GSM1	1.2
176	YLR120C	YPS1	1.2
177	YNL191W	DUG3	1.2
178	YFL061W	DDI3	1.2
179	YNL128W	TEP1	1.2
180	YIL164C	NIT1	1.2
181	YNR071C	YNR071C	1.2
182	YGL121C	GPG1	1.2
183	YHL046C	PAU13	1.2
184	YMR170C	ALD2	1.2
185	YJR008W	MHO1	1.1
186	YMR041C	ARA2	1.1
187	YKR076W	ECM4	1.1
188	YIL101C	XBP1	1.1
189	YIL154C	IMP21	1.1
190	YDR085C	AFR1	1.1
191	YGL010W	MPO1	1.1
192	YIR007W	EGH1	1.1
193	YHR126C	ANS1	1.1
194	YOL084W	PHM7	1.1
195	YJR107W	LIH1	1.1
196	YLL039C	UBI4	1.1
197	YOL132W	GAS4	1.1
198	YHR160C	PEX18	1.1
199	YOR380W	RDR1	1.1
200	YJL153C	INO1	1.1
201	YGR149W	GPC1	1.1
202	YDR374C	PHO92	1.1
203	YKR049C	FMP46	1.1
204	YIR038C	GTT1	1.1
205	YOR177C	MPC54	1.1
206	YLR164W	SHH4	1.1
207	YER188W	YER188W	1.1
208	YJR096W	YJR096W	1.1
209	YBR297W	MAL33	1.1
210	YML118W	NGL3	1.1
211	YGR131W	FHN1	1.1
212	YOR338W	YOR338W	1.1
213	YHL016C	DUR3	1.1
214	YDR387C	CIN10	1.1
215	YOR052C	TMC1	1.1
216	YOR381W	FRE3	1.1
217	YLL063C	AYT1	1.1
218	YFR022W	ROG3	1.1
219	YOR389W	YOR389W	1.1
220	YPR001W	CIT3	1.1
221	YJL223C	PAU1	1.1
222	YOR328W	PDR10	1.1
223	YOR044W	IRC23	1.1
224	YJL144W	ROQ1	1.1
225	YGR268C	HUA1	1.1
226	YPL277C	YPL277C	1.1
227	YCR100C	EMA35	1.1
228	YPR200C	ARR2	1.1
229	YLR070C	XYL2	1.1
230	YIR017C	MET28	1.1
231	YNL305C	BXI1	1.1
232	YLR092W	SUL2	1.1
233	YPR184W	GDB1	1.1
234	YLR327C	TMA10	1.1
235	YIR036C	IRC24	1.1
236	YGL091C	NBP35	1.1
237	YPR151C	SUE1	1.1
238	YBR006W	UGA2	1.1
239	YOR111W	YOR111W	1.1
240	YNL200C	NNR1	1.1
241	YAL062W	GDH3	1.1
242	YJL089W	SIP4	1.1
243	YPL017C	IRC15	1.1
244	YLR205C	HMX1	1.1
245	YMR111C	EUC1	1.1
246	YDR436W	PPZ2	1.1
247	YMR085W	YMR085W	1.1
248	YIL023C	YKE4	1.1
249	YDR540C	IRC4	1.1
250	YGR032W	GSC2	1.1
251	YOL133W	HRT1	1.1
252	YBR301W	PAU24	1.1
253	YGL051W	MST27	1.1
254	YAR023C	DFP1	1.1
255	YPL119C	DBP1	1.1
256	YMR115W	MGR3	1.1
257	YCR099C	YCR099C	1.1
258	YGR053C	MCO32	1.1
259	YNL192W	CHS1	1.1
260	YCR098C	GIT1	1.1
261	YPR167C	MET16	1.1
262	YPR176C	BET2	1.1
263	YGR256W	GND2	1.1
264	YHR112C	YHR112C	1.1
265	YLR241W	CSC1	1.1
266	YKR097W	PCK1	1.1
267	YJR010W	MET3	1.1
268	YMR250W	GAD1	1.1
269	YJR095W	SFC1	1.1
270	YML128C	MSC1	1.1
271	YEL072W	RMD6	1.1
272	YNL194C	YNL194C	1.1
273	YPR005C	HAL1	1.1
274	YPR093C	ASR1	1.1
275	YOR190W	SPR1	1.1
276	YGR141W	VPS62	1.1
277	YFL020C	PAU5	1.1
278	YMR007W	YMR007W	1.1
279	YNL195C	YNL195C	1.1
280	YMR135C	GID8	1.1
281	YNL332W	THI12	1.1
282	YPL257W	YPL257W	1.1
283	YCR010C	ADY2	1.1
284	YKL133C	RCI50	1.1
285	YPL088W	YPL088W	1.1
286	YNL277W	MET2	1.1
287	YMR017W	SPO20	1.1
288	YMR087W	PDL32	1.1
289	YGL230C	YGL230C	1.1
290	YCR105W	ADH7	1.1
291	YEL041W	YEF1	1.1
292	YNR007C	ATG3	1.1
293	YPL152W	RRD2	1.1
294	YLR121C	YPS3	1.1
295	YER106W	MAM1	1.1
296	YFL053W	DAK2	1.1
297	YMR118C	SHH3	1.1
298	YNL281W	HCH1	1.1
299	YMR004W	MVP1	1.1
300	YOR186W	YOR186W	1.1
301	YIR029W	DAL2	1.1
302	YJR149W	YJR149W	1.1
303	YLR356W	ATG33	1.1
304	YNR058W	BIO3	1.1
305	YOR097C	YOR097C	1.1
306	YJL163C	YJL163C	1.1
307	YOL044W	PEX15	1.1
308	YAL028W	FRT2	1.1
309	YDR425W	SNX41	1.1
310	YBR036C	CSG2	1.1
311	YHR124W	NDT80	1.1
312	YER046W	SPO73	1.1
313	YPL148C	PPT2	1.1
314	YAR033W	MST28	1.1
315	YLR031W	YLR031W	1.1
316	YDR446W	ECM11	1.1
317	YOL119C	MCH4	1.1
318	YDL059C	RAD59	1.1
319	YMR101C	SRT1	1.1
320	YPR154W	PIN3	1.1
321	YKL044W	MMO1	1.1
322	YFL062W	COS4	1.1
323	YJR159W	SOR1	1.1
324	YBR223C	TDP1	1.1
325	YDR287W	INM2	1.1
326	YGR223C	HSV2	1.1
327	YOR185C	GSP2	1.1
328	YDR253C	MET32	1.1
329	YCL038C	ATG22	1.1
330	YJL185C	ATG36	1.1
331	YBR295W	PCA1	1.1
332	YGR110W	CLD1	1.1
333	YDR541C	YDR541C	1.1
334	YMR252C	MLO1	1.1
335	YNR032W	PPG1	1.1
336	YAL064W	YAL064W	1.1
337	YMR169C	ALD3	1.1
