SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: DFG16

Rank	Gene	Common	Score
Q	YOR030W	DFG16	
1	YOR014W	RTS1	2.9
2	YOL067C	RTG1	2.6
3	YLR047C	FRE8	2.5
4	YDR422C	SIP1	2.5
5	YMR140W	SIP5	2.5
6	YJL127C	SPT10	2.4
7	YBR065C	ECM2	2.4
8	YAL048C	GEM1	2.4
9	YDL160C	DHH1	2.4
10	YDR389W	SAC7	2.4
11	YOR113W	AZF1	2.4
12	YLL019C	KNS1	2.3
13	YHR105W	YPT35	2.3
14	YNL197C	WHI3	2.3
15	YCR068W	ATG15	2.3
16	YOR035C	SHE4	2.3
17	YPL119C	DBP1	2.3
18	YOL060C	MAM3	2.3
19	YNR047W	FPK1	2.3
20	YGR143W	SKN1	2.3
21	YOR363C	PIP2	2.3
22	YHR079C	IRE1	2.3
23	YPL179W	PPQ1	2.3
24	YPL202C	AFT2	2.3
25	YNL158W	PGA1	2.3
26	YHR206W	SKN7	2.3
27	YPR085C	ASA1	2.2
28	YJR106W	ECM27	2.2
29	YPL190C	NAB3	2.2
30	YLR403W	SFP1	2.2
31	YER125W	RSP5	2.2
32	YNL230C	ELA1	2.2
33	YGL190C	CDC55	2.2
34	YOR058C	ASE1	2.2
35	YMR080C	NAM7	2.2
36	YDR350C	ATP22	2.2
37	YKL124W	SSH4	2.2
38	YKL095W	YJU2	2.2
39	YGL175C	SAE2	2.2
40	YHR082C	KSP1	2.2
41	YGL197W	MDS3	2.2
42	YNL254C	RTC4	2.2
43	YDR293C	SSD1	2.2
44	YDR505C	PSP1	2.2
45	YBL105C	PKC1	2.2
46	YEL063C	CAN1	2.2
47	YDR486C	VPS60	2.2
48	YDR363W	ESC2	2.2
49	YOL100W	PKH2	2.2
50	YOL141W	PPM2	2.2
51	YLR116W	MSL5	2.2
52	YDR443C	SSN2	2.2
53	YOR172W	YRM1	2.2
54	YBR102C	EXO84	2.2
55	YDR255C	RMD5	2.2
56	YOR171C	LCB4	2.2
57	YOR008C	SLG1	2.2
58	YOR204W	DED1	2.2
59	YBR152W	SPP381	2.1
60	YDR409W	SIZ1	2.1
61	YJR053W	BFA1	2.1
62	YER169W	RPH1	2.1
63	YER123W	YCK3	2.1
64	YOR034C	AKR2	2.1
65	YPR024W	YME1	2.1
66	YOR350C	MNE1	2.1
67	YNL297C	MON2	2.1
68	YPL159C	PET20	2.1
69	YJL156C	SSY5	2.1
70	YMR100W	MUB1	2.1
71	YOR141C	ARP8	2.1
72	YNL127W	FAR11	2.1
73	YNL101W	AVT4	2.1
74	YKR021W	ALY1	2.1
75	YLR240W	VPS34	2.1
76	YEL013W	VAC8	2.1
77	YMR168C	CEP3	2.1
78	YOR256C	TRE2	2.1
79	YMR171C	EAR1	2.1
80	YGL180W	ATG1	2.1
81	YJL083W	TAX4	2.1
82	YGL131C	SNT2	2.1
83	YBL066C	SEF1	2.1
84	YDR221W	GTB1	2.1
85	YHR205W	SCH9	2.1
86	YPR042C	PUF2	2.1
87	YOR275C	RIM20	2.1
88	YLL038C	ENT4	2.1
89	YPR008W	HAA1	2.1
90	YOR322C	LDB19	2.1
91	YLR206W	ENT2	2.1
92	YOR191W	ULS1	2.1
93	YEL062W	NPR2	2.1
94	YDR096W	GIS1	2.1
95	YIL146C	ATG32	2.1
96	YDR169C	STB3	2.1
97	YPL057C	SUR1	2.1
98	YJR091C	JSN1	2.1
99	YLR393W	ATP10	2.1
100	YMR216C	SKY1	2.1
101	YOR028C	CIN5	2.1
102	YNL167C	SKO1	2.1
103	YDR138W	HPR1	2.1
104	YKL204W	EAP1	2.1
105	YHR155W	LAM1	2.1
106	YPR070W	MED1	2.1
107	YDR028C	REG1	2.1
108	YOL136C	PFK27	2.1
109	YLR371W	ROM2	2.1
110	YMR063W	RIM9	2.1
111	YKR031C	SPO14	2.1
