SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: SHE4

Rank	Gene	Common	Score
Q	YOR035C	SHE4	
1	YOR036W	PEP12	3.3
2	YDL234C	GYP7	3.3
3	YJL155C	FBP26	3.3
4	YEL060C	PRB1	3.3
5	YPL203W	TPK2	3.2
6	YDR358W	GGA1	3.2
7	YKL064W	MNR2	3.2
8	YOR386W	PHR1	3.2
9	YGL006W	PMC1	3.2
10	YBR214W	SDS24	3.1
11	YNL159C	ASI2	3.1
12	YMR110C	HFD1	3.1
13	YDR293C	SSD1	3.1
14	YJL141C	YAK1	3.1
15	YGL227W	VID30	3.1
16	YMR139W	RIM11	3.1
17	YML117W	NAB6	3.1
18	YDR001C	NTH1	3.1
19	YOR208W	PTP2	3.1
20	YGR268C	HUA1	3.1
21	YLR270W	DCS1	3.0
22	YIL017C	VID28	3.0
23	YMR140W	SIP5	3.0
24	YDR255C	RMD5	3.0
25	YOL117W	RRI2	3.0
26	YOL013C	HRD1	3.0
27	YOR014W	RTS1	3.0
28	YKL034W	TUL1	3.0
29	YNR007C	ATG3	3.0
30	YNL093W	YPT53	3.0
31	YOL060C	MAM3	3.0
32	YMR020W	FMS1	3.0
33	YMR053C	STB2	3.0
34	YGL156W	AMS1	3.0
35	YBL078C	ATG8	3.0
36	YPL123C	RNY1	2.9
37	YOR347C	PYK2	2.9
38	YOR227W	HER1	2.9
39	YHR161C	YAP1801	2.9
40	YJL164C	TPK1	2.9
41	YIL097W	FYV10	2.9
42	YLR219W	MSC3	2.9
43	YBR280C	SAF1	2.9
44	YBL101C	ECM21	2.9
45	YDR436W	PPZ2	2.9
46	YLR362W	STE11	2.9
47	YLL019C	KNS1	2.9
48	YHR171W	ATG7	2.9
49	YCR091W	KIN82	2.9
50	YPL119C	DBP1	2.9
51	YKL121W	DGR2	2.9
52	YDR074W	TPS2	2.9
53	YLR120C	YPS1	2.9
54	YNL223W	ATG4	2.9
55	YDR085C	AFR1	2.9
56	YDL238C	GUD1	2.9
57	YOR275C	RIM20	2.9
58	YOL082W	ATG19	2.9
59	YJL094C	KHA1	2.9
60	YMR104C	YPK2	2.9
61	YIL107C	PFK26	2.9
62	YJL057C	IKS1	2.9
63	YGL248W	PDE1	2.9
64	YMR304W	UBP15	2.9
65	YOR220W	RCN2	2.9
66	YOR132W	VPS17	2.8
67	YPR030W	CSR2	2.8
68	YEL011W	GLC3	2.8
69	YOR173W	DCS2	2.8
70	YDR122W	KIN1	2.8
71	YOL025W	LAG2	2.8
72	YML057W	CMP2	2.8
73	YOR137C	SIA1	2.8
74	YNR047W	FPK1	2.8
75	YPR026W	ATH1	2.8
76	YNR006W	VPS27	2.8
77	YLL026W	HSP104	2.8
78	YKL168C	KKQ8	2.8
79	YMR278W	PRM15	2.8
80	YLR240W	VPS34	2.8
81	YLR258W	GSY2	2.8
82	YOR245C	DGA1	2.8
83	YDR330W	UBX5	2.8
84	YDR505C	PSP1	2.8
85	YKL142W	MRP8	2.8
86	YOR219C	STE13	2.8
87	YPL087W	YDC1	2.8
88	YDR069C	DOA4	2.8
89	YBR223C	TDP1	2.8
90	YOR113W	AZF1	2.8
91	YGR019W	UGA1	2.8
92	YHL027W	RIM101	2.8
93	YKL065C	YET1	2.8
94	YDL169C	UGX2	2.8
95	YML118W	NGL3	2.8
96	YNL127W	FAR11	2.8
97	YBR169C	SSE2	2.8
98	YDL113C	ATG20	2.8
99	YDR003W	RCR2	2.8
100	YCL040W	GLK1	2.8
101	YKR091W	SRL3	2.7
102	YJR106W	ECM27	2.7
103	YCL052C	PBN1	2.7
104	YOL016C	CMK2	2.7
105	YLR133W	CKI1	2.7
106	YJL048C	UBX6	2.7
107	YOR162C	YRR1	2.7
108	YPL070W	MUK1	2.7
109	YKL126W	YPK1	2.7
110	YAL034C	FUN19	2.7
111	YJL082W	IML2	2.7
112	YKL193C	SDS22	2.7
113	YDR435C	PPM1	2.7
114	YDR350C	ATP22	2.7
115	YGL197W	MDS3	2.7
116	YNL294C	RIM21	2.7
117	YJL053W	PEP8	2.7
118	YNL297C	MON2	2.7
119	YOR329C	SCD5	2.7
120	YLR251W	SYM1	2.7
121	YJL103C	GSM1	2.7
122	YMR170C	ALD2	2.7
123	YER144C	UBP5	2.7
124	YDR096W	GIS1	2.7
125	YPL224C	MMT2	2.7
126	YPR184W	GDB1	2.7
127	YGR194C	XKS1	2.7
128	YML120C	NDI1	2.7
129	YML100W	TSL1	2.7
130	YJL066C	MPM1	2.7
131	YER033C	ZRG8	2.7
132	YJR091C	JSN1	2.7
133	YIL036W	CST6	2.7
134	YOL084W	PHM7	2.7
135	YPR154W	PIN3	2.7
136	YDR169C	STB3	2.7
137	YPL057C	SUR1	2.7
138	YGR143W	SKN1	2.7
139	YAL017W	PSK1	2.7
140	YKL157W	APE2	2.7
141	YMR105C	PGM2	2.7
142	YOR141C	ARP8	2.7
143	YKL129C	MYO3	2.7
144	YML029W	USA1	2.7
145	YBR149W	ARA1	2.7
146	YPL084W	BRO1	2.7
147	YGL053W	PRM8	2.7
148	YPL222W	FMP40	2.7
149	YMR302C	YME2	2.7
150	YBR006W	UGA2	2.7
151	YIL033C	BCY1	2.7
152	YGR008C	STF2	2.7
153	YHR209W	CRG1	2.7
154	YGR070W	ROM1	2.7
155	YJL036W	SNX4	2.6
156	YBR059C	AKL1	2.6
157	YML013W	UBX2	2.6
158	YML128C	MSC1	2.6
159	YMR250W	GAD1	2.6
160	YDR129C	SAC6	2.6
161	YAR027W	UIP3	2.6
162	YDL149W	ATG9	2.6
163	YMR261C	TPS3	2.6
164	YPL166W	ATG29	2.6
165	YCR030C	SYP1	2.6
166	YER035W	EDC2	2.6
167	YGR141W	VPS62	2.6
168	YLR189C	ATG26	2.6
169	YPL249C	GYP5	2.6
170	YJR059W	PTK2	2.6
171	YLR371W	ROM2	2.6
172	YLR267W	BOP2	2.6
173	YGR161C	RTS3	2.6
174	YHR016C	YSC84	2.6
175	YLR178C	TFS1	2.6
176	YNL192W	CHS1	2.6
177	YMR135C	GID8	2.6
178	YER162C	RAD4	2.6
179	YLR080W	EMP46	2.6
180	YHR096C	HXT5	2.6
181	YIL105C	SLM1	2.6
182	YDR059C	UBC5	2.6
183	YHR104W	GRE3	2.6
184	YCR011C	ADP1	2.6
185	YDL110C	TMA17	2.6
186	YBR046C	ZTA1	2.6
187	YKR009C	FOX2	2.6
188	YOR042W	CUE5	2.6
189	YDR425W	SNX41	2.6
190	YNL183C	NPR1	2.6
191	YER020W	GPA2	2.6
192	YDL215C	GDH2	2.6
193	YPL219W	PCL8	2.6
194	YDL091C	UBX3	2.6
195	YOR120W	GCY1	2.6
196	YBR295W	PCA1	2.6
197	YMR119W	ASI1	2.6
198	YEL012W	UBC8	2.6
199	YDR251W	PAM1	2.6
200	YOR230W	WTM1	2.6
201	YHR082C	KSP1	2.6
202	YOR155C	ISN1	2.6
203	YOR054C	VHS3	2.6
204	YGL180W	ATG1	2.6
205	YDL072C	YET3	2.6
206	YOR256C	TRE2	2.6
207	YNL094W	APP1	2.6
208	YOR138C	RUP1	2.6
209	YIL101C	XBP1	2.6
