SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: MSA1

Rank	Gene	Common	Score
Q	YOR066W	MSA1	
1	YOR014W	RTS1	2.4
2	YEL032W	MCM3	2.3
3	YBR202W	MCM7	2.3
4	YOR043W	WHI2	2.3
5	YKL185W	ASH1	2.2
6	YNL298W	CLA4	2.2
7	YKR077W	MSA2	2.2
8	YOR081C	TGL5	2.2
9	YAL040C	CLN3	2.1
10	YJL157C	FAR1	2.1
11	YGR092W	DBF2	2.1
12	YMR171C	EAR1	2.1
13	YNL042W	BOP3	2.1
14	YOR384W	FRE5	2.1
15	YPL115C	BEM3	2.1
16	YGR241C	YAP1802	2.1
17	YBR083W	TEC1	2.0
18	YBL023C	MCM2	2.0
19	YPL049C	DIG1	2.0
20	YOR070C	GYP1	2.0
21	YHL028W	WSC4	2.0
22	YNR013C	PHO91	2.0
23	YPL256C	CLN2	2.0
24	YOR140W	SFL1	2.0
25	YJL084C	ALY2	2.0
26	YNL078W	NIS1	2.0
27	YOL138C	RTC1	2.0
28	YOR329C	SCD5	2.0
29	YHR084W	STE12	2.0
30	YLR274W	MCM5	2.0
31	YNL068C	FKH2	2.0
32	YLR131C	ACE2	2.0
33	YGR068C	ART5	2.0
34	YJL194W	CDC6	2.0
35	YNL321W	VNX1	2.0
36	YOR160W	MTR10	2.0
37	YLR019W	PSR2	2.0
38	YJL083W	TAX4	2.0
39	YGR014W	MSB2	1.9
40	YOR132W	VPS17	1.9
41	YMR261C	TPS3	1.9
42	YPL177C	CUP9	1.9
43	YGL038C	OCH1	1.9
44	YML027W	YOX1	1.9
45	YNL309W	STB1	1.9
46	YDR309C	GIC2	1.9
47	YDL138W	RGT2	1.9
48	YOR017W	PET127	1.9
49	YHR005C	GPA1	1.9
50	YCR065W	HCM1	1.9
51	YOR127W	RGA1	1.9
52	YOR109W	INP53	1.9
53	YDL224C	WHI4	1.9
54	YPR138C	MEP3	1.9
55	YPR019W	MCM4	1.9
56	YMR109W	MYO5	1.9
57	YFL021W	GAT1	1.9
58	YJL079C	PRY1	1.9
59	YDR143C	SAN1	1.9
60	YOL004W	SIN3	1.9
61	YGR143W	SKN1	1.9
62	YKL020C	SPT23	1.9
63	YNL327W	EGT2	1.9
64	YOR098C	NUP1	1.9
65	YNR044W	AGA1	1.9
66	YNL160W	YGP1	1.9
67	YNL091W	NST1	1.9
68	YKL062W	MSN4	1.9
69	YLR337C	VRP1	1.8
70	YOR038C	HIR2	1.8
71	YOR290C	SNF2	1.8
72	YDR420W	HKR1	1.8
73	YOR058C	ASE1	1.8
74	YGL162W	SUT1	1.8
75	YGL201C	MCM6	1.8
76	YBR086C	IST2	1.8
77	YPR008W	HAA1	1.8
78	YOR264W	DSE3	1.8
79	YJR059W	PTK2	1.8
80	YLR116W	MSL5	1.8
81	YHR102W	KIC1	1.8
82	YOR023C	AHC1	1.8
83	YOR047C	STD1	1.8
84	YKL164C	PIR1	1.8
85	YDR528W	HLR1	1.8
86	YOR322C	LDB19	1.8
87	YIL034C	CAP2	1.8
88	YPL155C	KIP2	1.8
89	YOR304W	ISW2	1.8
90	YLR176C	RFX1	1.8
91	YPL105C	SYH1	1.8
92	YOR112W	CEX1	1.8
93	YPL128C	TBF1	1.8
94	YMR136W	GAT2	1.8
95	YNL197C	WHI3	1.8
96	YJR004C	SAG1	1.8
97	YJL082W	IML2	1.8
98	YIR023W	DAL81	1.8
99	YOR324C	FRT1	1.8
100	YER088C	DOT6	1.8
101	YPR070W	MED1	1.8
102	YOL025W	LAG2	1.8
103	YML057W	CMP2	1.8
104	YCR052W	RSC6	1.8
105	YAL021C	CCR4	1.8
106	YMR032W	HOF1	1.8
107	YMR043W	MCM1	1.8
108	YML114C	TAF8	1.8
109	YOR033C	EXO1	1.8
110	YBR092C	PHO3	1.8
111	YHR205W	SCH9	1.8
112	YNL047C	SLM2	1.8
113	YNL317W	PFS2	1.8
114	YNR067C	DSE4	1.8
115	YOR025W	HST3	1.8
116	YKL116C	PRR1	1.8
117	YER154W	OXA1	1.8
118	YJL159W	HSP150	1.8
119	YAL034C	FUN19	1.8
120	YJL128C	PBS2	1.8
121	YJR127C	RSF2	1.8
122	YCL051W	LRE1	1.8
123	YBR054W	YRO2	1.8
124	YLR190W	MMR1	1.8
125	YMR278W	PRM15	1.8
126	YMR037C	MSN2	1.8
127	YBR059C	AKL1	1.8
128	YBR220C	YBR220C	1.8
129	YPR119W	CLB2	1.8
130	YOR227W	HER1	1.8
131	YDR122W	KIN1	1.8
132	YKL204W	EAP1	1.8
133	YOL011W	PLB3	1.8
134	YOR231W	MKK1	1.8
135	YOR178C	GAC1	1.8
136	YMR070W	MOT3	1.8
137	YOR008C	SLG1	1.8
138	YML051W	GAL80	1.8
139	YKL129C	MYO3	1.8
140	YAL043C	PTA1	1.8
141	YIL009W	FAA3	1.8
142	YKR089C	TGL4	1.8
143	YDR055W	PST1	1.8
144	YCR084C	TUP1	1.8
145	YOR003W	YSP3	1.8
146	YLR206W	ENT2	1.8
147	YPL176C	TRE1	1.8
148	YCL024W	KCC4	1.8
149	YMR001C	CDC5	1.8
150	YPL116W	HOS3	1.8
151	YOL070C	NBA1	1.8
152	YLR452C	SST2	1.8
153	YGL116W	CDC20	1.8
154	YOL072W	THP1	1.8
155	YDR191W	HST4	1.8
156	YPR106W	ISR1	1.8
157	YNL076W	MKS1	1.8
158	YPL089C	RLM1	1.7
159	YOL066C	RIB2	1.7
160	YNL192W	CHS1	1.7
161	YGL197W	MDS3	1.7
162	YNL216W	RAP1	1.7
163	YMR216C	SKY1	1.7
164	YGR044C	RME1	1.7
165	YOL105C	WSC3	1.7
166	YPL082C	MOT1	1.7
167	YIL122W	POG1	1.7
168	YCL008C	STP22	1.7
169	YJL042W	MHP1	1.7
170	YLR425W	TUS1	1.7
171	YGR041W	BUD9	1.7
172	YOL135C	MED7	1.7
173	YLR219W	MSC3	1.7
174	YHR036W	BRL1	1.7
175	YOL052C	SPE2	1.7
176	YJL141C	YAK1	1.7
177	YOR042W	CUE5	1.7
178	YKR072C	SIS2	1.7
179	YNL264C	PDR17	1.7
180	YBR214W	SDS24	1.7
181	YOL136C	PFK27	1.7
182	YDL240W	LRG1	1.7
183	YLR403W	SFP1	1.7
184	YMR199W	CLN1	1.7
185	YIR006C	PAN1	1.7
186	YIL109C	SEC24	1.7
187	YIL135C	VHS2	1.7
188	YNL125C	ESBP6	1.7
189	YER068W	MOT2	1.7
190	YNL239W	LAP3	1.7
191	YPL269W	KAR9	1.7
192	YOL130W	ALR1	1.7
193	YDL185W	VMA1	1.7
194	YKL054C	DEF1	1.7
195	YPR135W	CTF4	1.7
196	YOR188W	MSB1	1.7
197	YML076C	WAR1	1.7
198	YJR065C	ARP3	1.7
199	YNL053W	MSG5	1.7
200	YLR347C	KAP95	1.7
201	YOR009W	TIR4	1.7
202	YGR279C	SCW4	1.7
203	YNL094W	APP1	1.7
204	YKR021W	ALY1	1.7
205	YLR429W	CRN1	1.7
206	YNL267W	PIK1	1.7
207	YMR047C	NUP116	1.7
208	YHR103W	SBE22	1.7
209	YBL051C	PIN4	1.7
210	YOL082W	ATG19	1.7
211	YLR380W	CSR1	1.7
212	YMR296C	LCB1	1.7
213	YOR307C	SLY41	1.7
214	YLR139C	SLS1	1.7
215	YOR233W	KIN4	1.7
216	YOR154W	SLP1	1.7
217	YPL246C	RBD2	1.7
218	YDR239C	YDR239C	1.7
219	YMR179W	SPT21	1.7
220	YFR051C	RET2	1.7
221	YJR103W	URA8	1.7
222	YGR189C	CRH1	1.7
223	YKL163W	PIR3	1.7
224	YDR261C	EXG2	1.7
225	YPR171W	BSP1	1.7
226	YOL006C	TOP1	1.7
227	YOR092W	ECM3	1.7
228	YIL031W	ULP2	1.7
229	YOR197W	MCA1	1.7
230	YDL117W	CYK3	1.7
231	YCR042C	TAF2	1.7
232	YOR332W	VMA4	1.7
233	YIL123W	SIM1	1.7
234	YDR409W	SIZ1	1.7
235	YDL047W	SIT4	1.7
236	YFR022W	ROG3	1.7
237	YOR018W	ROD1	1.7
238	YNL116W	DMA2	1.7
239	YLR436C	ECM30	1.7
240	YKL032C	IXR1	1.7
241	YMR250W	GAD1	1.7
242	YPL015C	HST2	1.7
243	YFR028C	CDC14	1.7
244	YNL074C	MLF3	1.7
245	YHL029C	OCA5	1.7
246	YMR213W	CEF1	1.7
247	YDR033W	MRH1	1.7
248	YBR158W	AMN1	1.7
249	YKL043W	PHD1	1.7
250	YHR042W	NCP1	1.7
251	YPL122C	TFB2	1.7
252	YFR015C	GSY1	1.7
253	YKR090W	PXL1	1.7
254	YNL287W	SEC21	1.7
255	YBL011W	SCT1	1.7
256	YLR410W	VIP1	1.7
257	YER169W	RPH1	1.7
258	YKL198C	PTK1	1.7
259	YOR219C	STE13	1.7
260	YDR477W	SNF1	1.7
261	YNL127W	FAR11	1.7
262	YER001W	MNN1	1.7
263	YML035C	AMD1	1.7
264	YLR258W	GSY2	1.7
265	YPL224C	MMT2	1.7
266	YKL035W	UGP1	1.7
267	YOL122C	SMF1	1.7
268	YGL045W	RIM8	1.7
269	YLR270W	DCS1	1.7
270	YOR054C	VHS3	1.7
271	YBL016W	FUS3	1.7
272	YGR056W	RSC1	1.7
273	YOR353C	SOG2	1.7
274	YOL137W	BSC6	1.7
275	YNL167C	SKO1	1.7
276	YDR001C	NTH1	1.7
277	YDL127W	PCL2	1.7
278	YPL204W	HRR25	1.7
