SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: GCY1

Rank	Gene	Common	Score
Q	YOR120W	GCY1	
1	YMR250W	GAD1	5.1
2	YOR173W	DCS2	5.0
3	YML128C	MSC1	4.9
4	YLR178C	TFS1	4.8
5	YIL136W	OM45	4.8
6	YNL274C	GOR1	4.8
7	YGR248W	SOL4	4.7
8	YDL204W	RTN2	4.7
9	YMR105C	PGM2	4.7
10	YGR008C	STF2	4.6
11	YPL186C	UIP4	4.5
12	YDR070C	FMP16	4.5
13	YLR258W	GSY2	4.5
14	YHR087W	RTC3	4.4
15	YBL064C	PRX1	4.4
16	YGL121C	GPG1	4.3
17	YOL052C-A	DDR2	4.3
18	YKL150W	MCR1	4.3
19	YMR169C	ALD3	4.3
20	YBR169C	SSE2	4.3
21	YLR251W	SYM1	4.3
22	YGR088W	CTT1	4.3
23	YML100W	TSL1	4.3
24	YJL161W	FMP33	4.3
25	YGR043C	NQM1	4.2
26	YGL037C	PNC1	4.2
27	YEL011W	GLC3	4.2
28	YHR104W	GRE3	4.2
29	YPR184W	GDB1	4.2
30	YKR076W	ECM4	4.2
31	YKR049C	FMP46	4.2
32	YCL040W	GLK1	4.2
33	YLR270W	DCS1	4.1
34	YBR149W	ARA1	4.1
35	YPL123C	RNY1	4.1
36	YDL110C	TMA17	4.1
37	YFL014W	HSP12	4.1
38	YNL160W	YGP1	4.1
39	YGR019W	UGA1	4.1
40	YPR160W	GPH1	4.0
41	YDR001C	NTH1	4.0
42	YBR230C	OM14	4.0
43	YMR110C	HFD1	4.0
44	YOL082W	ATG19	4.0
45	YDR171W	HSP42	4.0
46	YER053C	PIC2	4.0
47	YDR074W	TPS2	4.0
48	YKL142W	MRP8	4.0
49	YMR271C	URA10	4.0
50	YOR374W	ALD4	3.9
51	YBR072W	HSP26	3.9
52	YGR256W	GND2	3.9
53	YNL015W	PBI2	3.9
54	YPL230W	USV1	3.9
55	YGL156W	AMS1	3.9
56	YMR174C	PAI3	3.9
57	YLL026W	HSP104	3.9
58	YML054C	CYB2	3.9
59	YDR258C	HSP78	3.8
60	YDR513W	GRX2	3.8
61	YKL026C	GPX1	3.8
62	YPL004C	LSP1	3.8
63	YJL066C	MPM1	3.8
64	YML004C	GLO1	3.8
65	YIL101C	XBP1	3.8
66	YLR327C	TMA10	3.8
67	YER054C	GIP2	3.8
68	YCL035C	GRX1	3.8
69	YBR214W	SDS24	3.8
70	YBR126C	TPS1	3.8
71	YDR453C	TSA2	3.8
72	YPR026W	ATH1	3.8
73	YFL030W	AGX1	3.8
74	YJL164C	TPK1	3.7
75	YHR096C	HXT5	3.7
76	YFR053C	HXK1	3.7
77	YEL060C	PRB1	3.7
78	YOR185C	GSP2	3.7
79	YDL021W	GPM2	3.7
80	YER150W	SPI1	3.7
81	YIR038C	GTT1	3.7
82	YKL065C	YET1	3.7
83	YBR026C	ETR1	3.7
84	YDR358W	GGA1	3.7
85	YPL087W	YDC1	3.7
86	YBL078C	ATG8	3.7
87	YML042W	CAT2	3.7
88	YDL169C	UGX2	3.7
89	YDR085C	AFR1	3.6
90	YKL103C	APE1	3.6
91	YEL039C	CYC7	3.6
92	YKL093W	MBR1	3.6
93	YGR070W	ROM1	3.6
94	YPL203W	TPK2	3.6
95	YAL061W	BDH2	3.6
96	YIL155C	GUT2	3.6
97	YNR002C	ATO2	3.6
98	YKR058W	GLG1	3.6
99	YMR173W	DDR48	3.6
100	YOL084W	PHM7	3.6
101	YOL071W	SDH5	3.6
102	YHR016C	YSC84	3.6
103	YBR006W	UGA2	3.6
104	YDL130W-A	STF1	3.6
105	YBR117C	TKL2	3.6
106	YKL035W	UGP1	3.6
107	YDL223C	HBT1	3.6
108	YAL060W	BDH1	3.6
109	YJL155C	FBP26	3.6
110	YKL091C	YKL091C	3.6
111	YBR269C	SDH8	3.5
112	YIL107C	PFK26	3.5
113	YLR080W	EMP46	3.5
114	YBR046C	ZTA1	3.5
115	YDR533C	HSP31	3.5
116	YMR170C	ALD2	3.5
117	YNR001C	CIT1	3.5
118	YPL223C	GRE1	3.5
119	YDL085W	NDE2	3.5
120	YDR059C	UBC5	3.5
121	YJL141C	YAK1	3.5
122	YDL222C	FMP45	3.5
123	YLL039C	UBI4	3.5
124	YPL154C	PEP4	3.5
125	YHL021C	AIM17	3.5
126	YIR039C	YPS6	3.5
127	YGL248W	PDE1	3.5
128	YDR231C	COX20	3.5
129	YMR107W	SPG4	3.5
130	YAL034C	FUN19	3.5
131	YJL048C	UBX6	3.5
132	YMR175W	SIP18	3.5
133	YDR204W	COQ4	3.5
134	YBL049W	MOH1	3.5
135	YBR280C	SAF1	3.4
136	YPL196W	OXR1	3.4
137	YIL033C	BCY1	3.4
138	YDR178W	SDH4	3.4
139	YHR209W	CRG1	3.4
140	YKL085W	MDH1	3.4
141	YJL057C	IKS1	3.4
142	YER103W	SSA4	3.4
143	YHR008C	SOD2	3.4
144	YDR032C	PST2	3.4
145	YIL124W	AYR1	3.4
146	YAL008W	FUN14	3.4
147	YGR194C	XKS1	3.4
148	YDL072C	YET3	3.4
149	YOR347C	PYK2	3.4
150	YKL067W	YNK1	3.4
151	YPL222W	FMP40	3.4
152	YER037W	PHM8	3.4
153	YML070W	DAK1	3.4
154	YPR149W	NCE102	3.4
155	YKL163W	PIR3	3.4
156	YBR183W	YPC1	3.3
157	YDR516C	EMI2	3.3
158	YIL097W	FYV10	3.3
159	YGL104C	VPS73	3.3
160	YFR049W	KGD4	3.3
161	YLL041C	SDH2	3.3
