SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RPB10

Rank	Gene	Common	Score
Q	YOR210W	RPB10	
1	YMR260C	TIF11	4.2
2	YPR187W	RPO26	4.1
3	YPL211W	NIP7	4.0
4	YNL113W	RPC19	4.0
5	YBR154C	RPB5	4.0
6	YHR143W-A	RPC10	4.0
7	YOR276W	CAF20	3.9
8	YDL208W	NHP2	3.9
9	YJL148W	RPA34	3.8
10	YKL156W	RPS27A	3.8
11	YOR234C	RPL33B	3.8
12	YKL009W	MRT4	3.8
13	YDR045C	RPC11	3.8
14	YOL077C	BRX1	3.8
15	YNL110C	NOP15	3.8
16	YJR063W	RPA12	3.7
17	YOR293W	RPS10A	3.7
18	YLR221C	RSA3	3.7
19	YOL139C	CDC33	3.7
20	YLR009W	RLP24	3.6
21	YMR194W	RPL36A	3.6
22	YOR224C	RPB8	3.6
23	YOR340C	RPA43	3.6
24	YLR435W	TSR2	3.6
25	YEL026W	SNU13	3.6
26	YKL172W	EBP2	3.6
27	YPL237W	SUI3	3.6
28	YPR110C	RPC40	3.6
29	YOR004W	UTP23	3.6
30	YNL255C	GIS2	3.5
31	YFR001W	LOC1	3.5
32	YDR087C	RRP1	3.5
33	YIL008W	URM1	3.5
34	YGL029W	CGR1	3.5
35	YNL244C	SUI1	3.5
36	YHR052W	CIC1	3.5
37	YOR252W	TMA16	3.5
38	YKR081C	RPF2	3.5
39	YDR339C	FCF1	3.5
40	YNL248C	RPA49	3.5
41	YCL059C	KRR1	3.5
42	YPL266W	DIM1	3.5
43	YMR230W	RPS10B	3.5
44	YNL153C	GIM3	3.5
45	YNL151C	RPC31	3.4
46	YDL051W	LHP1	3.4
47	YLR051C	FCF2	3.4
48	YER131W	RPS26B	3.4
49	YKR057W	RPS21A	3.4
50	YNL075W	IMP4	3.4
51	YER126C	NSA2	3.4
52	YOR078W	BUD21	3.4
53	YLR406C	RPL31B	3.4
54	YNL002C	RLP7	3.4
55	YOR145C	PNO1	3.4
56	YHR089C	GAR1	3.4
57	YAL059W	ECM1	3.4
58	YDR471W	RPL27B	3.4
59	YLR175W	CBF5	3.4
60	YOR294W	RRS1	3.4
61	YDL166C	FAP7	3.4
62	YLR333C	RPS25B	3.4
63	YLR388W	RPS29A	3.4
64	YOR310C	NOP58	3.4
65	YPL043W	NOP4	3.4
66	YDR412W	RRP17	3.4
67	YKL099C	UTP11	3.4
68	YDR083W	RRP8	3.4
69	YHR148W	IMP3	3.3
70	YOR167C	RPS28A	3.3
71	YLR197W	NOP56	3.3
