SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: MKK1

Rank	Gene	Common	Score
Q	YOR231W	MKK1	
1	YOR043W	WHI2	2.3
2	YNL094W	APP1	2.3
3	YKR038C	KAE1	2.2
4	YPL023C	MET12	2.2
5	YOL062C	APM4	2.2
6	YPR023C	EAF3	2.2
7	YHR115C	DMA1	2.2
8	YDR261C	EXG2	2.1
9	YDL175C	AIR2	2.1
10	YJR046W	TAH11	2.1
11	YOR329C	SCD5	2.1
12	YOR197W	MCA1	2.1
13	YOR299W	BUD7	2.1
14	YNL091W	NST1	2.1
15	YOR138C	RUP1	2.1
16	YOL060C	MAM3	2.1
17	YNL189W	SRP1	2.1
18	YOR132W	VPS17	2.1
19	YOL001W	PHO80	2.1
20	YOR260W	GCD1	2.1
21	YOR023C	AHC1	2.1
22	YPR086W	SUA7	2.1
23	YOR227W	HER1	2.1
24	YOR033C	EXO1	2.1
25	YOR035C	SHE4	2.1
26	YPL224C	MMT2	2.1
27	YDL080C	THI3	2.1
28	YBR125C	PTC4	2.1
29	YIL143C	SSL2	2.1
30	YNL049C	SFB2	2.1
31	YKR072C	SIS2	2.1
32	YOR275C	RIM20	2.1
33	YOR370C	MRS6	2.1
34	YOR229W	WTM2	2.1
35	YDL134C	PPH21	2.1
36	YOR171C	LCB4	2.1
37	YDR477W	SNF1	2.1
38	YPR040W	TIP41	2.0
39	YNR047W	FPK1	2.0
40	YJL093C	TOK1	2.0
41	YOR070C	GYP1	2.0
42	YBR260C	RGD1	2.0
43	YKR048C	NAP1	2.0
44	YOR324C	FRT1	2.0
45	YPR075C	OPY2	2.0
46	YPL140C	MKK2	2.0
47	YNL042W	BOP3	2.0
48	YOR322C	LDB19	2.0
49	YLR005W	SSL1	2.0
50	YOL068C	HST1	2.0
51	YPL259C	APM1	2.0
52	YPL214C	THI6	2.0
53	YOL025W	LAG2	2.0
54	YLL018C	DPS1	2.0
55	YKR050W	TRK2	2.0
56	YAL034C	FUN19	2.0
57	YOR162C	YRR1	2.0
58	YDR422C	SIP1	2.0
59	YMR296C	LCB1	2.0
60	YER017C	AFG3	2.0
61	YMR301C	ATM1	2.0
62	YPL152W	RRD2	2.0
63	YNL316C	PHA2	2.0
64	YDR143C	SAN1	2.0
65	YIL036W	CST6	2.0
66	YHR205W	SCH9	2.0
67	YPL125W	KAP120	2.0
68	YLR427W	MAG2	2.0
69	YNR039C	ZRG17	2.0
70	YOR371C	GPB1	2.0
71	YMR080C	NAM7	2.0
72	YOL130W	ALR1	2.0
73	YKL025C	PAN3	2.0
74	YML051W	GAL80	2.0
75	YMR275C	BUL1	2.0
76	YNL161W	CBK1	2.0
77	YNL085W	MKT1	2.0
78	YNL048W	ALG11	2.0
79	YDR409W	SIZ1	2.0
80	YHR074W	QNS1	2.0
81	YKL068W	NUP100	2.0
82	YMR171C	EAR1	2.0
83	YKL125W	RRN3	2.0
84	YNL236W	SIN4	2.0
85	YDL203C	ACK1	2.0
86	YOR198C	BFR1	2.0
87	YNL154C	YCK2	2.0
88	YIL046W	MET30	2.0
89	YPL120W	VPS30	2.0
90	YOL063C	CRT10	2.0
91	YLR373C	VID22	2.0
92	YMR064W	AEP1	2.0
93	YOR141C	ARP8	2.0
94	YNR006W	VPS27	1.9
95	YAL043C	PTA1	1.9
96	YNL287W	SEC21	1.9
97	YOR209C	NPT1	1.9
98	YPL219W	PCL8	1.9
99	YOL138C	RTC1	1.9
100	YOR034C	AKR2	1.9
101	YOL051W	GAL11	1.9
102	YDL088C	ASM4	1.9
103	YLR403W	SFP1	1.9
104	YOR002W	ALG6	1.9
105	YGR193C	PDX1	1.9
106	YOR233W	KIN4	1.9
107	YOR098C	NUP1	1.9
108	YPL122C	TFB2	1.9
109	YGL003C	CDH1	1.9
110	YDR173C	ARG82	1.9
111	YNL322C	KRE1	1.9
112	YPL179W	PPQ1	1.9
113	YNL238W	KEX2	1.9
114	YBL101C	ECM21	1.9
115	YOL045W	PSK2	1.9
116	YNL047C	SLM2	1.9
117	YNL298W	CLA4	1.9
118	YOR085W	OST3	1.9
119	YFR029W	PTR3	1.9
120	YDR320C	SWA2	1.9
121	YPL084W	BRO1	1.9
122	YNL251C	NRD1	1.9
123	YFR051C	RET2	1.9
124	YKL135C	APL2	1.9
125	YOL044W	PEX15	1.9
126	YFL009W	CDC4	1.9
127	YNL183C	NPR1	1.9
128	YNL076W	MKS1	1.9
129	YDR481C	PHO8	1.9
130	YKL176C	LST4	1.9
131	YCR048W	ARE1	1.9
132	YPR025C	CCL1	1.9
133	YNL123W	NMA111	1.9
134	YOL100W	PKH2	1.9
135	YLR277C	YSH1	1.9
136	YGL023C	PIB2	1.9
137	YNL116W	DMA2	1.9
138	YNL261W	ORC5	1.9
139	YNL074C	MLF3	1.9
140	YOL013C	HRD1	1.9
141	YGR218W	CRM1	1.9
142	YOR207C	RET1	1.9
143	YDR169C	STB3	1.9
144	YNR015W	SMM1	1.9
145	YMR277W	FCP1	1.9
146	YKL020C	SPT23	1.9
147	YLR371W	ROM2	1.9
148	YPL151C	PRP46	1.9
149	YBL105C	PKC1	1.9
150	YIL146C	ATG32	1.9
151	YPL075W	GCR1	1.9
152	YNL240C	NAR1	1.9
153	YDR206W	EBS1	1.9
154	YHR135C	YCK1	1.9
155	YFR022W	ROG3	1.9
156	YLR429W	CRN1	1.9
157	YGR178C	PBP1	1.9
158	YML016C	PPZ1	1.9
159	YNL023C	FAP1	1.9
160	YOL043C	NTG2	1.9
161	YOR127W	RGA1	1.9
162	YKL191W	DPH2	1.9
163	YNL264C	PDR17	1.9
164	YPL115C	BEM3	1.9
165	YLL029W	FRA1	1.9
166	YOR256C	TRE2	1.9
167	YOR037W	CYC2	1.9
168	YOR165W	SEY1	1.9
169	YDL141W	BPL1	1.9
170	YOR109W	INP53	1.9
171	YML013W	UBX2	1.9
172	YOR126C	IAH1	1.9
173	YDR350C	ATP22	1.9
174	YHR194W	MDM31	1.9
175	YOR001W	RRP6	1.9
176	YPR029C	APL4	1.9
177	YOR048C	RAT1	1.9
178	YOR211C	MGM1	1.9
179	YGL172W	NUP49	1.9
180	YOR149C	SMP3	1.9
181	YJR049C	UTR1	1.9
182	YIL135C	VHS2	1.9
183	YPR181C	SEC23	1.9
184	YDR349C	YPS7	1.9
185	YMR165C	PAH1	1.9
186	YPL202C	AFT2	1.9
187	YMR135C	GID8	1.9
188	YGL073W	HSF1	1.9
189	YLR362W	STE11	1.9
190	YPR041W	TIF5	1.9
191	YJL128C	PBS2	1.9
192	YNL103W	MET4	1.9
193	YOR380W	RDR1	1.9
194	YLR116W	MSL5	1.9
195	YML076C	WAR1	1.9
196	YPR024W	YME1	1.9
197	YOR026W	BUB3	1.9
198	YJL056C	ZAP1	1.9
199	YGL056C	SDS23	1.9
200	YOR067C	ALG8	1.9
201	YKL211C	TRP3	1.9
202	YLR219W	MSC3	1.9
203	YPL228W	CET1	1.9
204	YOL061W	PRS5	1.9
205	YNL127W	FAR11	1.9
206	YGL167C	PMR1	1.9
207	YDR293C	SSD1	1.9
208	YCR053W	THR4	1.9
209	YIL109C	SEC24	1.9
210	YFR025C	HIS2	1.9
211	YPR171W	BSP1	1.9
212	YBL076C	ILS1	1.9
213	YOL066C	RIB2	1.9
214	YKL032C	IXR1	1.9
215	YER115C	SPR6	1.9
216	YOL116W	MSN1	1.9
217	YGL163C	RAD54	1.9
218	YNL329C	PEX6	1.9
219	YBR058C	UBP14	1.9
220	YPL128C	TBF1	1.9
221	YDL230W	PTP1	1.9
222	YPL015C	HST2	1.9
223	YOR271C	FSF1	1.9
224	YCL008C	STP22	1.9
225	YOR014W	RTS1	1.9
226	YPL049C	DIG1	1.9
227	YNL317W	PFS2	1.9
228	YDR145W	TAF12	1.9
229	YOR353C	SOG2	1.9
230	YLR335W	NUP2	1.9
231	YOR213C	SAS5	1.9
232	YGL017W	ATE1	1.9
233	YHR204W	MNL1	1.9
234	YDR189W	SLY1	1.9
235	YMR176W	ECM5	1.9
236	YMR139W	RIM11	1.9
237	YOR099W	KTR1	1.9
238	YDL243C	AAD4	1.9
239	YLL019C	KNS1	1.9
240	YOR039W	CKB2	1.9
241	YML031W	NDC1	1.9
242	YAL002W	VPS8	1.9
243	YML049C	RSE1	1.9
244	YDR151C	CTH1	1.9
245	YOR160W	MTR10	1.9
246	YOR239W	ABP140	1.9
247	YGR166W	TRS65	1.9
248	YML127W	RSC9	1.9
249	YCL039W	GID7	1.9
250	YHR161C	YAP1801	1.9
251	YNR011C	PRP2	1.9
252	YPL258C	THI21	1.9
253	YGL219C	MDM34	1.9
254	YGL124C	MON1	1.9
255	YNL167C	SKO1	1.9
256	YLR240W	VPS34	1.9
257	YPL089C	RLM1	1.9
258	YLR380W	CSR1	1.9
259	YMR223W	UBP8	1.9
260	YDL047W	SIT4	1.9
261	YOL004W	SIN3	1.9
262	YDL143W	CCT4	1.9
263	YLR189C	ATG26	1.9
264	YOL021C	DIS3	1.9
265	YPL105C	SYH1	1.9
266	YLR410W	VIP1	1.9
267	YOR008C	SLG1	1.9
268	YLR248W	RCK2	1.8
269	YOR377W	ATF1	1.8
270	YOR129C	AFI1	1.8
271	YOR208W	PTP2	1.8
272	YCR052W	RSC6	1.8
273	YOR361C	PRT1	1.8
274	YDR122W	KIN1	1.8
275	YLR144C	ACF2	1.8
276	YBR199W	KTR4	1.8
277	YLR396C	VPS33	1.8
278	YDR264C	AKR1	1.8
279	YGR197C	SNG1	1.8
280	YPL169C	MEX67	1.8
281	YER089C	PTC2	1.8
282	YDL013W	SLX5	1.8
283	YLR019W	PSR2	1.8
284	YOR219C	STE13	1.8
285	YGR216C	GPI1	1.8
286	YOR116C	RPO31	1.8
287	YKL184W	SPE1	1.8
288	YOR323C	PRO2	1.8
289	YKL038W	RGT1	1.8
290	YDL108W	KIN28	1.8
291	YOL115W	PAP2	1.8
292	YCL044C	MGR1	1.8
293	YLR375W	STP3	1.8
294	YDR524C	AGE1	1.8
295	YGR003W	CUL3	1.8
296	YGR270W	YTA7	1.8
297	YER165W	PAB1	1.8
298	YGL049C	TIF4632	1.8
299	YMR092C	AIP1	1.8
300	YOR057W	SGT1	1.8
301	YPR079W	MRL1	1.8
302	YDR490C	PKH1	1.8
303	YOR217W	RFC1	1.8
304	YAL041W	CDC24	1.8
305	YDR463W	STP1	1.8
306	YOR092W	ECM3	1.8
307	YLR203C	MSS51	1.8
308	YOR181W	LAS17	1.8
309	YKL139W	CTK1	1.8
310	YBR263W	SHM1	1.8
311	YBR274W	CHK1	1.8
312	YER169W	RPH1	1.8
313	YLR397C	AFG2	1.8
314	YCL038C	ATG22	1.8
315	YDL040C	NAT1	1.8
316	YKL212W	SAC1	1.8
317	YBL058W	SHP1	1.8
318	YDR392W	SPT3	1.8
319	YJL155C	FBP26	1.8
320	YDR294C	DPL1	1.8
321	YJL101C	GSH1	1.8
322	YHR072W	ERG7	1.8
323	YBR255W	MTC4	1.8
324	YMR246W	FAA4	1.8
325	YDL226C	GCS1	1.8
326	YLR244C	MAP1	1.8
327	YPL164C	MLH3	1.8
328	YOR355W	GDS1	1.8
329	YMR308C	PSE1	1.8
330	YPL215W	CBP3	1.8
331	YMR140W	SIP5	1.8
332	YBR059C	AKL1	1.8
333	YER136W	GDI1	1.8
334	YNL125C	ESBP6	1.8
335	YGR241C	YAP1802	1.8
336	YCR033W	SNT1	1.8
337	YGL180W	ATG1	1.8
338	YKL146W	AVT3	1.8
339	YOL072W	THP1	1.8
340	YJL041W	NSP1	1.8
341	YLR328W	NMA1	1.8
