SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: DGA1

Rank	Gene	Common	Score
Q	YOR245C	DGA1	
1	YMR110C	HFD1	3.4
2	YJL155C	FBP26	3.2
3	YPL123C	RNY1	3.2
4	YOR036W	PEP12	3.2
5	YPR026W	ATH1	3.2
6	YLR270W	DCS1	3.1
7	YOR173W	DCS2	3.1
8	YDR001C	NTH1	3.1
9	YBL078C	ATG8	3.1
10	YKL065C	YET1	3.1
11	YLR251W	SYM1	3.1
12	YPL087W	YDC1	3.1
13	YML004C	GLO1	3.1
14	YIL097W	FYV10	3.1
15	YPL203W	TPK2	3.0
16	YML128C	MSC1	3.0
17	YDR358W	GGA1	3.0
18	YMR139W	RIM11	3.0
19	YNR007C	ATG3	3.0
20	YDL234C	GYP7	3.0
21	YEL012W	UBC8	3.0
22	YDR003W	RCR2	3.0
23	YBR280C	SAF1	3.0
24	YNL156C	NSG2	3.0
25	YOR220W	RCN2	3.0
26	YKL150W	MCR1	3.0
27	YLR178C	TFS1	3.0
28	YJL057C	IKS1	3.0
29	YMR271C	URA10	2.9
30	YDL091C	UBX3	2.9
31	YBR169C	SSE2	2.9
32	YMR041C	ARA2	2.9
33	YOR120W	GCY1	2.9
34	YBR006W	UGA2	2.9
35	YGL156W	AMS1	2.9
36	YKL034W	TUL1	2.9
37	YGL227W	VID30	2.9
38	YIL136W	OM45	2.9
39	YBL049W	MOH1	2.9
40	YMR020W	FMS1	2.9
41	YDR059C	UBC5	2.9
42	YLR080W	EMP46	2.9
43	YOL082W	ATG19	2.9
44	YBR269C	SDH8	2.9
45	YDL169C	UGX2	2.9
46	YPL196W	OXR1	2.9
47	YGL121C	GPG1	2.9
48	YKL142W	MRP8	2.9
49	YDR436W	PPZ2	2.9
50	YMR250W	GAD1	2.8
51	YPL186C	UIP4	2.8
52	YOR054C	VHS3	2.8
53	YBL064C	PRX1	2.8
54	YAL008W	FUN14	2.8
55	YCL052C	PBN1	2.8
56	YOL084W	PHM7	2.8
57	YPL206C	PGC1	2.8
58	YGL248W	PDE1	2.8
59	YAR027W	UIP3	2.8
60	YDR329C	PEX3	2.8
61	YER101C	AST2	2.8
62	YMR302C	YME2	2.8
63	YOL013C	HRD1	2.8
64	YHR104W	GRE3	2.8
65	YLL019C	KNS1	2.8
66	YMR169C	ALD3	2.8
67	YDR313C	PIB1	2.8
68	YIL107C	PFK26	2.8
69	YKR049C	FMP46	2.8
70	YBR183W	YPC1	2.8
71	YJL036W	SNX4	2.8
72	YJL164C	TPK1	2.8
73	YAL017W	PSK1	2.8
74	YEL011W	GLC3	2.8
75	YNL223W	ATG4	2.8
76	YPR155C	NCA2	2.8
77	YKR076W	ECM4	2.8
78	YPL152W	RRD2	2.8
79	YKL124W	SSH4	2.8
80	YHR171W	ATG7	2.8
81	YKL094W	YJU3	2.8
82	YOR035C	SHE4	2.8
83	YHR096C	HXT5	2.8
84	YKL067W	YNK1	2.8
85	YMR170C	ALD2	2.8
86	YDR202C	RAV2	2.8
87	YGR043C	NQM1	2.8
88	YER162C	RAD4	2.8
89	YLL039C	UBI4	2.8
90	YCL035C	GRX1	2.8
91	YPL100W	ATG21	2.8
92	YDR204W	COQ4	2.8
93	YDR070C	FMP16	2.8
94	YEL060C	PRB1	2.8
95	YDR479C	PEX29	2.8
96	YDL113C	ATG20	2.8
97	YFL030W	AGX1	2.7
98	YBR026C	ETR1	2.7
99	YBR199W	KTR4	2.7
100	YAL034C	FUN19	2.7
101	YBR001C	NTH2	2.7
102	YNL159C	ASI2	2.7
103	YMR191W	SPG5	2.7
104	YGL180W	ATG1	2.7
105	YJL048C	UBX6	2.7
106	YOL025W	LAG2	2.7
107	YGR248W	SOL4	2.7
108	YDR513W	GRX2	2.7
109	YBR214W	SDS24	2.7
110	YJL103C	GSM1	2.7
111	YJL066C	MPM1	2.7
112	YLR093C	NYV1	2.7
113	YIL017C	VID28	2.7
114	YGL053W	PRM8	2.7
115	YMR105C	PGM2	2.7
116	YLL026W	HSP104	2.7
117	YLR189C	ATG26	2.7
118	YJL141C	YAK1	2.7
119	YML070W	DAK1	2.7
120	YGR019W	UGA1	2.7
121	YOL032W	OPI10	2.7
122	YKL026C	GPX1	2.7
123	YLR258W	GSY2	2.7
124	YPL222W	FMP40	2.7
125	YOR031W	CRS5	2.7
126	YPL003W	ULA1	2.7
127	YDL110C	TMA17	2.7
128	YDL215C	GDH2	2.7
129	YER142C	MAG1	2.7
130	YML042W	CAT2	2.7
131	YNL008C	ASI3	2.7
132	YBR072W	HSP26	2.7
133	YDR504C	SPG3	2.7
134	YDR058C	TGL2	2.7
135	YER053C	PIC2	2.7
136	YML100W	TSL1	2.7
137	YOL052C-A	DDR2	2.7
138	YGR008C	STF2	2.7
139	YIR038C	GTT1	2.7
140	YDR171W	HSP42	2.7
141	YMR135C	GID8	2.7
142	YDR074W	TPS2	2.7
143	YBR230C	OM14	2.7
144	YNL125C	ESBP6	2.7
145	YOR185C	GSP2	2.7
146	YDL115C	IWR1	2.7
147	YIL045W	PIG2	2.7
148	YKR009C	FOX2	2.7
149	YOR052C	TMC1	2.7
150	YDR258C	HSP78	2.7
151	YOL117W	RRI2	2.7
152	YGR088W	CTT1	2.7
153	YHR016C	YSC84	2.7
154	YOR374W	ALD4	2.7
155	YCR011C	ADP1	2.7
156	YDR255C	RMD5	2.7
157	YOR244W	ESA1	2.6
158	YMR053C	STB2	2.6
159	YKR014C	YPT52	2.6
160	YJL161W	FMP33	2.6
161	YKL168C	KKQ8	2.6
162	YGL006W	PMC1	2.6
163	YPL214C	THI6	2.6
164	YDL149W	ATG9	2.6
165	YNL274C	GOR1	2.6
166	YOR227W	HER1	2.6
167	YGR141W	VPS62	2.6
168	YKL091C	YKL091C	2.6
169	YPL154C	PEP4	2.6
170	YKL121W	DGR2	2.6
171	YPR184W	GDB1	2.6
172	YER035W	EDC2	2.6
173	YLR327C	TMA10	2.6
174	YMR174C	PAI3	2.6
175	YJL094C	KHA1	2.6
176	YNL237W	YTP1	2.6
177	YPR151C	SUE1	2.6
178	YER150W	SPI1	2.6
179	YPL230W	USV1	2.6
180	YDL021W	GPM2	2.6
181	YDR287W	INM2	2.6
182	YJL053W	PEP8	2.6
183	YDL142C	CRD1	2.6
184	YDR272W	GLO2	2.6
185	YCL038C	ATG22	2.6
186	YPR023C	EAF3	2.6
187	YHR106W	TRR2	2.6
188	YOL129W	VPS68	2.6
189	YDR178W	SDH4	2.6
190	YDL085W	NDE2	2.6
191	YKL193C	SDS22	2.6
192	YKR046C	PLN1	2.6
193	YLL041C	SDH2	2.6
194	YOL044W	PEX15	2.6
195	YMR311C	GLC8	2.6
196	YIL146C	ATG32	2.6
197	YDL045C	FAD1	2.6
198	YGR046W	TAM41	2.6
199	YDR231C	COX20	2.6
200	YMR197C	VTI1	2.6
201	YHR028C	DAP2	2.6
202	YDL072C	YET3	2.6
203	YEL039C	CYC7	2.6
204	YGR070W	ROM1	2.6
205	YIL101C	XBP1	2.6
206	YLR142W	PUT1	2.6
207	YML057W	CMP2	2.6
208	YBR126C	TPS1	2.6
209	YGL037C	PNC1	2.6
210	YNL093W	YPT53	2.6
211	YIL155C	GUT2	2.6
212	YBR046C	ZTA1	2.6
213	YCL040W	GLK1	2.6
214	YDL204W	RTN2	2.6
215	YHR075C	PPE1	2.6
216	YOR003W	YSP3	2.6
217	YDR069C	DOA4	2.6
218	YOR275C	RIM20	2.6
219	YLR201C	COQ9	2.6
220	YLR362W	STE11	2.6
221	YNL293W	MSB3	2.6
222	YML054C	CYB2	2.6
223	YNR002C	ATO2	2.6
224	YIL007C	NAS2	2.6
225	YHR195W	NVJ1	2.6
226	YER141W	COX15	2.6
227	YMR304W	UBP15	2.6
228	YCR069W	CPR4	2.6
229	YPL004C	LSP1	2.6
230	YKL064W	MNR2	2.6
231	YDR284C	DPP1	2.6
232	YOL065C	INP54	2.6
233	YLR219W	MSC3	2.6
234	YJL023C	PET130	2.6
235	YDR293C	SSD1	2.6
236	YJR036C	HUL4	2.6
237	YBR036C	CSG2	2.6
238	YPL054W	LEE1	2.5
239	YDR085C	AFR1	2.5
240	YKL188C	PXA2	2.5
241	YHR160C	PEX18	2.5
242	YBR149W	ARA1	2.5
243	YOR219C	STE13	2.5
244	YOR137C	SIA1	2.5
245	YLR097C	HRT3	2.5
246	YMR107W	SPG4	2.5
247	YOL016C	CMK2	2.5
248	YLR267W	BOP2	2.5
249	YDL020C	RPN4	2.5
250	YKL093W	MBR1	2.5
251	YPR061C	JID1	2.5
252	YMR297W	PRC1	2.5
253	YGR143W	SKN1	2.5
254	YGL104C	VPS73	2.5
255	YDR330W	UBX5	2.5
256	YER054C	GIP2	2.5
257	YEL005C	VAB2	2.5
258	YHL021C	AIM17	2.5
259	YHR002W	LEU5	2.5
260	YPR030W	CSR2	2.5
261	YML120C	NDI1	2.5
262	YOL151W	GRE2	2.5
263	YOR089C	VPS21	2.5
264	YLR151C	PCD1	2.5
265	YKR067W	GPT2	2.5
266	YCR079W	PTC6	2.5
267	YGR028W	MSP1	2.5
268	YPL119C	DBP1	2.5
269	YER020W	GPA2	2.5
270	YHR161C	YAP1801	2.5
271	YDR530C	APA2	2.5
272	YPL006W	NCR1	2.5
273	YDR505C	PSP1	2.5
274	YDL024C	DIA3	2.5
275	YPL060W	MFM1	2.5
276	YKL039W	PTM1	2.5
277	YPL224C	MMT2	2.5
278	YNR001C	CIT1	2.5
279	YDR350C	ATP22	2.5
280	YDL223C	HBT1	2.5
281	YKR058W	GLG1	2.5
282	YAL061W	BDH2	2.5
283	YOL096C	COQ3	2.5
284	YMR097C	MTG1	2.5
285	YGL096W	TOS8	2.5
