SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PAC1

Rank	Gene	Common	Score
Q	YOR269W	PAC1	
1	YOL061W	PRS5	2.6
2	YMR093W	UTP15	2.6
3	YOR359W	VTS1	2.5
4	YPL183C	RTT10	2.5
5	YBL068W	PRS4	2.5
6	YNL119W	NCS2	2.5
7	YNR012W	URK1	2.5
8	YLR409C	UTP21	2.4
9	YOR243C	PUS7	2.4
10	YOR311C	DGK1	2.4
11	YKR026C	GCN3	2.4
12	YMR239C	RNT1	2.4
13	YNR038W	DBP6	2.4
14	YOR272W	YTM1	2.4
15	YPR048W	TAH18	2.4
16	YPL226W	NEW1	2.4
17	YPR137W	RRP9	2.4
18	YLL035W	GRC3	2.4
19	YPR110C	RPC40	2.4
20	YLR083C	EMP70	2.4
21	YPR010C	RPA135	2.4
22	YGR200C	ELP2	2.4
23	YDL111C	RRP42	2.4
24	YNL062C	GCD10	2.4
25	YPR144C	NOC4	2.4
26	YNL256W	FOL1	2.4
27	YOL080C	REX4	2.4
28	YDR091C	RLI1	2.4
29	YNL141W	AAH1	2.4
30	YIL079C	AIR1	2.4
31	YDR414C	ERD1	2.4
32	YJL069C	UTP18	2.4
33	YOR360C	PDE2	2.4
34	YKL106W	AAT1	2.4
35	YOR143C	THI80	2.3
36	YNR053C	NOG2	2.3
37	YIL104C	SHQ1	2.3
38	YOL097C	WRS1	2.3
39	YNR013C	PHO91	2.3
40	YHR133C	NSG1	2.3
41	YOR361C	PRT1	2.3
42	YGR123C	PPT1	2.3
43	YLR397C	AFG2	2.3
44	YNL248C	RPA49	2.3
45	YLL011W	SOF1	2.3
46	YOL115W	PAP2	2.3
47	YOR067C	ALG8	2.3
48	YLR146C	SPE4	2.3
49	YPL211W	NIP7	2.3
50	YOR206W	NOC2	2.3
51	YKR024C	DBP7	2.3
52	YGR128C	UTP8	2.3
53	YGL016W	KAP122	2.3
54	YNR027W	BUD17	2.3
55	YBR061C	TRM7	2.3
56	YKL078W	DHR2	2.3
57	YOR340C	RPA43	2.3
58	YLR405W	DUS4	2.3
59	YKL009W	MRT4	2.3
60	YEL029C	BUD16	2.3
61	YBR104W	YMC2	2.3
62	YJL198W	PHO90	2.3
63	YCR057C	PWP2	2.3
64	YHR196W	UTP9	2.3
65	YMR049C	ERB1	2.3
66	YHR169W	DBP8	2.3
67	YGL225W	VRG4	2.3
68	YHR197W	RIX1	2.3
69	YPL244C	HUT1	2.3
70	YBL024W	NCL1	2.3
71	YBL039C	URA7	2.3
72	YDL167C	NRP1	2.3
73	YHR170W	NMD3	2.3
74	YIR012W	SQT1	2.3
75	YNL182C	IPI3	2.3
76	YDR119W	VBA4	2.3
77	YBR002C	RER2	2.3
78	YDR449C	UTP6	2.3
79	YHR062C	RPP1	2.3
80	YNL132W	KRE33	2.3
81	YDL201W	TRM8	2.3
82	YPL030W	TRM44	2.3
83	YAL059W	ECM1	2.3
84	YOR260W	GCD1	2.3
85	YJR143C	PMT4	2.3
86	YHR066W	SSF1	2.3
87	YER126C	NSA2	2.3
88	YOR297C	TIM18	2.2
89	YLR316C	TAD3	2.2
90	YHR052W	CIC1	2.2
91	YOR241W	MET7	2.2
92	YLR291C	GCD7	2.2
93	YOR271C	FSF1	2.2
94	YGL246C	RAI1	2.2
95	YMR243C	ZRC1	2.2
96	YPL212C	PUS1	2.2
97	YDR165W	TRM82	2.2
98	YKR092C	SRP40	2.2
99	YCR072C	RSA4	2.2
100	YNL123W	NMA111	2.2
101	YIR026C	YVH1	2.2
102	YMR290C	HAS1	2.2
103	YMR309C	NIP1	2.2
104	YKL191W	DPH2	2.2
105	YMR212C	EFR3	2.2
106	YBR187W	GDT1	2.2
107	YDR398W	UTP5	2.2
108	YOR301W	RAX1	2.2
109	YDR321W	ASP1	2.2
110	YOR201C	MRM1	2.2
111	YMR042W	ARG80	2.2
112	YPR112C	MRD1	2.2
113	YJR132W	NMD5	2.2
114	YJL109C	UTP10	2.2
115	YLR276C	DBP9	2.2
116	YOR337W	TEA1	2.2
117	YMR123W	PKR1	2.2
118	YGL169W	SUA5	2.2
119	YGL099W	LSG1	2.2
120	YHR148W	IMP3	2.2
121	YGL120C	PRP43	2.2
122	YPL086C	ELP3	2.2
123	YNL153C	GIM3	2.2
124	YDL236W	PHO13	2.2
125	YFL001W	DEG1	2.2
126	YER006W	NUG1	2.2
127	YKL205W	LOS1	2.2
128	YOR233W	KIN4	2.2
129	YOL010W	RCL1	2.2
130	YDR087C	RRP1	2.2
131	YBR175W	SWD3	2.2
132	YGR078C	PAC10	2.2
133	YNL291C	MID1	2.2
134	YDR184C	ATC1	2.2
135	YER127W	LCP5	2.2
136	YML080W	DUS1	2.2
137	YJL125C	GCD14	2.2
138	YNL292W	PUS4	2.2
139	YML019W	OST6	2.2
140	YGR264C	MES1	2.2
141	YHR128W	FUR1	2.2
142	YLR129W	DIP2	2.2
143	YIL020C	HIS6	2.2
144	YHR069C	RRP4	2.2
145	YNR026C	SEC12	2.2
146	YIL114C	POR2	2.2
147	YGR159C	NSR1	2.2
148	YDL014W	NOP1	2.2
149	YDR331W	GPI8	2.2
150	YCR035C	RRP43	2.2
151	YOL128C	YGK3	2.2
152	YHR144C	DCD1	2.2
153	YOR047C	STD1	2.2
154	YPL254W	HFI1	2.2
155	YLR222C	UTP13	2.2
156	YJL033W	HCA4	2.2
157	YBR030W	RKM3	2.2
158	YER049W	TPA1	2.2
159	YLR226W	BUR2	2.2
160	YHR065C	RRP3	2.2
161	YML023C	NSE5	2.2
162	YOR079C	ATX2	2.2
163	YNL175C	NOP13	2.2
164	YHR041C	SRB2	2.2
165	YMR177W	MMT1	2.2
166	YJL025W	RRN7	2.2
167	YHR085W	IPI1	2.2
168	YDR245W	MNN10	2.2
169	YHL011C	PRS3	2.2
170	YOR310C	NOP58	2.2
171	YNL075W	IMP4	2.2
172	YNL066W	SUN4	2.2
173	YLL034C	RIX7	2.2
174	YOL020W	TAT2	2.2
175	YGR177C	ATF2	2.2
176	YOL052C	SPE2	2.2
177	YDR083W	RRP8	2.2
178	YOL125W	TRM13	2.2
179	YOR236W	DFR1	2.2
180	YGL155W	CDC43	2.2
181	YBR034C	HMT1	2.2
182	YML038C	YMD8	2.2
183	YOL093W	TRM10	2.2
184	YOR108W	LEU9	2.2
185	YGR158C	MTR3	2.2
186	YOR004W	UTP23	2.2
187	YNL163C	RIA1	2.2
188	YLR175W	CBF5	2.2
189	YBL069W	AST1	2.2
190	YPL126W	NAN1	2.2
191	YOR038C	HIR2	2.2
192	YLR307W	CDA1	2.2
193	YIL085C	KTR7	2.2
194	YLR215C	CDC123	2.2
195	YOL021C	DIS3	2.2
196	YML031W	NDC1	2.2
197	YJR041C	URB2	2.1
198	YJL183W	MNN11	2.1
199	YOL137W	BSC6	2.1
200	YLR264W	RPS28B	2.1
201	YML093W	UTP14	2.1
202	YHR031C	RRM3	2.1
203	YDR075W	PPH3	2.1
204	YPL175W	SPT14	2.1
205	YDR361C	BCP1	2.1
206	YPL012W	RRP12	2.1
207	YDR395W	SXM1	2.1
208	YLR009W	RLP24	2.1
209	YKR060W	UTP30	2.1
210	YJR063W	RPA12	2.1
211	YIR021W	MRS1	2.1
212	YPL093W	NOG1	2.1
213	YCR044C	PER1	2.1
214	YMR274C	RCE1	2.1
215	YDR465C	RMT2	2.1
216	YKL176C	LST4	2.1
217	YPL043W	NOP4	2.1
218	YOL144W	NOP8	2.1
219	YHL029C	OCA5	2.1
220	YDR021W	FAL1	2.1
221	YDR410C	STE14	2.1
222	YBR153W	RIB7	2.1
223	YNL124W	NAF1	2.1
224	YPR119W	CLB2	2.1
225	YAR002W	NUP60	2.1
226	YMR128W	ECM16	2.1
227	YDR101C	ARX1	2.1
228	YLR060W	FRS1	2.1
