SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RDL2

Rank	Gene	Common	Score
Q	YOR286W	RDL2	
1	YKR085C	MRPL20	3.1
2	YBR268W	MRPL37	3.1
3	YBR282W	MRPL27	3.1
4	YOR150W	MRPL23	3.1
5	YOR045W	TOM6	3.0
6	YGL068W	MNP1	3.0
7	YOR020C	HSP10	3.0
8	YOR187W	TUF1	3.0
9	YPR100W	MRPL51	2.9
10	YKL138C	MRPL31	2.9
11	YML009C	MRPL39	2.9
12	YKL003C	MRP17	2.9
13	YPR166C	MRP2	2.9
14	YJL096W	MRPL49	2.9
15	YMR286W	MRPL33	2.9
16	YMR158W	MRPS8	2.9
17	YDR237W	MRPL7	2.8
18	YIL070C	MAM33	2.8
19	YHR147C	MRPL6	2.8
20	YJL104W	PAM16	2.8
21	YJR101W	RSM26	2.8
22	YNL005C	MRP7	2.8
23	YNL306W	MRPS18	2.8
24	YJL063C	MRPL8	2.8
25	YCR003W	MRPL32	2.8
26	YGR181W	TIM13	2.8
27	YBR122C	MRPL36	2.8
28	YKR006C	MRPL13	2.7
29	YNL070W	TOM7	2.7
30	YMR188C	MRPS17	2.7
31	YDR041W	RSM10	2.7
32	YBR146W	MRPS9	2.7
33	YNL315C	ATP11	2.7
34	YNR036C	MRPS12	2.7
35	YLL009C	COX17	2.7
36	YDR511W	SDH7	2.7
37	YNL185C	MRPL19	2.7
38	YKL137W	CMC1	2.7
39	YNR022C	MRPL50	2.7
40	YGR215W	RSM27	2.7
41	YNL081C	SWS2	2.7
42	YDR493W	MZM1	2.7
43	YCR071C	IMG2	2.7
44	YMR157C	AIM36	2.7
45	YDR322W	MRPL35	2.7
46	YMR193W	MRPL24	2.7
47	YPL059W	GRX5	2.7
48	YNL131W	TOM22	2.6
49	YNL284C	MRPL10	2.6
50	YJR034W	PET191	2.6
51	YDR116C	MRPL1	2.6
52	YNL177C	MRPL22	2.6
53	YOR158W	PET123	2.6
54	YKL167C	MRP49	2.6
55	YGR082W	TOM20	2.6
56	YLR204W	QRI5	2.6
57	YIL157C	COA1	2.5
58	YKL170W	MRPL38	2.5
59	YGR220C	MRPL9	2.5
60	YNL137C	NAM9	2.5
61	YBR185C	MBA1	2.5
62	YGR076C	MRPL25	2.5
63	YCR046C	IMG1	2.5
64	YOL012C	HTZ1	2.5
65	YMR024W	MRPL3	2.5
66	YBR262C	MIC12	2.5
67	YDL045W-A	MRP10	2.5
68	YPR133W-A	TOM5	2.5
69	YNR037C	RSM19	2.5
70	YIL098C	FMC1	2.5
71	YHR059W	FYV4	2.5
72	YGR165W	MRPS35	2.5
73	YPL173W	MRPL40	2.5
74	YEL050C	RML2	2.5
75	YBL090W	MRP21	2.5
76	YOR122C	PFY1	2.5
77	YOR232W	MGE1	2.4
78	YMR225C	MRPL44	2.4
79	YER050C	RSM18	2.4
80	YBL038W	MRPL16	2.4
81	YML025C	YML6	2.4
82	YML129C	COX14	2.4
83	YKL192C	ACP1	2.4
84	YKR065C	PAM17	2.4
85	YNL252C	MRPL17	2.4
86	YDR337W	MRPS28	2.4
87	YGR084C	MRP13	2.4
88	YJL180C	ATP12	2.4
89	YDR462W	MRPL28	2.4
90	YJL143W	TIM17	2.4
91	YJR133W	XPT1	2.4
92	YBR251W	MRPS5	2.4
93	YHR005C-A	TIM10	2.3
94	YDR296W	MHR1	2.3
95	YLR390W	ECM19	2.3
96	YDR347W	MRP1	2.3
97	YKL053C-A	MDM35	2.3
98	YDL202W	MRPL11	2.3
99	YBR120C	CBP6	2.3
100	YNL121C	TOM70	2.3
101	YLR008C	PAM18	2.3
102	YPL118W	MRP51	2.3
103	YOR103C	OST2	2.3
104	YJR113C	RSM7	2.3
105	YPL215W	CBP3	2.3
106	YER182W	FMP10	2.3
107	YHR121W	LSM12	2.3
108	YLR043C	TRX1	2.3
109	YER058W	PET117	2.3
110	YPR020W	ATP20	2.3
111	YMR002W	MIX17	2.3
112	YJR135W-A	TIM8	2.3
113	YIL093C	RSM25	2.3
114	YPL183W-A	RTC6	2.3
115	YLR395C	COX8	2.2
116	YPL098C	MGR2	2.2
117	YMR267W	PPA2	2.2
118	YOR189W	IES4	2.2
119	YKL087C	CYT2	2.2
120	YDR298C	ATP5	2.2
121	YHR116W	COX23	2.2
122	YLR312W-A	MRPL15	2.2
123	YPR082C	DIB1	2.2
124	YMR071C	TVP18	2.2
125	YGL143C	MRF1	2.2
126	YDR175C	RSM24	2.2
127	YGL220W	BOL2	2.2
128	YOR253W	NAT5	2.2
129	YOR354C	MSC6	2.2
130	YPL013C	MRPS16	2.2
131	YDL008W	APC11	2.2
132	YIR021W	MRS1	2.2
133	YNL073W	MSK1	2.2
134	YLR229C	CDC42	2.2
135	YDR424C	DYN2	2.2
136	YPL132W	COX11	2.2
137	YHL004W	MRP4	2.2
138	YGR132C	PHB1	2.2
139	YMR203W	TOM40	2.2
140	YGR037C	ACB1	2.2
141	YDR316W	OMS1	2.2
142	YPL037C	EGD1	2.2
143	YLR069C	MEF1	2.2
144	YJR048W	CYC1	2.1
145	YML078W	CPR3	2.1
146	YLR439W	MRPL4	2.1
147	YGL226W	MTC3	2.1
148	YOL033W	MSE1	2.1
149	YJL173C	RFA3	2.1
150	YPL010W	RET3	2.1
151	YMR260C	TIF11	2.1
152	YLR295C	ATP14	2.1
153	YOR297C	TIM18	2.1
154	YDR308C	SRB7	2.1
155	YHR024C	MAS2	2.1
156	YBR037C	SCO1	2.1
157	YMR072W	ABF2	2.1
158	YGR231C	PHB2	2.1
159	YPL271W	ATP15	2.1
160	YPR062W	FCY1	2.1
161	YNL259C	ATX1	2.1
162	YJL003W	COX16	2.1
163	YDR454C	GUK1	2.1
164	YDL067C	COX9	2.1
165	YBR052C	RFS1	2.1
166	YLR038C	COX12	2.1
167	YDR375C	BCS1	2.1
168	YOR252W	TMA16	2.1
169	YHR181W	SVP26	2.1
170	YPL097W	MSY1	2.1
171	YMR256C	COX7	2.1
172	YOL005C	RPB11	2.1
173	YNR020C	ATP23	2.1
174	YDR079W	PET100	2.1
175	YGL040C	HEM2	2.1
176	YER146W	LSM5	2.1
177	YPR113W	PIS1	2.1
178	YNL244C	SUI1	2.1
179	YOR224C	RPB8	2.1
180	YPR028W	YOP1	2.1
181	YKL195W	MIA40	2.1
182	YOL143C	RIB4	2.1
183	YDR513W	GRX2	2.1
184	YOL071W	SDH5	2.1
185	YDR494W	RSM28	2.1
186	YOR142W	LSC1	2.1
187	YKL160W	ELF1	2.1
188	YDL232W	OST4	2.1
189	YBR111C	YSA1	2.1
190	YKL058W	TOA2	2.1
