SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: PMT3

Rank	Gene	Common	Score
Q	YOR321W	PMT3	
1	YDR518W	EUG1	3.3
2	YDL093W	PMT5	3.1
3	YOR099W	KTR1	3.1
4	YKL165C	MCD4	2.9
5	YDL095W	PMT1	2.8
6	YOR002W	ALG6	2.7
7	YAL023C	PMT2	2.6
8	YDR411C	DFM1	2.6
9	YOR288C	MPD1	2.6
10	YBR243C	ALG7	2.6
11	YJL091C	GWT1	2.6
12	YCR017C	CWH43	2.5
13	YOR011W	AUS1	2.5
14	YCL043C	PDI1	2.5
15	YGL027C	CWH41	2.5
16	YCR069W	CPR4	2.5
17	YGR284C	ERV29	2.5
18	YHR188C	GPI16	2.5
19	YCL057W	PRD1	2.5
20	YDR503C	LPP1	2.5
21	YLR188W	MDL1	2.5
22	YOR176W	HEM15	2.5
23	YJR143C	PMT4	2.5
24	YMR119W	ASI1	2.4
25	YDR400W	URH1	2.4
26	YJR001W	AVT1	2.4
27	YER003C	PMI40	2.4
28	YHR098C	SFB3	2.4
29	YOR320C	GNT1	2.4
30	YNR030W	ALG12	2.4
31	YMR054W	STV1	2.4
32	YNL263C	YIF1	2.4
33	YDR044W	HEM13	2.4
34	YDR284C	DPP1	2.4
35	YHR123W	EPT1	2.4
36	YAL007C	ERP2	2.4
37	YCR048W	ARE1	2.4
38	YJR040W	GEF1	2.4
39	YNL280C	ERG24	2.4
40	YOL090W	MSH2	2.4
41	YOR034C	AKR2	2.4
42	YOR085W	OST3	2.4
43	YLR378C	SEC61	2.3
44	YLL031C	GPI13	2.3
45	YGL126W	SCS3	2.3
46	YFR051C	RET2	2.3
47	YLR088W	GAA1	2.3
48	YKL034W	TUL1	2.3
49	YNL312W	RFA2	2.3
50	YDL193W	NUS1	2.3
51	YLR450W	HMG2	2.3
52	YJL062W	LAS21	2.3
53	YJL034W	KAR2	2.3
54	YOR336W	KRE5	2.3
55	YGR255C	COQ6	2.3
56	YEL031W	SPF1	2.3
57	YKL073W	LHS1	2.3
58	YOL013C	HRD1	2.3
59	YOL003C	PFA4	2.3
60	YGL022W	STT3	2.3
61	YGL200C	EMP24	2.3
62	YBR041W	FAT1	2.3
63	YDR434W	GPI17	2.3
64	YHR074W	QNS1	2.3
65	YGR199W	PMT6	2.3
66	YGL084C	GUP1	2.3
67	YER014W	HEM14	2.3
68	YJL002C	OST1	2.2
69	YIL109C	SEC24	2.2
70	YFR021W	ATG18	2.2
71	YLR207W	HRD3	2.2
72	YDR261C	EXG2	2.2
73	YNL291C	MID1	2.2
74	YJR117W	STE24	2.2
75	YIL123W	SIM1	2.2
76	YMR092C	AIP1	2.2
77	YMR149W	SWP1	2.2
78	YNL130C	CPT1	2.2
79	YDR517W	GRH1	2.2
80	YKL127W	PGM1	2.2
81	YKR053C	YSR3	2.2
82	YOR067C	ALG8	2.2
83	YJR151C	DAN4	2.2
84	YPL163C	SVS1	2.2
85	YEL047C	FRD1	2.2
86	YMR088C	VBA1	2.2
87	YHR050W	SMF2	2.2
88	YOR230W	WTM1	2.2
89	YNR013C	PHO91	2.2
90	YDL164C	CDC9	2.2
91	YOR175C	ALE1	2.2
92	YNL138W	SRV2	2.2
93	YJL073W	JEM1	2.2
94	YOR074C	CDC21	2.2
95	YKL126W	YPK1	2.2
96	YPR181C	SEC23	2.2
97	YIL140W	AXL2	2.2
98	YMR078C	CTF18	2.2
99	YDR519W	FPR2	2.2
100	YDL052C	SLC1	2.2
101	YNL169C	PSD1	2.2
102	YGL179C	TOS3	2.2
103	YHR039C	MSC7	2.2
104	YOR035C	SHE4	2.2
105	YIL066C	RNR3	2.2
106	YGL012W	ERG4	2.2
107	YPL094C	SEC62	2.2
108	YAR007C	RFA1	2.2
109	YFR024C-A	LSB3	2.2
110	YOR132W	VPS17	2.2
111	YCR011C	ADP1	2.2
112	YOL031C	SIL1	2.2
113	YFR042W	KEG1	2.2
114	YCL038C	ATG22	2.2
115	YNL321W	VNX1	2.2
116	YKR001C	VPS1	2.2
117	YMR214W	SCJ1	2.2
118	YOR250C	CLP1	2.2
119	YNL049C	SFB2	2.2
120	YCR075C	ERS1	2.2
121	YBL106C	SRO77	2.2
122	YDL103C	QRI1	2.2
123	YHR042W	NCP1	2.1
124	YPR135W	CTF4	2.1
125	YLR383W	SMC6	2.1
126	YBR229C	ROT2	2.1
127	YLR459W	GAB1	2.1
128	YLR461W	PAU4	2.1
129	YER095W	RAD51	2.1
130	YHR028C	DAP2	2.1
131	YGR189C	CRH1	2.1
132	YML085C	TUB1	2.1
133	YLR183C	TOS4	2.1
134	YNL287W	SEC21	2.1
135	YJL187C	SWE1	2.1
136	YKL140W	TGL1	2.1
137	YBR286W	APE3	2.1
138	YIL026C	IRR1	2.1
139	YCL044C	MGR1	2.1
140	YOR092W	ECM3	2.1
141	YPL006W	NCR1	2.1
142	YLR299W	ECM38	2.1
143	YDR084C	TVP23	2.1
144	YMR013C	SEC59	2.1
145	YDR456W	NHX1	2.1
146	YMR237W	BCH1	2.1
147	YNL026W	SAM50	2.1
148	YJL059W	YHC3	2.1
149	YER027C	GAL83	2.1
150	YER119C	AVT6	2.1
151	YML029W	USA1	2.1
152	YKL146W	AVT3	2.1
153	YMR076C	PDS5	2.1
154	YPL127C	HHO1	2.1
155	YGL065C	ALG2	2.1
156	YOR165W	SEY1	2.1
157	YJL079C	PRY1	2.1
158	YKL046C	DCW1	2.1
159	YKL035W	UGP1	2.1
160	YKL104C	GFA1	2.1
161	YJR118C	ILM1	2.1
162	YOL103W	ITR2	2.1
163	YKL213C	DOA1	2.1
164	YPL028W	ERG10	2.1
165	YOR086C	TCB1	2.1
166	YML012W	ERV25	2.1
167	YCR067C	SED4	2.1
168	YNL283C	WSC2	2.1
169	YFL037W	TUB2	2.1
170	YDL145C	COP1	2.1
171	YNL264C	PDR17	2.1
172	YGL167C	PMR1	2.1
173	YAL042W	ERV46	2.1
174	YJL173C	RFA3	2.1
175	YGL104C	VPS73	2.1
176	YKR088C	TVP38	2.1
177	YDR097C	MSH6	2.1
178	YMR020W	FMS1	2.1
179	YJL026W	RNR2	2.1
180	YDR093W	DNF2	2.1
181	YLR037C	PAU23	2.1
182	YPL154C	PEP4	2.1
183	YDL101C	DUN1	2.1
184	YIL048W	NEO1	2.1
185	YDR481C	PHO8	2.1
186	YGL253W	HXK2	2.1
187	YNR033W	ABZ1	2.1
188	YMR297W	PRC1	2.1
189	YER070W	RNR1	2.1
190	YGL038C	OCH1	2.1
191	YMR184W	ADD37	2.1
192	YOR227W	HER1	2.1
193	YKR090W	PXL1	2.1
194	YKL039W	PTM1	2.1
195	YGR014W	MSB2	2.1
196	YHR110W	ERP5	2.1
197	YML070W	DAK1	2.1
198	YBR023C	CHS3	2.1
199	YPR198W	SGE1	2.1
200	YBL047C	EDE1	2.1
201	YBR080C	SEC18	2.1
202	YKR003W	OSH6	2.1
203	YPL256C	CLN2	2.1
204	YBR234C	ARC40	2.1
205	YOL129W	VPS68	2.1
206	YLR386W	VAC14	2.1
207	YNR043W	MVD1	2.1
208	YCR030C	SYP1	2.1
209	YCR088W	ABP1	2.1
210	YER136W	GDI1	2.1
211	YOR270C	VPH1	2.1
