SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: RPA43

Rank	Gene	Common	Score
Q	YOR340C	RPA43	
1	YMR131C	RRB1	5.6
2	YOL077C	BRX1	5.5
3	YKR081C	RPF2	5.5
4	YNL248C	RPA49	5.5
5	YLR196W	PWP1	5.4
6	YNL175C	NOP13	5.3
7	YOR272W	YTM1	5.3
8	YOR206W	NOC2	5.3
9	YKL009W	MRT4	5.3
10	YLR009W	RLP24	5.3
11	YPL211W	NIP7	5.3
12	YDR087C	RRP1	5.2
13	YHR052W	CIC1	5.2
14	YLR276C	DBP9	5.2
15	YOR310C	NOP58	5.2
16	YNL061W	NOP2	5.2
17	YMR049C	ERB1	5.2
18	YOR004W	UTP23	5.1
19	YDR496C	PUF6	5.1
20	YGR128C	UTP8	5.1
21	YNL075W	IMP4	5.1
22	YHR170W	NMD3	5.1
23	YNL110C	NOP15	5.1
24	YJL148W	RPA34	5.1
25	YPR110C	RPC40	5.0
26	YDR165W	TRM82	5.0
27	YGR103W	NOP7	5.0
28	YGR145W	ENP2	5.0
29	YBL039C	URA7	5.0
30	YMR290C	HAS1	5.0
31	YGL078C	DBP3	5.0
32	YLR175W	CBF5	5.0
33	YDR101C	ARX1	5.0
34	YPL012W	RRP12	5.0
35	YDL060W	TSR1	5.0
36	YNL132W	KRE33	5.0
37	YBR247C	ENP1	5.0
38	YML093W	UTP14	4.9
39	YOR294W	RRS1	4.9
40	YER126C	NSA2	4.9
41	YPL043W	NOP4	4.9
42	YLR197W	NOP56	4.9
43	YHR148W	IMP3	4.9
44	YDL201W	TRM8	4.9
45	YCL059C	KRR1	4.9
46	YGL171W	ROK1	4.9
47	YJL050W	MTR4	4.9
48	YPL266W	DIM1	4.9
49	YLR222C	UTP13	4.8
50	YLR409C	UTP21	4.8
51	YER006W	NUG1	4.8
52	YNL002C	RLP7	4.8
53	YJL033W	HCA4	4.8
54	YPL086C	ELP3	4.8
55	YGR159C	NSR1	4.8
56	YNL182C	IPI3	4.8
57	YAL025C	MAK16	4.8
58	YLL008W	DRS1	4.8
59	YJL122W	ALB1	4.8
60	YGL099W	LSG1	4.8
61	YOL080C	REX4	4.7
62	YNL151C	RPC31	4.7
63	YPR112C	MRD1	4.7
64	YBR142W	MAK5	4.7
65	YLR435W	TSR2	4.7
66	YDR083W	RRP8	4.7
67	YKL172W	EBP2	4.7
68	YDL014W	NOP1	4.7
69	YKL143W	LTV1	4.7
70	YCR057C	PWP2	4.7
71	YDR324C	UTP4	4.7
72	YGR280C	PXR1	4.7
73	YAL036C	RBG1	4.7
74	YOR145C	PNO1	4.7
75	YOR243C	PUS7	4.7
76	YHR197W	RIX1	4.7
77	YAL059W	ECM1	4.7
78	YDR449C	UTP6	4.6
79	YDL148C	NOP14	4.6
80	YGR187C	HGH1	4.6
81	YPL126W	NAN1	4.6
82	YGR245C	SDA1	4.6
83	YDL051W	LHP1	4.6
84	YDR060W	MAK21	4.6
85	YGL120C	PRP43	4.6
86	YHR066W	SSF1	4.6
87	YNL141W	AAH1	4.6
88	YDR465C	RMT2	4.6
89	YPR144C	NOC4	4.6
90	YGR200C	ELP2	4.6
91	YLL034C	RIX7	4.6
92	YNR053C	NOG2	4.6
93	YJR002W	MPP10	4.6
94	YLR129W	DIP2	4.6
95	YDR398W	UTP5	4.6
96	YMR093W	UTP15	4.6
97	YLR449W	FPR4	4.6
98	YOR095C	RKI1	4.6
99	YLL011W	SOF1	4.6
100	YDL208W	NHP2	4.6
