SPELL Version 2.0.3 for Yeast at spell.yeastgenome.org on 2024-03-12

Query genes: HAP5

Rank	Gene	Common	Score
Q	YOR358W	HAP5	
1	YJL066C	MPM1	2.9
2	YGL208W	SIP2	2.9
3	YOL071W	SDH5	2.8
4	YOR042W	CUE5	2.8
5	YHR016C	YSC84	2.7
6	YDR231C	COX20	2.7
7	YNR045W	PET494	2.7
8	YIL136W	OM45	2.7
9	YGR112W	SHY1	2.7
10	YOL096C	COQ3	2.6
11	YPR047W	MSF1	2.6
12	YNR007C	ATG3	2.6
13	YDL110C	TMA17	2.6
14	YBL015W	ACH1	2.6
15	YML120C	NDI1	2.6
16	YFR049W	KGD4	2.6
17	YBR037C	SCO1	2.6
18	YDR358W	GGA1	2.6
19	YOR386W	PHR1	2.5
20	YIL042C	PKP1	2.5
21	YPL186C	UIP4	2.5
22	YBR223C	TDP1	2.5
23	YGL237C	HAP2	2.5
24	YPL203W	TPK2	2.5
25	YIL033C	BCY1	2.5
26	YGR174C	CBP4	2.5
27	YGR248W	SOL4	2.5
28	YJR021C	REC107	2.5
29	YHR195W	NVJ1	2.5
30	YGR231C	PHB2	2.5
31	YGR019W	UGA1	2.5
32	YBR024W	SCO2	2.5
33	YGR194C	XKS1	2.5
34	YBR269C	SDH8	2.5
35	YCR073W-A	SOL2	2.5
36	YFL030W	AGX1	2.5
37	YNL073W	MSK1	2.5
38	YOL065C	INP54	2.5
39	YDR405W	MRP20	2.5
40	YOR120W	GCY1	2.5
41	YLR203C	MSS51	2.5
42	YIL154C	IMP21	2.5
43	YLR070C	XYL2	2.5
44	YDR296W	MHR1	2.5
45	YMR068W	AVO2	2.4
46	YJL164C	TPK1	2.4
47	YNL156C	NSG2	2.4
48	YBR273C	UBX7	2.4
49	YJR113C	RSM7	2.4
50	YER020W	GPA2	2.4
51	YGL004C	RPN14	2.4
52	YDL169C	UGX2	2.4
53	YIR036C	IRC24	2.4
54	YJR059W	PTK2	2.4
55	YDR511W	SDH7	2.4
56	YCL034W	LSB5	2.4
57	YLR239C	LIP2	2.4
58	YDR475C	JIP4	2.4
59	YBR003W	COQ1	2.4
60	YKL208W	CBT1	2.4
61	YNL173C	MDG1	2.4
62	YGR132C	PHB1	2.4
63	YLR102C	APC9	2.4
64	YPL123C	RNY1	2.4
65	YGR268C	HUA1	2.4
66	YDR287W	INM2	2.4
67	YIL065C	FIS1	2.4
68	YDL204W	RTN2	2.4
69	YBR230C	OM14	2.4
70	YPL004C	LSP1	2.4
71	YOR173W	DCS2	2.4
72	YMR139W	RIM11	2.4
73	YDR313C	PIB1	2.4
74	YCL040W	GLK1	2.4
75	YLR251W	SYM1	2.4
76	YPR184W	GDB1	2.4
77	YLR258W	GSY2	2.4
78	YOL060C	MAM3	2.4
79	YDR122W	KIN1	2.4
80	YJL155C	FBP26	2.4
81	YKL085W	MDH1	2.4
82	YJR019C	TES1	2.4
83	YNL159C	ASI2	2.4
84	YMR250W	GAD1	2.4
85	YKR049C	FMP46	2.4
86	YPL222W	FMP40	2.4
87	YMR311C	GLC8	2.4
88	YML100W	TSL1	2.4
89	YBR046C	ZTA1	2.4
90	YBR169C	SSE2	2.4
91	YDL238C	GUD1	2.4
92	YDR436W	PPZ2	2.4
93	YPL196W	OXR1	2.4
94	YLR219W	MSC3	2.4
95	YKR076W	ECM4	2.4
96	YHR106W	TRR2	2.4
97	YPR093C	ASR1	2.4
98	YOR132W	VPS17	2.4
99	YNL237W	YTP1	2.3
100	YLR270W	DCS1	2.3
101	YCR079W	PTC6	2.3
102	YDR330W	UBX5	2.3
103	YPR023C	EAF3	2.3
104	YBL080C	PET112	2.3
105	YOR003W	YSP3	2.3
106	YDL107W	MSS2	2.3
107	YAL039C	CYC3	2.3
108	YPL249C	GYP5	2.3
109	YDR329C	PEX3	2.3
110	YKL195W	MIA40	2.3
111	YGL181W	GTS1	2.3
112	YER119C	AVT6	2.3
113	YPR081C	GRS2	2.3
114	YIL157C	COA1	2.3
115	YCL052C	PBN1	2.3
116	YLR382C	NAM2	2.3
117	YBR126C	TPS1	2.3
118	YNR036C	MRPS12	2.3
119	YGL248W	PDE1	2.3
120	YEL011W	GLC3	2.3
